game,2018,15,20181213,201812130kan,sdg,"Los Angeles Chargers",29,kan,"Kansas City Chiefs",28
team,201812130kan,sdg,First Downs,30,,,,,,
team,201812130kan,kan,First Downs,22,,,,,,
team,201812130kan,sdg,Rush-Yds-TDs,24-119-2,,,,,,
team,201812130kan,kan,Rush-Yds-TDs,17-60-2,,,,,,
team,201812130kan,sdg,Cmp-Att-Yd-TD-INT,26-38-313-2-2,,,,,,
team,201812130kan,kan,Cmp-Att-Yd-TD-INT,24-34-243-2-0,,,,,,
team,201812130kan,sdg,Sacked-Yards,5-25,,,,,,
team,201812130kan,kan,Sacked-Yards,2-9,,,,,,
team,201812130kan,sdg,Net Pass Yards,288,,,,,,
team,201812130kan,kan,Net Pass Yards,234,,,,,,
team,201812130kan,sdg,Total Yards,407,,,,,,
team,201812130kan,kan,Total Yards,294,,,,,,
team,201812130kan,sdg,Fumbles-Lost,2-0,,,,,,
team,201812130kan,kan,Fumbles-Lost,2-0,,,,,,
team,201812130kan,sdg,Turnovers,2,,,,,,
team,201812130kan,kan,Turnovers,0,,,,,,
team,201812130kan,sdg,Penalties-Yards,7-50,,,,,,
team,201812130kan,kan,Penalties-Yards,10-66,,,,,,
team,201812130kan,sdg,Third Down Conv.,6-10,,,,,,
team,201812130kan,kan,Third Down Conv.,6-10,,,,,,
team,201812130kan,sdg,Fourth Down Conv.,1-1,,,,,,
team,201812130kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201812130kan,sdg,Time of Possession,33:16,,,,,,
team,201812130kan,kan,Time of Possession,26:44,,,,,,
player,201812130kan,sdg,RivePh00,pass_cmp,26,,,,,
player,201812130kan,sdg,RivePh00,pass_att,38,,,,,
player,201812130kan,sdg,RivePh00,pass_yds,313,,,,,
player,201812130kan,sdg,RivePh00,pass_td,2,,,,,
player,201812130kan,sdg,RivePh00,pass_int,2,,,,,
player,201812130kan,sdg,RivePh00,pass_sacked,5,,,,,
player,201812130kan,sdg,RivePh00,pass_sacked_yds,25,,,,,
player,201812130kan,sdg,RivePh00,pass_long,38,,,,,
player,201812130kan,sdg,RivePh00,pass_rating,89.0,,,,,
player,201812130kan,sdg,RivePh00,rush_att,0,,,,,
player,201812130kan,sdg,RivePh00,rush_yds,0,,,,,
player,201812130kan,sdg,RivePh00,rush_td,0,,,,,
player,201812130kan,sdg,RivePh00,rush_long,0,,,,,
player,201812130kan,sdg,RivePh00,targets,0,,,,,
player,201812130kan,sdg,RivePh00,rec,0,,,,,
player,201812130kan,sdg,RivePh00,rec_yds,0,,,,,
player,201812130kan,sdg,RivePh00,rec_td,0,,,,,
player,201812130kan,sdg,RivePh00,rec_long,0,,,,,
player,201812130kan,sdg,RivePh00,fumbles,0,,,,,
player,201812130kan,sdg,RivePh00,fumbles_lost,0,,,,,
player,201812130kan,sdg,JackJu01,pass_cmp,0,,,,,
player,201812130kan,sdg,JackJu01,pass_att,0,,,,,
player,201812130kan,sdg,JackJu01,pass_yds,0,,,,,
player,201812130kan,sdg,JackJu01,pass_td,0,,,,,
player,201812130kan,sdg,JackJu01,pass_int,0,,,,,
player,201812130kan,sdg,JackJu01,pass_sacked,0,,,,,
player,201812130kan,sdg,JackJu01,pass_sacked_yds,0,,,,,
player,201812130kan,sdg,JackJu01,pass_long,0,,,,,
player,201812130kan,sdg,JackJu01,pass_rating,,,,,,
player,201812130kan,sdg,JackJu01,rush_att,16,,,,,
player,201812130kan,sdg,JackJu01,rush_yds,58,,,,,
player,201812130kan,sdg,JackJu01,rush_td,1,,,,,
player,201812130kan,sdg,JackJu01,rush_long,9,,,,,
player,201812130kan,sdg,JackJu01,targets,4,,,,,
player,201812130kan,sdg,JackJu01,rec,3,,,,,
player,201812130kan,sdg,JackJu01,rec_yds,27,,,,,
player,201812130kan,sdg,JackJu01,rec_td,0,,,,,
player,201812130kan,sdg,JackJu01,rec_long,16,,,,,
player,201812130kan,sdg,JackJu01,fumbles,0,,,,,
player,201812130kan,sdg,JackJu01,fumbles_lost,0,,,,,
player,201812130kan,sdg,NewsDe00,pass_cmp,0,,,,,
player,201812130kan,sdg,NewsDe00,pass_att,0,,,,,
player,201812130kan,sdg,NewsDe00,pass_yds,0,,,,,
player,201812130kan,sdg,NewsDe00,pass_td,0,,,,,
player,201812130kan,sdg,NewsDe00,pass_int,0,,,,,
player,201812130kan,sdg,NewsDe00,pass_sacked,0,,,,,
player,201812130kan,sdg,NewsDe00,pass_sacked_yds,0,,,,,
player,201812130kan,sdg,NewsDe00,pass_long,0,,,,,
player,201812130kan,sdg,NewsDe00,pass_rating,,,,,,
player,201812130kan,sdg,NewsDe00,rush_att,6,,,,,
player,201812130kan,sdg,NewsDe00,rush_yds,34,,,,,
player,201812130kan,sdg,NewsDe00,rush_td,0,,,,,
player,201812130kan,sdg,NewsDe00,rush_long,16,,,,,
player,201812130kan,sdg,NewsDe00,targets,2,,,,,
player,201812130kan,sdg,NewsDe00,rec,2,,,,,
player,201812130kan,sdg,NewsDe00,rec_yds,19,,,,,
player,201812130kan,sdg,NewsDe00,rec_td,0,,,,,
player,201812130kan,sdg,NewsDe00,rec_long,11,,,,,
player,201812130kan,sdg,NewsDe00,fumbles,0,,,,,
player,201812130kan,sdg,NewsDe00,fumbles_lost,0,,,,,
player,201812130kan,sdg,WillMi07,pass_cmp,0,,,,,
player,201812130kan,sdg,WillMi07,pass_att,0,,,,,
player,201812130kan,sdg,WillMi07,pass_yds,0,,,,,
player,201812130kan,sdg,WillMi07,pass_td,0,,,,,
player,201812130kan,sdg,WillMi07,pass_int,0,,,,,
player,201812130kan,sdg,WillMi07,pass_sacked,0,,,,,
player,201812130kan,sdg,WillMi07,pass_sacked_yds,0,,,,,
player,201812130kan,sdg,WillMi07,pass_long,0,,,,,
player,201812130kan,sdg,WillMi07,pass_rating,,,,,,
player,201812130kan,sdg,WillMi07,rush_att,1,,,,,
player,201812130kan,sdg,WillMi07,rush_yds,19,,,,,
player,201812130kan,sdg,WillMi07,rush_td,1,,,,,
player,201812130kan,sdg,WillMi07,rush_long,19,,,,,
player,201812130kan,sdg,WillMi07,targets,9,,,,,
player,201812130kan,sdg,WillMi07,rec,7,,,,,
player,201812130kan,sdg,WillMi07,rec_yds,76,,,,,
player,201812130kan,sdg,WillMi07,rec_td,2,,,,,
player,201812130kan,sdg,WillMi07,rec_long,38,,,,,
player,201812130kan,sdg,WillMi07,fumbles,0,,,,,
player,201812130kan,sdg,WillMi07,fumbles_lost,0,,,,,
player,201812130kan,sdg,BenjTr00,pass_cmp,0,,,,,
player,201812130kan,sdg,BenjTr00,pass_att,0,,,,,
player,201812130kan,sdg,BenjTr00,pass_yds,0,,,,,
player,201812130kan,sdg,BenjTr00,pass_td,0,,,,,
player,201812130kan,sdg,BenjTr00,pass_int,0,,,,,
player,201812130kan,sdg,BenjTr00,pass_sacked,0,,,,,
player,201812130kan,sdg,BenjTr00,pass_sacked_yds,0,,,,,
player,201812130kan,sdg,BenjTr00,pass_long,0,,,,,
player,201812130kan,sdg,BenjTr00,pass_rating,,,,,,
player,201812130kan,sdg,BenjTr00,rush_att,1,,,,,
player,201812130kan,sdg,BenjTr00,rush_yds,8,,,,,
player,201812130kan,sdg,BenjTr00,rush_td,0,,,,,
player,201812130kan,sdg,BenjTr00,rush_long,8,,,,,
player,201812130kan,sdg,BenjTr00,targets,3,,,,,
player,201812130kan,sdg,BenjTr00,rec,2,,,,,
player,201812130kan,sdg,BenjTr00,rec_yds,57,,,,,
player,201812130kan,sdg,BenjTr00,rec_td,0,,,,,
player,201812130kan,sdg,BenjTr00,rec_long,31,,,,,
player,201812130kan,sdg,BenjTr00,fumbles,0,,,,,
player,201812130kan,sdg,BenjTr00,fumbles_lost,0,,,,,
player,201812130kan,sdg,WillTy00,pass_cmp,0,,,,,
player,201812130kan,sdg,WillTy00,pass_att,0,,,,,
player,201812130kan,sdg,WillTy00,pass_yds,0,,,,,
player,201812130kan,sdg,WillTy00,pass_td,0,,,,,
player,201812130kan,sdg,WillTy00,pass_int,0,,,,,
player,201812130kan,sdg,WillTy00,pass_sacked,0,,,,,
player,201812130kan,sdg,WillTy00,pass_sacked_yds,0,,,,,
player,201812130kan,sdg,WillTy00,pass_long,0,,,,,
player,201812130kan,sdg,WillTy00,pass_rating,,,,,,
player,201812130kan,sdg,WillTy00,rush_att,0,,,,,
player,201812130kan,sdg,WillTy00,rush_yds,0,,,,,
player,201812130kan,sdg,WillTy00,rush_td,0,,,,,
player,201812130kan,sdg,WillTy00,rush_long,0,,,,,
player,201812130kan,sdg,WillTy00,targets,12,,,,,
player,201812130kan,sdg,WillTy00,rec,6,,,,,
player,201812130kan,sdg,WillTy00,rec_yds,71,,,,,
player,201812130kan,sdg,WillTy00,rec_td,0,,,,,
player,201812130kan,sdg,WillTy00,rec_long,26,,,,,
player,201812130kan,sdg,WillTy00,fumbles,1,,,,,
player,201812130kan,sdg,WillTy00,fumbles_lost,0,,,,,
player,201812130kan,sdg,GateAn00,pass_cmp,0,,,,,
player,201812130kan,sdg,GateAn00,pass_att,0,,,,,
player,201812130kan,sdg,GateAn00,pass_yds,0,,,,,
player,201812130kan,sdg,GateAn00,pass_td,0,,,,,
player,201812130kan,sdg,GateAn00,pass_int,0,,,,,
player,201812130kan,sdg,GateAn00,pass_sacked,0,,,,,
player,201812130kan,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201812130kan,sdg,GateAn00,pass_long,0,,,,,
player,201812130kan,sdg,GateAn00,pass_rating,,,,,,
player,201812130kan,sdg,GateAn00,rush_att,0,,,,,
player,201812130kan,sdg,GateAn00,rush_yds,0,,,,,
player,201812130kan,sdg,GateAn00,rush_td,0,,,,,
player,201812130kan,sdg,GateAn00,rush_long,0,,,,,
player,201812130kan,sdg,GateAn00,targets,5,,,,,
player,201812130kan,sdg,GateAn00,rec,4,,,,,
player,201812130kan,sdg,GateAn00,rec_yds,54,,,,,
player,201812130kan,sdg,GateAn00,rec_td,0,,,,,
player,201812130kan,sdg,GateAn00,rec_long,22,,,,,
player,201812130kan,sdg,GateAn00,fumbles,0,,,,,
player,201812130kan,sdg,GateAn00,fumbles_lost,0,,,,,
player,201812130kan,sdg,GreeVi00,pass_cmp,0,,,,,
player,201812130kan,sdg,GreeVi00,pass_att,0,,,,,
player,201812130kan,sdg,GreeVi00,pass_yds,0,,,,,
player,201812130kan,sdg,GreeVi00,pass_td,0,,,,,
player,201812130kan,sdg,GreeVi00,pass_int,0,,,,,
player,201812130kan,sdg,GreeVi00,pass_sacked,0,,,,,
player,201812130kan,sdg,GreeVi00,pass_sacked_yds,0,,,,,
player,201812130kan,sdg,GreeVi00,pass_long,0,,,,,
player,201812130kan,sdg,GreeVi00,pass_rating,,,,,,
player,201812130kan,sdg,GreeVi00,rush_att,0,,,,,
player,201812130kan,sdg,GreeVi00,rush_yds,0,,,,,
player,201812130kan,sdg,GreeVi00,rush_td,0,,,,,
player,201812130kan,sdg,GreeVi00,rush_long,0,,,,,
player,201812130kan,sdg,GreeVi00,targets,3,,,,,
player,201812130kan,sdg,GreeVi00,rec,2,,,,,
player,201812130kan,sdg,GreeVi00,rec_yds,9,,,,,
player,201812130kan,sdg,GreeVi00,rec_td,0,,,,,
player,201812130kan,sdg,GreeVi00,rec_long,6,,,,,
player,201812130kan,sdg,GreeVi00,fumbles,0,,,,,
player,201812130kan,sdg,GreeVi00,fumbles_lost,0,,,,,
player,201812130kan,kan,MahoPa00,pass_cmp,24,,,,,
player,201812130kan,kan,MahoPa00,pass_att,34,,,,,
player,201812130kan,kan,MahoPa00,pass_yds,243,,,,,
player,201812130kan,kan,MahoPa00,pass_td,2,,,,,
player,201812130kan,kan,MahoPa00,pass_int,0,,,,,
player,201812130kan,kan,MahoPa00,pass_sacked,2,,,,,
player,201812130kan,kan,MahoPa00,pass_sacked_yds,9,,,,,
player,201812130kan,kan,MahoPa00,pass_long,33,,,,,
player,201812130kan,kan,MahoPa00,pass_rating,110.3,,,,,
player,201812130kan,kan,MahoPa00,rush_att,2,,,,,
player,201812130kan,kan,MahoPa00,rush_yds,3,,,,,
player,201812130kan,kan,MahoPa00,rush_td,0,,,,,
player,201812130kan,kan,MahoPa00,rush_long,2,,,,,
player,201812130kan,kan,MahoPa00,targets,0,,,,,
player,201812130kan,kan,MahoPa00,rec,0,,,,,
player,201812130kan,kan,MahoPa00,rec_yds,0,,,,,
player,201812130kan,kan,MahoPa00,rec_td,0,,,,,
player,201812130kan,kan,MahoPa00,rec_long,0,,,,,
player,201812130kan,kan,MahoPa00,fumbles,1,,,,,
player,201812130kan,kan,MahoPa00,fumbles_lost,0,,,,,
player,201812130kan,kan,WillDa05,pass_cmp,0,,,,,
player,201812130kan,kan,WillDa05,pass_att,0,,,,,
player,201812130kan,kan,WillDa05,pass_yds,0,,,,,
player,201812130kan,kan,WillDa05,pass_td,0,,,,,
player,201812130kan,kan,WillDa05,pass_int,0,,,,,
player,201812130kan,kan,WillDa05,pass_sacked,0,,,,,
player,201812130kan,kan,WillDa05,pass_sacked_yds,0,,,,,
player,201812130kan,kan,WillDa05,pass_long,0,,,,,
player,201812130kan,kan,WillDa05,pass_rating,,,,,,
player,201812130kan,kan,WillDa05,rush_att,10,,,,,
player,201812130kan,kan,WillDa05,rush_yds,49,,,,,
player,201812130kan,kan,WillDa05,rush_td,2,,,,,
player,201812130kan,kan,WillDa05,rush_long,22,,,,,
player,201812130kan,kan,WillDa05,targets,6,,,,,
player,201812130kan,kan,WillDa05,rec,6,,,,,
player,201812130kan,kan,WillDa05,rec_yds,74,,,,,
player,201812130kan,kan,WillDa05,rec_td,0,,,,,
player,201812130kan,kan,WillDa05,rec_long,32,,,,,
player,201812130kan,kan,WillDa05,fumbles,0,,,,,
player,201812130kan,kan,WillDa05,fumbles_lost,0,,,,,
player,201812130kan,kan,WillDa10,pass_cmp,0,,,,,
player,201812130kan,kan,WillDa10,pass_att,0,,,,,
player,201812130kan,kan,WillDa10,pass_yds,0,,,,,
player,201812130kan,kan,WillDa10,pass_td,0,,,,,
player,201812130kan,kan,WillDa10,pass_int,0,,,,,
player,201812130kan,kan,WillDa10,pass_sacked,0,,,,,
player,201812130kan,kan,WillDa10,pass_sacked_yds,0,,,,,
player,201812130kan,kan,WillDa10,pass_long,0,,,,,
player,201812130kan,kan,WillDa10,pass_rating,,,,,,
player,201812130kan,kan,WillDa10,rush_att,2,,,,,
player,201812130kan,kan,WillDa10,rush_yds,13,,,,,
player,201812130kan,kan,WillDa10,rush_td,0,,,,,
player,201812130kan,kan,WillDa10,rush_long,8,,,,,
player,201812130kan,kan,WillDa10,targets,2,,,,,
player,201812130kan,kan,WillDa10,rec,2,,,,,
player,201812130kan,kan,WillDa10,rec_yds,19,,,,,
player,201812130kan,kan,WillDa10,rec_td,1,,,,,
player,201812130kan,kan,WillDa10,rec_long,11,,,,,
player,201812130kan,kan,WillDa10,fumbles,0,,,,,
player,201812130kan,kan,WillDa10,fumbles_lost,0,,,,,
player,201812130kan,kan,KelcTr00,pass_cmp,0,,,,,
player,201812130kan,kan,KelcTr00,pass_att,0,,,,,
player,201812130kan,kan,KelcTr00,pass_yds,0,,,,,
player,201812130kan,kan,KelcTr00,pass_td,0,,,,,
player,201812130kan,kan,KelcTr00,pass_int,0,,,,,
player,201812130kan,kan,KelcTr00,pass_sacked,0,,,,,
player,201812130kan,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201812130kan,kan,KelcTr00,pass_long,0,,,,,
player,201812130kan,kan,KelcTr00,pass_rating,,,,,,
player,201812130kan,kan,KelcTr00,rush_att,0,,,,,
player,201812130kan,kan,KelcTr00,rush_yds,0,,,,,
player,201812130kan,kan,KelcTr00,rush_td,0,,,,,
player,201812130kan,kan,KelcTr00,rush_long,0,,,,,
player,201812130kan,kan,KelcTr00,targets,9,,,,,
player,201812130kan,kan,KelcTr00,rec,7,,,,,
player,201812130kan,kan,KelcTr00,rec_yds,61,,,,,
player,201812130kan,kan,KelcTr00,rec_td,0,,,,,
player,201812130kan,kan,KelcTr00,rec_long,16,,,,,
player,201812130kan,kan,KelcTr00,fumbles,0,,,,,
player,201812130kan,kan,KelcTr00,fumbles_lost,0,,,,,
player,201812130kan,kan,ConlCh00,pass_cmp,0,,,,,
player,201812130kan,kan,ConlCh00,pass_att,0,,,,,
player,201812130kan,kan,ConlCh00,pass_yds,0,,,,,
player,201812130kan,kan,ConlCh00,pass_td,0,,,,,
player,201812130kan,kan,ConlCh00,pass_int,0,,,,,
player,201812130kan,kan,ConlCh00,pass_sacked,0,,,,,
player,201812130kan,kan,ConlCh00,pass_sacked_yds,0,,,,,
player,201812130kan,kan,ConlCh00,pass_long,0,,,,,
player,201812130kan,kan,ConlCh00,pass_rating,,,,,,
player,201812130kan,kan,ConlCh00,rush_att,0,,,,,
player,201812130kan,kan,ConlCh00,rush_yds,0,,,,,
