game,2018,2,20180917,201809170chi,sea,"Seattle Seahawks",17,chi,"Chicago Bears",24
team,201809170chi,sea,First Downs,17,,,,,,
team,201809170chi,chi,First Downs,20,,,,,,
team,201809170chi,sea,Rush-Yds-TDs,22-74-0,,,,,,
team,201809170chi,chi,Rush-Yds-TDs,27-86-0,,,,,,
team,201809170chi,sea,Cmp-Att-Yd-TD-INT,22-36-226-2-1,,,,,,
team,201809170chi,chi,Cmp-Att-Yd-TD-INT,25-34-200-2-2,,,,,,
team,201809170chi,sea,Sacked-Yards,6-24,,,,,,
team,201809170chi,chi,Sacked-Yards,2-15,,,,,,
team,201809170chi,sea,Net Pass Yards,202,,,,,,
team,201809170chi,chi,Net Pass Yards,185,,,,,,
team,201809170chi,sea,Total Yards,276,,,,,,
team,201809170chi,chi,Total Yards,271,,,,,,
team,201809170chi,sea,Fumbles-Lost,3-1,,,,,,
team,201809170chi,chi,Fumbles-Lost,0-0,,,,,,
team,201809170chi,sea,Turnovers,2,,,,,,
team,201809170chi,chi,Turnovers,2,,,,,,
team,201809170chi,sea,Penalties-Yards,5-37,,,,,,
team,201809170chi,chi,Penalties-Yards,7-55,,,,,,
team,201809170chi,sea,Third Down Conv.,5-13,,,,,,
team,201809170chi,chi,Third Down Conv.,5-12,,,,,,
team,201809170chi,sea,Fourth Down Conv.,0-0,,,,,,
team,201809170chi,chi,Fourth Down Conv.,1-1,,,,,,
team,201809170chi,sea,Time of Possession,25:36,,,,,,
team,201809170chi,chi,Time of Possession,34:24,,,,,,
player,201809170chi,sea,WilsRu00,pass_cmp,22,,,,,
player,201809170chi,sea,WilsRu00,pass_att,36,,,,,
player,201809170chi,sea,WilsRu00,pass_yds,226,,,,,
player,201809170chi,sea,WilsRu00,pass_td,2,,,,,
player,201809170chi,sea,WilsRu00,pass_int,1,,,,,
player,201809170chi,sea,WilsRu00,pass_sacked,6,,,,,
player,201809170chi,sea,WilsRu00,pass_sacked_yds,24,,,,,
player,201809170chi,sea,WilsRu00,pass_long,34,,,,,
player,201809170chi,sea,WilsRu00,pass_rating,86.1,,,,,
player,201809170chi,sea,WilsRu00,rush_att,3,,,,,
player,201809170chi,sea,WilsRu00,rush_yds,17,,,,,
player,201809170chi,sea,WilsRu00,rush_td,0,,,,,
player,201809170chi,sea,WilsRu00,rush_long,9,,,,,
player,201809170chi,sea,WilsRu00,targets,0,,,,,
player,201809170chi,sea,WilsRu00,rec,0,,,,,
player,201809170chi,sea,WilsRu00,rec_yds,0,,,,,
player,201809170chi,sea,WilsRu00,rec_td,0,,,,,
player,201809170chi,sea,WilsRu00,rec_long,0,,,,,
player,201809170chi,sea,WilsRu00,fumbles,2,,,,,
player,201809170chi,sea,WilsRu00,fumbles_lost,1,,,,,
player,201809170chi,sea,PennRa00,pass_cmp,0,,,,,
player,201809170chi,sea,PennRa00,pass_att,0,,,,,
player,201809170chi,sea,PennRa00,pass_yds,0,,,,,
player,201809170chi,sea,PennRa00,pass_td,0,,,,,
player,201809170chi,sea,PennRa00,pass_int,0,,,,,
player,201809170chi,sea,PennRa00,pass_sacked,0,,,,,
player,201809170chi,sea,PennRa00,pass_sacked_yds,0,,,,,
player,201809170chi,sea,PennRa00,pass_long,0,,,,,
player,201809170chi,sea,PennRa00,pass_rating,,,,,,
player,201809170chi,sea,PennRa00,rush_att,10,,,,,
player,201809170chi,sea,PennRa00,rush_yds,30,,,,,
player,201809170chi,sea,PennRa00,rush_td,0,,,,,
player,201809170chi,sea,PennRa00,rush_long,10,,,,,
player,201809170chi,sea,PennRa00,targets,2,,,,,
player,201809170chi,sea,PennRa00,rec,0,,,,,
player,201809170chi,sea,PennRa00,rec_yds,0,,,,,
player,201809170chi,sea,PennRa00,rec_td,0,,,,,
player,201809170chi,sea,PennRa00,rec_long,0,,,,,
player,201809170chi,sea,PennRa00,fumbles,0,,,,,
player,201809170chi,sea,PennRa00,fumbles_lost,0,,,,,
player,201809170chi,sea,CarsCh00,pass_cmp,0,,,,,
player,201809170chi,sea,CarsCh00,pass_att,0,,,,,
player,201809170chi,sea,CarsCh00,pass_yds,0,,,,,
player,201809170chi,sea,CarsCh00,pass_td,0,,,,,
player,201809170chi,sea,CarsCh00,pass_int,0,,,,,
player,201809170chi,sea,CarsCh00,pass_sacked,0,,,,,
player,201809170chi,sea,CarsCh00,pass_sacked_yds,0,,,,,
player,201809170chi,sea,CarsCh00,pass_long,0,,,,,
player,201809170chi,sea,CarsCh00,pass_rating,,,,,,
player,201809170chi,sea,CarsCh00,rush_att,6,,,,,
player,201809170chi,sea,CarsCh00,rush_yds,24,,,,,
player,201809170chi,sea,CarsCh00,rush_td,0,,,,,
player,201809170chi,sea,CarsCh00,rush_long,9,,,,,
player,201809170chi,sea,CarsCh00,targets,1,,,,,
player,201809170chi,sea,CarsCh00,rec,0,,,,,
player,201809170chi,sea,CarsCh00,rec_yds,0,,,,,
player,201809170chi,sea,CarsCh00,rec_td,0,,,,,
player,201809170chi,sea,CarsCh00,rec_long,0,,,,,
player,201809170chi,sea,CarsCh00,fumbles,0,,,,,
player,201809170chi,sea,CarsCh00,fumbles_lost,0,,,,,
player,201809170chi,sea,DaviMi01,pass_cmp,0,,,,,
player,201809170chi,sea,DaviMi01,pass_att,0,,,,,
player,201809170chi,sea,DaviMi01,pass_yds,0,,,,,
player,201809170chi,sea,DaviMi01,pass_td,0,,,,,
player,201809170chi,sea,DaviMi01,pass_int,0,,,,,
player,201809170chi,sea,DaviMi01,pass_sacked,0,,,,,
player,201809170chi,sea,DaviMi01,pass_sacked_yds,0,,,,,
player,201809170chi,sea,DaviMi01,pass_long,0,,,,,
