game,2018,12,20181126,201811260htx,oti,"Tennessee Titans",17,htx,"Houston Texans",34
team,201811260htx,oti,First Downs,14,,,,,,
team,201811260htx,htx,First Downs,19,,,,,,
team,201811260htx,oti,Rush-Yds-TDs,23-105-0,,,,,,
team,201811260htx,htx,Rush-Yds-TDs,34-281-2,,,,,,
team,201811260htx,oti,Cmp-Att-Yd-TD-INT,22-23-303-2-0,,,,,,
team,201811260htx,htx,Cmp-Att-Yd-TD-INT,19-24-210-2-0,,,,,,
team,201811260htx,oti,Sacked-Yards,6-43,,,,,,
team,201811260htx,htx,Sacked-Yards,4-29,,,,,,
team,201811260htx,oti,Net Pass Yards,260,,,,,,
team,201811260htx,htx,Net Pass Yards,181,,,,,,
team,201811260htx,oti,Total Yards,365,,,,,,
team,201811260htx,htx,Total Yards,462,,,,,,
team,201811260htx,oti,Fumbles-Lost,2-1,,,,,,
team,201811260htx,htx,Fumbles-Lost,1-0,,,,,,
team,201811260htx,oti,Turnovers,1,,,,,,
team,201811260htx,htx,Turnovers,0,,,,,,
team,201811260htx,oti,Penalties-Yards,7-50,,,,,,
team,201811260htx,htx,Penalties-Yards,3-53,,,,,,
team,201811260htx,oti,Third Down Conv.,4-12,,,,,,
team,201811260htx,htx,Third Down Conv.,4-11,,,,,,
team,201811260htx,oti,Fourth Down Conv.,0-1,,,,,,
team,201811260htx,htx,Fourth Down Conv.,1-1,,,,,,
team,201811260htx,oti,Time of Possession,30:02,,,,,,
team,201811260htx,htx,Time of Possession,29:58,,,,,,
player,201811260htx,oti,MariMa01,pass_cmp,22,,,,,
player,201811260htx,oti,MariMa01,pass_att,23,,,,,
player,201811260htx,oti,MariMa01,pass_yds,303,,,,,
player,201811260htx,oti,MariMa01,pass_td,2,,,,,
player,201811260htx,oti,MariMa01,pass_int,0,,,,,
player,201811260htx,oti,MariMa01,pass_sacked,6,,,,,
player,201811260htx,oti,MariMa01,pass_sacked_yds,43,,,,,
player,201811260htx,oti,MariMa01,pass_long,61,,,,,
player,201811260htx,oti,MariMa01,pass_rating,147.7,,,,,
player,201811260htx,oti,MariMa01,rush_att,6,,,,,
player,201811260htx,oti,MariMa01,rush_yds,28,,,,,
player,201811260htx,oti,MariMa01,rush_td,0,,,,,
player,201811260htx,oti,MariMa01,rush_long,14,,,,,
player,201811260htx,oti,MariMa01,targets,0,,,,,
player,201811260htx,oti,MariMa01,rec,0,,,,,
player,201811260htx,oti,MariMa01,rec_yds,0,,,,,
player,201811260htx,oti,MariMa01,rec_td,0,,,,,
player,201811260htx,oti,MariMa01,rec_long,0,,,,,
player,201811260htx,oti,MariMa01,fumbles,1,,,,,
player,201811260htx,oti,MariMa01,fumbles_lost,0,,,,,
player,201811260htx,oti,DaviCo03,pass_cmp,0,,,,,
player,201811260htx,oti,DaviCo03,pass_att,0,,,,,
player,201811260htx,oti,DaviCo03,pass_yds,0,,,,,
player,201811260htx,oti,DaviCo03,pass_td,0,,,,,
player,201811260htx,oti,DaviCo03,pass_int,0,,,,,
player,201811260htx,oti,DaviCo03,pass_sacked,0,,,,,
player,201811260htx,oti,DaviCo03,pass_sacked_yds,0,,,,,
player,201811260htx,oti,DaviCo03,pass_long,0,,,,,
player,201811260htx,oti,DaviCo03,pass_rating,,,,,,
player,201811260htx,oti,DaviCo03,rush_att,1,,,,,
player,201811260htx,oti,DaviCo03,rush_yds,39,,,,,
player,201811260htx,oti,DaviCo03,rush_td,0,,,,,
player,201811260htx,oti,DaviCo03,rush_long,39,,,,,
player,201811260htx,oti,DaviCo03,targets,4,,,,,
player,201811260htx,oti,DaviCo03,rec,4,,,,,
player,201811260htx,oti,DaviCo03,rec_yds,96,,,,,
player,201811260htx,oti,DaviCo03,rec_td,1,,,,,
player,201811260htx,oti,DaviCo03,rec_long,48,,,,,
player,201811260htx,oti,DaviCo03,fumbles,0,,,,,
player,201811260htx,oti,DaviCo03,fumbles_lost,0,,,,,
player,201811260htx,oti,HenrDe00,pass_cmp,0,,,,,
player,201811260htx,oti,HenrDe00,pass_att,0,,,,,
player,201811260htx,oti,HenrDe00,pass_yds,0,,,,,
player,201811260htx,oti,HenrDe00,pass_td,0,,,,,
player,201811260htx,oti,HenrDe00,pass_int,0,,,,,
player,201811260htx,oti,HenrDe00,pass_sacked,0,,,,,
player,201811260htx,oti,HenrDe00,pass_sacked_yds,0,,,,,
player,201811260htx,oti,HenrDe00,pass_long,0,,,,,
player,201811260htx,oti,HenrDe00,pass_rating,,,,,,
