game,2018,14,20181209,201812090sfo,den,"Denver Broncos",14,sfo,"San Francisco 49ers",20
team,201812090sfo,den,First Downs,22,,,,,,
team,201812090sfo,sfo,First Downs,24,,,,,,
team,201812090sfo,den,Rush-Yds-TDs,27-103-1,,,,,,
team,201812090sfo,sfo,Rush-Yds-TDs,30-84-0,,,,,,
team,201812090sfo,den,Cmp-Att-Yd-TD-INT,24-42-186-1-0,,,,,,
team,201812090sfo,sfo,Cmp-Att-Yd-TD-INT,20-33-332-2-1,,,,,,
team,201812090sfo,den,Sacked-Yards,2-15,,,,,,
team,201812090sfo,sfo,Sacked-Yards,3-27,,,,,,
team,201812090sfo,den,Net Pass Yards,171,,,,,,
team,201812090sfo,sfo,Net Pass Yards,305,,,,,,
team,201812090sfo,den,Total Yards,274,,,,,,
team,201812090sfo,sfo,Total Yards,389,,,,,,
team,201812090sfo,den,Fumbles-Lost,4-0,,,,,,
team,201812090sfo,sfo,Fumbles-Lost,3-0,,,,,,
team,201812090sfo,den,Turnovers,0,,,,,,
team,201812090sfo,sfo,Turnovers,1,,,,,,
team,201812090sfo,den,Penalties-Yards,11-62,,,,,,
team,201812090sfo,sfo,Penalties-Yards,11-87,,,,,,
team,201812090sfo,den,Third Down Conv.,2-15,,,,,,
team,201812090sfo,sfo,Third Down Conv.,4-13,,,,,,
team,201812090sfo,den,Fourth Down Conv.,5-7,,,,,,
team,201812090sfo,sfo,Fourth Down Conv.,0-1,,,,,,
team,201812090sfo,den,Time of Possession,29:19,,,,,,
team,201812090sfo,sfo,Time of Possession,30:41,,,,,,
player,201812090sfo,den,KeenCa00,pass_cmp,24,,,,,
player,201812090sfo,den,KeenCa00,pass_att,42,,,,,
player,201812090sfo,den,KeenCa00,pass_yds,186,,,,,
player,201812090sfo,den,KeenCa00,pass_td,1,,,,,
player,201812090sfo,den,KeenCa00,pass_int,0,,,,,
player,201812090sfo,den,KeenCa00,pass_sacked,2,,,,,
player,201812090sfo,den,KeenCa00,pass_sacked_yds,15,,,,,
player,201812090sfo,den,KeenCa00,pass_long,21,,,,,
player,201812090sfo,den,KeenCa00,pass_rating,76.1,,,,,
player,201812090sfo,den,KeenCa00,rush_att,4,,,,,
player,201812090sfo,den,KeenCa00,rush_yds,24,,,,,
player,201812090sfo,den,KeenCa00,rush_td,0,,,,,
player,201812090sfo,den,KeenCa00,rush_long,16,,,,,
player,201812090sfo,den,KeenCa00,targets,0,,,,,
player,201812090sfo,den,KeenCa00,rec,0,,,,,
player,201812090sfo,den,KeenCa00,rec_yds,0,,,,,
player,201812090sfo,den,KeenCa00,rec_td,0,,,,,
player,201812090sfo,den,KeenCa00,rec_long,0,,,,,
player,201812090sfo,den,KeenCa00,fumbles,2,,,,,
player,201812090sfo,den,KeenCa00,fumbles_lost,0,,,,,
player,201812090sfo,den,FreeRo00,pass_cmp,0,,,,,
player,201812090sfo,den,FreeRo00,pass_att,0,,,,,
player,201812090sfo,den,FreeRo00,pass_yds,0,,,,,
player,201812090sfo,den,FreeRo00,pass_td,0,,,,,
player,201812090sfo,den,FreeRo00,pass_int,0,,,,,
player,201812090sfo,den,FreeRo00,pass_sacked,0,,,,,
