game,2018,9,20181104,201811040nor,ram,"Los Angeles Rams",35,nor,"New Orleans Saints",45
team,201811040nor,ram,First Downs,23,,,,,,
team,201811040nor,nor,First Downs,31,,,,,,
team,201811040nor,ram,Rush-Yds-TDs,19-92-1,,,,,,
team,201811040nor,nor,Rush-Yds-TDs,34-141-2,,,,,,
team,201811040nor,ram,Cmp-Att-Yd-TD-INT,28-40-391-3-1,,,,,,
team,201811040nor,nor,Cmp-Att-Yd-TD-INT,25-36-346-4-0,,,,,,
team,201811040nor,ram,Sacked-Yards,0-0,,,,,,
team,201811040nor,nor,Sacked-Yards,0-0,,,,,,
team,201811040nor,ram,Net Pass Yards,391,,,,,,
team,201811040nor,nor,Net Pass Yards,346,,,,,,
team,201811040nor,ram,Total Yards,483,,,,,,
team,201811040nor,nor,Total Yards,487,,,,,,
team,201811040nor,ram,Fumbles-Lost,0-0,,,,,,
team,201811040nor,nor,Fumbles-Lost,1-1,,,,,,
team,201811040nor,ram,Turnovers,1,,,,,,
team,201811040nor,nor,Turnovers,1,,,,,,
team,201811040nor,ram,Penalties-Yards,4-32,,,,,,
team,201811040nor,nor,Penalties-Yards,2-20,,,,,,
team,201811040nor,ram,Third Down Conv.,3-8,,,,,,
team,201811040nor,nor,Third Down Conv.,7-12,,,,,,
team,201811040nor,ram,Fourth Down Conv.,0-2,,,,,,
team,201811040nor,nor,Fourth Down Conv.,2-2,,,,,,
team,201811040nor,ram,Time of Possession,26:19,,,,,,
team,201811040nor,nor,Time of Possession,33:41,,,,,,
player,201811040nor,ram,GoffJa00,pass_cmp,28,,,,,
player,201811040nor,ram,GoffJa00,pass_att,40,,,,,
player,201811040nor,ram,GoffJa00,pass_yds,391,,,,,
player,201811040nor,ram,GoffJa00,pass_td,3,,,,,
player,201811040nor,ram,GoffJa00,pass_int,1,,,,,
player,201811040nor,ram,GoffJa00,pass_sacked,0,,,,,
player,201811040nor,ram,GoffJa00,pass_sacked_yds,0,,,,,
player,201811040nor,ram,GoffJa00,pass_long,48,,,,,
player,201811040nor,ram,GoffJa00,pass_rating,115.7,,,,,
player,201811040nor,ram,GoffJa00,rush_att,3,,,,,
player,201811040nor,ram,GoffJa00,rush_yds,17,,,,,
player,201811040nor,ram,GoffJa00,rush_td,0,,,,,
player,201811040nor,ram,GoffJa00,rush_long,9,,,,,
player,201811040nor,ram,GoffJa00,targets,0,,,,,
player,201811040nor,ram,GoffJa00,rec,0,,,,,
