game,2018,11,20181118,201811180det,car,"Carolina Panthers",19,det,"Detroit Lions",20
team,201811180det,car,First Downs,20,,,,,,
team,201811180det,det,First Downs,20,,,,,,
team,201811180det,car,Rush-Yds-TDs,16-56-0,,,,,,
team,201811180det,det,Rush-Yds-TDs,26-94-1,,,,,,
team,201811180det,car,Cmp-Att-Yd-TD-INT,25-38-357-3-1,,,,,,
team,201811180det,det,Cmp-Att-Yd-TD-INT,23-37-220-1-0,,,,,,
team,201811180det,car,Sacked-Yards,3-26,,,,,,
team,201811180det,det,Sacked-Yards,1-5,,,,,,
team,201811180det,car,Net Pass Yards,331,,,,,,
team,201811180det,det,Net Pass Yards,215,,,,,,
team,201811180det,car,Total Yards,387,,,,,,
team,201811180det,det,Total Yards,309,,,,,,
team,201811180det,car,Fumbles-Lost,0-0,,,,,,
team,201811180det,det,Fumbles-Lost,0-0,,,,,,
team,201811180det,car,Turnovers,1,,,,,,
team,201811180det,det,Turnovers,0,,,,,,
team,201811180det,car,Penalties-Yards,2-15,,,,,,
team,201811180det,det,Penalties-Yards,1-5,,,,,,
team,201811180det,car,Third Down Conv.,5-11,,,,,,
team,201811180det,det,Third Down Conv.,4-12,,,,,,
team,201811180det,car,Fourth Down Conv.,0-0,,,,,,
team,201811180det,det,Fourth Down Conv.,0-0,,,,,,
team,201811180det,car,Time of Possession,28:20,,,,,,
team,201811180det,det,Time of Possession,31:40,,,,,,
player,201811180det,car,NewtCa00,pass_cmp,25,,,,,
player,201811180det,car,NewtCa00,pass_att,37,,,,,
player,201811180det,car,NewtCa00,pass_yds,357,,,,,
player,201811180det,car,NewtCa00,pass_td,3,,,,,
player,201811180det,car,NewtCa00,pass_int,1,,,,,
player,201811180det,car,NewtCa00,pass_sacked,3,,,,,
player,201811180det,car,NewtCa00,pass_sacked_yds,26,,,,,
player,201811180det,car,NewtCa00,pass_long,82,,,,,
player,201811180det,car,NewtCa00,pass_rating,114.4,,,,,
player,201811180det,car,NewtCa00,rush_att,2,,,,,
player,201811180det,car,NewtCa00,rush_yds,2,,,,,
player,201811180det,car,NewtCa00,rush_td,0,,,,,
player,201811180det,car,NewtCa00,rush_long,2,,,,,
player,201811180det,car,NewtCa00,targets,0,,,,,
player,201811180det,car,NewtCa00,rec,0,,,,,
player,201811180det,car,NewtCa00,rec_yds,0,,,,,
player,201811180det,car,NewtCa00,rec_td,0,,,,,
player,201811180det,car,NewtCa00,rec_long,0,,,,,
player,201811180det,car,NewtCa00,fumbles,0,,,,,
player,201811180det,car,NewtCa00,fumbles_lost,0,,,,,
player,201811180det,car,HeinTa00,pass_cmp,0,,,,,
player,201811180det,car,HeinTa00,pass_att,1,,,,,
player,201811180det,car,HeinTa00,pass_yds,0,,,,,
player,201811180det,car,HeinTa00,pass_td,0,,,,,
player,201811180det,car,HeinTa00,pass_int,0,,,,,
player,201811180det,car,HeinTa00,pass_sacked,0,,,,,
player,201811180det,car,HeinTa00,pass_sacked_yds,0,,,,,
player,201811180det,car,HeinTa00,pass_long,0,,,,,
player,201811180det,car,HeinTa00,pass_rating,39.6,,,,,
player,201811180det,car,HeinTa00,rush_att,0,,,,,
player,201811180det,car,HeinTa00,rush_yds,0,,,,,
player,201811180det,car,HeinTa00,rush_td,0,,,,,
player,201811180det,car,HeinTa00,rush_long,0,,,,,
player,201811180det,car,HeinTa00,targets,0,,,,,
player,201811180det,car,HeinTa00,rec,0,,,,,
player,201811180det,car,HeinTa00,rec_yds,0,,,,,
player,201811180det,car,HeinTa00,rec_td,0,,,,,
player,201811180det,car,HeinTa00,rec_long,0,,,,,
player,201811180det,car,HeinTa00,fumbles,0,,,,,
player,201811180det,car,HeinTa00,fumbles_lost,0,,,,,
player,201811180det,car,McCaCh01,pass_cmp,0,,,,,
player,201811180det,car,McCaCh01,pass_att,0,,,,,
player,201811180det,car,McCaCh01,pass_yds,0,,,,,
player,201811180det,car,McCaCh01,pass_td,0,,,,,
player,201811180det,car,McCaCh01,pass_int,0,,,,,
player,201811180det,car,McCaCh01,pass_sacked,0,,,,,
