game,2018,17,20181230,201812300oti,clt,"Indianapolis Colts",33,oti,"Tennessee Titans",17
player,201812300oti,clt,InmaDo00,pass_cmp,0,,,,,
player,201812300oti,clt,InmaDo00,pass_att,0,,,,,
player,201812300oti,clt,InmaDo00,pass_yds,0,,,,,
player,201812300oti,clt,InmaDo00,pass_td,0,,,,,
player,201812300oti,clt,InmaDo00,pass_int,0,,,,,
player,201812300oti,clt,InmaDo00,pass_sacked,0,,,,,
player,201812300oti,clt,InmaDo00,pass_sacked_yds,0,,,,,
player,201812300oti,clt,InmaDo00,pass_long,0,,,,,
player,201812300oti,clt,InmaDo00,pass_rating,,,,,,
player,201812300oti,clt,InmaDo00,rush_att,0,,,,,
player,201812300oti,clt,InmaDo00,rush_yds,0,,,,,
player,201812300oti,clt,InmaDo00,rush_td,0,,,,,
player,201812300oti,clt,InmaDo00,rush_long,0,,,,,
player,201812300oti,clt,InmaDo00,targets,6,,,,,
player,201812300oti,clt,InmaDo00,rec,5,,,,,
player,201812300oti,clt,InmaDo00,rec_yds,77,,,,,
player,201812300oti,clt,InmaDo00,rec_td,1,,,,,
player,201812300oti,clt,InmaDo00,rec_long,29,,,,,
player,201812300oti,clt,InmaDo00,fumbles,0,,,,,
player,201812300oti,clt,InmaDo00,fumbles_lost,0,,,,,
player,201812300oti,clt,HiltT.00,pass_cmp,0,,,,,
player,201812300oti,clt,HiltT.00,pass_att,0,,,,,
player,201812300oti,clt,HiltT.00,pass_yds,0,,,,,
player,201812300oti,clt,HiltT.00,pass_td,0,,,,,
player,201812300oti,clt,HiltT.00,pass_int,0,,,,,
player,201812300oti,clt,HiltT.00,pass_sacked,0,,,,,
player,201812300oti,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201812300oti,clt,HiltT.00,pass_long,0,,,,,
player,201812300oti,clt,HiltT.00,pass_rating,,,,,,
player,201812300oti,clt,HiltT.00,rush_att,0,,,,,
player,201812300oti,clt,HiltT.00,rush_yds,0,,,,,
player,201812300oti,clt,HiltT.00,rush_td,0,,,,,
player,201812300oti,clt,HiltT.00,rush_long,0,,,,,
player,201812300oti,clt,HiltT.00,targets,6,,,,,
player,201812300oti,clt,HiltT.00,rec,2,,,,,
player,201812300oti,clt,HiltT.00,rec_yds,61,,,,,
player,201812300oti,clt,HiltT.00,rec_td,0,,,,,
player,201812300oti,clt,HiltT.00,rec_long,43,,,,,
player,201812300oti,clt,HiltT.00,fumbles,0,,,,,
player,201812300oti,clt,HiltT.00,fumbles_lost,0,,,,,
player,201812300oti,clt,EbroEr00,pass_cmp,0,,,,,
player,201812300oti,clt,EbroEr00,pass_att,0,,,,,
player,201812300oti,clt,EbroEr00,pass_yds,0,,,,,
player,201812300oti,clt,EbroEr00,pass_td,0,,,,,
player,201812300oti,clt,EbroEr00,pass_int,0,,,,,
player,201812300oti,clt,EbroEr00,pass_sacked,0,,,,,
player,201812300oti,clt,EbroEr00,pass_sacked_yds,0,,,,,
player,201812300oti,clt,EbroEr00,pass_long,0,,,,,
player,201812300oti,clt,EbroEr00,pass_rating,,,,,,
player,201812300oti,clt,EbroEr00,rush_att,0,,,,,
player,201812300oti,clt,EbroEr00,rush_yds,0,,,,,
player,201812300oti,clt,EbroEr00,rush_td,0,,,,,
player,201812300oti,clt,EbroEr00,rush_long,0,,,,,
player,201812300oti,clt,EbroEr00,targets,6,,,,,
player,201812300oti,clt,EbroEr00,rec,4,,,,,
player,201812300oti,clt,EbroEr00,rec_yds,60,,,,,
player,201812300oti,clt,EbroEr00,rec_td,1,,,,,
player,201812300oti,clt,EbroEr00,rec_long,22,,,,,
player,201812300oti,clt,EbroEr00,fumbles,0,,,,,
player,201812300oti,clt,EbroEr00,fumbles_lost,0,,,,,
player,201812300oti,clt,RogeCh02,pass_cmp,0,,,,,
player,201812300oti,clt,RogeCh02,pass_att,0,,,,,
