game,2018,6,20181014,201810140nwe,kan,"Kansas City Chiefs",40,nwe,"New England Patriots",43
team,201810140nwe,kan,First Downs,18,,,,,,
team,201810140nwe,nwe,First Downs,31,,,,,,
team,201810140nwe,kan,Rush-Yds-TDs,17-94-0,,,,,,
team,201810140nwe,nwe,Rush-Yds-TDs,38-173-3,,,,,,
team,201810140nwe,kan,Cmp-Att-Yd-TD-INT,23-36-352-4-2,,,,,,
team,201810140nwe,nwe,Cmp-Att-Yd-TD-INT,24-35-340-1-0,,,,,,
team,201810140nwe,kan,Sacked-Yards,0-0,,,,,,
team,201810140nwe,nwe,Sacked-Yards,2-13,,,,,,
team,201810140nwe,kan,Net Pass Yards,352,,,,,,
team,201810140nwe,nwe,Net Pass Yards,327,,,,,,
team,201810140nwe,kan,Total Yards,446,,,,,,
team,201810140nwe,nwe,Total Yards,500,,,,,,
team,201810140nwe,kan,Fumbles-Lost,0-0,,,,,,
team,201810140nwe,nwe,Fumbles-Lost,2-1,,,,,,
team,201810140nwe,kan,Turnovers,2,,,,,,
team,201810140nwe,nwe,Turnovers,1,,,,,,
team,201810140nwe,kan,Penalties-Yards,5-58,,,,,,
team,201810140nwe,nwe,Penalties-Yards,0-0,,,,,,
team,201810140nwe,kan,Third Down Conv.,4-10,,,,,,
team,201810140nwe,nwe,Third Down Conv.,7-13,,,,,,
team,201810140nwe,kan,Fourth Down Conv.,1-1,,,,,,
team,201810140nwe,nwe,Fourth Down Conv.,0-1,,,,,,
team,201810140nwe,kan,Time of Possession,23:51,,,,,,
team,201810140nwe,nwe,Time of Possession,36:09,,,,,,
player,201810140nwe,kan,MahoPa00,pass_cmp,23,,,,,
player,201810140nwe,kan,MahoPa00,pass_att,36,,,,,
player,201810140nwe,kan,MahoPa00,pass_yds,352,,,,,
player,201810140nwe,kan,MahoPa00,pass_td,4,,,,,
player,201810140nwe,kan,MahoPa00,pass_int,2,,,,,
player,201810140nwe,kan,MahoPa00,pass_sacked,0,,,,,
player,201810140nwe,kan,MahoPa00,pass_sacked_yds,0,,,,,
player,201810140nwe,kan,MahoPa00,pass_long,75,,,,,
