game,2018,10,20181111,201811110phi,dal,"Dallas Cowboys",27,phi,"Philadelphia Eagles",20
team,201811110phi,dal,First Downs,23,,,,,,
team,201811110phi,phi,First Downs,23,,,,,,
team,201811110phi,dal,Rush-Yds-TDs,28-171-2,,,,,,
team,201811110phi,phi,Rush-Yds-TDs,16-71-0,,,,,,
team,201811110phi,dal,Cmp-Att-Yd-TD-INT,26-36-270-1-0,,,,,,
team,201811110phi,phi,Cmp-Att-Yd-TD-INT,32-44-360-2-1,,,,,,
team,201811110phi,dal,Sacked-Yards,4-31,,,,,,
team,201811110phi,phi,Sacked-Yards,2-10,,,,,,
team,201811110phi,dal,Net Pass Yards,239,,,,,,
team,201811110phi,phi,Net Pass Yards,350,,,,,,
team,201811110phi,dal,Total Yards,410,,,,,,
team,201811110phi,phi,Total Yards,421,,,,,,
team,201811110phi,dal,Fumbles-Lost,2-0,,,,,,
team,201811110phi,phi,Fumbles-Lost,0-0,,,,,,
team,201811110phi,dal,Turnovers,0,,,,,,
team,201811110phi,phi,Turnovers,1,,,,,,
team,201811110phi,dal,Penalties-Yards,5-37,,,,,,
team,201811110phi,phi,Penalties-Yards,0-0,,,,,,
team,201811110phi,dal,Third Down Conv.,8-16,,,,,,
team,201811110phi,phi,Third Down Conv.,4-10,,,,,,
team,201811110phi,dal,Fourth Down Conv.,1-1,,,,,,
team,201811110phi,phi,Fourth Down Conv.,0-2,,,,,,
team,201811110phi,dal,Time of Possession,33:22,,,,,,
team,201811110phi,phi,Time of Possession,26:38,,,,,,
player,201811110phi,dal,PresDa01,pass_cmp,26,,,,,
player,201811110phi,dal,PresDa01,pass_att,36,,,,,
player,201811110phi,dal,PresDa01,pass_yds,270,,,,,
player,201811110phi,dal,PresDa01,pass_td,1,,,,,
player,201811110phi,dal,PresDa01,pass_int,0,,,,,
player,201811110phi,dal,PresDa01,pass_sacked,4,,,,,
player,201811110phi,dal,PresDa01,pass_sacked_yds,31,,,,,
player,201811110phi,dal,PresDa01,pass_long,25,,,,,
player,201811110phi,dal,PresDa01,pass_rating,102.8,,,,,
player,201811110phi,dal,PresDa01,rush_att,6,,,,,
player,201811110phi,dal,PresDa01,rush_yds,9,,,,,
player,201811110phi,dal,PresDa01,rush_td,1,,,,,
player,201811110phi,dal,PresDa01,rush_long,4,,,,,
player,201811110phi,dal,PresDa01,targets,0,,,,,
player,201811110phi,dal,PresDa01,rec,0,,,,,
player,201811110phi,dal,PresDa01,rec_yds,0,,,,,
player,201811110phi,dal,PresDa01,rec_td,0,,,,,
player,201811110phi,dal,PresDa01,rec_long,0,,,,,
player,201811110phi,dal,PresDa01,fumbles,1,,,,,
player,201811110phi,dal,PresDa01,fumbles_lost,0,,,,,
player,201811110phi,dal,ElliEz00,pass_cmp,0,,,,,
player,201811110phi,dal,ElliEz00,pass_att,0,,,,,
player,201811110phi,dal,ElliEz00,pass_yds,0,,,,,
player,201811110phi,dal,ElliEz00,pass_td,0,,,,,
player,201811110phi,dal,ElliEz00,pass_int,0,,,,,
player,201811110phi,dal,ElliEz00,pass_sacked,0,,,,,
player,201811110phi,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201811110phi,dal,ElliEz00,pass_long,0,,,,,
player,201811110phi,dal,ElliEz00,pass_rating,,,,,,
player,201811110phi,dal,ElliEz00,rush_att,19,,,,,
player,201811110phi,dal,ElliEz00,rush_yds,151,,,,,
player,201811110phi,dal,ElliEz00,rush_td,1,,,,,
player,201811110phi,dal,ElliEz00,rush_long,35,,,,,
