game,2018,4,20180930,201809300sdg,sfo,"San Francisco 49ers",27,sdg,"Los Angeles Chargers",29
team,201809300sdg,sfo,First Downs,22,,,,,,
team,201809300sdg,sdg,First Downs,21,,,,,,
team,201809300sdg,sfo,Rush-Yds-TDs,21-76-0,,,,,,
team,201809300sdg,sdg,Rush-Yds-TDs,27-126-0,,,,,,
team,201809300sdg,sfo,Cmp-Att-Yd-TD-INT,23-37-298-2-2,,,,,,
team,201809300sdg,sdg,Cmp-Att-Yd-TD-INT,25-39-250-3-1,,,,,,
team,201809300sdg,sfo,Sacked-Yards,1-10,,,,,,
team,201809300sdg,sdg,Sacked-Yards,1-8,,,,,,
team,201809300sdg,sfo,Net Pass Yards,288,,,,,,
team,201809300sdg,sdg,Net Pass Yards,242,,,,,,
team,201809300sdg,sfo,Total Yards,364,,,,,,
team,201809300sdg,sdg,Total Yards,368,,,,,,
team,201809300sdg,sfo,Fumbles-Lost,2-0,,,,,,
team,201809300sdg,sdg,Fumbles-Lost,1-0,,,,,,
team,201809300sdg,sfo,Turnovers,2,,,,,,
team,201809300sdg,sdg,Turnovers,1,,,,,,
team,201809300sdg,sfo,Penalties-Yards,4-29,,,,,,
team,201809300sdg,sdg,Penalties-Yards,5-49,,,,,,
team,201809300sdg,sfo,Third Down Conv.,5-12,,,,,,
team,201809300sdg,sdg,Third Down Conv.,4-14,,,,,,
team,201809300sdg,sfo,Fourth Down Conv.,0-0,,,,,,
team,201809300sdg,sdg,Fourth Down Conv.,1-1,,,,,,
team,201809300sdg,sfo,Time of Possession,27:34,,,,,,
team,201809300sdg,sdg,Time of Possession,32:26,,,,,,
player,201809300sdg,sfo,BeatC.00,pass_cmp,23,,,,,
player,201809300sdg,sfo,BeatC.00,pass_att,37,,,,,
player,201809300sdg,sfo,BeatC.00,pass_yds,298,,,,,
player,201809300sdg,sfo,BeatC.00,pass_td,2,,,,,
player,201809300sdg,sfo,BeatC.00,pass_int,2,,,,,
player,201809300sdg,sfo,BeatC.00,pass_sacked,1,,,,,
player,201809300sdg,sfo,BeatC.00,pass_sacked_yds,10,,,,,
player,201809300sdg,sfo,BeatC.00,pass_long,82,,,,,
player,201809300sdg,sfo,BeatC.00,pass_rating,82.9,,,,,
player,201809300sdg,sfo,BeatC.00,rush_att,7,,,,,
player,201809300sdg,sfo,BeatC.00,rush_yds,19,,,,,
player,201809300sdg,sfo,BeatC.00,rush_td,0,,,,,
player,201809300sdg,sfo,BeatC.00,rush_long,9,,,,,
player,201809300sdg,sfo,BeatC.00,targets,0,,,,,
player,201809300sdg,sfo,BeatC.00,rec,0,,,,,
player,201809300sdg,sfo,BeatC.00,rec_yds,0,,,,,
player,201809300sdg,sfo,BeatC.00,rec_td,0,,,,,
player,201809300sdg,sfo,BeatC.00,rec_long,0,,,,,
player,201809300sdg,sfo,BeatC.00,fumbles,1,,,,,
player,201809300sdg,sfo,BeatC.00,fumbles_lost,0,,,,,
player,201809300sdg,sfo,BreiMa00,pass_cmp,0,,,,,
player,201809300sdg,sfo,BreiMa00,pass_att,0,,,,,
player,201809300sdg,sfo,BreiMa00,pass_yds,0,,,,,
player,201809300sdg,sfo,BreiMa00,pass_td,0,,,,,
player,201809300sdg,sfo,BreiMa00,pass_int,0,,,,,
player,201809300sdg,sfo,BreiMa00,pass_sacked,0,,,,,
player,201809300sdg,sfo,BreiMa00,pass_sacked_yds,0,,,,,
player,201809300sdg,sfo,BreiMa00,pass_long,0,,,,,
player,201809300sdg,sfo,BreiMa00,pass_rating,,,,,,
player,201809300sdg,sfo,BreiMa00,rush_att,9,,,,,
player,201809300sdg,sfo,BreiMa00,rush_yds,39,,,,,
player,201809300sdg,sfo,BreiMa00,rush_td,0,,,,,
player,201809300sdg,sfo,BreiMa00,rush_long,12,,,,,
player,201809300sdg,sfo,BreiMa00,targets,3,,,,,
player,201809300sdg,sfo,BreiMa00,rec,3,,,,,
player,201809300sdg,sfo,BreiMa00,rec_yds,32,,,,,
player,201809300sdg,sfo,BreiMa00,rec_td,0,,,,,
player,201809300sdg,sfo,BreiMa00,rec_long,20,,,,,
player,201809300sdg,sfo,BreiMa00,fumbles,0,,,,,
player,201809300sdg,sfo,BreiMa00,fumbles_lost,0,,,,,
player,201809300sdg,sfo,MorrAl00,pass_cmp,0,,,,,
player,201809300sdg,sfo,MorrAl00,pass_att,0,,,,,
player,201809300sdg,sfo,MorrAl00,pass_yds,0,,,,,
player,201809300sdg,sfo,MorrAl00,pass_td,0,,,,,
player,201809300sdg,sfo,MorrAl00,pass_int,0,,,,,
player,201809300sdg,sfo,MorrAl00,pass_sacked,0,,,,,
player,201809300sdg,sfo,MorrAl00,pass_sacked_yds,0,,,,,
player,201809300sdg,sfo,MorrAl00,pass_long,0,,,,,
player,201809300sdg,sfo,MorrAl00,pass_rating,,,,,,
player,201809300sdg,sfo,MorrAl00,rush_att,4,,,,,
player,201809300sdg,sfo,MorrAl00,rush_yds,14,,,,,
player,201809300sdg,sfo,MorrAl00,rush_td,0,,,,,
player,201809300sdg,sfo,MorrAl00,rush_long,8,,,,,
player,201809300sdg,sfo,MorrAl00,targets,3,,,,,
player,201809300sdg,sfo,MorrAl00,rec,1,,,,,
player,201809300sdg,sfo,MorrAl00,rec_yds,4,,,,,
player,201809300sdg,sfo,MorrAl00,rec_td,0,,,,,
player,201809300sdg,sfo,MorrAl00,rec_long,4,,,,,
player,201809300sdg,sfo,MorrAl00,fumbles,0,,,,,
player,201809300sdg,sfo,MorrAl00,fumbles_lost,0,,,,,
player,201809300sdg,sfo,GoodMa00,pass_cmp,0,,,,,
player,201809300sdg,sfo,GoodMa00,pass_att,0,,,,,
player,201809300sdg,sfo,GoodMa00,pass_yds,0,,,,,
player,201809300sdg,sfo,GoodMa00,pass_td,0,,,,,
player,201809300sdg,sfo,GoodMa00,pass_int,0,,,,,
player,201809300sdg,sfo,GoodMa00,pass_sacked,0,,,,,
player,201809300sdg,sfo,GoodMa00,pass_sacked_yds,0,,,,,
player,201809300sdg,sfo,GoodMa00,pass_long,0,,,,,
player,201809300sdg,sfo,GoodMa00,pass_rating,,,,,,
player,201809300sdg,sfo,GoodMa00,rush_att,1,,,,,
player,201809300sdg,sfo,GoodMa00,rush_yds,4,,,,,
player,201809300sdg,sfo,GoodMa00,rush_td,0,,,,,
player,201809300sdg,sfo,GoodMa00,rush_long,4,,,,,
