game,2018,13,20181202,201812020gnb,crd,"Arizona Cardinals",20,gnb,"Green Bay Packers",17
team,201812020gnb,crd,First Downs,18,,,,,,
team,201812020gnb,gnb,First Downs,22,,,,,,
team,201812020gnb,crd,Rush-Yds-TDs,29-182-2,,,,,,
team,201812020gnb,gnb,Rush-Yds-TDs,23-98-1,,,,,,
team,201812020gnb,crd,Cmp-Att-Yd-TD-INT,11-26-149-0-0,,,,,,
team,201812020gnb,gnb,Cmp-Att-Yd-TD-INT,31-50-233-1-0,,,,,,
team,201812020gnb,crd,Sacked-Yards,2-16,,,,,,
team,201812020gnb,gnb,Sacked-Yards,1-6,,,,,,
team,201812020gnb,crd,Net Pass Yards,133,,,,,,
team,201812020gnb,gnb,Net Pass Yards,227,,,,,,
team,201812020gnb,crd,Total Yards,315,,,,,,
team,201812020gnb,gnb,Total Yards,325,,,,,,
team,201812020gnb,crd,Fumbles-Lost,3-0,,,,,,
team,201812020gnb,gnb,Fumbles-Lost,0-0,,,,,,
team,201812020gnb,crd,Turnovers,0,,,,,,
team,201812020gnb,gnb,Turnovers,0,,,,,,
team,201812020gnb,crd,Penalties-Yards,7-49,,,,,,
team,201812020gnb,gnb,Penalties-Yards,7-43,,,,,,
team,201812020gnb,crd,Third Down Conv.,5-13,,,,,,
team,201812020gnb,gnb,Third Down Conv.,3-14,,,,,,
team,201812020gnb,crd,Fourth Down Conv.,0-0,,,,,,
team,201812020gnb,gnb,Fourth Down Conv.,2-2,,,,,,
team,201812020gnb,crd,Time of Possession,27:34,,,,,,
team,201812020gnb,gnb,Time of Possession,32:26,,,,,,
player,201812020gnb,crd,RoseJo01,pass_cmp,11,,,,,
player,201812020gnb,crd,RoseJo01,pass_att,26,,,,,
player,201812020gnb,crd,RoseJo01,pass_yds,149,,,,,
player,201812020gnb,crd,RoseJo01,pass_td,0,,,,,
player,201812020gnb,crd,RoseJo01,pass_int,0,,,,,
player,201812020gnb,crd,RoseJo01,pass_sacked,2,,,,,
player,201812020gnb,crd,RoseJo01,pass_sacked_yds,16,,,,,
player,201812020gnb,crd,RoseJo01,pass_long,37,,,,,
player,201812020gnb,crd,RoseJo01,pass_rating,61.2,,,,,
player,201812020gnb,crd,RoseJo01,rush_att,2,,,,,
player,201812020gnb,crd,RoseJo01,rush_yds,32,,,,,
player,201812020gnb,crd,RoseJo01,rush_td,0,,,,,
player,201812020gnb,crd,RoseJo01,rush_long,33,,,,,
player,201812020gnb,crd,RoseJo01,targets,0,,,,,
player,201812020gnb,crd,RoseJo01,rec,0,,,,,
player,201812020gnb,crd,RoseJo01,rec_yds,0,,,,,
player,201812020gnb,crd,RoseJo01,rec_td,0,,,,,
player,201812020gnb,crd,RoseJo01,rec_long,0,,,,,
player,201812020gnb,crd,RoseJo01,fumbles,1,,,,,
player,201812020gnb,crd,RoseJo01,fumbles_lost,0,,,,,
player,201812020gnb,crd,JohnDa08,pass_cmp,0,,,,,
player,201812020gnb,crd,JohnDa08,pass_att,0,,,,,
player,201812020gnb,crd,JohnDa08,pass_yds,0,,,,,
player,201812020gnb,crd,JohnDa08,pass_td,0,,,,,
player,201812020gnb,crd,JohnDa08,pass_int,0,,,,,
player,201812020gnb,crd,JohnDa08,pass_sacked,0,,,,,
player,201812020gnb,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201812020gnb,crd,JohnDa08,pass_long,0,,,,,
player,201812020gnb,crd,JohnDa08,pass_rating,,,,,,
player,201812020gnb,crd,JohnDa08,rush_att,20,,,,,
player,201812020gnb,crd,JohnDa08,rush_yds,69,,,,,
player,201812020gnb,crd,JohnDa08,rush_td,0,,,,,
player,201812020gnb,crd,JohnDa08,rush_long,13,,,,,
player,201812020gnb,crd,JohnDa08,targets,2,,,,,
player,201812020gnb,crd,JohnDa08,rec,1,,,,,
player,201812020gnb,crd,JohnDa08,rec_yds,3,,,,,
player,201812020gnb,crd,JohnDa08,rec_td,0,,,,,
player,201812020gnb,crd,JohnDa08,rec_long,3,,,,,
player,201812020gnb,crd,JohnDa08,fumbles,0,,,,,
player,201812020gnb,crd,JohnDa08,fumbles_lost,0,,,,,
player,201812020gnb,crd,EdmoCh00,pass_cmp,0,,,,,
player,201812020gnb,crd,EdmoCh00,pass_att,0,,,,,
player,201812020gnb,crd,EdmoCh00,pass_yds,0,,,,,
player,201812020gnb,crd,EdmoCh00,pass_td,0,,,,,
player,201812020gnb,crd,EdmoCh00,pass_int,0,,,,,
player,201812020gnb,crd,EdmoCh00,pass_sacked,0,,,,,
player,201812020gnb,crd,EdmoCh00,pass_sacked_yds,0,,,,,
player,201812020gnb,crd,EdmoCh00,pass_long,0,,,,,
player,201812020gnb,crd,EdmoCh00,pass_rating,,,,,,
player,201812020gnb,crd,EdmoCh00,rush_att,5,,,,,
player,201812020gnb,crd,EdmoCh00,rush_yds,53,,,,,
player,201812020gnb,crd,EdmoCh00,rush_td,2,,,,,
player,201812020gnb,crd,EdmoCh00,rush_long,29,,,,,
player,201812020gnb,crd,EdmoCh00,targets,2,,,,,
player,201812020gnb,crd,EdmoCh00,rec,2,,,,,
player,201812020gnb,crd,EdmoCh00,rec_yds,13,,,,,
player,201812020gnb,crd,EdmoCh00,rec_td,0,,,,,
player,201812020gnb,crd,EdmoCh00,rec_long,8,,,,,
player,201812020gnb,crd,EdmoCh00,fumbles,0,,,,,
player,201812020gnb,crd,EdmoCh00,fumbles_lost,0,,,,,
player,201812020gnb,crd,KirkCh01,pass_cmp,0,,,,,
player,201812020gnb,crd,KirkCh01,pass_att,0,,,,,
player,201812020gnb,crd,KirkCh01,pass_yds,0,,,,,
player,201812020gnb,crd,KirkCh01,pass_td,0,,,,,
player,201812020gnb,crd,KirkCh01,pass_int,0,,,,,
player,201812020gnb,crd,KirkCh01,pass_sacked,0,,,,,
player,201812020gnb,crd,KirkCh01,pass_sacked_yds,0,,,,,
player,201812020gnb,crd,KirkCh01,pass_long,0,,,,,
player,201812020gnb,crd,KirkCh01,pass_rating,,,,,,
player,201812020gnb,crd,KirkCh01,rush_att,1,,,,,
player,201812020gnb,crd,KirkCh01,rush_yds,23,,,,,
player,201812020gnb,crd,KirkCh01,rush_td,0,,,,,
player,201812020gnb,crd,KirkCh01,rush_long,23,,,,,
