game,2018,15,20181216,201812160clt,dal,"Dallas Cowboys",0,clt,"Indianapolis Colts",23
team,201812160clt,dal,First Downs,19,,,,,,
team,201812160clt,clt,First Downs,25,,,,,,
team,201812160clt,dal,Rush-Yds-TDs,22-112-0,,,,,,
team,201812160clt,clt,Rush-Yds-TDs,39-178-2,,,,,,
team,201812160clt,dal,Cmp-Att-Yd-TD-INT,24-39-206-0-1,,,,,,
team,201812160clt,clt,Cmp-Att-Yd-TD-INT,16-27-192-0-0,,,,,,
team,201812160clt,dal,Sacked-Yards,3-26,,,,,,
team,201812160clt,clt,Sacked-Yards,0-0,,,,,,
team,201812160clt,dal,Net Pass Yards,180,,,,,,
team,201812160clt,clt,Net Pass Yards,192,,,,,,
team,201812160clt,dal,Total Yards,292,,,,,,
team,201812160clt,clt,Total Yards,370,,,,,,
team,201812160clt,dal,Fumbles-Lost,1-0,,,,,,
team,201812160clt,clt,Fumbles-Lost,2-1,,,,,,
team,201812160clt,dal,Turnovers,1,,,,,,
team,201812160clt,clt,Turnovers,1,,,,,,
team,201812160clt,dal,Penalties-Yards,9-74,,,,,,
team,201812160clt,clt,Penalties-Yards,6-55,,,,,,
team,201812160clt,dal,Third Down Conv.,4-12,,,,,,
team,201812160clt,clt,Third Down Conv.,8-12,,,,,,
team,201812160clt,dal,Fourth Down Conv.,1-5,,,,,,
team,201812160clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201812160clt,dal,Time of Possession,28:12,,,,,,
team,201812160clt,clt,Time of Possession,31:48,,,,,,
player,201812160clt,dal,PresDa01,pass_cmp,24,,,,,
player,201812160clt,dal,PresDa01,pass_att,39,,,,,
player,201812160clt,dal,PresDa01,pass_yds,206,,,,,
player,201812160clt,dal,PresDa01,pass_td,0,,,,,
player,201812160clt,dal,PresDa01,pass_int,1,,,,,
player,201812160clt,dal,PresDa01,pass_sacked,3,,,,,
player,201812160clt,dal,PresDa01,pass_sacked_yds,26,,,,,
player,201812160clt,dal,PresDa01,pass_long,18,,,,,
player,201812160clt,dal,PresDa01,pass_rating,64.7,,,,,
player,201812160clt,dal,PresDa01,rush_att,0,,,,,
player,201812160clt,dal,PresDa01,rush_yds,0,,,,,
player,201812160clt,dal,PresDa01,rush_td,0,,,,,
player,201812160clt,dal,PresDa01,rush_long,0,,,,,
player,201812160clt,dal,PresDa01,targets,0,,,,,
player,201812160clt,dal,PresDa01,rec,0,,,,,
player,201812160clt,dal,PresDa01,rec_yds,0,,,,,
player,201812160clt,dal,PresDa01,rec_td,0,,,,,
player,201812160clt,dal,PresDa01,rec_long,0,,,,,
player,201812160clt,dal,PresDa01,fumbles,0,,,,,
player,201812160clt,dal,PresDa01,fumbles_lost,0,,,,,
player,201812160clt,dal,ElliEz00,pass_cmp,0,,,,,
player,201812160clt,dal,ElliEz00,pass_att,0,,,,,
player,201812160clt,dal,ElliEz00,pass_yds,0,,,,,
player,201812160clt,dal,ElliEz00,pass_td,0,,,,,
player,201812160clt,dal,ElliEz00,pass_int,0,,,,,
player,201812160clt,dal,ElliEz00,pass_sacked,0,,,,,
player,201812160clt,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201812160clt,dal,ElliEz00,pass_long,0,,,,,
player,201812160clt,dal,ElliEz00,pass_rating,,,,,,
player,201812160clt,dal,ElliEz00,rush_att,18,,,,,
player,201812160clt,dal,ElliEz00,rush_yds,87,,,,,
player,201812160clt,dal,ElliEz00,rush_td,0,,,,,
player,201812160clt,dal,ElliEz00,rush_long,24,,,,,
player,201812160clt,dal,ElliEz00,targets,8,,,,,
player,201812160clt,dal,ElliEz00,rec,7,,,,,
player,201812160clt,dal,ElliEz00,rec_yds,41,,,,,
player,201812160clt,dal,ElliEz00,rec_td,0,,,,,
player,201812160clt,dal,ElliEz00,rec_long,10,,,,,
player,201812160clt,dal,ElliEz00,fumbles,1,,,,,
player,201812160clt,dal,ElliEz00,fumbles_lost,0,,,,,
player,201812160clt,dal,SmitRo06,pass_cmp,0,,,,,
player,201812160clt,dal,SmitRo06,pass_att,0,,,,,
player,201812160clt,dal,SmitRo06,pass_yds,0,,,,,
player,201812160clt,dal,SmitRo06,pass_td,0,,,,,
player,201812160clt,dal,SmitRo06,pass_int,0,,,,,
player,201812160clt,dal,SmitRo06,pass_sacked,0,,,,,
player,201812160clt,dal,SmitRo06,pass_sacked_yds,0,,,,,
player,201812160clt,dal,SmitRo06,pass_long,0,,,,,
player,201812160clt,dal,SmitRo06,pass_rating,,,,,,
player,201812160clt,dal,SmitRo06,rush_att,3,,,,,
player,201812160clt,dal,SmitRo06,rush_yds,14,,,,,
player,201812160clt,dal,SmitRo06,rush_td,0,,,,,
player,201812160clt,dal,SmitRo06,rush_long,10,,,,,
player,201812160clt,dal,SmitRo06,targets,0,,,,,
player,201812160clt,dal,SmitRo06,rec,0,,,,,
player,201812160clt,dal,SmitRo06,rec_yds,0,,,,,
player,201812160clt,dal,SmitRo06,rec_td,0,,,,,
player,201812160clt,dal,SmitRo06,rec_long,0,,,,,
player,201812160clt,dal,SmitRo06,fumbles,0,,,,,
player,201812160clt,dal,SmitRo06,fumbles_lost,0,,,,,
player,201812160clt,dal,CoopAm00,pass_cmp,0,,,,,
player,201812160clt,dal,CoopAm00,pass_att,0,,,,,
player,201812160clt,dal,CoopAm00,pass_yds,0,,,,,
player,201812160clt,dal,CoopAm00,pass_td,0,,,,,
player,201812160clt,dal,CoopAm00,pass_int,0,,,,,
player,201812160clt,dal,CoopAm00,pass_sacked,0,,,,,
player,201812160clt,dal,CoopAm00,pass_sacked_yds,0,,,,,
player,201812160clt,dal,CoopAm00,pass_long,0,,,,,
player,201812160clt,dal,CoopAm00,pass_rating,,,,,,
player,201812160clt,dal,CoopAm00,rush_att,1,,,,,
player,201812160clt,dal,CoopAm00,rush_yds,11,,,,,
player,201812160clt,dal,CoopAm00,rush_td,0,,,,,
player,201812160clt,dal,CoopAm00,rush_long,11,,,,,
player,201812160clt,dal,CoopAm00,targets,7,,,,,
player,201812160clt,dal,CoopAm00,rec,4,,,,,
player,201812160clt,dal,CoopAm00,rec_yds,32,,,,,
player,201812160clt,dal,CoopAm00,rec_td,0,,,,,
player,201812160clt,dal,CoopAm00,rec_long,11,,,,,
player,201812160clt,dal,CoopAm00,fumbles,0,,,,,
player,201812160clt,dal,CoopAm00,fumbles_lost,0,,,,,
player,201812160clt,dal,JarwBl00,pass_cmp,0,,,,,
player,201812160clt,dal,JarwBl00,pass_att,0,,,,,
player,201812160clt,dal,JarwBl00,pass_yds,0,,,,,
player,201812160clt,dal,JarwBl00,pass_td,0,,,,,
player,201812160clt,dal,JarwBl00,pass_int,0,,,,,
player,201812160clt,dal,JarwBl00,pass_sacked,0,,,,,
player,201812160clt,dal,JarwBl00,pass_sacked_yds,0,,,,,
player,201812160clt,dal,JarwBl00,pass_long,0,,,,,
player,201812160clt,dal,JarwBl00,pass_rating,,,,,,
player,201812160clt,dal,JarwBl00,rush_att,0,,,,,
player,201812160clt,dal,JarwBl00,rush_yds,0,,,,,
player,201812160clt,dal,JarwBl00,rush_td,0,,,,,
player,201812160clt,dal,JarwBl00,rush_long,0,,,,,
player,201812160clt,dal,JarwBl00,targets,7,,,,,
player,201812160clt,dal,JarwBl00,rec,4,,,,,
player,201812160clt,dal,JarwBl00,rec_yds,45,,,,,
player,201812160clt,dal,JarwBl00,rec_td,0,,,,,
player,201812160clt,dal,JarwBl00,rec_long,18,,,,,
player,201812160clt,dal,JarwBl00,fumbles,0,,,,,
player,201812160clt,dal,JarwBl00,fumbles_lost,0,,,,,
player,201812160clt,dal,BeasCo00,pass_cmp,0,,,,,
player,201812160clt,dal,BeasCo00,pass_att,0,,,,,
player,201812160clt,dal,BeasCo00,pass_yds,0,,,,,
player,201812160clt,dal,BeasCo00,pass_td,0,,,,,
player,201812160clt,dal,BeasCo00,pass_int,0,,,,,
player,201812160clt,dal,BeasCo00,pass_sacked,0,,,,,
player,201812160clt,dal,BeasCo00,pass_sacked_yds,0,,,,,
player,201812160clt,dal,BeasCo00,pass_long,0,,,,,
player,201812160clt,dal,BeasCo00,pass_rating,,,,,,
player,201812160clt,dal,BeasCo00,rush_att,0,,,,,
player,201812160clt,dal,BeasCo00,rush_yds,0,,,,,
player,201812160clt,dal,BeasCo00,rush_td,0,,,,,
player,201812160clt,dal,BeasCo00,rush_long,0,,,,,
player,201812160clt,dal,BeasCo00,targets,7,,,,,
player,201812160clt,dal,BeasCo00,rec,4,,,,,
player,201812160clt,dal,BeasCo00,rec_yds,42,,,,,
player,201812160clt,dal,BeasCo00,rec_td,0,,,,,
player,201812160clt,dal,BeasCo00,rec_long,14,,,,,
player,201812160clt,dal,BeasCo00,fumbles,0,,,,,
