game,2018,13,20181202,201812020det,ram,"Los Angeles Rams",30,det,"Detroit Lions",16
team,201812020det,ram,First Downs,24,,,,,,
team,201812020det,det,First Downs,23,,,,,,
team,201812020det,ram,Rush-Yds-TDs,29-149-2,,,,,,
team,201812020det,det,Rush-Yds-TDs,26-102-0,,,,,,
team,201812020det,ram,Cmp-Att-Yd-TD-INT,17-33-207-1-1,,,,,,
team,201812020det,det,Cmp-Att-Yd-TD-INT,20-34-245-1-1,,,,,,
team,201812020det,ram,Sacked-Yards,2-12,,,,,,
team,201812020det,det,Sacked-Yards,4-37,,,,,,
team,201812020det,ram,Net Pass Yards,195,,,,,,
team,201812020det,det,Net Pass Yards,208,,,,,,
team,201812020det,ram,Total Yards,344,,,,,,
team,201812020det,det,Total Yards,310,,,,,,
team,201812020det,ram,Fumbles-Lost,1-1,,,,,,
team,201812020det,det,Fumbles-Lost,1-1,,,,,,
team,201812020det,ram,Turnovers,2,,,,,,
team,201812020det,det,Turnovers,2,,,,,,
team,201812020det,ram,Penalties-Yards,7-105,,,,,,
team,201812020det,det,Penalties-Yards,8-54,,,,,,
team,201812020det,ram,Third Down Conv.,5-11,,,,,,
team,201812020det,det,Third Down Conv.,2-12,,,,,,
team,201812020det,ram,Fourth Down Conv.,0-0,,,,,,
team,201812020det,det,Fourth Down Conv.,0-0,,,,,,
team,201812020det,ram,Time of Possession,28:16,,,,,,
team,201812020det,det,Time of Possession,31:44,,,,,,
player,201812020det,ram,GoffJa00,pass_cmp,17,,,,,
player,201812020det,ram,GoffJa00,pass_att,33,,,,,
player,201812020det,ram,GoffJa00,pass_yds,207,,,,,
player,201812020det,ram,GoffJa00,pass_td,1,,,,,
player,201812020det,ram,GoffJa00,pass_int,1,,,,,
player,201812020det,ram,GoffJa00,pass_sacked,2,,,,,
player,201812020det,ram,GoffJa00,pass_sacked_yds,12,,,,,
player,201812020det,ram,GoffJa00,pass_long,26,,,,,
player,201812020det,ram,GoffJa00,pass_rating,68.6,,,,,
player,201812020det,ram,GoffJa00,rush_att,2,,,,,
player,201812020det,ram,GoffJa00,rush_yds,-2,,,,,
player,201812020det,ram,GoffJa00,rush_td,0,,,,,
player,201812020det,ram,GoffJa00,rush_long,-1,,,,,
player,201812020det,ram,GoffJa00,targets,0,,,,,
player,201812020det,ram,GoffJa00,rec,0,,,,,
player,201812020det,ram,GoffJa00,rec_yds,0,,,,,
player,201812020det,ram,GoffJa00,rec_td,0,,,,,
player,201812020det,ram,GoffJa00,rec_long,0,,,,,
player,201812020det,ram,GoffJa00,fumbles,1,,,,,
player,201812020det,ram,GoffJa00,fumbles_lost,1,,,,,
player,201812020det,ram,GurlTo01,pass_cmp,0,,,,,
player,201812020det,ram,GurlTo01,pass_att,0,,,,,
player,201812020det,ram,GurlTo01,pass_yds,0,,,,,
player,201812020det,ram,GurlTo01,pass_td,0,,,,,
player,201812020det,ram,GurlTo01,pass_int,0,,,,,
player,201812020det,ram,GurlTo01,pass_sacked,0,,,,,
player,201812020det,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201812020det,ram,GurlTo01,pass_long,0,,,,,
player,201812020det,ram,GurlTo01,pass_rating,,,,,,
player,201812020det,ram,GurlTo01,rush_att,23,,,,,
player,201812020det,ram,GurlTo01,rush_yds,132,,,,,
player,201812020det,ram,GurlTo01,rush_td,2,,,,,
player,201812020det,ram,GurlTo01,rush_long,36,,,,,
player,201812020det,ram,GurlTo01,targets,5,,,,,
player,201812020det,ram,GurlTo01,rec,3,,,,,
player,201812020det,ram,GurlTo01,rec_yds,33,,,,,
player,201812020det,ram,GurlTo01,rec_td,0,,,,,
player,201812020det,ram,GurlTo01,rec_long,19,,,,,
player,201812020det,ram,GurlTo01,fumbles,0,,,,,
player,201812020det,ram,GurlTo01,fumbles_lost,0,,,,,
player,201812020det,ram,WoodRo02,pass_cmp,0,,,,,
player,201812020det,ram,WoodRo02,pass_att,0,,,,,
player,201812020det,ram,WoodRo02,pass_yds,0,,,,,
player,201812020det,ram,WoodRo02,pass_td,0,,,,,
player,201812020det,ram,WoodRo02,pass_int,0,,,,,
player,201812020det,ram,WoodRo02,pass_sacked,0,,,,,
player,201812020det,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201812020det,ram,WoodRo02,pass_long,0,,,,,
player,201812020det,ram,WoodRo02,pass_rating,,,,,,
player,201812020det,ram,WoodRo02,rush_att,2,,,,,
player,201812020det,ram,WoodRo02,rush_yds,11,,,,,
player,201812020det,ram,WoodRo02,rush_td,0,,,,,
player,201812020det,ram,WoodRo02,rush_long,9,,,,,
player,201812020det,ram,WoodRo02,targets,8,,,,,
player,201812020det,ram,WoodRo02,rec,5,,,,,
player,201812020det,ram,WoodRo02,rec_yds,67,,,,,
player,201812020det,ram,WoodRo02,rec_td,1,,,,,
player,201812020det,ram,WoodRo02,rec_long,23,,,,,
player,201812020det,ram,WoodRo02,fumbles,0,,,,,
player,201812020det,ram,WoodRo02,fumbles_lost,0,,,,,
player,201812020det,ram,BrowMa03,pass_cmp,0,,,,,
player,201812020det,ram,BrowMa03,pass_att,0,,,,,
player,201812020det,ram,BrowMa03,pass_yds,0,,,,,
player,201812020det,ram,BrowMa03,pass_td,0,,,,,
player,201812020det,ram,BrowMa03,pass_int,0,,,,,
player,201812020det,ram,BrowMa03,pass_sacked,0,,,,,
player,201812020det,ram,BrowMa03,pass_sacked_yds,0,,,,,
player,201812020det,ram,BrowMa03,pass_long,0,,,,,
player,201812020det,ram,BrowMa03,pass_rating,,,,,,
player,201812020det,ram,BrowMa03,rush_att,2,,,,,
player,201812020det,ram,BrowMa03,rush_yds,8,,,,,
player,201812020det,ram,BrowMa03,rush_td,0,,,,,
player,201812020det,ram,BrowMa03,rush_long,7,,,,,
player,201812020det,ram,BrowMa03,targets,0,,,,,
player,201812020det,ram,BrowMa03,rec,0,,,,,
player,201812020det,ram,BrowMa03,rec_yds,0,,,,,
player,201812020det,ram,BrowMa03,rec_td,0,,,,,
player,201812020det,ram,BrowMa03,rec_long,0,,,,,
player,201812020det,ram,BrowMa03,fumbles,0,,,,,
player,201812020det,ram,BrowMa03,fumbles_lost,0,,,,,
player,201812020det,ram,CookBr00,pass_cmp,0,,,,,
player,201812020det,ram,CookBr00,pass_att,0,,,,,
player,201812020det,ram,CookBr00,pass_yds,0,,,,,
player,201812020det,ram,CookBr00,pass_td,0,,,,,
player,201812020det,ram,CookBr00,pass_int,0,,,,,
player,201812020det,ram,CookBr00,pass_sacked,0,,,,,
player,201812020det,ram,CookBr00,pass_sacked_yds,0,,,,,
player,201812020det,ram,CookBr00,pass_long,0,,,,,
player,201812020det,ram,CookBr00,pass_rating,,,,,,
player,201812020det,ram,CookBr00,rush_att,0,,,,,
player,201812020det,ram,CookBr00,rush_yds,0,,,,,
player,201812020det,ram,CookBr00,rush_td,0,,,,,
player,201812020det,ram,CookBr00,rush_long,0,,,,,
player,201812020det,ram,CookBr00,targets,6,,,,,
player,201812020det,ram,CookBr00,rec,4,,,,,
player,201812020det,ram,CookBr00,rec_yds,62,,,,,
player,201812020det,ram,CookBr00,rec_td,0,,,,,
player,201812020det,ram,CookBr00,rec_long,26,,,,,
player,201812020det,ram,CookBr00,fumbles,0,,,,,
player,201812020det,ram,CookBr00,fumbles_lost,0,,,,,
player,201812020det,ram,ReynJo00,pass_cmp,0,,,,,
player,201812020det,ram,ReynJo00,pass_att,0,,,,,
player,201812020det,ram,ReynJo00,pass_yds,0,,,,,
player,201812020det,ram,ReynJo00,pass_td,0,,,,,
player,201812020det,ram,ReynJo00,pass_int,0,,,,,
player,201812020det,ram,ReynJo00,pass_sacked,0,,,,,
player,201812020det,ram,ReynJo00,pass_sacked_yds,0,,,,,
player,201812020det,ram,ReynJo00,pass_long,0,,,,,
player,201812020det,ram,ReynJo00,pass_rating,,,,,,
player,201812020det,ram,ReynJo00,rush_att,0,,,,,
player,201812020det,ram,ReynJo00,rush_yds,0,,,,,
player,201812020det,ram,ReynJo00,rush_td,0,,,,,
player,201812020det,ram,ReynJo00,rush_long,0,,,,,
player,201812020det,ram,ReynJo00,targets,5,,,,,
player,201812020det,ram,ReynJo00,rec,2,,,,,
player,201812020det,ram,ReynJo00,rec_yds,19,,,,,
player,201812020det,ram,ReynJo00,rec_td,0,,,,,
player,201812020det,ram,ReynJo00,rec_long,14,,,,,
player,201812020det,ram,ReynJo00,fumbles,0,,,,,
player,201812020det,ram,ReynJo00,fumbles_lost,0,,,,,
player,201812020det,ram,HigbTy00,pass_cmp,0,,,,,
player,201812020det,ram,HigbTy00,pass_att,0,,,,,
player,201812020det,ram,HigbTy00,pass_yds,0,,,,,
player,201812020det,ram,HigbTy00,pass_td,0,,,,,
player,201812020det,ram,HigbTy00,pass_int,0,,,,,
player,201812020det,ram,HigbTy00,pass_sacked,0,,,,,
player,201812020det,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201812020det,ram,HigbTy00,pass_long,0,,,,,
player,201812020det,ram,HigbTy00,pass_rating,,,,,,
player,201812020det,ram,HigbTy00,rush_att,0,,,,,
player,201812020det,ram,HigbTy00,rush_yds,0,,,,,
player,201812020det,ram,HigbTy00,rush_td,0,,,,,
player,201812020det,ram,HigbTy00,rush_long,0,,,,,
player,201812020det,ram,HigbTy00,targets,4,,,,,
player,201812020det,ram,HigbTy00,rec,2,,,,,
player,201812020det,ram,HigbTy00,rec_yds,19,,,,,
player,201812020det,ram,HigbTy00,rec_td,0,,,,,
player,201812020det,ram,HigbTy00,rec_long,16,,,,,
player,201812020det,ram,HigbTy00,fumbles,0,,,,,
player,201812020det,ram,HigbTy00,fumbles_lost,0,,,,,
player,201812020det,ram,EverGe00,pass_cmp,0,,,,,
player,201812020det,ram,EverGe00,pass_att,0,,,,,
player,201812020det,ram,EverGe00,pass_yds,0,,,,,
player,201812020det,ram,EverGe00,pass_td,0,,,,,
player,201812020det,ram,EverGe00,pass_int,0,,,,,
player,201812020det,ram,EverGe00,pass_sacked,0,,,,,
player,201812020det,ram,EverGe00,pass_sacked_yds,0,,,,,
player,201812020det,ram,EverGe00,pass_long,0,,,,,
player,201812020det,ram,EverGe00,pass_rating,,,,,,
player,201812020det,ram,EverGe00,rush_att,0,,,,,
player,201812020det,ram,EverGe00,rush_yds,0,,,,,
player,201812020det,ram,EverGe00,rush_td,0,,,,,
player,201812020det,ram,EverGe00,rush_long,0,,,,,
player,201812020det,ram,EverGe00,targets,3,,,,,
player,201812020det,ram,EverGe00,rec,1,,,,,
player,201812020det,ram,EverGe00,rec_yds,7,,,,,
player,201812020det,ram,EverGe00,rec_td,0,,,,,
player,201812020det,ram,EverGe00,rec_long,7,,,,,
player,201812020det,ram,EverGe00,fumbles,0,,,,,
player,201812020det,ram,EverGe00,fumbles_lost,0,,,,,
player,201812020det,ram,CoopPh00,pass_cmp,0,,,,,
player,201812020det,ram,CoopPh00,pass_att,0,,,,,
player,201812020det,ram,CoopPh00,pass_yds,0,,,,,
player,201812020det,ram,CoopPh00,pass_td,0,,,,,
player,201812020det,ram,CoopPh00,pass_int,0,,,,,
player,201812020det,ram,CoopPh00,pass_sacked,0,,,,,
player,201812020det,ram,CoopPh00,pass_sacked_yds,0,,,,,
player,201812020det,ram,CoopPh00,pass_long,0,,,,,
player,201812020det,ram,CoopPh00,pass_rating,,,,,,
player,201812020det,ram,CoopPh00,rush_att,0,,,,,
player,201812020det,ram,CoopPh00,rush_yds,0,,,,,
player,201812020det,ram,CoopPh00,rush_td,0,,,,,
player,201812020det,ram,CoopPh00,rush_long,0,,,,,
player,201812020det,ram,CoopPh00,targets,1,,,,,
player,201812020det,ram,CoopPh00,rec,0,,,,,
player,201812020det,ram,CoopPh00,rec_yds,0,,,,,
player,201812020det,ram,CoopPh00,rec_td,0,,,,,
player,201812020det,ram,CoopPh00,rec_long,0,,,,,
player,201812020det,ram,CoopPh00,fumbles,0,,,,,
player,201812020det,ram,CoopPh00,fumbles_lost,0,,,,,
player,201812020det,det,StafMa00,pass_cmp,20,,,,,
player,201812020det,det,StafMa00,pass_att,33,,,,,
player,201812020det,det,StafMa00,pass_yds,245,,,,,
player,201812020det,det,StafMa00,pass_td,1,,,,,
player,201812020det,det,StafMa00,pass_int,1,,,,,
player,201812020det,det,StafMa00,pass_sacked,4,,,,,
player,201812020det,det,StafMa00,pass_sacked_yds,37,,,,,
player,201812020det,det,StafMa00,pass_long,39,,,,,
player,201812020det,det,StafMa00,pass_rating,81.0,,,,,
player,201812020det,det,StafMa00,rush_att,1,,,,,
player,201812020det,det,StafMa00,rush_yds,2,,,,,
player,201812020det,det,StafMa00,rush_td,0,,,,,
player,201812020det,det,StafMa00,rush_long,2,,,,,
player,201812020det,det,StafMa00,targets,0,,,,,
player,201812020det,det,StafMa00,rec,0,,,,,
player,201812020det,det,StafMa00,rec_yds,0,,,,,
player,201812020det,det,StafMa00,rec_td,0,,,,,
player,201812020det,det,StafMa00,rec_long,0,,,,,
player,201812020det,det,StafMa00,fumbles,1,,,,,
player,201812020det,det,StafMa00,fumbles_lost,1,,,,,
player,201812020det,det,ElliBr00,pass_cmp,0,,,,,
player,201812020det,det,ElliBr00,pass_att,1,,,,,
player,201812020det,det,ElliBr00,pass_yds,0,,,,,
player,201812020det,det,ElliBr00,pass_td,0,,,,,
player,201812020det,det,ElliBr00,pass_int,0,,,,,
player,201812020det,det,ElliBr00,pass_sacked,0,,,,,
player,201812020det,det,ElliBr00,pass_sacked_yds,0,,,,,
player,201812020det,det,ElliBr00,pass_long,0,,,,,
player,201812020det,det,ElliBr00,pass_rating,39.6,,,,,
player,201812020det,det,ElliBr00,rush_att,0,,,,,
player,201812020det,det,ElliBr00,rush_yds,0,,,,,
player,201812020det,det,ElliBr00,rush_td,0,,,,,
player,201812020det,det,ElliBr00,rush_long,0,,,,,
player,201812020det,det,ElliBr00,targets,10,,,,,
player,201812020det,det,ElliBr00,rec,7,,,,,
player,201812020det,det,ElliBr00,rec_yds,35,,,,,
player,201812020det,det,ElliBr00,rec_td,0,,,,,
player,201812020det,det,ElliBr00,rec_long,10,,,,,
