game,2018,9,20181104,201811040nwe,gnb,"Green Bay Packers",17,nwe,"New England Patriots",31
team,201811040nwe,gnb,First Downs,22,,,,,,
team,201811040nwe,nwe,First Downs,28,,,,,,
team,201811040nwe,gnb,Rush-Yds-TDs,25-117-0,,,,,,
team,201811040nwe,nwe,Rush-Yds-TDs,31-123-3,,,,,,
team,201811040nwe,gnb,Cmp-Att-Yd-TD-INT,24-43-259-2-0,,,,,,
team,201811040nwe,nwe,Cmp-Att-Yd-TD-INT,23-36-331-1-0,,,,,,
team,201811040nwe,gnb,Sacked-Yards,1-9,,,,,,
team,201811040nwe,nwe,Sacked-Yards,2-21,,,,,,
team,201811040nwe,gnb,Net Pass Yards,250,,,,,,
team,201811040nwe,nwe,Net Pass Yards,310,,,,,,
team,201811040nwe,gnb,Total Yards,367,,,,,,
team,201811040nwe,nwe,Total Yards,433,,,,,,
team,201811040nwe,gnb,Fumbles-Lost,2-1,,,,,,
team,201811040nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201811040nwe,gnb,Turnovers,1,,,,,,
team,201811040nwe,nwe,Turnovers,0,,,,,,
team,201811040nwe,gnb,Penalties-Yards,7-63,,,,,,
team,201811040nwe,nwe,Penalties-Yards,5-30,,,,,,
team,201811040nwe,gnb,Third Down Conv.,6-13,,,,,,
team,201811040nwe,nwe,Third Down Conv.,4-11,,,,,,
team,201811040nwe,gnb,Fourth Down Conv.,0-1,,,,,,
team,201811040nwe,nwe,Fourth Down Conv.,0-1,,,,,,
team,201811040nwe,gnb,Time of Possession,32:34,,,,,,
team,201811040nwe,nwe,Time of Possession,27:26,,,,,,
player,201811040nwe,gnb,RodgAa00,pass_cmp,24,,,,,
player,201811040nwe,gnb,RodgAa00,pass_att,43,,,,,
player,201811040nwe,gnb,RodgAa00,pass_yds,259,,,,,
player,201811040nwe,gnb,RodgAa00,pass_td,2,,,,,
player,201811040nwe,gnb,RodgAa00,pass_int,0,,,,,
player,201811040nwe,gnb,RodgAa00,pass_sacked,1,,,,,
player,201811040nwe,gnb,RodgAa00,pass_sacked_yds,9,,,,,
player,201811040nwe,gnb,RodgAa00,pass_long,51,,,,,
player,201811040nwe,gnb,RodgAa00,pass_rating,89.2,,,,,
player,201811040nwe,gnb,RodgAa00,rush_att,4,,,,,
player,201811040nwe,gnb,RodgAa00,rush_yds,8,,,,,
player,201811040nwe,gnb,RodgAa00,rush_td,0,,,,,
player,201811040nwe,gnb,RodgAa00,rush_long,6,,,,,
player,201811040nwe,gnb,RodgAa00,targets,0,,,,,
player,201811040nwe,gnb,RodgAa00,rec,0,,,,,
player,201811040nwe,gnb,RodgAa00,rec_yds,0,,,,,
player,201811040nwe,gnb,RodgAa00,rec_td,0,,,,,
player,201811040nwe,gnb,RodgAa00,rec_long,0,,,,,
player,201811040nwe,gnb,RodgAa00,fumbles,1,,,,,
player,201811040nwe,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201811040nwe,gnb,JoneAa00,pass_cmp,0,,,,,
player,201811040nwe,gnb,JoneAa00,pass_att,0,,,,,
player,201811040nwe,gnb,JoneAa00,pass_yds,0,,,,,
player,201811040nwe,gnb,JoneAa00,pass_td,0,,,,,
player,201811040nwe,gnb,JoneAa00,pass_int,0,,,,,
player,201811040nwe,gnb,JoneAa00,pass_sacked,0,,,,,
player,201811040nwe,gnb,JoneAa00,pass_sacked_yds,0,,,,,
player,201811040nwe,gnb,JoneAa00,pass_long,0,,,,,
player,201811040nwe,gnb,JoneAa00,pass_rating,,,,,,
player,201811040nwe,gnb,JoneAa00,rush_att,14,,,,,
player,201811040nwe,gnb,JoneAa00,rush_yds,75,,,,,
player,201811040nwe,gnb,JoneAa00,rush_td,0,,,,,
player,201811040nwe,gnb,JoneAa00,rush_long,13,,,,,
player,201811040nwe,gnb,JoneAa00,targets,4,,,,,
player,201811040nwe,gnb,JoneAa00,rec,2,,,,,
player,201811040nwe,gnb,JoneAa00,rec_yds,10,,,,,
player,201811040nwe,gnb,JoneAa00,rec_td,0,,,,,
player,201811040nwe,gnb,JoneAa00,rec_long,7,,,,,
player,201811040nwe,gnb,JoneAa00,fumbles,1,,,,,
player,201811040nwe,gnb,JoneAa00,fumbles_lost,1,,,,,
player,201811040nwe,gnb,WillJa06,pass_cmp,0,,,,,
player,201811040nwe,gnb,WillJa06,pass_att,0,,,,,
player,201811040nwe,gnb,WillJa06,pass_yds,0,,,,,
player,201811040nwe,gnb,WillJa06,pass_td,0,,,,,
player,201811040nwe,gnb,WillJa06,pass_int,0,,,,,
player,201811040nwe,gnb,WillJa06,pass_sacked,0,,,,,
player,201811040nwe,gnb,WillJa06,pass_sacked_yds,0,,,,,
player,201811040nwe,gnb,WillJa06,pass_long,0,,,,,
player,201811040nwe,gnb,WillJa06,pass_rating,,,,,,
player,201811040nwe,gnb,WillJa06,rush_att,7,,,,,
player,201811040nwe,gnb,WillJa06,rush_yds,34,,,,,
player,201811040nwe,gnb,WillJa06,rush_td,0,,,,,
player,201811040nwe,gnb,WillJa06,rush_long,10,,,,,
player,201811040nwe,gnb,WillJa06,targets,2,,,,,
player,201811040nwe,gnb,WillJa06,rec,2,,,,,
player,201811040nwe,gnb,WillJa06,rec_yds,20,,,,,
