game,2018,14,20181209,201812090crd,det,"Detroit Lions",17,crd,"Arizona Cardinals",3
team,201812090crd,det,First Downs,16,,,,,,
team,201812090crd,crd,First Downs,22,,,,,,
team,201812090crd,det,Rush-Yds-TDs,31-122-1,,,,,,
team,201812090crd,crd,Rush-Yds-TDs,21-61-0,,,,,,
team,201812090crd,det,Cmp-Att-Yd-TD-INT,15-23-101-0-0,,,,,,
team,201812090crd,crd,Cmp-Att-Yd-TD-INT,26-41-240-0-1,,,,,,
team,201812090crd,det,Sacked-Yards,1-5,,,,,,
team,201812090crd,crd,Sacked-Yards,3-22,,,,,,
team,201812090crd,det,Net Pass Yards,96,,,,,,
team,201812090crd,crd,Net Pass Yards,218,,,,,,
team,201812090crd,det,Total Yards,218,,,,,,
team,201812090crd,crd,Total Yards,279,,,,,,
team,201812090crd,det,Fumbles-Lost,2-1,,,,,,
team,201812090crd,crd,Fumbles-Lost,2-0,,,,,,
team,201812090crd,det,Turnovers,1,,,,,,
team,201812090crd,crd,Turnovers,1,,,,,,
team,201812090crd,det,Penalties-Yards,7-68,,,,,,
team,201812090crd,crd,Penalties-Yards,8-83,,,,,,
team,201812090crd,det,Third Down Conv.,4-12,,,,,,
team,201812090crd,crd,Third Down Conv.,6-16,,,,,,
team,201812090crd,det,Fourth Down Conv.,0-0,,,,,,
team,201812090crd,crd,Fourth Down Conv.,0-1,,,,,,
team,201812090crd,det,Time of Possession,28:16,,,,,,
team,201812090crd,crd,Time of Possession,31:44,,,,,,
player,201812090crd,det,StafMa00,pass_cmp,15,,,,,
player,201812090crd,det,StafMa00,pass_att,23,,,,,
player,201812090crd,det,StafMa00,pass_yds,101,,,,,
player,201812090crd,det,StafMa00,pass_td,0,,,,,
player,201812090crd,det,StafMa00,pass_int,0,,,,,
player,201812090crd,det,StafMa00,pass_sacked,1,,,,,
player,201812090crd,det,StafMa00,pass_sacked_yds,5,,,,,
player,201812090crd,det,StafMa00,pass_long,17,,,,,
player,201812090crd,det,StafMa00,pass_rating,74.7,,,,,
player,201812090crd,det,StafMa00,rush_att,1,,,,,
player,201812090crd,det,StafMa00,rush_yds,7,,,,,
player,201812090crd,det,StafMa00,rush_td,0,,,,,
player,201812090crd,det,StafMa00,rush_long,7,,,,,
player,201812090crd,det,StafMa00,targets,0,,,,,
player,201812090crd,det,StafMa00,rec,0,,,,,
player,201812090crd,det,StafMa00,rec_yds,0,,,,,
player,201812090crd,det,StafMa00,rec_td,0,,,,,
player,201812090crd,det,StafMa00,rec_long,0,,,,,
player,201812090crd,det,StafMa00,fumbles,0,,,,,
player,201812090crd,det,StafMa00,fumbles_lost,0,,,,,
player,201812090crd,det,ZennZa00,pass_cmp,0,,,,,
player,201812090crd,det,ZennZa00,pass_att,0,,,,,
player,201812090crd,det,ZennZa00,pass_yds,0,,,,,
player,201812090crd,det,ZennZa00,pass_td,0,,,,,
player,201812090crd,det,ZennZa00,pass_int,0,,,,,
player,201812090crd,det,ZennZa00,pass_sacked,0,,,,,
player,201812090crd,det,ZennZa00,pass_sacked_yds,0,,,,,
player,201812090crd,det,ZennZa00,pass_long,0,,,,,
player,201812090crd,det,ZennZa00,pass_rating,,,,,,
player,201812090crd,det,ZennZa00,rush_att,12,,,,,
player,201812090crd,det,ZennZa00,rush_yds,54,,,,,
player,201812090crd,det,ZennZa00,rush_td,1,,,,,
player,201812090crd,det,ZennZa00,rush_long,14,,,,,
player,201812090crd,det,ZennZa00,targets,0,,,,,
player,201812090crd,det,ZennZa00,rec,0,,,,,
player,201812090crd,det,ZennZa00,rec_yds,0,,,,,
player,201812090crd,det,ZennZa00,rec_td,0,,,,,
player,201812090crd,det,ZennZa00,rec_long,0,,,,,
player,201812090crd,det,ZennZa00,fumbles,0,,,,,
player,201812090crd,det,ZennZa00,fumbles_lost,0,,,,,
player,201812090crd,det,BlouLe00,pass_cmp,0,,,,,
player,201812090crd,det,BlouLe00,pass_att,0,,,,,
player,201812090crd,det,BlouLe00,pass_yds,0,,,,,
player,201812090crd,det,BlouLe00,pass_td,0,,,,,
player,201812090crd,det,BlouLe00,pass_int,0,,,,,
player,201812090crd,det,BlouLe00,pass_sacked,0,,,,,
player,201812090crd,det,BlouLe00,pass_sacked_yds,0,,,,,
player,201812090crd,det,BlouLe00,pass_long,0,,,,,
player,201812090crd,det,BlouLe00,pass_rating,,,,,,
player,201812090crd,det,BlouLe00,rush_att,12,,,,,
player,201812090crd,det,BlouLe00,rush_yds,33,,,,,
player,201812090crd,det,BlouLe00,rush_td,0,,,,,
player,201812090crd,det,BlouLe00,rush_long,14,,,,,
player,201812090crd,det,BlouLe00,targets,3,,,,,
player,201812090crd,det,BlouLe00,rec,2,,,,,
player,201812090crd,det,BlouLe00,rec_yds,18,,,,,
player,201812090crd,det,BlouLe00,rec_td,0,,,,,
player,201812090crd,det,BlouLe00,rec_long,16,,,,,
player,201812090crd,det,BlouLe00,fumbles,1,,,,,
player,201812090crd,det,BlouLe00,fumbles_lost,1,,,,,
player,201812090crd,det,RiddTh00,pass_cmp,0,,,,,
player,201812090crd,det,RiddTh00,pass_att,0,,,,,
player,201812090crd,det,RiddTh00,pass_yds,0,,,,,
player,201812090crd,det,RiddTh00,pass_td,0,,,,,
player,201812090crd,det,RiddTh00,pass_int,0,,,,,
player,201812090crd,det,RiddTh00,pass_sacked,0,,,,,
player,201812090crd,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201812090crd,det,RiddTh00,pass_long,0,,,,,
player,201812090crd,det,RiddTh00,pass_rating,,,,,,
player,201812090crd,det,RiddTh00,rush_att,6,,,,,
player,201812090crd,det,RiddTh00,rush_yds,28,,,,,
player,201812090crd,det,RiddTh00,rush_td,0,,,,,
player,201812090crd,det,RiddTh00,rush_long,9,,,,,
player,201812090crd,det,RiddTh00,targets,4,,,,,
player,201812090crd,det,RiddTh00,rec,4,,,,,
player,201812090crd,det,RiddTh00,rec_yds,30,,,,,
player,201812090crd,det,RiddTh00,rec_td,0,,,,,
player,201812090crd,det,RiddTh00,rec_long,17,,,,,
player,201812090crd,det,RiddTh00,fumbles,0,,,,,
player,201812090crd,det,RiddTh00,fumbles_lost,0,,,,,
