game,2018,14,20181209,201812090htx,clt,"Indianapolis Colts",24,htx,"Houston Texans",21
team,201812090htx,clt,First Downs,24,,,,,,
team,201812090htx,htx,First Downs,25,,,,,,
team,201812090htx,clt,Rush-Yds-TDs,23-50-1,,,,,,
team,201812090htx,htx,Rush-Yds-TDs,25-89-2,,,,,,
team,201812090htx,clt,Cmp-Att-Yd-TD-INT,27-41-399-2-1,,,,,,
team,201812090htx,htx,Cmp-Att-Yd-TD-INT,27-38-267-1-0,,,,,,
team,201812090htx,clt,Sacked-Yards,2-13,,,,,,
team,201812090htx,htx,Sacked-Yards,5-41,,,,,,
team,201812090htx,clt,Net Pass Yards,386,,,,,,
team,201812090htx,htx,Net Pass Yards,226,,,,,,
team,201812090htx,clt,Total Yards,436,,,,,,
team,201812090htx,htx,Total Yards,315,,,,,,
team,201812090htx,clt,Fumbles-Lost,1-0,,,,,,
team,201812090htx,htx,Fumbles-Lost,0-0,,,,,,
team,201812090htx,clt,Turnovers,1,,,,,,
team,201812090htx,htx,Turnovers,0,,,,,,
team,201812090htx,clt,Penalties-Yards,9-59,,,,,,
team,201812090htx,htx,Penalties-Yards,7-35,,,,,,
team,201812090htx,clt,Third Down Conv.,4-12,,,,,,
team,201812090htx,htx,Third Down Conv.,5-15,,,,,,
team,201812090htx,clt,Fourth Down Conv.,0-0,,,,,,
team,201812090htx,htx,Fourth Down Conv.,2-2,,,,,,
team,201812090htx,clt,Time of Possession,28:03,,,,,,
team,201812090htx,htx,Time of Possession,31:57,,,,,,
player,201812090htx,clt,LuckAn00,pass_cmp,27,,,,,
player,201812090htx,clt,LuckAn00,pass_att,41,,,,,
player,201812090htx,clt,LuckAn00,pass_yds,399,,,,,
player,201812090htx,clt,LuckAn00,pass_td,2,,,,,
player,201812090htx,clt,LuckAn00,pass_int,1,,,,,
player,201812090htx,clt,LuckAn00,pass_sacked,2,,,,,
player,201812090htx,clt,LuckAn00,pass_sacked_yds,13,,,,,
player,201812090htx,clt,LuckAn00,pass_long,60,,,,,
player,201812090htx,clt,LuckAn00,pass_rating,103.6,,,,,
player,201812090htx,clt,LuckAn00,rush_att,6,,,,,
player,201812090htx,clt,LuckAn00,rush_yds,16,,,,,
player,201812090htx,clt,LuckAn00,rush_td,0,,,,,
player,201812090htx,clt,LuckAn00,rush_long,13,,,,,
player,201812090htx,clt,LuckAn00,targets,0,,,,,
player,201812090htx,clt,LuckAn00,rec,0,,,,,
player,201812090htx,clt,LuckAn00,rec_yds,0,,,,,
player,201812090htx,clt,LuckAn00,rec_td,0,,,,,
player,201812090htx,clt,LuckAn00,rec_long,0,,,,,
player,201812090htx,clt,LuckAn00,fumbles,0,,,,,
player,201812090htx,clt,LuckAn00,fumbles_lost,0,,,,,
player,201812090htx,clt,MackMa00,pass_cmp,0,,,,,
player,201812090htx,clt,MackMa00,pass_att,0,,,,,
player,201812090htx,clt,MackMa00,pass_yds,0,,,,,
player,201812090htx,clt,MackMa00,pass_td,0,,,,,
player,201812090htx,clt,MackMa00,pass_int,0,,,,,
player,201812090htx,clt,MackMa00,pass_sacked,0,,,,,
player,201812090htx,clt,MackMa00,pass_sacked_yds,0,,,,,
player,201812090htx,clt,MackMa00,pass_long,0,,,,,
player,201812090htx,clt,MackMa00,pass_rating,,,,,,
player,201812090htx,clt,MackMa00,rush_att,14,,,,,
player,201812090htx,clt,MackMa00,rush_yds,33,,,,,
player,201812090htx,clt,MackMa00,rush_td,1,,,,,
player,201812090htx,clt,MackMa00,rush_long,7,,,,,
player,201812090htx,clt,MackMa00,targets,1,,,,,
player,201812090htx,clt,MackMa00,rec,0,,,,,
player,201812090htx,clt,MackMa00,rec_yds,0,,,,,
player,201812090htx,clt,MackMa00,rec_td,0,,,,,
player,201812090htx,clt,MackMa00,rec_long,0,,,,,
player,201812090htx,clt,MackMa00,fumbles,0,,,,,
player,201812090htx,clt,MackMa00,fumbles_lost,0,,,,,
player,201812090htx,clt,HineNy00,pass_cmp,0,,,,,
player,201812090htx,clt,HineNy00,pass_att,0,,,,,
player,201812090htx,clt,HineNy00,pass_yds,0,,,,,
player,201812090htx,clt,HineNy00,pass_td,0,,,,,
player,201812090htx,clt,HineNy00,pass_int,0,,,,,
player,201812090htx,clt,HineNy00,pass_sacked,0,,,,,
player,201812090htx,clt,HineNy00,pass_sacked_yds,0,,,,,
player,201812090htx,clt,HineNy00,pass_long,0,,,,,
player,201812090htx,clt,HineNy00,pass_rating,,,,,,
player,201812090htx,clt,HineNy00,rush_att,3,,,,,
player,201812090htx,clt,HineNy00,rush_yds,1,,,,,
player,201812090htx,clt,HineNy00,rush_td,0,,,,,
player,201812090htx,clt,HineNy00,rush_long,2,,,,,
player,201812090htx,clt,HineNy00,targets,5,,,,,
player,201812090htx,clt,HineNy00,rec,3,,,,,
player,201812090htx,clt,HineNy00,rec_yds,16,,,,,
player,201812090htx,clt,HineNy00,rec_td,0,,,,,
player,201812090htx,clt,HineNy00,rec_long,10,,,,,
player,201812090htx,clt,HineNy00,fumbles,0,,,,,
player,201812090htx,clt,HineNy00,fumbles_lost,0,,,,,
