game,2018,16,20181223,201812230nor,pit,"Pittsburgh Steelers",28,nor,"New Orleans Saints",31
team,201812230nor,pit,First Downs,26,,,,,,
team,201812230nor,nor,First Downs,24,,,,,,
team,201812230nor,pit,Rush-Yds-TDs,18-65-0,,,,,,
team,201812230nor,nor,Rush-Yds-TDs,19-57-3,,,,,,
team,201812230nor,pit,Cmp-Att-Yd-TD-INT,33-50-380-3-0,,,,,,
team,201812230nor,nor,Cmp-Att-Yd-TD-INT,27-40-326-1-1,,,,,,
team,201812230nor,pit,Sacked-Yards,3-16,,,,,,
team,201812230nor,nor,Sacked-Yards,2-13,,,,,,
team,201812230nor,pit,Net Pass Yards,364,,,,,,
team,201812230nor,nor,Net Pass Yards,313,,,,,,
team,201812230nor,pit,Total Yards,429,,,,,,
team,201812230nor,nor,Total Yards,370,,,,,,
team,201812230nor,pit,Fumbles-Lost,3-2,,,,,,
team,201812230nor,nor,Fumbles-Lost,1-0,,,,,,
team,201812230nor,pit,Turnovers,2,,,,,,
team,201812230nor,nor,Turnovers,1,,,,,,
team,201812230nor,pit,Penalties-Yards,6-79,,,,,,
team,201812230nor,nor,Penalties-Yards,9-91,,,,,,
team,201812230nor,pit,Third Down Conv.,6-13,,,,,,
team,201812230nor,nor,Third Down Conv.,6-12,,,,,,
team,201812230nor,pit,Fourth Down Conv.,1-2,,,,,,
team,201812230nor,nor,Fourth Down Conv.,0-0,,,,,,
team,201812230nor,pit,Time of Possession,31:20,,,,,,
team,201812230nor,nor,Time of Possession,28:40,,,,,,
player,201812230nor,pit,RoetBe00,pass_cmp,33,,,,,
player,201812230nor,pit,RoetBe00,pass_att,50,,,,,
player,201812230nor,pit,RoetBe00,pass_yds,380,,,,,
player,201812230nor,pit,RoetBe00,pass_td,3,,,,,
player,201812230nor,pit,RoetBe00,pass_int,0,,,,,
player,201812230nor,pit,RoetBe00,pass_sacked,3,,,,,
player,201812230nor,pit,RoetBe00,pass_sacked_yds,16,,,,,
player,201812230nor,pit,RoetBe00,pass_long,49,,,,,
player,201812230nor,pit,RoetBe00,pass_rating,108.7,,,,,
player,201812230nor,pit,RoetBe00,rush_att,2,,,,,
player,201812230nor,pit,RoetBe00,rush_yds,4,,,,,
player,201812230nor,pit,RoetBe00,rush_td,0,,,,,
player,201812230nor,pit,RoetBe00,rush_long,5,,,,,
player,201812230nor,pit,RoetBe00,targets,0,,,,,
player,201812230nor,pit,RoetBe00,rec,0,,,,,
player,201812230nor,pit,RoetBe00,rec_yds,0,,,,,
player,201812230nor,pit,RoetBe00,rec_td,0,,,,,
player,201812230nor,pit,RoetBe00,rec_long,0,,,,,
player,201812230nor,pit,RoetBe00,fumbles,1,,,,,
player,201812230nor,pit,RoetBe00,fumbles_lost,0,,,,,
player,201812230nor,pit,SamuJa00,pass_cmp,0,,,,,
player,201812230nor,pit,SamuJa00,pass_att,0,,,,,
player,201812230nor,pit,SamuJa00,pass_yds,0,,,,,
player,201812230nor,pit,SamuJa00,pass_td,0,,,,,
player,201812230nor,pit,SamuJa00,pass_int,0,,,,,
player,201812230nor,pit,SamuJa00,pass_sacked,0,,,,,
