game,2018,7,20181021,201810210tam,cle,"Cleveland Browns",23,tam,"Tampa Bay Buccaneers",26
team,201810210tam,cle,First Downs,17,,,,,,
team,201810210tam,tam,First Downs,34,,,,,,
team,201810210tam,cle,Rush-Yds-TDs,23-119-1,,,,,,
team,201810210tam,tam,Rush-Yds-TDs,32-114-3,,,,,,
team,201810210tam,cle,Cmp-Att-Yd-TD-INT,23-34-215-2-0,,,,,,
team,201810210tam,tam,Cmp-Att-Yd-TD-INT,32-52-365-0-2,,,,,,
team,201810210tam,cle,Sacked-Yards,5-29,,,,,,
team,201810210tam,tam,Sacked-Yards,4-23,,,,,,
team,201810210tam,cle,Net Pass Yards,186,,,,,,
team,201810210tam,tam,Net Pass Yards,342,,,,,,
team,201810210tam,cle,Total Yards,305,,,,,,
team,201810210tam,tam,Total Yards,456,,,,,,
team,201810210tam,cle,Fumbles-Lost,2-1,,,,,,
team,201810210tam,tam,Fumbles-Lost,3-2,,,,,,
team,201810210tam,cle,Turnovers,1,,,,,,
team,201810210tam,tam,Turnovers,4,,,,,,
team,201810210tam,cle,Penalties-Yards,14-114,,,,,,
team,201810210tam,tam,Penalties-Yards,8-65,,,,,,
team,201810210tam,cle,Third Down Conv.,3-14,,,,,,
team,201810210tam,tam,Third Down Conv.,6-13,,,,,,
team,201810210tam,cle,Fourth Down Conv.,0-2,,,,,,
team,201810210tam,tam,Fourth Down Conv.,1-1,,,,,,
team,201810210tam,cle,Time of Possession,30:27,,,,,,
team,201810210tam,tam,Time of Possession,37:43,,,,,,
player,201810210tam,cle,MayfBa00,pass_cmp,23,,,,,
player,201810210tam,cle,MayfBa00,pass_att,34,,,,,
player,201810210tam,cle,MayfBa00,pass_yds,215,,,,,
player,201810210tam,cle,MayfBa00,pass_td,2,,,,,
player,201810210tam,cle,MayfBa00,pass_int,0,,,,,
player,201810210tam,cle,MayfBa00,pass_sacked,5,,,,,
player,201810210tam,cle,MayfBa00,pass_sacked_yds,29,,,,,
player,201810210tam,cle,MayfBa00,pass_long,23,,,,,
player,201810210tam,cle,MayfBa00,pass_rating,104.4,,,,,
player,201810210tam,cle,MayfBa00,rush_att,4,,,,,
player,201810210tam,cle,MayfBa00,rush_yds,43,,,,,
player,201810210tam,cle,MayfBa00,rush_td,0,,,,,
player,201810210tam,cle,MayfBa00,rush_long,35,,,,,
player,201810210tam,cle,MayfBa00,targets,0,,,,,
player,201810210tam,cle,MayfBa00,rec,0,,,,,
player,201810210tam,cle,MayfBa00,rec_yds,0,,,,,
player,201810210tam,cle,MayfBa00,rec_td,0,,,,,
player,201810210tam,cle,MayfBa00,rec_long,0,,,,,
player,201810210tam,cle,MayfBa00,fumbles,1,,,,,
player,201810210tam,cle,MayfBa00,fumbles_lost,0,,,,,
player,201810210tam,cle,ChubNi00,pass_cmp,0,,,,,
player,201810210tam,cle,ChubNi00,pass_att,0,,,,,
player,201810210tam,cle,ChubNi00,pass_yds,0,,,,,
player,201810210tam,cle,ChubNi00,pass_td,0,,,,,
player,201810210tam,cle,ChubNi00,pass_int,0,,,,,
player,201810210tam,cle,ChubNi00,pass_sacked,0,,,,,
player,201810210tam,cle,ChubNi00,pass_sacked_yds,0,,,,,
player,201810210tam,cle,ChubNi00,pass_long,0,,,,,
player,201810210tam,cle,ChubNi00,pass_rating,,,,,,
player,201810210tam,cle,ChubNi00,rush_att,18,,,,,
player,201810210tam,cle,ChubNi00,rush_yds,80,,,,,
player,201810210tam,cle,ChubNi00,rush_td,1,,,,,
player,201810210tam,cle,ChubNi00,rush_long,21,,,,,
player,201810210tam,cle,ChubNi00,targets,2,,,,,
player,201810210tam,cle,ChubNi00,rec,0,,,,,
player,201810210tam,cle,ChubNi00,rec_yds,0,,,,,
player,201810210tam,cle,ChubNi00,rec_td,0,,,,,
player,201810210tam,cle,ChubNi00,rec_long,0,,,,,
player,201810210tam,cle,ChubNi00,fumbles,0,,,,,
player,201810210tam,cle,ChubNi00,fumbles_lost,0,,,,,
player,201810210tam,cle,LandJa00,pass_cmp,0,,,,,
player,201810210tam,cle,LandJa00,pass_att,0,,,,,
player,201810210tam,cle,LandJa00,pass_yds,0,,,,,
player,201810210tam,cle,LandJa00,pass_td,0,,,,,
player,201810210tam,cle,LandJa00,pass_int,0,,,,,
player,201810210tam,cle,LandJa00,pass_sacked,0,,,,,
player,201810210tam,cle,LandJa00,pass_sacked_yds,0,,,,,
player,201810210tam,cle,LandJa00,pass_long,0,,,,,
player,201810210tam,cle,LandJa00,pass_rating,,,,,,
player,201810210tam,cle,LandJa00,rush_att,0,,,,,
player,201810210tam,cle,LandJa00,rush_yds,0,,,,,
player,201810210tam,cle,LandJa00,rush_td,0,,,,,
player,201810210tam,cle,LandJa00,rush_long,0,,,,,
player,201810210tam,cle,LandJa00,targets,15,,,,,
player,201810210tam,cle,LandJa00,rec,10,,,,,
player,201810210tam,cle,LandJa00,rec_yds,97,,,,,
player,201810210tam,cle,LandJa00,rec_td,1,,,,,
player,201810210tam,cle,LandJa00,rec_long,20,,,,,
player,201810210tam,cle,LandJa00,fumbles,0,,,,,
player,201810210tam,cle,LandJa00,fumbles_lost,0,,,,,
player,201810210tam,cle,NjokDa00,pass_cmp,0,,,,,
player,201810210tam,cle,NjokDa00,pass_att,0,,,,,
player,201810210tam,cle,NjokDa00,pass_yds,0,,,,,
player,201810210tam,cle,NjokDa00,pass_td,0,,,,,
player,201810210tam,cle,NjokDa00,pass_int,0,,,,,
player,201810210tam,cle,NjokDa00,pass_sacked,0,,,,,
player,201810210tam,cle,NjokDa00,pass_sacked_yds,0,,,,,
player,201810210tam,cle,NjokDa00,pass_long,0,,,,,
player,201810210tam,cle,NjokDa00,pass_rating,,,,,,
