game,2018,11,20181118,201811180was,htx,"Houston Texans",23,was,"Washington Redskins",21
player,201811180was,htx,WatsDe00,rec_yds,0,,,,,
player,201811180was,htx,WatsDe00,rec_td,0,,,,,
player,201811180was,htx,WatsDe00,rec_long,0,,,,,
player,201811180was,htx,WatsDe00,fumbles,1,,,,,
player,201811180was,htx,WatsDe00,fumbles_lost,0,,,,,
player,201811180was,htx,MillLa01,pass_cmp,0,,,,,
player,201811180was,htx,MillLa01,pass_att,0,,,,,
player,201811180was,htx,MillLa01,pass_yds,0,,,,,
player,201811180was,htx,MillLa01,pass_td,0,,,,,
player,201811180was,htx,MillLa01,pass_int,0,,,,,
player,201811180was,htx,MillLa01,pass_sacked,0,,,,,
player,201811180was,htx,MillLa01,pass_sacked_yds,0,,,,,
player,201811180was,htx,MillLa01,pass_long,0,,,,,
player,201811180was,htx,MillLa01,pass_rating,,,,,,
player,201811180was,htx,MillLa01,rush_att,20,,,,,
player,201811180was,htx,MillLa01,rush_yds,86,,,,,
player,201811180was,htx,MillLa01,rush_td,0,,,,,
player,201811180was,htx,MillLa01,rush_long,21,,,,,
player,201811180was,htx,MillLa01,targets,5,,,,,
player,201811180was,htx,MillLa01,rec,3,,,,,
player,201811180was,htx,MillLa01,rec_yds,22,,,,,
player,201811180was,htx,MillLa01,rec_td,0,,,,,
player,201811180was,htx,MillLa01,rec_long,13,,,,,
player,201811180was,htx,MillLa01,fumbles,0,,,,,
player,201811180was,htx,MillLa01,fumbles_lost,0,,,,,
player,201811180was,htx,BlueAl00,pass_cmp,0,,,,,
player,201811180was,htx,BlueAl00,pass_att,0,,,,,
player,201811180was,htx,BlueAl00,pass_yds,0,,,,,
player,201811180was,htx,BlueAl00,pass_td,0,,,,,
player,201811180was,htx,BlueAl00,pass_int,0,,,,,
player,201811180was,htx,BlueAl00,pass_sacked,0,,,,,
player,201811180was,htx,BlueAl00,pass_sacked_yds,0,,,,,
player,201811180was,htx,BlueAl00,pass_long,0,,,,,
player,201811180was,htx,BlueAl00,pass_rating,,,,,,
player,201811180was,htx,BlueAl00,rush_att,8,,,,,
player,201811180was,htx,BlueAl00,rush_yds,46,,,,,
player,201811180was,htx,BlueAl00,rush_td,0,,,,,
player,201811180was,htx,BlueAl00,rush_long,16,,,,,
player,201811180was,htx,BlueAl00,targets,0,,,,,
player,201811180was,htx,BlueAl00,rec,0,,,,,
player,201811180was,htx,BlueAl00,rec_yds,0,,,,,
player,201811180was,htx,BlueAl00,rec_td,0,,,,,
player,201811180was,htx,BlueAl00,rec_long,0,,,,,
player,201811180was,htx,BlueAl00,fumbles,0,,,,,
player,201811180was,htx,BlueAl00,fumbles_lost,0,,,,,
player,201811180was,htx,CoutKe00,pass_cmp,0,,,,,
player,201811180was,htx,CoutKe00,pass_att,0,,,,,
player,201811180was,htx,CoutKe00,pass_yds,0,,,,,
player,201811180was,htx,CoutKe00,pass_td,0,,,,,
player,201811180was,htx,CoutKe00,pass_int,0,,,,,
player,201811180was,htx,CoutKe00,pass_sacked,0,,,,,
player,201811180was,htx,CoutKe00,pass_sacked_yds,0,,,,,
player,201811180was,htx,CoutKe00,pass_long,0,,,,,
player,201811180was,htx,CoutKe00,pass_rating,,,,,,
player,201811180was,htx,CoutKe00,rush_att,0,,,,,
player,201811180was,htx,CoutKe00,rush_yds,0,,,,,
player,201811180was,htx,CoutKe00,rush_td,0,,,,,
player,201811180was,htx,CoutKe00,rush_long,0,,,,,
player,201811180was,htx,CoutKe00,targets,9,,,,,
player,201811180was,htx,CoutKe00,rec,5,,,,,
player,201811180was,htx,CoutKe00,rec_yds,77,,,,,
player,201811180was,htx,CoutKe00,rec_td,0,,,,,
player,201811180was,htx,CoutKe00,rec_long,40,,,,,
player,201811180was,htx,CoutKe00,fumbles,0,,,,,
player,201811180was,htx,CoutKe00,fumbles_lost,0,,,,,
player,201811180was,htx,HopkDe00,pass_cmp,0,,,,,
player,201811180was,htx,HopkDe00,pass_att,0,,,,,
player,201811180was,htx,HopkDe00,pass_yds,0,,,,,
player,201811180was,htx,HopkDe00,pass_td,0,,,,,
player,201811180was,htx,HopkDe00,pass_int,0,,,,,
player,201811180was,htx,HopkDe00,pass_sacked,0,,,,,
player,201811180was,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201811180was,htx,HopkDe00,pass_long,0,,,,,
player,201811180was,htx,HopkDe00,pass_rating,,,,,,
player,201811180was,htx,HopkDe00,rush_att,0,,,,,
player,201811180was,htx,HopkDe00,rush_yds,0,,,,,
player,201811180was,htx,HopkDe00,rush_td,0,,,,,
player,201811180was,htx,HopkDe00,rush_long,0,,,,,
player,201811180was,htx,HopkDe00,targets,6,,,,,
player,201811180was,htx,HopkDe00,rec,5,,,,,
player,201811180was,htx,HopkDe00,rec_yds,56,,,,,
player,201811180was,htx,HopkDe00,rec_td,1,,,,,
player,201811180was,htx,HopkDe00,rec_long,16,,,,,
player,201811180was,htx,HopkDe00,fumbles,1,,,,,
player,201811180was,htx,HopkDe00,fumbles_lost,1,,,,,
player,201811180was,htx,AkinJo00,pass_cmp,0,,,,,
player,201811180was,htx,AkinJo00,pass_att,0,,,,,
player,201811180was,htx,AkinJo00,pass_yds,0,,,,,
player,201811180was,htx,AkinJo00,pass_td,0,,,,,
player,201811180was,htx,AkinJo00,pass_int,0,,,,,
player,201811180was,htx,AkinJo00,pass_sacked,0,,,,,
player,201811180was,htx,AkinJo00,pass_sacked_yds,0,,,,,
player,201811180was,htx,AkinJo00,pass_long,0,,,,,
player,201811180was,htx,AkinJo00,pass_rating,,,,,,
player,201811180was,htx,AkinJo00,rush_att,0,,,,,
player,201811180was,htx,AkinJo00,rush_yds,0,,,,,
player,201811180was,htx,AkinJo00,rush_td,0,,,,,
player,201811180was,htx,AkinJo00,rush_long,0,,,,,
player,201811180was,htx,AkinJo00,targets,2,,,,,
player,201811180was,htx,AkinJo00,rec,2,,,,,
player,201811180was,htx,AkinJo00,rec_yds,42,,,,,
player,201811180was,htx,AkinJo00,rec_td,0,,,,,
player,201811180was,htx,AkinJo00,rec_long,28,,,,,
player,201811180was,htx,AkinJo00,fumbles,0,,,,,
player,201811180was,htx,AkinJo00,fumbles_lost,0,,,,,
player,201811180was,htx,ThomJo05,pass_cmp,0,,,,,
player,201811180was,htx,ThomJo05,pass_att,0,,,,,
player,201811180was,htx,ThomJo05,pass_yds,0,,,,,
player,201811180was,htx,ThomJo05,pass_td,0,,,,,
player,201811180was,htx,ThomJo05,pass_int,0,,,,,
player,201811180was,htx,ThomJo05,pass_sacked,0,,,,,
player,201811180was,htx,ThomJo05,pass_sacked_yds,0,,,,,
player,201811180was,htx,ThomJo05,pass_long,0,,,,,
player,201811180was,htx,ThomJo05,pass_rating,,,,,,
player,201811180was,htx,ThomJo05,rush_att,0,,,,,
player,201811180was,htx,ThomJo05,rush_yds,0,,,,,
player,201811180was,htx,ThomJo05,rush_td,0,,,,,
player,201811180was,htx,ThomJo05,rush_long,0,,,,,
player,201811180was,htx,ThomJo05,targets,1,,,,,
player,201811180was,htx,ThomJo05,rec,1,,,,,
player,201811180was,htx,ThomJo05,rec_yds,11,,,,,
player,201811180was,htx,ThomJo05,rec_td,0,,,,,
player,201811180was,htx,ThomJo05,rec_long,11,,,,,
player,201811180was,htx,ThomJo05,fumbles,0,,,,,
player,201811180was,htx,ThomJo05,fumbles_lost,0,,,,,
player,201811180was,htx,ThomDe03,pass_cmp,0,,,,,
player,201811180was,htx,ThomDe03,pass_att,0,,,,,
player,201811180was,htx,ThomDe03,pass_yds,0,,,,,
player,201811180was,htx,ThomDe03,pass_td,0,,,,,
player,201811180was,htx,ThomDe03,pass_int,0,,,,,
player,201811180was,htx,ThomDe03,pass_sacked,0,,,,,
player,201811180was,htx,ThomDe03,pass_sacked_yds,0,,,,,
player,201811180was,htx,ThomDe03,pass_long,0,,,,,
player,201811180was,htx,ThomDe03,pass_rating,,,,,,
player,201811180was,htx,ThomDe03,rush_att,0,,,,,
player,201811180was,htx,ThomDe03,rush_yds,0,,,,,
player,201811180was,htx,ThomDe03,rush_td,0,,,,,
player,201811180was,htx,ThomDe03,rush_long,0,,,,,
player,201811180was,htx,ThomDe03,targets,1,,,,,
player,201811180was,htx,ThomDe03,rec,0,,,,,
player,201811180was,htx,ThomDe03,rec_yds,0,,,,,
player,201811180was,htx,ThomDe03,rec_td,0,,,,,
player,201811180was,htx,ThomDe03,rec_long,0,,,,,
player,201811180was,htx,ThomDe03,fumbles,0,,,,,
player,201811180was,htx,ThomDe03,fumbles_lost,0,,,,,
player,201811180was,was,SmitAl03,pass_cmp,12,,,,,
player,201811180was,was,SmitAl03,pass_att,27,,,,,
player,201811180was,was,SmitAl03,pass_yds,135,,,,,
player,201811180was,was,SmitAl03,pass_td,0,,,,,
player,201811180was,was,SmitAl03,pass_int,2,,,,,
player,201811180was,was,SmitAl03,pass_sacked,3,,,,,
player,201811180was,was,SmitAl03,pass_sacked_yds,22,,,,,
player,201811180was,was,SmitAl03,pass_long,24,,,,,
player,201811180was,was,SmitAl03,pass_rating,29.1,,,,,
player,201811180was,was,SmitAl03,rush_att,4,,,,,
player,201811180was,was,SmitAl03,rush_yds,33,,,,,
player,201811180was,was,SmitAl03,rush_td,0,,,,,
player,201811180was,was,SmitAl03,rush_long,15,,,,,
player,201811180was,was,SmitAl03,targets,0,,,,,
player,201811180was,was,SmitAl03,rec,0,,,,,
player,201811180was,was,SmitAl03,rec_yds,0,,,,,
player,201811180was,was,SmitAl03,rec_td,0,,,,,
player,201811180was,was,SmitAl03,rec_long,0,,,,,
player,201811180was,was,SmitAl03,fumbles,0,,,,,
player,201811180was,was,SmitAl03,fumbles_lost,0,,,,,
player,201811180was,was,McCoCo00,pass_cmp,6,,,,,
player,201811180was,was,McCoCo00,pass_att,12,,,,,
player,201811180was,was,McCoCo00,pass_yds,54,,,,,
player,201811180was,was,McCoCo00,pass_td,1,,,,,
player,201811180was,was,McCoCo00,pass_int,0,,,,,
player,201811180was,was,McCoCo00,pass_sacked,2,,,,,
player,201811180was,was,McCoCo00,pass_sacked_yds,13,,,,,
player,201811180was,was,McCoCo00,pass_long,12,,,,,
player,201811180was,was,McCoCo00,pass_rating,90.3,,,,,
player,201811180was,was,McCoCo00,rush_att,5,,,,,
player,201811180was,was,McCoCo00,rush_yds,35,,,,,
player,201811180was,was,McCoCo00,rush_td,0,,,,,
player,201811180was,was,McCoCo00,rush_long,15,,,,,
player,201811180was,was,McCoCo00,targets,0,,,,,
player,201811180was,was,McCoCo00,rec,0,,,,,
player,201811180was,was,McCoCo00,rec_yds,0,,,,,
player,201811180was,was,McCoCo00,rec_td,0,,,,,
player,201811180was,was,McCoCo00,rec_long,0,,,,,
player,201811180was,was,McCoCo00,fumbles,0,,,,,
player,201811180was,was,McCoCo00,fumbles_lost,0,,,,,
player,201811180was,was,PeteAd01,pass_cmp,0,,,,,
player,201811180was,was,PeteAd01,pass_att,0,,,,,
player,201811180was,was,PeteAd01,pass_yds,0,,,,,
player,201811180was,was,PeteAd01,pass_td,0,,,,,
player,201811180was,was,PeteAd01,pass_int,0,,,,,
player,201811180was,was,PeteAd01,pass_sacked,0,,,,,
player,201811180was,was,PeteAd01,pass_sacked_yds,0,,,,,
player,201811180was,was,PeteAd01,pass_long,0,,,,,
player,201811180was,was,PeteAd01,pass_rating,,,,,,
player,201811180was,was,PeteAd01,rush_att,16,,,,,
player,201811180was,was,PeteAd01,rush_yds,51,,,,,
player,201811180was,was,PeteAd01,rush_td,2,,,,,
player,201811180was,was,PeteAd01,rush_long,9,,,,,
player,201811180was,was,PeteAd01,targets,0,,,,,
player,201811180was,was,PeteAd01,rec,0,,,,,
player,201811180was,was,PeteAd01,rec_yds,0,,,,,
player,201811180was,was,PeteAd01,rec_td,0,,,,,
player,201811180was,was,PeteAd01,rec_long,0,,,,,
player,201811180was,was,PeteAd01,fumbles,1,,,,,
player,201811180was,was,PeteAd01,fumbles_lost,0,,,,,
player,201811180was,was,MarsBy01,pass_cmp,0,,,,,
player,201811180was,was,MarsBy01,pass_att,0,,,,,
player,201811180was,was,MarsBy01,pass_yds,0,,,,,
player,201811180was,was,MarsBy01,pass_td,0,,,,,
player,201811180was,was,MarsBy01,pass_int,0,,,,,
player,201811180was,was,MarsBy01,pass_sacked,0,,,,,
player,201811180was,was,MarsBy01,pass_sacked_yds,0,,,,,
player,201811180was,was,MarsBy01,pass_long,0,,,,,
player,201811180was,was,MarsBy01,pass_rating,,,,,,
player,201811180was,was,MarsBy01,rush_att,2,,,,,
player,201811180was,was,MarsBy01,rush_yds,5,,,,,
player,201811180was,was,MarsBy01,rush_td,0,,,,,
player,201811180was,was,MarsBy01,rush_long,4,,,,,
player,201811180was,was,MarsBy01,targets,1,,,,,
player,201811180was,was,MarsBy01,rec,0,,,,,
player,201811180was,was,MarsBy01,rec_yds,0,,,,,
player,201811180was,was,MarsBy01,rec_td,0,,,,,
player,201811180was,was,MarsBy01,rec_long,0,,,,,
player,201811180was,was,MarsBy01,fumbles,0,,,,,
player,201811180was,was,MarsBy01,fumbles_lost,0,,,,,
player,201811180was,was,ReedJo02,pass_cmp,0,,,,,
player,201811180was,was,ReedJo02,pass_att,0,,,,,
player,201811180was,was,ReedJo02,pass_yds,0,,,,,
player,201811180was,was,ReedJo02,pass_td,0,,,,,
player,201811180was,was,ReedJo02,pass_int,0,,,,,
player,201811180was,was,ReedJo02,pass_sacked,0,,,,,
player,201811180was,was,ReedJo02,pass_sacked_yds,0,,,,,
player,201811180was,was,ReedJo02,pass_long,0,,,,,
player,201811180was,was,ReedJo02,pass_rating,,,,,,
player,201811180was,was,ReedJo02,rush_att,0,,,,,
player,201811180was,was,ReedJo02,rush_yds,0,,,,,
player,201811180was,was,ReedJo02,rush_td,0,,,,,
player,201811180was,was,ReedJo02,rush_long,0,,,,,
player,201811180was,was,ReedJo02,targets,11,,,,,
player,201811180was,was,ReedJo02,rec,7,,,,,
player,201811180was,was,ReedJo02,rec_yds,71,,,,,
player,201811180was,was,ReedJo02,rec_td,1,,,,,
player,201811180was,was,ReedJo02,rec_long,24,,,,,
player,201811180was,was,ReedJo02,fumbles,0,,,,,
player,201811180was,was,ReedJo02,fumbles_lost,0,,,,,
player,201811180was,was,QuinTr00,pass_cmp,0,,,,,
player,201811180was,was,QuinTr00,pass_att,0,,,,,
player,201811180was,was,QuinTr00,pass_yds,0,,,,,
player,201811180was,was,QuinTr00,pass_td,0,,,,,
player,201811180was,was,QuinTr00,pass_int,0,,,,,
player,201811180was,was,QuinTr00,pass_sacked,0,,,,,
player,201811180was,was,QuinTr00,pass_sacked_yds,0,,,,,
player,201811180was,was,QuinTr00,pass_long,0,,,,,
player,201811180was,was,QuinTr00,pass_rating,,,,,,
player,201811180was,was,QuinTr00,rush_att,1,,,,,
player,201811180was,was,QuinTr00,rush_yds,0,,,,,
player,201811180was,was,QuinTr00,rush_td,0,,,,,
player,201811180was,was,QuinTr00,rush_long,0,,,,,
player,201811180was,was,QuinTr00,targets,4,,,,,
player,201811180was,was,QuinTr00,rec,4,,,,,
player,201811180was,was,QuinTr00,rec_yds,49,,,,,
player,201811180was,was,QuinTr00,rec_td,0,,,,,
player,201811180was,was,QuinTr00,rec_long,15,,,,,
player,201811180was,was,QuinTr00,fumbles,0,,,,,
player,201811180was,was,QuinTr00,fumbles_lost,0,,,,,
player,201811180was,was,DoctJo00,pass_cmp,0,,,,,
player,201811180was,was,DoctJo00,pass_att,0,,,,,
player,201811180was,was,DoctJo00,pass_yds,0,,,,,
player,201811180was,was,DoctJo00,pass_td,0,,,,,
player,201811180was,was,DoctJo00,pass_int,0,,,,,
player,201811180was,was,DoctJo00,pass_sacked,0,,,,,
player,201811180was,was,DoctJo00,pass_sacked_yds,0,,,,,
player,201811180was,was,DoctJo00,pass_long,0,,,,,
player,201811180was,was,DoctJo00,pass_rating,,,,,,
player,201811180was,was,DoctJo00,rush_att,0,,,,,
player,201811180was,was,DoctJo00,rush_yds,0,,,,,
player,201811180was,was,DoctJo00,rush_td,0,,,,,
player,201811180was,was,DoctJo00,rush_long,0,,,,,
player,201811180was,was,DoctJo00,targets,7,,,,,
player,201811180was,was,DoctJo00,rec,3,,,,,
player,201811180was,was,DoctJo00,rec_yds,32,,,,,
player,201811180was,was,DoctJo00,rec_td,0,,,,,
player,201811180was,was,DoctJo00,rec_long,12,,,,,
player,201811180was,was,DoctJo00,fumbles,0,,,,,
player,201811180was,was,DoctJo00,fumbles_lost,0,,,,,
player,201811180was,was,FloyMi00,pass_cmp,0,,,,,
player,201811180was,was,FloyMi00,pass_att,0,,,,,
player,201811180was,was,FloyMi00,pass_yds,0,,,,,
player,201811180was,was,FloyMi00,pass_td,0,,,,,
player,201811180was,was,FloyMi00,pass_int,0,,,,,
player,201811180was,was,FloyMi00,pass_sacked,0,,,,,
player,201811180was,was,FloyMi00,pass_sacked_yds,0,,,,,
player,201811180was,was,FloyMi00,pass_long,0,,,,,
player,201811180was,was,FloyMi00,pass_rating,,,,,,
player,201811180was,was,FloyMi00,rush_att,0,,,,,
player,201811180was,was,FloyMi00,rush_yds,0,,,,,
player,201811180was,was,FloyMi00,rush_td,0,,,,,
player,201811180was,was,FloyMi00,rush_long,0,,,,,
player,201811180was,was,FloyMi00,targets,3,,,,,
player,201811180was,was,FloyMi00,rec,1,,,,,
player,201811180was,was,FloyMi00,rec_yds,18,,,,,
player,201811180was,was,FloyMi00,rec_td,0,,,,,
player,201811180was,was,FloyMi00,rec_long,18,,,,,
player,201811180was,was,FloyMi00,fumbles,0,,,,,
player,201811180was,was,FloyMi00,fumbles_lost,0,,,,,
player,201811180was,was,HarrMa05,pass_cmp,0,,,,,
player,201811180was,was,HarrMa05,pass_att,0,,,,,
player,201811180was,was,HarrMa05,pass_yds,0,,,,,
player,201811180was,was,HarrMa05,pass_td,0,,,,,
player,201811180was,was,HarrMa05,pass_int,0,,,,,
player,201811180was,was,HarrMa05,pass_sacked,0,,,,,
player,201811180was,was,HarrMa05,pass_sacked_yds,0,,,,,
player,201811180was,was,HarrMa05,pass_long,0,,,,,
player,201811180was,was,HarrMa05,pass_rating,,,,,,
player,201811180was,was,HarrMa05,rush_att,0,,,,,
player,201811180was,was,HarrMa05,rush_yds,0,,,,,
player,201811180was,was,HarrMa05,rush_td,0,,,,,
player,201811180was,was,HarrMa05,rush_long,0,,,,,
player,201811180was,was,HarrMa05,targets,4,,,,,
player,201811180was,was,HarrMa05,rec,1,,,,,
player,201811180was,was,HarrMa05,rec_yds,13,,,,,
player,201811180was,was,HarrMa05,rec_td,0,,,,,
player,201811180was,was,HarrMa05,rec_long,13,,,,,
player,201811180was,was,HarrMa05,fumbles,0,,,,,
player,201811180was,was,HarrMa05,fumbles_lost,0,,,,,
player,201811180was,was,BibbKa00,pass_cmp,0,,,,,
player,201811180was,was,BibbKa00,pass_att,0,,,,,
player,201811180was,was,BibbKa00,pass_yds,0,,,,,
player,201811180was,was,BibbKa00,pass_td,0,,,,,
player,201811180was,was,BibbKa00,pass_int,0,,,,,
player,201811180was,was,BibbKa00,pass_sacked,0,,,,,
player,201811180was,was,BibbKa00,pass_sacked_yds,0,,,,,
player,201811180was,was,BibbKa00,pass_long,0,,,,,
player,201811180was,was,BibbKa00,pass_rating,,,,,,
player,201811180was,was,BibbKa00,rush_att,1,,,,,
player,201811180was,was,BibbKa00,rush_yds,0,,,,,
player,201811180was,was,BibbKa00,rush_td,0,,,,,
player,201811180was,was,BibbKa00,rush_long,0,,,,,
player,201811180was,was,BibbKa00,targets,3,,,,,
player,201811180was,was,BibbKa00,rec,2,,,,,
player,201811180was,was,BibbKa00,rec_yds,6,,,,,
player,201811180was,was,BibbKa00,rec_td,0,,,,,
player,201811180was,was,BibbKa00,rec_long,6,,,,,
player,201811180was,was,BibbKa00,fumbles,0,,,,,
player,201811180was,was,BibbKa00,fumbles_lost,0,,,,,
