game,2018,14,20181209,201812090chi,ram,"Los Angeles Rams",6,chi,"Chicago Bears",15
team,201812090chi,ram,First Downs,14,,,,,,
team,201812090chi,chi,First Downs,17,,,,,,
team,201812090chi,ram,Rush-Yds-TDs,13-52-0,,,,,,
team,201812090chi,chi,Rush-Yds-TDs,35-194-0,,,,,,
team,201812090chi,ram,Cmp-Att-Yd-TD-INT,21-45-187-0-4,,,,,,
team,201812090chi,chi,Cmp-Att-Yd-TD-INT,16-30-110-1-3,,,,,,
team,201812090chi,ram,Sacked-Yards,3-25,,,,,,
team,201812090chi,chi,Sacked-Yards,1-10,,,,,,
team,201812090chi,ram,Net Pass Yards,162,,,,,,
team,201812090chi,chi,Net Pass Yards,100,,,,,,
team,201812090chi,ram,Total Yards,214,,,,,,
team,201812090chi,chi,Total Yards,294,,,,,,
team,201812090chi,ram,Fumbles-Lost,1-0,,,,,,
team,201812090chi,chi,Fumbles-Lost,0-0,,,,,,
team,201812090chi,ram,Turnovers,4,,,,,,
team,201812090chi,chi,Turnovers,3,,,,,,
team,201812090chi,ram,Penalties-Yards,9-57,,,,,,
team,201812090chi,chi,Penalties-Yards,6-45,,,,,,
team,201812090chi,ram,Third Down Conv.,3-12,,,,,,
team,201812090chi,chi,Third Down Conv.,7-16,,,,,,
team,201812090chi,ram,Fourth Down Conv.,1-3,,,,,,
team,201812090chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201812090chi,ram,Time of Possession,23:11,,,,,,
team,201812090chi,chi,Time of Possession,36:49,,,,,,
player,201812090chi,ram,GoffJa00,pass_cmp,20,,,,,
player,201812090chi,ram,GoffJa00,pass_att,44,,,,,
player,201812090chi,ram,GoffJa00,pass_yds,180,,,,,
player,201812090chi,ram,GoffJa00,pass_td,0,,,,,
player,201812090chi,ram,GoffJa00,pass_int,4,,,,,
player,201812090chi,ram,GoffJa00,pass_sacked,3,,,,,
player,201812090chi,ram,GoffJa00,pass_sacked_yds,25,,,,,
player,201812090chi,ram,GoffJa00,pass_long,29,,,,,
player,201812090chi,ram,GoffJa00,pass_rating,19.1,,,,,
player,201812090chi,ram,GoffJa00,rush_att,1,,,,,
player,201812090chi,ram,GoffJa00,rush_yds,5,,,,,
player,201812090chi,ram,GoffJa00,rush_td,0,,,,,
player,201812090chi,ram,GoffJa00,rush_long,5,,,,,
player,201812090chi,ram,GoffJa00,targets,0,,,,,
player,201812090chi,ram,GoffJa00,rec,0,,,,,
