game,2018,1,20180909,201809090mia,oti,"Tennessee Titans",20,mia,"Miami Dolphins",27
team,201809090mia,oti,First Downs,19,,,,,,
team,201809090mia,mia,First Downs,18,,,,,,
team,201809090mia,oti,Rush-Yds-TDs,29-116-1,,,,,,
team,201809090mia,mia,Rush-Yds-TDs,29-120-0,,,,,,
team,201809090mia,oti,Cmp-Att-Yd-TD-INT,20-38-220-0-3,,,,,,
team,201809090mia,mia,Cmp-Att-Yd-TD-INT,20-28-230-2-2,,,,,,
team,201809090mia,oti,Sacked-Yards,0-0,,,,,,
team,201809090mia,mia,Sacked-Yards,1-8,,,,,,
team,201809090mia,oti,Net Pass Yards,220,,,,,,
team,201809090mia,mia,Net Pass Yards,222,,,,,,
team,201809090mia,oti,Total Yards,336,,,,,,
team,201809090mia,mia,Total Yards,342,,,,,,
team,201809090mia,oti,Fumbles-Lost,0-0,,,,,,
team,201809090mia,mia,Fumbles-Lost,0-0,,,,,,
team,201809090mia,oti,Turnovers,3,,,,,,
team,201809090mia,mia,Turnovers,2,,,,,,
team,201809090mia,oti,Penalties-Yards,5-48,,,,,,
team,201809090mia,mia,Penalties-Yards,7-51,,,,,,
team,201809090mia,oti,Third Down Conv.,6-14,,,,,,
team,201809090mia,mia,Third Down Conv.,2-10,,,,,,
team,201809090mia,oti,Fourth Down Conv.,0-2,,,,,,
team,201809090mia,mia,Fourth Down Conv.,0-1,,,,,,
team,201809090mia,oti,Time of Possession,29:35,,,,,,
team,201809090mia,mia,Time of Possession,30:25,,,,,,
player,201809090mia,oti,GabbBl00,pass_cmp,11,,,,,
player,201809090mia,oti,GabbBl00,pass_att,22,,,,,
player,201809090mia,oti,GabbBl00,pass_yds,117,,,,,
player,201809090mia,oti,GabbBl00,pass_td,0,,,,,
player,201809090mia,oti,GabbBl00,pass_int,1,,,,,
player,201809090mia,oti,GabbBl00,pass_sacked,0,,,,,
player,201809090mia,oti,GabbBl00,pass_sacked_yds,0,,,,,
player,201809090mia,oti,GabbBl00,pass_long,18,,,,,
player,201809090mia,oti,GabbBl00,pass_rating,47.0,,,,,
player,201809090mia,oti,GabbBl00,rush_att,0,,,,,
player,201809090mia,oti,GabbBl00,rush_yds,0,,,,,
player,201809090mia,oti,GabbBl00,rush_td,0,,,,,
player,201809090mia,oti,GabbBl00,rush_long,0,,,,,
player,201809090mia,oti,GabbBl00,targets,0,,,,,
player,201809090mia,oti,GabbBl00,rec,0,,,,,
player,201809090mia,oti,GabbBl00,rec_yds,0,,,,,
player,201809090mia,oti,GabbBl00,rec_td,0,,,,,
player,201809090mia,oti,GabbBl00,rec_long,0,,,,,
player,201809090mia,oti,GabbBl00,fumbles,0,,,,,
player,201809090mia,oti,GabbBl00,fumbles_lost,0,,,,,
player,201809090mia,oti,MariMa01,pass_cmp,9,,,,,
player,201809090mia,oti,MariMa01,pass_att,16,,,,,
player,201809090mia,oti,MariMa01,pass_yds,103,,,,,
player,201809090mia,oti,MariMa01,pass_td,0,,,,,
player,201809090mia,oti,MariMa01,pass_int,2,,,,,
player,201809090mia,oti,MariMa01,pass_sacked,0,,,,,
player,201809090mia,oti,MariMa01,pass_sacked_yds,0,,,,,
player,201809090mia,oti,MariMa01,pass_long,31,,,,,
player,201809090mia,oti,MariMa01,pass_rating,36.2,,,,,
player,201809090mia,oti,MariMa01,rush_att,3,,,,,
player,201809090mia,oti,MariMa01,rush_yds,15,,,,,
player,201809090mia,oti,MariMa01,rush_td,0,,,,,
player,201809090mia,oti,MariMa01,rush_long,7,,,,,
player,201809090mia,oti,MariMa01,targets,0,,,,,
player,201809090mia,oti,MariMa01,rec,0,,,,,
player,201809090mia,oti,MariMa01,rec_yds,0,,,,,
player,201809090mia,oti,MariMa01,rec_td,0,,,,,
player,201809090mia,oti,MariMa01,rec_long,0,,,,,
player,201809090mia,oti,MariMa01,fumbles,0,,,,,
player,201809090mia,oti,MariMa01,fumbles_lost,0,,,,,
player,201809090mia,oti,LewiDi00,pass_cmp,0,,,,,
player,201809090mia,oti,LewiDi00,pass_att,0,,,,,
player,201809090mia,oti,LewiDi00,pass_yds,0,,,,,
player,201809090mia,oti,LewiDi00,pass_td,0,,,,,
player,201809090mia,oti,LewiDi00,pass_int,0,,,,,
player,201809090mia,oti,LewiDi00,pass_sacked,0,,,,,
player,201809090mia,oti,LewiDi00,pass_sacked_yds,0,,,,,
player,201809090mia,oti,LewiDi00,pass_long,0,,,,,
player,201809090mia,oti,LewiDi00,pass_rating,,,,,,
player,201809090mia,oti,LewiDi00,rush_att,16,,,,,
player,201809090mia,oti,LewiDi00,rush_yds,75,,,,,
