game,2018,3,20180923,201809230atl,nor,"New Orleans Saints",43,atl,"Atlanta Falcons",37
player,201809230atl,atl,PaulLo00,rec_first_down,1,,,,,
player,201809230atl,atl,PaulLo00,rec_air_yds,4,,,,,
player,201809230atl,atl,PaulLo00,rec_air_yds_per_rec,4.0,,,,,
player,201809230atl,atl,PaulLo00,rec_yac,7,,,,,
player,201809230atl,atl,PaulLo00,rec_yac_per_rec,7.0,,,,,
player,201809230atl,atl,PaulLo00,rec_broken_tackles,0,,,,,
player,201809230atl,atl,PaulLo00,rec_broken_tackles_per_rec,,,,,,
player,201809230atl,atl,PaulLo00,rec_drops,0,,,,,
player,201809230atl,atl,PaulLo00,rec_drop_pct,0.0,,,,,
player,201809230atl,atl,HallMa02,targets,1,,,,,
player,201809230atl,atl,HallMa02,rec,1,,,,,
player,201809230atl,atl,HallMa02,rec_yds,7,,,,,
player,201809230atl,atl,HallMa02,rec_first_down,,,,,,
player,201809230atl,atl,HallMa02,rec_air_yds,-1,,,,,
player,201809230atl,atl,HallMa02,rec_air_yds_per_rec,-1.0,,,,,
player,201809230atl,atl,HallMa02,rec_yac,8,,,,,
player,201809230atl,atl,HallMa02,rec_yac_per_rec,8.0,,,,,
player,201809230atl,atl,HallMa02,rec_broken_tackles,0,,,,,
player,201809230atl,atl,HallMa02,rec_broken_tackles_per_rec,,,,,,
player,201809230atl,atl,HallMa02,rec_drops,0,,,,,
player,201809230atl,atl,HallMa02,rec_drop_pct,0.0,,,,,
player,201809230atl,atl,SchrRy00,pos,T,,,,,
player,201809230atl,atl,SchrRy00,offense,68,,,,,
player,201809230atl,atl,SchrRy00,off_pct,100%,,,,,
player,201809230atl,atl,SchrRy00,defense,0,,,,,
player,201809230atl,atl,SchrRy00,def_pct,0%,,,,,
player,201809230atl,atl,SchrRy00,special_teams,4,,,,,
player,201809230atl,atl,SchrRy00,st_pct,11%,,,,,
player,201809230atl,atl,MattJa00,pos,T,,,,,
player,201809230atl,atl,MattJa00,offense,68,,,,,
player,201809230atl,atl,MattJa00,off_pct,100%,,,,,
player,201809230atl,atl,MattJa00,defense,0,,,,,
player,201809230atl,atl,MattJa00,def_pct,0%,,,,,
player,201809230atl,atl,MattJa00,special_teams,4,,,,,
player,201809230atl,atl,MattJa00,st_pct,11%,,,,,
player,201809230atl,atl,FuscBr00,pos,G,,,,,
player,201809230atl,atl,FuscBr00,offense,68,,,,,
player,201809230atl,atl,FuscBr00,off_pct,100%,,,,,
