game,2018,6,20181015,201810150gnb,sfo,"San Francisco 49ers",30,gnb,"Green Bay Packers",33
team,201810150gnb,sfo,First Downs,18,,,,,,
team,201810150gnb,gnb,First Downs,26,,,,,,
team,201810150gnb,sfo,Rush-Yds-TDs,30-174-1,,,,,,
team,201810150gnb,gnb,Rush-Yds-TDs,21-116-1,,,,,,
team,201810150gnb,sfo,Cmp-Att-Yd-TD-INT,16-23-245-2-1,,,,,,
team,201810150gnb,gnb,Cmp-Att-Yd-TD-INT,25-46-425-2-0,,,,,,
team,201810150gnb,sfo,Sacked-Yards,2-18,,,,,,
team,201810150gnb,gnb,Sacked-Yards,3-20,,,,,,
team,201810150gnb,sfo,Net Pass Yards,227,,,,,,
team,201810150gnb,gnb,Net Pass Yards,405,,,,,,
team,201810150gnb,sfo,Total Yards,401,,,,,,
team,201810150gnb,gnb,Total Yards,521,,,,,,
team,201810150gnb,sfo,Fumbles-Lost,2-2,,,,,,
team,201810150gnb,gnb,Fumbles-Lost,0-0,,,,,,
team,201810150gnb,sfo,Turnovers,3,,,,,,
team,201810150gnb,gnb,Turnovers,0,,,,,,
team,201810150gnb,sfo,Penalties-Yards,2-10,,,,,,
team,201810150gnb,gnb,Penalties-Yards,6-54,,,,,,
team,201810150gnb,sfo,Third Down Conv.,2-9,,,,,,
team,201810150gnb,gnb,Third Down Conv.,4-13,,,,,,
team,201810150gnb,sfo,Fourth Down Conv.,0-0,,,,,,
team,201810150gnb,gnb,Fourth Down Conv.,1-2,,,,,,
team,201810150gnb,sfo,Time of Possession,28:52,,,,,,
team,201810150gnb,gnb,Time of Possession,31:08,,,,,,
player,201810150gnb,sfo,BeatC.00,pass_cmp,16,,,,,
player,201810150gnb,sfo,BeatC.00,pass_att,23,,,,,
player,201810150gnb,sfo,BeatC.00,pass_yds,245,,,,,
player,201810150gnb,sfo,BeatC.00,pass_td,2,,,,,
player,201810150gnb,sfo,BeatC.00,pass_int,1,,,,,
player,201810150gnb,sfo,BeatC.00,pass_sacked,2,,,,,
player,201810150gnb,sfo,BeatC.00,pass_sacked_yds,18,,,,,
player,201810150gnb,sfo,BeatC.00,pass_long,67,,,,,
