game,2018,10,20181111,201811110cle,atl,"Atlanta Falcons",16,cle,"Cleveland Browns",28
team,201811110cle,atl,First Downs,25,,,,,,
team,201811110cle,cle,First Downs,19,,,,,,
team,201811110cle,atl,Rush-Yds-TDs,19-71-0,,,,,,
team,201811110cle,cle,Rush-Yds-TDs,29-211-1,,,,,,
team,201811110cle,atl,Cmp-Att-Yd-TD-INT,38-52-330-2-0,,,,,,
team,201811110cle,cle,Cmp-Att-Yd-TD-INT,17-21-216-3-1,,,,,,
team,201811110cle,atl,Sacked-Yards,2-19,,,,,,
team,201811110cle,cle,Sacked-Yards,0-0,,,,,,
team,201811110cle,atl,Net Pass Yards,311,,,,,,
team,201811110cle,cle,Net Pass Yards,216,,,,,,
team,201811110cle,atl,Total Yards,382,,,,,,
team,201811110cle,cle,Total Yards,427,,,,,,
team,201811110cle,atl,Fumbles-Lost,4-2,,,,,,
team,201811110cle,cle,Fumbles-Lost,1-0,,,,,,
team,201811110cle,atl,Turnovers,2,,,,,,
team,201811110cle,cle,Turnovers,1,,,,,,
team,201811110cle,atl,Penalties-Yards,1-5,,,,,,
team,201811110cle,cle,Penalties-Yards,7-38,,,,,,
team,201811110cle,atl,Third Down Conv.,5-14,,,,,,
team,201811110cle,cle,Third Down Conv.,4-8,,,,,,
team,201811110cle,atl,Fourth Down Conv.,2-4,,,,,,
team,201811110cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201811110cle,atl,Time of Possession,31:23,,,,,,
team,201811110cle,cle,Time of Possession,28:37,,,,,,
player,201811110cle,atl,RyanMa00,pass_cmp,38,,,,,
player,201811110cle,atl,RyanMa00,pass_att,52,,,,,
player,201811110cle,atl,RyanMa00,pass_yds,330,,,,,
player,201811110cle,atl,RyanMa00,pass_td,2,,,,,
player,201811110cle,atl,RyanMa00,pass_int,0,,,,,
player,201811110cle,atl,RyanMa00,pass_sacked,2,,,,,
player,201811110cle,atl,RyanMa00,pass_sacked_yds,19,,,,,
player,201811110cle,atl,RyanMa00,pass_long,31,,,,,
player,201811110cle,atl,RyanMa00,pass_rating,102.2,,,,,
player,201811110cle,atl,RyanMa00,rush_att,3,,,,,
player,201811110cle,atl,RyanMa00,rush_yds,13,,,,,
player,201811110cle,atl,RyanMa00,rush_td,0,,,,,
player,201811110cle,atl,RyanMa00,rush_long,8,,,,,
player,201811110cle,atl,RyanMa00,targets,0,,,,,
player,201811110cle,atl,RyanMa00,rec,0,,,,,
player,201811110cle,atl,RyanMa00,rec_yds,0,,,,,
player,201811110cle,atl,RyanMa00,rec_td,0,,,,,
player,201811110cle,atl,RyanMa00,rec_long,0,,,,,
player,201811110cle,atl,RyanMa00,fumbles,2,,,,,
player,201811110cle,atl,RyanMa00,fumbles_lost,1,,,,,
player,201811110cle,atl,ColeTe01,pass_cmp,0,,,,,
player,201811110cle,atl,ColeTe01,pass_att,0,,,,,
player,201811110cle,atl,ColeTe01,pass_yds,0,,,,,
player,201811110cle,atl,ColeTe01,pass_td,0,,,,,
player,201811110cle,atl,ColeTe01,pass_int,0,,,,,
player,201811110cle,atl,ColeTe01,pass_sacked,0,,,,,
player,201811110cle,atl,ColeTe01,pass_sacked_yds,0,,,,,
player,201811110cle,atl,ColeTe01,pass_long,0,,,,,
player,201811110cle,atl,ColeTe01,pass_rating,,,,,,
player,201811110cle,atl,ColeTe01,rush_att,11,,,,,
player,201811110cle,atl,ColeTe01,rush_yds,44,,,,,
player,201811110cle,atl,ColeTe01,rush_td,0,,,,,
player,201811110cle,atl,ColeTe01,rush_long,18,,,,,
player,201811110cle,atl,ColeTe01,targets,5,,,,,
player,201811110cle,atl,ColeTe01,rec,3,,,,,
player,201811110cle,atl,ColeTe01,rec_yds,19,,,,,
player,201811110cle,atl,ColeTe01,rec_td,0,,,,,
player,201811110cle,atl,ColeTe01,rec_long,8,,,,,
player,201811110cle,atl,ColeTe01,fumbles,0,,,,,
player,201811110cle,atl,ColeTe01,fumbles_lost,0,,,,,
player,201811110cle,atl,SmitIt00,pass_cmp,0,,,,,
player,201811110cle,atl,SmitIt00,pass_att,0,,,,,
player,201811110cle,atl,SmitIt00,pass_yds,0,,,,,
player,201811110cle,atl,SmitIt00,pass_td,0,,,,,
player,201811110cle,atl,SmitIt00,pass_int,0,,,,,
player,201811110cle,atl,SmitIt00,pass_sacked,0,,,,,
player,201811110cle,atl,SmitIt00,pass_sacked_yds,0,,,,,
player,201811110cle,atl,SmitIt00,pass_long,0,,,,,
player,201811110cle,atl,SmitIt00,pass_rating,,,,,,
player,201811110cle,atl,SmitIt00,rush_att,4,,,,,
player,201811110cle,atl,SmitIt00,rush_yds,11,,,,,
player,201811110cle,atl,SmitIt00,rush_td,0,,,,,
player,201811110cle,atl,SmitIt00,rush_long,4,,,,,
player,201811110cle,atl,SmitIt00,targets,5,,,,,
player,201811110cle,atl,SmitIt00,rec,4,,,,,
player,201811110cle,atl,SmitIt00,rec_yds,15,,,,,
player,201811110cle,atl,SmitIt00,rec_td,0,,,,,
player,201811110cle,atl,SmitIt00,rec_long,8,,,,,
player,201811110cle,atl,SmitIt00,fumbles,0,,,,,
player,201811110cle,atl,SmitIt00,fumbles_lost,0,,,,,
player,201811110cle,atl,RidlCa00,pass_cmp,0,,,,,
player,201811110cle,atl,RidlCa00,pass_att,0,,,,,
player,201811110cle,atl,RidlCa00,pass_yds,0,,,,,
player,201811110cle,atl,RidlCa00,pass_td,0,,,,,
player,201811110cle,atl,RidlCa00,pass_int,0,,,,,
player,201811110cle,atl,RidlCa00,pass_sacked,0,,,,,
player,201811110cle,atl,RidlCa00,pass_sacked_yds,0,,,,,
player,201811110cle,atl,RidlCa00,pass_long,0,,,,,
player,201811110cle,atl,RidlCa00,pass_rating,,,,,,
player,201811110cle,atl,RidlCa00,rush_att,1,,,,,
player,201811110cle,atl,RidlCa00,rush_yds,3,,,,,
player,201811110cle,atl,RidlCa00,rush_td,0,,,,,
player,201811110cle,atl,RidlCa00,rush_long,3,,,,,
player,201811110cle,atl,RidlCa00,targets,5,,,,,
player,201811110cle,atl,RidlCa00,rec,3,,,,,
player,201811110cle,atl,RidlCa00,rec_yds,37,,,,,
player,201811110cle,atl,RidlCa00,rec_td,0,,,,,
player,201811110cle,atl,RidlCa00,rec_long,31,,,,,
player,201811110cle,atl,RidlCa00,fumbles,0,,,,,
