game,2018,14,20181209,201812090tam,nor,"New Orleans Saints",28,tam,"Tampa Bay Buccaneers",14
team,201812090tam,nor,First Downs,19,,,,,,
team,201812090tam,tam,First Downs,20,,,,,,
team,201812090tam,nor,Rush-Yds-TDs,30-100-2,,,,,,
team,201812090tam,tam,Rush-Yds-TDs,23-105-0,,,,,,
team,201812090tam,nor,Cmp-Att-Yd-TD-INT,24-31-201-1-1,,,,,,
team,201812090tam,tam,Cmp-Att-Yd-TD-INT,18-38-213-2-1,,,,,,
team,201812090tam,nor,Sacked-Yards,1-3,,,,,,
team,201812090tam,tam,Sacked-Yards,4-39,,,,,,
team,201812090tam,nor,Net Pass Yards,198,,,,,,
team,201812090tam,tam,Net Pass Yards,174,,,,,,
team,201812090tam,nor,Total Yards,298,,,,,,
team,201812090tam,tam,Total Yards,279,,,,,,
team,201812090tam,nor,Fumbles-Lost,1-1,,,,,,
team,201812090tam,tam,Fumbles-Lost,1-0,,,,,,
team,201812090tam,nor,Turnovers,2,,,,,,
team,201812090tam,tam,Turnovers,1,,,,,,
team,201812090tam,nor,Penalties-Yards,6-51,,,,,,
team,201812090tam,tam,Penalties-Yards,10-84,,,,,,
team,201812090tam,nor,Third Down Conv.,6-12,,,,,,
team,201812090tam,tam,Third Down Conv.,6-14,,,,,,
team,201812090tam,nor,Fourth Down Conv.,1-1,,,,,,
team,201812090tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201812090tam,nor,Time of Possession,31:53,,,,,,
team,201812090tam,tam,Time of Possession,28:07,,,,,,
player,201812090tam,nor,BreeDr00,pass_cmp,24,,,,,
player,201812090tam,nor,BreeDr00,pass_att,31,,,,,
player,201812090tam,nor,BreeDr00,pass_yds,201,,,,,
player,201812090tam,nor,BreeDr00,pass_td,1,,,,,
player,201812090tam,nor,BreeDr00,pass_int,1,,,,,
player,201812090tam,nor,BreeDr00,pass_sacked,1,,,,,
player,201812090tam,nor,BreeDr00,pass_sacked_yds,3,,,,,
player,201812090tam,nor,BreeDr00,pass_long,20,,,,,
player,201812090tam,nor,BreeDr00,pass_rating,90.9,,,,,
player,201812090tam,nor,BreeDr00,rush_att,3,,,,,
player,201812090tam,nor,BreeDr00,rush_yds,-1,,,,,
player,201812090tam,nor,BreeDr00,rush_td,1,,,,,
player,201812090tam,nor,BreeDr00,rush_long,1,,,,,
player,201812090tam,nor,BreeDr00,targets,0,,,,,
player,201812090tam,nor,BreeDr00,rec,0,,,,,
player,201812090tam,nor,BreeDr00,rec_yds,0,,,,,
player,201812090tam,nor,BreeDr00,rec_td,0,,,,,
player,201812090tam,nor,BreeDr00,rec_long,0,,,,,
player,201812090tam,nor,BreeDr00,fumbles,1,,,,,
player,201812090tam,nor,BreeDr00,fumbles_lost,1,,,,,
player,201812090tam,nor,IngrMa01,pass_cmp,0,,,,,
player,201812090tam,nor,IngrMa01,pass_att,0,,,,,
player,201812090tam,nor,IngrMa01,pass_yds,0,,,,,
player,201812090tam,nor,IngrMa01,pass_td,0,,,,,
player,201812090tam,nor,IngrMa01,pass_int,0,,,,,
player,201812090tam,nor,IngrMa01,pass_sacked,0,,,,,
player,201812090tam,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201812090tam,nor,IngrMa01,pass_long,0,,,,,
player,201812090tam,nor,IngrMa01,pass_rating,,,,,,
player,201812090tam,nor,IngrMa01,rush_att,13,,,,,
player,201812090tam,nor,IngrMa01,rush_yds,52,,,,,
player,201812090tam,nor,IngrMa01,rush_td,1,,,,,
player,201812090tam,nor,IngrMa01,rush_long,17,,,,,
player,201812090tam,nor,IngrMa01,targets,3,,,,,
player,201812090tam,nor,IngrMa01,rec,1,,,,,
player,201812090tam,nor,IngrMa01,rec_yds,1,,,,,
player,201812090tam,nor,IngrMa01,rec_td,0,,,,,
player,201812090tam,nor,IngrMa01,rec_long,1,,,,,
player,201812090tam,nor,IngrMa01,fumbles,0,,,,,
player,201812090tam,nor,IngrMa01,fumbles_lost,0,,,,,
player,201812090tam,nor,KamaAl00,pass_cmp,0,,,,,
player,201812090tam,nor,KamaAl00,pass_att,0,,,,,
player,201812090tam,nor,KamaAl00,pass_yds,0,,,,,
player,201812090tam,nor,KamaAl00,pass_td,0,,,,,
player,201812090tam,nor,KamaAl00,pass_int,0,,,,,
player,201812090tam,nor,KamaAl00,pass_sacked,0,,,,,
player,201812090tam,nor,KamaAl00,pass_sacked_yds,0,,,,,
player,201812090tam,nor,KamaAl00,pass_long,0,,,,,
player,201812090tam,nor,KamaAl00,pass_rating,,,,,,
player,201812090tam,nor,KamaAl00,rush_att,12,,,,,
player,201812090tam,nor,KamaAl00,rush_yds,51,,,,,
player,201812090tam,nor,KamaAl00,rush_td,0,,,,,
player,201812090tam,nor,KamaAl00,rush_long,12,,,,,
player,201812090tam,nor,KamaAl00,targets,6,,,,,
player,201812090tam,nor,KamaAl00,rec,5,,,,,
player,201812090tam,nor,KamaAl00,rec_yds,36,,,,,
player,201812090tam,nor,KamaAl00,rec_td,0,,,,,
player,201812090tam,nor,KamaAl00,rec_long,15,,,,,
player,201812090tam,nor,KamaAl00,fumbles,0,,,,,
player,201812090tam,nor,KamaAl00,fumbles_lost,0,,,,,
player,201812090tam,nor,LineZa01,pass_cmp,0,,,,,
player,201812090tam,nor,LineZa01,pass_att,0,,,,,
player,201812090tam,nor,LineZa01,pass_yds,0,,,,,
player,201812090tam,nor,LineZa01,pass_td,0,,,,,
player,201812090tam,nor,LineZa01,pass_int,0,,,,,
player,201812090tam,nor,LineZa01,pass_sacked,0,,,,,
player,201812090tam,nor,LineZa01,pass_sacked_yds,0,,,,,
player,201812090tam,nor,LineZa01,pass_long,0,,,,,
player,201812090tam,nor,LineZa01,pass_rating,,,,,,
player,201812090tam,nor,LineZa01,rush_att,1,,,,,
player,201812090tam,nor,LineZa01,rush_yds,4,,,,,
player,201812090tam,nor,LineZa01,rush_td,0,,,,,
player,201812090tam,nor,LineZa01,rush_long,4,,,,,
player,201812090tam,nor,LineZa01,targets,1,,,,,
player,201812090tam,nor,LineZa01,rec,1,,,,,
player,201812090tam,nor,LineZa01,rec_yds,1,,,,,
player,201812090tam,nor,LineZa01,rec_td,1,,,,,
player,201812090tam,nor,LineZa01,rec_long,1,,,,,
player,201812090tam,nor,LineZa01,fumbles,0,,,,,
player,201812090tam,nor,LineZa01,fumbles_lost,0,,,,,
player,201812090tam,nor,ThomMi05,pass_cmp,0,,,,,
player,201812090tam,nor,ThomMi05,pass_att,0,,,,,
player,201812090tam,nor,ThomMi05,pass_yds,0,,,,,
player,201812090tam,nor,ThomMi05,pass_td,0,,,,,
player,201812090tam,nor,ThomMi05,pass_int,0,,,,,
player,201812090tam,nor,ThomMi05,pass_sacked,0,,,,,
player,201812090tam,nor,ThomMi05,pass_sacked_yds,0,,,,,
player,201812090tam,nor,ThomMi05,pass_long,0,,,,,
player,201812090tam,nor,ThomMi05,pass_rating,,,,,,
player,201812090tam,nor,ThomMi05,rush_att,0,,,,,
player,201812090tam,nor,ThomMi05,rush_yds,0,,,,,
player,201812090tam,nor,ThomMi05,rush_td,0,,,,,
player,201812090tam,nor,ThomMi05,rush_long,0,,,,,
player,201812090tam,nor,ThomMi05,targets,13,,,,,
player,201812090tam,nor,ThomMi05,rec,11,,,,,
player,201812090tam,nor,ThomMi05,rec_yds,98,,,,,
player,201812090tam,nor,ThomMi05,rec_td,0,,,,,
player,201812090tam,nor,ThomMi05,rec_long,20,,,,,
player,201812090tam,nor,ThomMi05,fumbles,0,,,,,
player,201812090tam,nor,ThomMi05,fumbles_lost,0,,,,,
player,201812090tam,nor,WatsBe00,pass_cmp,0,,,,,
player,201812090tam,nor,WatsBe00,pass_att,0,,,,,
player,201812090tam,nor,WatsBe00,pass_yds,0,,,,,
player,201812090tam,nor,WatsBe00,pass_td,0,,,,,
player,201812090tam,nor,WatsBe00,pass_int,0,,,,,
player,201812090tam,nor,WatsBe00,pass_sacked,0,,,,,
player,201812090tam,nor,WatsBe00,pass_sacked_yds,0,,,,,
player,201812090tam,nor,WatsBe00,pass_long,0,,,,,
player,201812090tam,nor,WatsBe00,pass_rating,,,,,,
player,201812090tam,nor,WatsBe00,rush_att,0,,,,,
player,201812090tam,nor,WatsBe00,rush_yds,0,,,,,
player,201812090tam,nor,WatsBe00,rush_td,0,,,,,
player,201812090tam,nor,WatsBe00,rush_long,0,,,,,
player,201812090tam,nor,WatsBe00,targets,3,,,,,
player,201812090tam,nor,WatsBe00,rec,3,,,,,
player,201812090tam,nor,WatsBe00,rec_yds,24,,,,,
player,201812090tam,nor,WatsBe00,rec_td,0,,,,,
player,201812090tam,nor,WatsBe00,rec_long,11,,,,,
player,201812090tam,nor,WatsBe00,fumbles,0,,,,,
player,201812090tam,nor,WatsBe00,fumbles_lost,0,,,,,
player,201812090tam,nor,KirkKe00,pass_cmp,0,,,,,
player,201812090tam,nor,KirkKe00,pass_att,0,,,,,
player,201812090tam,nor,KirkKe00,pass_yds,0,,,,,
player,201812090tam,nor,KirkKe00,pass_td,0,,,,,
player,201812090tam,nor,KirkKe00,pass_int,0,,,,,
player,201812090tam,nor,KirkKe00,pass_sacked,0,,,,,
player,201812090tam,nor,KirkKe00,pass_sacked_yds,0,,,,,
player,201812090tam,nor,KirkKe00,pass_long,0,,,,,
player,201812090tam,nor,KirkKe00,pass_rating,,,,,,
player,201812090tam,nor,KirkKe00,rush_att,0,,,,,
player,201812090tam,nor,KirkKe00,rush_yds,0,,,,,
player,201812090tam,nor,KirkKe00,rush_td,0,,,,,
player,201812090tam,nor,KirkKe00,rush_long,0,,,,,
player,201812090tam,nor,KirkKe00,targets,2,,,,,
player,201812090tam,nor,KirkKe00,rec,2,,,,,
player,201812090tam,nor,KirkKe00,rec_yds,21,,,,,
player,201812090tam,nor,KirkKe00,rec_td,0,,,,,
player,201812090tam,nor,KirkKe00,rec_long,13,,,,,
player,201812090tam,nor,KirkKe00,fumbles,0,,,,,
player,201812090tam,nor,KirkKe00,fumbles_lost,0,,,,,
player,201812090tam,nor,LewiTo00,pass_cmp,0,,,,,
player,201812090tam,nor,LewiTo00,pass_att,0,,,,,
player,201812090tam,nor,LewiTo00,pass_yds,0,,,,,
player,201812090tam,nor,LewiTo00,pass_td,0,,,,,
player,201812090tam,nor,LewiTo00,pass_int,0,,,,,
player,201812090tam,nor,LewiTo00,pass_sacked,0,,,,,
player,201812090tam,nor,LewiTo00,pass_sacked_yds,0,,,,,
player,201812090tam,nor,LewiTo00,pass_long,0,,,,,
player,201812090tam,nor,LewiTo00,pass_rating,,,,,,
