game,2018,3,20180923,201809230ram,sdg,"Los Angeles Chargers",23,ram,"Los Angeles Rams",35
team,201809230ram,sdg,First Downs,16,,,,,,
team,201809230ram,ram,First Downs,33,,,,,,
team,201809230ram,sdg,Rush-Yds-TDs,20-141-1,,,,,,
team,201809230ram,ram,Rush-Yds-TDs,35-171-1,,,,,,
team,201809230ram,sdg,Cmp-Att-Yd-TD-INT,18-30-226-2-0,,,,,,
team,201809230ram,ram,Cmp-Att-Yd-TD-INT,29-36-354-3-1,,,,,,
team,201809230ram,sdg,Sacked-Yards,2-11,,,,,,
team,201809230ram,ram,Sacked-Yards,1-4,,,,,,
team,201809230ram,sdg,Net Pass Yards,215,,,,,,
team,201809230ram,ram,Net Pass Yards,350,,,,,,
team,201809230ram,sdg,Total Yards,356,,,,,,
team,201809230ram,ram,Total Yards,521,,,,,,
team,201809230ram,sdg,Fumbles-Lost,2-2,,,,,,
team,201809230ram,ram,Fumbles-Lost,1-1,,,,,,
team,201809230ram,sdg,Turnovers,2,,,,,,
team,201809230ram,ram,Turnovers,2,,,,,,
team,201809230ram,sdg,Penalties-Yards,4-30,,,,,,
team,201809230ram,ram,Penalties-Yards,6-64,,,,,,
team,201809230ram,sdg,Third Down Conv.,7-13,,,,,,
team,201809230ram,ram,Third Down Conv.,8-11,,,,,,
team,201809230ram,sdg,Fourth Down Conv.,1-2,,,,,,
team,201809230ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201809230ram,sdg,Time of Possession,25:44,,,,,,
team,201809230ram,ram,Time of Possession,34:16,,,,,,
player,201809230ram,sdg,RivePh00,pass_cmp,18,,,,,
player,201809230ram,sdg,RivePh00,pass_att,30,,,,,
player,201809230ram,sdg,RivePh00,pass_yds,226,,,,,
player,201809230ram,sdg,RivePh00,pass_td,2,,,,,
player,201809230ram,sdg,RivePh00,pass_int,0,,,,,
player,201809230ram,sdg,RivePh00,pass_sacked,1,,,,,
player,201809230ram,sdg,RivePh00,pass_sacked_yds,4,,,,,
player,201809230ram,sdg,RivePh00,pass_long,42,,,,,
player,201809230ram,sdg,RivePh00,pass_rating,105.7,,,,,
player,201809230ram,sdg,RivePh00,rush_att,0,,,,,
player,201809230ram,sdg,RivePh00,rush_yds,0,,,,,
player,201809230ram,sdg,RivePh00,rush_td,0,,,,,
player,201809230ram,sdg,RivePh00,rush_long,0,,,,,
player,201809230ram,sdg,RivePh00,targets,0,,,,,
player,201809230ram,sdg,RivePh00,rec,0,,,,,
player,201809230ram,sdg,RivePh00,rec_yds,0,,,,,
player,201809230ram,sdg,RivePh00,rec_td,0,,,,,
player,201809230ram,sdg,RivePh00,rec_long,0,,,,,
player,201809230ram,sdg,RivePh00,fumbles,0,,,,,
player,201809230ram,sdg,RivePh00,fumbles_lost,0,,,,,
player,201809230ram,sdg,GordMe00,pass_cmp,0,,,,,
player,201809230ram,sdg,GordMe00,pass_att,0,,,,,
player,201809230ram,sdg,GordMe00,pass_yds,0,,,,,
player,201809230ram,sdg,GordMe00,pass_td,0,,,,,
player,201809230ram,sdg,GordMe00,pass_int,0,,,,,
player,201809230ram,sdg,GordMe00,pass_sacked,0,,,,,
player,201809230ram,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201809230ram,sdg,GordMe00,pass_long,0,,,,,
player,201809230ram,sdg,GordMe00,pass_rating,,,,,,
player,201809230ram,sdg,GordMe00,rush_att,15,,,,,
player,201809230ram,sdg,GordMe00,rush_yds,80,,,,,
player,201809230ram,sdg,GordMe00,rush_td,1,,,,,
player,201809230ram,sdg,GordMe00,rush_long,23,,,,,
player,201809230ram,sdg,GordMe00,targets,4,,,,,
