game,2018,16,20181223,201812230det,min,"Minnesota Vikings",27,det,"Detroit Lions",9
team,201812230det,min,First Downs,16,,,,,,
team,201812230det,det,First Downs,17,,,,,,
team,201812230det,min,Rush-Yds-TDs,28-100-0,,,,,,
team,201812230det,det,Rush-Yds-TDs,23-86-0,,,,,,
team,201812230det,min,Cmp-Att-Yd-TD-INT,21-28-253-3-0,,,,,,
team,201812230det,det,Cmp-Att-Yd-TD-INT,23-43-161-0-0,,,,,,
team,201812230det,min,Sacked-Yards,2-13,,,,,,
team,201812230det,det,Sacked-Yards,3-24,,,,,,
team,201812230det,min,Net Pass Yards,240,,,,,,
team,201812230det,det,Net Pass Yards,137,,,,,,
team,201812230det,min,Total Yards,340,,,,,,
team,201812230det,det,Total Yards,223,,,,,,
team,201812230det,min,Fumbles-Lost,0-0,,,,,,
team,201812230det,det,Fumbles-Lost,1-0,,,,,,
team,201812230det,min,Turnovers,0,,,,,,
team,201812230det,det,Turnovers,0,,,,,,
team,201812230det,min,Penalties-Yards,11-78,,,,,,
team,201812230det,det,Penalties-Yards,7-55,,,,,,
team,201812230det,min,Third Down Conv.,4-13,,,,,,
team,201812230det,det,Third Down Conv.,4-16,,,,,,
team,201812230det,min,Fourth Down Conv.,0-1,,,,,,
team,201812230det,det,Fourth Down Conv.,1-3,,,,,,
team,201812230det,min,Time of Possession,28:32,,,,,,
team,201812230det,det,Time of Possession,31:28,,,,,,
player,201812230det,min,CousKi00,pass_cmp,21,,,,,
player,201812230det,min,CousKi00,pass_att,28,,,,,
player,201812230det,min,CousKi00,pass_yds,253,,,,,
player,201812230det,min,CousKi00,pass_td,3,,,,,
player,201812230det,min,CousKi00,pass_int,0,,,,,
player,201812230det,min,CousKi00,pass_sacked,2,,,,,
player,201812230det,min,CousKi00,pass_sacked_yds,13,,,,,
player,201812230det,min,CousKi00,pass_long,44,,,,,
player,201812230det,min,CousKi00,pass_rating,137.9,,,,,
player,201812230det,min,CousKi00,rush_att,1,,,,,
player,201812230det,min,CousKi00,rush_yds,1,,,,,
player,201812230det,min,CousKi00,rush_td,0,,,,,
player,201812230det,min,CousKi00,rush_long,1,,,,,
player,201812230det,min,CousKi00,targets,0,,,,,
player,201812230det,min,CousKi00,rec,0,,,,,
player,201812230det,min,CousKi00,rec_yds,0,,,,,
player,201812230det,min,CousKi00,rec_td,0,,,,,
player,201812230det,min,CousKi00,rec_long,0,,,,,
player,201812230det,min,CousKi00,fumbles,0,,,,,
player,201812230det,min,CousKi00,fumbles_lost,0,,,,,
player,201812230det,min,CookDa01,pass_cmp,0,,,,,
player,201812230det,min,CookDa01,pass_att,0,,,,,
player,201812230det,min,CookDa01,pass_yds,0,,,,,
player,201812230det,min,CookDa01,pass_td,0,,,,,
player,201812230det,min,CookDa01,pass_int,0,,,,,
player,201812230det,min,CookDa01,pass_sacked,0,,,,,
player,201812230det,min,CookDa01,pass_sacked_yds,0,,,,,
player,201812230det,min,CookDa01,pass_long,0,,,,,
