game,2018,11,20181118,201811180atl,dal,"Dallas Cowboys",22,atl,"Atlanta Falcons",19
team,201811180atl,dal,First Downs,20,,,,,,
team,201811180atl,atl,First Downs,19,,,,,,
team,201811180atl,dal,Rush-Yds-TDs,29-132-2,,,,,,
team,201811180atl,atl,Rush-Yds-TDs,18-80-0,,,,,,
team,201811180atl,dal,Cmp-Att-Yd-TD-INT,22-32-208-0-0,,,,,,
team,201811180atl,atl,Cmp-Att-Yd-TD-INT,24-34-291-1-1,,,,,,
team,201811180atl,dal,Sacked-Yards,2-17,,,,,,
team,201811180atl,atl,Sacked-Yards,3-17,,,,,,
team,201811180atl,dal,Net Pass Yards,191,,,,,,
team,201811180atl,atl,Net Pass Yards,274,,,,,,
team,201811180atl,dal,Total Yards,323,,,,,,
team,201811180atl,atl,Total Yards,354,,,,,,
team,201811180atl,dal,Fumbles-Lost,1-0,,,,,,
team,201811180atl,atl,Fumbles-Lost,0-0,,,,,,
team,201811180atl,dal,Turnovers,0,,,,,,
team,201811180atl,atl,Turnovers,1,,,,,,
team,201811180atl,dal,Penalties-Yards,2-20,,,,,,
team,201811180atl,atl,Penalties-Yards,2-15,,,,,,
team,201811180atl,dal,Third Down Conv.,7-13,,,,,,
team,201811180atl,atl,Third Down Conv.,6-12,,,,,,
team,201811180atl,dal,Fourth Down Conv.,0-0,,,,,,
team,201811180atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201811180atl,dal,Time of Possession,31:57,,,,,,
team,201811180atl,atl,Time of Possession,28:03,,,,,,
player,201811180atl,dal,PresDa01,pass_cmp,22,,,,,
player,201811180atl,dal,PresDa01,pass_att,32,,,,,
player,201811180atl,dal,PresDa01,pass_yds,208,,,,,
player,201811180atl,dal,PresDa01,pass_td,0,,,,,
player,201811180atl,dal,PresDa01,pass_int,0,,,,,
player,201811180atl,dal,PresDa01,pass_sacked,2,,,,,
player,201811180atl,dal,PresDa01,pass_sacked_yds,17,,,,,
player,201811180atl,dal,PresDa01,pass_long,34,,,,,
player,201811180atl,dal,PresDa01,pass_rating,86.5,,,,,
player,201811180atl,dal,PresDa01,rush_att,4,,,,,
player,201811180atl,dal,PresDa01,rush_yds,5,,,,,
player,201811180atl,dal,PresDa01,rush_td,1,,,,,
player,201811180atl,dal,PresDa01,rush_long,4,,,,,
player,201811180atl,dal,PresDa01,targets,0,,,,,
player,201811180atl,dal,PresDa01,rec,0,,,,,
player,201811180atl,dal,PresDa01,rec_yds,0,,,,,
player,201811180atl,dal,PresDa01,rec_td,0,,,,,
player,201811180atl,dal,PresDa01,rec_long,0,,,,,
player,201811180atl,dal,PresDa01,fumbles,0,,,,,
player,201811180atl,dal,PresDa01,fumbles_lost,0,,,,,
player,201811180atl,dal,ElliEz00,pass_cmp,0,,,,,
player,201811180atl,dal,ElliEz00,pass_att,0,,,,,
player,201811180atl,dal,ElliEz00,pass_yds,0,,,,,
player,201811180atl,dal,ElliEz00,pass_td,0,,,,,
player,201811180atl,dal,ElliEz00,pass_int,0,,,,,
player,201811180atl,dal,ElliEz00,pass_sacked,0,,,,,
player,201811180atl,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201811180atl,dal,ElliEz00,pass_long,0,,,,,
player,201811180atl,dal,ElliEz00,pass_rating,,,,,,
player,201811180atl,dal,ElliEz00,rush_att,23,,,,,
player,201811180atl,dal,ElliEz00,rush_yds,122,,,,,
player,201811180atl,dal,ElliEz00,rush_td,1,,,,,
player,201811180atl,dal,ElliEz00,rush_long,23,,,,,
player,201811180atl,dal,ElliEz00,targets,8,,,,,
player,201811180atl,dal,ElliEz00,rec,7,,,,,
player,201811180atl,dal,ElliEz00,rec_yds,79,,,,,
player,201811180atl,dal,ElliEz00,rec_td,0,,,,,
player,201811180atl,dal,ElliEz00,rec_long,34,,,,,
player,201811180atl,dal,ElliEz00,fumbles,1,,,,,
player,201811180atl,dal,ElliEz00,fumbles_lost,0,,,,,
player,201811180atl,dal,LewiJo01,pass_cmp,0,,,,,
player,201811180atl,dal,LewiJo01,pass_att,0,,,,,
player,201811180atl,dal,LewiJo01,pass_yds,0,,,,,
player,201811180atl,dal,LewiJo01,pass_td,0,,,,,
player,201811180atl,dal,LewiJo01,pass_int,0,,,,,
player,201811180atl,dal,LewiJo01,pass_sacked,0,,,,,
player,201811180atl,dal,LewiJo01,pass_sacked_yds,0,,,,,
player,201811180atl,dal,LewiJo01,pass_long,0,,,,,
player,201811180atl,dal,LewiJo01,pass_rating,,,,,,
player,201811180atl,dal,LewiJo01,rush_att,1,,,,,
player,201811180atl,dal,LewiJo01,rush_yds,5,,,,,
player,201811180atl,dal,LewiJo01,rush_td,0,,,,,
player,201811180atl,dal,LewiJo01,rush_long,5,,,,,
player,201811180atl,dal,LewiJo01,targets,0,,,,,
player,201811180atl,dal,LewiJo01,rec,0,,,,,
