game,2018,15,20181215,201812150den,cle,"Cleveland Browns",17,den,"Denver Broncos",16
player,201812150den,cle,CallAn00,pass_int,0,,,,,
player,201812150den,cle,CallAn00,pass_sacked,0,,,,,
player,201812150den,cle,CallAn00,pass_sacked_yds,0,,,,,
player,201812150den,cle,CallAn00,pass_long,0,,,,,
player,201812150den,cle,CallAn00,pass_rating,,,,,,
player,201812150den,cle,CallAn00,rush_att,0,,,,,
player,201812150den,cle,CallAn00,rush_yds,0,,,,,
player,201812150den,cle,CallAn00,rush_td,0,,,,,
player,201812150den,cle,CallAn00,rush_long,0,,,,,
player,201812150den,cle,CallAn00,targets,7,,,,,
player,201812150den,cle,CallAn00,rec,5,,,,,
player,201812150den,cle,CallAn00,rec_yds,35,,,,,
player,201812150den,cle,CallAn00,rec_td,1,,,,,
player,201812150den,cle,CallAn00,rec_long,12,,,,,
player,201812150den,cle,CallAn00,fumbles,0,,,,,
player,201812150den,cle,CallAn00,fumbles_lost,0,,,,,
player,201812150den,cle,PerrBr02,pass_cmp,0,,,,,
player,201812150den,cle,PerrBr02,pass_att,0,,,,,
player,201812150den,cle,PerrBr02,pass_yds,0,,,,,
player,201812150den,cle,PerrBr02,pass_td,0,,,,,
player,201812150den,cle,PerrBr02,pass_int,0,,,,,
player,201812150den,cle,PerrBr02,pass_sacked,0,,,,,
player,201812150den,cle,PerrBr02,pass_sacked_yds,0,,,,,
player,201812150den,cle,PerrBr02,pass_long,0,,,,,
player,201812150den,cle,PerrBr02,pass_rating,,,,,,
player,201812150den,cle,PerrBr02,rush_att,0,,,,,
player,201812150den,cle,PerrBr02,rush_yds,0,,,,,
player,201812150den,cle,PerrBr02,rush_td,0,,,,,
player,201812150den,cle,PerrBr02,rush_long,0,,,,,
player,201812150den,cle,PerrBr02,targets,2,,,,,
player,201812150den,cle,PerrBr02,rec,1,,,,,
player,201812150den,cle,PerrBr02,rec_yds,31,,,,,
player,201812150den,cle,PerrBr02,rec_td,1,,,,,
player,201812150den,cle,PerrBr02,rec_long,31,,,,,
player,201812150den,cle,PerrBr02,fumbles,0,,,,,
player,201812150den,cle,PerrBr02,fumbles_lost,0,,,,,
