game,2018,3,20180923,201809230rav,den,"Denver Broncos",14,rav,"Baltimore Ravens",27
team,201809230rav,den,First Downs,18,,,,,,
team,201809230rav,rav,First Downs,20,,,,,,
team,201809230rav,den,Rush-Yds-TDs,24-120-2,,,,,,
team,201809230rav,rav,Rush-Yds-TDs,28-77-2,,,,,,
team,201809230rav,den,Cmp-Att-Yd-TD-INT,22-34-192-0-1,,,,,,
team,201809230rav,rav,Cmp-Att-Yd-TD-INT,25-40-277-1-0,,,,,,
team,201809230rav,den,Sacked-Yards,3-19,,,,,,
team,201809230rav,rav,Sacked-Yards,2-12,,,,,,
team,201809230rav,den,Net Pass Yards,173,,,,,,
team,201809230rav,rav,Net Pass Yards,265,,,,,,
team,201809230rav,den,Total Yards,293,,,,,,
team,201809230rav,rav,Total Yards,342,,,,,,
team,201809230rav,den,Fumbles-Lost,1-0,,,,,,
team,201809230rav,rav,Fumbles-Lost,1-0,,,,,,
team,201809230rav,den,Turnovers,1,,,,,,
team,201809230rav,rav,Turnovers,0,,,,,,
team,201809230rav,den,Penalties-Yards,13-120,,,,,,
team,201809230rav,rav,Penalties-Yards,7-52,,,,,,
team,201809230rav,den,Third Down Conv.,6-14,,,,,,
team,201809230rav,rav,Third Down Conv.,8-16,,,,,,
team,201809230rav,den,Fourth Down Conv.,0-1,,,,,,
team,201809230rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201809230rav,den,Time of Possession,29:46,,,,,,
team,201809230rav,rav,Time of Possession,30:14,,,,,,
player,201809230rav,den,KeenCa00,pass_cmp,22,,,,,
player,201809230rav,den,KeenCa00,pass_att,34,,,,,
player,201809230rav,den,KeenCa00,pass_yds,192,,,,,
player,201809230rav,den,KeenCa00,pass_td,0,,,,,
player,201809230rav,den,KeenCa00,pass_int,1,,,,,
player,201809230rav,den,KeenCa00,pass_sacked,3,,,,,
player,201809230rav,den,KeenCa00,pass_sacked_yds,19,,,,,
player,201809230rav,den,KeenCa00,pass_long,22,,,,,
player,201809230rav,den,KeenCa00,pass_rating,67.3,,,,,
player,201809230rav,den,KeenCa00,rush_att,0,,,,,
player,201809230rav,den,KeenCa00,rush_yds,0,,,,,
player,201809230rav,den,KeenCa00,rush_td,0,,,,,
player,201809230rav,den,KeenCa00,rush_long,0,,,,,
player,201809230rav,den,KeenCa00,targets,0,,,,,
player,201809230rav,den,KeenCa00,rec,0,,,,,
player,201809230rav,den,KeenCa00,rec_yds,0,,,,,
player,201809230rav,den,KeenCa00,rec_td,0,,,,,
player,201809230rav,den,KeenCa00,rec_long,0,,,,,
player,201809230rav,den,KeenCa00,fumbles,1,,,,,
player,201809230rav,den,KeenCa00,fumbles_lost,0,,,,,
player,201809230rav,den,FreeRo00,pass_cmp,0,,,,,
player,201809230rav,den,FreeRo00,pass_att,0,,,,,
player,201809230rav,den,FreeRo00,pass_yds,0,,,,,
player,201809230rav,den,FreeRo00,pass_td,0,,,,,
player,201809230rav,den,FreeRo00,pass_int,0,,,,,
player,201809230rav,den,FreeRo00,pass_sacked,0,,,,,
player,201809230rav,den,FreeRo00,pass_sacked_yds,0,,,,,
player,201809230rav,den,FreeRo00,pass_long,0,,,,,
player,201809230rav,den,FreeRo00,pass_rating,,,,,,
player,201809230rav,den,FreeRo00,rush_att,13,,,,,
player,201809230rav,den,FreeRo00,rush_yds,53,,,,,
player,201809230rav,den,FreeRo00,rush_td,1,,,,,
player,201809230rav,den,FreeRo00,rush_long,16,,,,,
player,201809230rav,den,FreeRo00,targets,1,,,,,
player,201809230rav,den,FreeRo00,rec,1,,,,,
player,201809230rav,den,FreeRo00,rec_yds,5,,,,,
player,201809230rav,den,FreeRo00,rec_td,0,,,,,
player,201809230rav,den,FreeRo00,rec_long,5,,,,,
player,201809230rav,den,FreeRo00,fumbles,0,,,,,
player,201809230rav,den,FreeRo00,fumbles_lost,0,,,,,
player,201809230rav,den,SandEm00,pass_cmp,0,,,,,
player,201809230rav,den,SandEm00,pass_att,0,,,,,
player,201809230rav,den,SandEm00,pass_yds,0,,,,,
player,201809230rav,den,SandEm00,pass_td,0,,,,,
player,201809230rav,den,SandEm00,pass_int,0,,,,,
player,201809230rav,den,SandEm00,pass_sacked,0,,,,,
player,201809230rav,den,SandEm00,pass_sacked_yds,0,,,,,
player,201809230rav,den,SandEm00,pass_long,0,,,,,
player,201809230rav,den,SandEm00,pass_rating,,,,,,
player,201809230rav,den,SandEm00,rush_att,1,,,,,
player,201809230rav,den,SandEm00,rush_yds,35,,,,,
player,201809230rav,den,SandEm00,rush_td,1,,,,,
player,201809230rav,den,SandEm00,rush_long,35,,,,,
player,201809230rav,den,SandEm00,targets,8,,,,,
player,201809230rav,den,SandEm00,rec,5,,,,,
player,201809230rav,den,SandEm00,rec_yds,38,,,,,
player,201809230rav,den,SandEm00,rec_td,0,,,,,
player,201809230rav,den,SandEm00,rec_long,9,,,,,
player,201809230rav,den,SandEm00,fumbles,0,,,,,
player,201809230rav,den,SandEm00,fumbles_lost,0,,,,,
player,201809230rav,den,LindPh00,pass_cmp,0,,,,,
player,201809230rav,den,LindPh00,pass_att,0,,,,,
player,201809230rav,den,LindPh00,pass_yds,0,,,,,
player,201809230rav,den,LindPh00,pass_td,0,,,,,
player,201809230rav,den,LindPh00,pass_int,0,,,,,
player,201809230rav,den,LindPh00,pass_sacked,0,,,,,
player,201809230rav,den,LindPh00,pass_sacked_yds,0,,,,,
player,201809230rav,den,LindPh00,pass_long,0,,,,,
player,201809230rav,den,LindPh00,pass_rating,,,,,,
player,201809230rav,den,LindPh00,rush_att,4,,,,,
player,201809230rav,den,LindPh00,rush_yds,20,,,,,
player,201809230rav,den,LindPh00,rush_td,0,,,,,
player,201809230rav,den,LindPh00,rush_long,8,,,,,
player,201809230rav,den,LindPh00,targets,2,,,,,
player,201809230rav,den,LindPh00,rec,0,,,,,
player,201809230rav,den,LindPh00,rec_yds,0,,,,,
player,201809230rav,den,LindPh00,rec_td,0,,,,,
player,201809230rav,den,LindPh00,rec_long,0,,,,,
player,201809230rav,den,LindPh00,fumbles,0,,,,,
player,201809230rav,den,LindPh00,fumbles_lost,0,,,,,
player,201809230rav,den,BookDe00,pass_cmp,0,,,,,
player,201809230rav,den,BookDe00,pass_att,0,,,,,
player,201809230rav,den,BookDe00,pass_yds,0,,,,,
player,201809230rav,den,BookDe00,pass_td,0,,,,,
player,201809230rav,den,BookDe00,pass_int,0,,,,,
player,201809230rav,den,BookDe00,pass_sacked,0,,,,,
player,201809230rav,den,BookDe00,pass_sacked_yds,0,,,,,
player,201809230rav,den,BookDe00,pass_long,0,,,,,
player,201809230rav,den,BookDe00,pass_rating,,,,,,
player,201809230rav,den,BookDe00,rush_att,5,,,,,
player,201809230rav,den,BookDe00,rush_yds,10,,,,,
player,201809230rav,den,BookDe00,rush_td,0,,,,,
player,201809230rav,den,BookDe00,rush_long,4,,,,,
player,201809230rav,den,BookDe00,targets,7,,,,,
player,201809230rav,den,BookDe00,rec,5,,,,,
player,201809230rav,den,BookDe00,rec_yds,34,,,,,
player,201809230rav,den,BookDe00,rec_td,0,,,,,
player,201809230rav,den,BookDe00,rec_long,9,,,,,
player,201809230rav,den,BookDe00,fumbles,0,,,,,
player,201809230rav,den,BookDe00,fumbles_lost,0,,,,,
player,201809230rav,den,JanoAn00,pass_cmp,0,,,,,
player,201809230rav,den,JanoAn00,pass_att,0,,,,,
player,201809230rav,den,JanoAn00,pass_yds,0,,,,,
player,201809230rav,den,JanoAn00,pass_td,0,,,,,
player,201809230rav,den,JanoAn00,pass_int,0,,,,,
player,201809230rav,den,JanoAn00,pass_sacked,0,,,,,
player,201809230rav,den,JanoAn00,pass_sacked_yds,0,,,,,
player,201809230rav,den,JanoAn00,pass_long,0,,,,,
player,201809230rav,den,JanoAn00,pass_rating,,,,,,
player,201809230rav,den,JanoAn00,rush_att,1,,,,,
player,201809230rav,den,JanoAn00,rush_yds,2,,,,,
player,201809230rav,den,JanoAn00,rush_td,0,,,,,
player,201809230rav,den,JanoAn00,rush_long,2,,,,,
player,201809230rav,den,JanoAn00,targets,0,,,,,
player,201809230rav,den,JanoAn00,rec,0,,,,,
player,201809230rav,den,JanoAn00,rec_yds,0,,,,,
player,201809230rav,den,JanoAn00,rec_td,0,,,,,
player,201809230rav,den,JanoAn00,rec_long,0,,,,,
player,201809230rav,den,JanoAn00,fumbles,0,,,,,
player,201809230rav,den,JanoAn00,fumbles_lost,0,,,,,
player,201809230rav,den,ThomDe03,pass_cmp,0,,,,,
player,201809230rav,den,ThomDe03,pass_att,0,,,,,
player,201809230rav,den,ThomDe03,pass_yds,0,,,,,
player,201809230rav,den,ThomDe03,pass_td,0,,,,,
player,201809230rav,den,ThomDe03,pass_int,0,,,,,
player,201809230rav,den,ThomDe03,pass_sacked,0,,,,,
player,201809230rav,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201809230rav,den,ThomDe03,pass_long,0,,,,,
player,201809230rav,den,ThomDe03,pass_rating,,,,,,
player,201809230rav,den,ThomDe03,rush_att,0,,,,,
player,201809230rav,den,ThomDe03,rush_yds,0,,,,,
player,201809230rav,den,ThomDe03,rush_td,0,,,,,
player,201809230rav,den,ThomDe03,rush_long,0,,,,,
player,201809230rav,den,ThomDe03,targets,5,,,,,
player,201809230rav,den,ThomDe03,rec,5,,,,,
player,201809230rav,den,ThomDe03,rec_yds,63,,,,,
player,201809230rav,den,ThomDe03,rec_td,0,,,,,
player,201809230rav,den,ThomDe03,rec_long,22,,,,,
player,201809230rav,den,ThomDe03,fumbles,0,,,,,
player,201809230rav,den,ThomDe03,fumbles_lost,0,,,,,
player,201809230rav,den,SuttCo00,pass_cmp,0,,,,,
player,201809230rav,den,SuttCo00,pass_att,0,,,,,
player,201809230rav,den,SuttCo00,pass_yds,0,,,,,
player,201809230rav,den,SuttCo00,pass_td,0,,,,,
player,201809230rav,den,SuttCo00,pass_int,0,,,,,
player,201809230rav,den,SuttCo00,pass_sacked,0,,,,,
player,201809230rav,den,SuttCo00,pass_sacked_yds,0,,,,,
player,201809230rav,den,SuttCo00,pass_long,0,,,,,
player,201809230rav,den,SuttCo00,pass_rating,,,,,,
player,201809230rav,den,SuttCo00,rush_att,0,,,,,
player,201809230rav,den,SuttCo00,rush_yds,0,,,,,
player,201809230rav,den,SuttCo00,rush_td,0,,,,,
player,201809230rav,den,SuttCo00,rush_long,0,,,,,
player,201809230rav,den,SuttCo00,targets,3,,,,,
player,201809230rav,den,SuttCo00,rec,2,,,,,
player,201809230rav,den,SuttCo00,rec_yds,37,,,,,
player,201809230rav,den,SuttCo00,rec_td,0,,,,,
player,201809230rav,den,SuttCo00,rec_long,21,,,,,
player,201809230rav,den,SuttCo00,fumbles,0,,,,,
player,201809230rav,den,SuttCo00,fumbles_lost,0,,,,,
player,201809230rav,den,ButtJa00,pass_cmp,0,,,,,
player,201809230rav,den,ButtJa00,pass_att,0,,,,,
player,201809230rav,den,ButtJa00,pass_yds,0,,,,,
player,201809230rav,den,ButtJa00,pass_td,0,,,,,
player,201809230rav,den,ButtJa00,pass_int,0,,,,,
player,201809230rav,den,ButtJa00,pass_sacked,0,,,,,
player,201809230rav,den,ButtJa00,pass_sacked_yds,0,,,,,
player,201809230rav,den,ButtJa00,pass_long,0,,,,,
player,201809230rav,den,ButtJa00,pass_rating,,,,,,
player,201809230rav,den,ButtJa00,rush_att,0,,,,,
player,201809230rav,den,ButtJa00,rush_yds,0,,,,,
player,201809230rav,den,ButtJa00,rush_td,0,,,,,
player,201809230rav,den,ButtJa00,rush_long,0,,,,,
player,201809230rav,den,ButtJa00,targets,4,,,,,
player,201809230rav,den,ButtJa00,rec,2,,,,,
player,201809230rav,den,ButtJa00,rec_yds,8,,,,,
player,201809230rav,den,ButtJa00,rec_td,0,,,,,
player,201809230rav,den,ButtJa00,rec_long,5,,,,,
player,201809230rav,den,ButtJa00,fumbles,0,,,,,
player,201809230rav,den,ButtJa00,fumbles_lost,0,,,,,
player,201809230rav,den,HeueJe00,pass_cmp,0,,,,,
player,201809230rav,den,HeueJe00,pass_att,0,,,,,
player,201809230rav,den,HeueJe00,pass_yds,0,,,,,
player,201809230rav,den,HeueJe00,pass_td,0,,,,,
player,201809230rav,den,HeueJe00,pass_int,0,,,,,
player,201809230rav,den,HeueJe00,pass_sacked,0,,,,,
player,201809230rav,den,HeueJe00,pass_sacked_yds,0,,,,,
player,201809230rav,den,HeueJe00,pass_long,0,,,,,
player,201809230rav,den,HeueJe00,pass_rating,,,,,,
player,201809230rav,den,HeueJe00,rush_att,0,,,,,
player,201809230rav,den,HeueJe00,rush_yds,0,,,,,
player,201809230rav,den,HeueJe00,rush_td,0,,,,,
player,201809230rav,den,HeueJe00,rush_long,0,,,,,
player,201809230rav,den,HeueJe00,targets,4,,,,,
player,201809230rav,den,HeueJe00,rec,2,,,,,
player,201809230rav,den,HeueJe00,rec_yds,7,,,,,
player,201809230rav,den,HeueJe00,rec_td,0,,,,,
player,201809230rav,den,HeueJe00,rec_long,4,,,,,
player,201809230rav,den,HeueJe00,fumbles,0,,,,,
player,201809230rav,den,HeueJe00,fumbles_lost,0,,,,,
player,201809230rav,rav,FlacJo00,pass_cmp,25,,,,,
player,201809230rav,rav,FlacJo00,pass_att,40,,,,,
player,201809230rav,rav,FlacJo00,pass_yds,277,,,,,
player,201809230rav,rav,FlacJo00,pass_td,1,,,,,
player,201809230rav,rav,FlacJo00,pass_int,0,,,,,
player,201809230rav,rav,FlacJo00,pass_sacked,2,,,,,
player,201809230rav,rav,FlacJo00,pass_sacked_yds,12,,,,,
player,201809230rav,rav,FlacJo00,pass_long,44,,,,,
player,201809230rav,rav,FlacJo00,pass_rating,91.4,,,,,
player,201809230rav,rav,FlacJo00,rush_att,4,,,,,
player,201809230rav,rav,FlacJo00,rush_yds,2,,,,,
player,201809230rav,rav,FlacJo00,rush_td,0,,,,,
player,201809230rav,rav,FlacJo00,rush_long,5,,,,,
player,201809230rav,rav,FlacJo00,targets,0,,,,,
player,201809230rav,rav,FlacJo00,rec,0,,,,,
player,201809230rav,rav,FlacJo00,rec_yds,0,,,,,
player,201809230rav,rav,FlacJo00,rec_td,0,,,,,
player,201809230rav,rav,FlacJo00,rec_long,0,,,,,
player,201809230rav,rav,FlacJo00,fumbles,1,,,,,
player,201809230rav,rav,FlacJo00,fumbles_lost,0,,,,,
player,201809230rav,rav,CollAl00,pass_cmp,0,,,,,
player,201809230rav,rav,CollAl00,pass_att,0,,,,,
player,201809230rav,rav,CollAl00,pass_yds,0,,,,,
player,201809230rav,rav,CollAl00,pass_td,0,,,,,
player,201809230rav,rav,CollAl00,pass_int,0,,,,,
player,201809230rav,rav,CollAl00,pass_sacked,0,,,,,
