game,2018,7,20181021,201810210chi,nwe,"New England Patriots",38,chi,"Chicago Bears",31
team,201810210chi,nwe,First Downs,21,,,,,,
team,201810210chi,chi,First Downs,29,,,,,,
team,201810210chi,nwe,Rush-Yds-TDs,27-108-0,,,,,,
team,201810210chi,chi,Rush-Yds-TDs,25-134-2,,,,,,
team,201810210chi,nwe,Cmp-Att-Yd-TD-INT,25-36-277-3-1,,,,,,
team,201810210chi,chi,Cmp-Att-Yd-TD-INT,26-50-333-2-2,,,,,,
team,201810210chi,nwe,Sacked-Yards,1-4,,,,,,
team,201810210chi,chi,Sacked-Yards,2-14,,,,,,
team,201810210chi,nwe,Net Pass Yards,273,,,,,,
team,201810210chi,chi,Net Pass Yards,319,,,,,,
team,201810210chi,nwe,Total Yards,381,,,,,,
team,201810210chi,chi,Total Yards,453,,,,,,
team,201810210chi,nwe,Fumbles-Lost,3-2,,,,,,
team,201810210chi,chi,Fumbles-Lost,0-0,,,,,,
team,201810210chi,nwe,Turnovers,3,,,,,,
team,201810210chi,chi,Turnovers,2,,,,,,
team,201810210chi,nwe,Penalties-Yards,7-64,,,,,,
team,201810210chi,chi,Penalties-Yards,5-40,,,,,,
team,201810210chi,nwe,Third Down Conv.,6-13,,,,,,
team,201810210chi,chi,Third Down Conv.,8-16,,,,,,
team,201810210chi,nwe,Fourth Down Conv.,1-1,,,,,,
team,201810210chi,chi,Fourth Down Conv.,1-1,,,,,,
team,201810210chi,nwe,Time of Possession,29:51,,,,,,
team,201810210chi,chi,Time of Possession,30:09,,,,,,
player,201810210chi,nwe,BradTo00,pass_cmp,25,,,,,
player,201810210chi,nwe,BradTo00,pass_att,36,,,,,
player,201810210chi,nwe,BradTo00,pass_yds,277,,,,,
player,201810210chi,nwe,BradTo00,pass_td,3,,,,,
player,201810210chi,nwe,BradTo00,pass_int,1,,,,,
player,201810210chi,nwe,BradTo00,pass_sacked,1,,,,,
player,201810210chi,nwe,BradTo00,pass_sacked_yds,4,,,,,
player,201810210chi,nwe,BradTo00,pass_long,55,,,,,
player,201810210chi,nwe,BradTo00,pass_rating,108.2,,,,,
player,201810210chi,nwe,BradTo00,rush_att,1,,,,,
player,201810210chi,nwe,BradTo00,rush_yds,6,,,,,
player,201810210chi,nwe,BradTo00,rush_td,0,,,,,
player,201810210chi,nwe,BradTo00,rush_long,6,,,,,
player,201810210chi,nwe,BradTo00,targets,0,,,,,
player,201810210chi,nwe,BradTo00,rec,0,,,,,
player,201810210chi,nwe,BradTo00,rec_yds,0,,,,,
player,201810210chi,nwe,BradTo00,rec_td,0,,,,,
player,201810210chi,nwe,BradTo00,rec_long,0,,,,,
player,201810210chi,nwe,BradTo00,fumbles,0,,,,,
player,201810210chi,nwe,BradTo00,fumbles_lost,0,,,,,
player,201810210chi,nwe,WhitJa02,pass_cmp,0,,,,,
player,201810210chi,nwe,WhitJa02,pass_att,0,,,,,
player,201810210chi,nwe,WhitJa02,pass_yds,0,,,,,
player,201810210chi,nwe,WhitJa02,pass_td,0,,,,,
player,201810210chi,nwe,WhitJa02,pass_int,0,,,,,
player,201810210chi,nwe,WhitJa02,pass_sacked,0,,,,,
player,201810210chi,nwe,WhitJa02,pass_sacked_yds,0,,,,,
player,201810210chi,nwe,WhitJa02,pass_long,0,,,,,
player,201810210chi,nwe,WhitJa02,pass_rating,,,,,,
player,201810210chi,nwe,WhitJa02,rush_att,11,,,,,
player,201810210chi,nwe,WhitJa02,rush_yds,40,,,,,
player,201810210chi,nwe,WhitJa02,rush_td,0,,,,,
player,201810210chi,nwe,WhitJa02,rush_long,8,,,,,
player,201810210chi,nwe,WhitJa02,targets,10,,,,,
player,201810210chi,nwe,WhitJa02,rec,8,,,,,
player,201810210chi,nwe,WhitJa02,rec_yds,57,,,,,
player,201810210chi,nwe,WhitJa02,rec_td,2,,,,,
player,201810210chi,nwe,WhitJa02,rec_long,14,,,,,
player,201810210chi,nwe,WhitJa02,fumbles,0,,,,,
player,201810210chi,nwe,WhitJa02,fumbles_lost,0,,,,,
player,201810210chi,nwe,BarnKe00,pass_cmp,0,,,,,
player,201810210chi,nwe,BarnKe00,pass_att,0,,,,,
player,201810210chi,nwe,BarnKe00,pass_yds,0,,,,,
player,201810210chi,nwe,BarnKe00,pass_td,0,,,,,
player,201810210chi,nwe,BarnKe00,pass_int,0,,,,,
player,201810210chi,nwe,BarnKe00,pass_sacked,0,,,,,
player,201810210chi,nwe,BarnKe00,pass_sacked_yds,0,,,,,
player,201810210chi,nwe,BarnKe00,pass_long,0,,,,,
player,201810210chi,nwe,BarnKe00,pass_rating,,,,,,
player,201810210chi,nwe,BarnKe00,rush_att,10,,,,,
player,201810210chi,nwe,BarnKe00,rush_yds,36,,,,,
player,201810210chi,nwe,BarnKe00,rush_td,0,,,,,
player,201810210chi,nwe,BarnKe00,rush_long,7,,,,,
player,201810210chi,nwe,BarnKe00,targets,0,,,,,
player,201810210chi,nwe,BarnKe00,rec,0,,,,,
player,201810210chi,nwe,BarnKe00,rec_yds,0,,,,,
player,201810210chi,nwe,BarnKe00,rec_td,0,,,,,
player,201810210chi,nwe,BarnKe00,rec_long,0,,,,,
player,201810210chi,nwe,BarnKe00,fumbles,0,,,,,
player,201810210chi,nwe,BarnKe00,fumbles_lost,0,,,,,
player,201810210chi,nwe,MichSo00,pass_cmp,0,,,,,
player,201810210chi,nwe,MichSo00,pass_att,0,,,,,
player,201810210chi,nwe,MichSo00,pass_yds,0,,,,,
player,201810210chi,nwe,MichSo00,pass_td,0,,,,,
player,201810210chi,nwe,MichSo00,pass_int,0,,,,,
player,201810210chi,nwe,MichSo00,pass_sacked,0,,,,,
player,201810210chi,nwe,MichSo00,pass_sacked_yds,0,,,,,
player,201810210chi,nwe,MichSo00,pass_long,0,,,,,
player,201810210chi,nwe,MichSo00,pass_rating,,,,,,
player,201810210chi,nwe,MichSo00,rush_att,4,,,,,
player,201810210chi,nwe,MichSo00,rush_yds,22,,,,,
player,201810210chi,nwe,MichSo00,rush_td,0,,,,,
player,201810210chi,nwe,MichSo00,rush_long,18,,,,,
player,201810210chi,nwe,MichSo00,targets,1,,,,,
player,201810210chi,nwe,MichSo00,rec,1,,,,,
player,201810210chi,nwe,MichSo00,rec_yds,13,,,,,
player,201810210chi,nwe,MichSo00,rec_td,0,,,,,
player,201810210chi,nwe,MichSo00,rec_long,13,,,,,
player,201810210chi,nwe,MichSo00,fumbles,1,,,,,
player,201810210chi,nwe,MichSo00,fumbles_lost,1,,,,,
player,201810210chi,nwe,PattCo00,pass_cmp,0,,,,,
player,201810210chi,nwe,PattCo00,pass_att,0,,,,,
player,201810210chi,nwe,PattCo00,pass_yds,0,,,,,
player,201810210chi,nwe,PattCo00,pass_td,0,,,,,
player,201810210chi,nwe,PattCo00,pass_int,0,,,,,
player,201810210chi,nwe,PattCo00,pass_sacked,0,,,,,
player,201810210chi,nwe,PattCo00,pass_sacked_yds,0,,,,,
player,201810210chi,nwe,PattCo00,pass_long,0,,,,,
player,201810210chi,nwe,PattCo00,pass_rating,,,,,,
player,201810210chi,nwe,PattCo00,rush_att,1,,,,,
player,201810210chi,nwe,PattCo00,rush_yds,4,,,,,
player,201810210chi,nwe,PattCo00,rush_td,0,,,,,
player,201810210chi,nwe,PattCo00,rush_long,4,,,,,
player,201810210chi,nwe,PattCo00,targets,0,,,,,
player,201810210chi,nwe,PattCo00,rec,0,,,,,
player,201810210chi,nwe,PattCo00,rec_yds,0,,,,,
player,201810210chi,nwe,PattCo00,rec_td,0,,,,,
player,201810210chi,nwe,PattCo00,rec_long,0,,,,,
player,201810210chi,nwe,PattCo00,fumbles,1,,,,,
player,201810210chi,nwe,PattCo00,fumbles_lost,1,,,,,
player,201810210chi,nwe,GordJo02,pass_cmp,0,,,,,
player,201810210chi,nwe,GordJo02,pass_att,0,,,,,
player,201810210chi,nwe,GordJo02,pass_yds,0,,,,,
player,201810210chi,nwe,GordJo02,pass_td,0,,,,,
player,201810210chi,nwe,GordJo02,pass_int,0,,,,,
player,201810210chi,nwe,GordJo02,pass_sacked,0,,,,,
player,201810210chi,nwe,GordJo02,pass_sacked_yds,0,,,,,
player,201810210chi,nwe,GordJo02,pass_long,0,,,,,
player,201810210chi,nwe,GordJo02,pass_rating,,,,,,
player,201810210chi,nwe,GordJo02,rush_att,0,,,,,
player,201810210chi,nwe,GordJo02,rush_yds,0,,,,,
player,201810210chi,nwe,GordJo02,rush_td,0,,,,,
player,201810210chi,nwe,GordJo02,rush_long,0,,,,,
player,201810210chi,nwe,GordJo02,targets,7,,,,,
player,201810210chi,nwe,GordJo02,rec,4,,,,,
player,201810210chi,nwe,GordJo02,rec_yds,100,,,,,
player,201810210chi,nwe,GordJo02,rec_td,0,,,,,
player,201810210chi,nwe,GordJo02,rec_long,55,,,,,
player,201810210chi,nwe,GordJo02,fumbles,0,,,,,
player,201810210chi,nwe,GordJo02,fumbles_lost,0,,,,,
player,201810210chi,nwe,HogaCh00,pass_cmp,0,,,,,
player,201810210chi,nwe,HogaCh00,pass_att,0,,,,,
player,201810210chi,nwe,HogaCh00,pass_yds,0,,,,,
player,201810210chi,nwe,HogaCh00,pass_td,0,,,,,
player,201810210chi,nwe,HogaCh00,pass_int,0,,,,,
player,201810210chi,nwe,HogaCh00,pass_sacked,0,,,,,
player,201810210chi,nwe,HogaCh00,pass_sacked_yds,0,,,,,
player,201810210chi,nwe,HogaCh00,pass_long,0,,,,,
player,201810210chi,nwe,HogaCh00,pass_rating,,,,,,
player,201810210chi,nwe,HogaCh00,rush_att,0,,,,,
player,201810210chi,nwe,HogaCh00,rush_yds,0,,,,,
player,201810210chi,nwe,HogaCh00,rush_td,0,,,,,
player,201810210chi,nwe,HogaCh00,rush_long,0,,,,,
player,201810210chi,nwe,HogaCh00,targets,7,,,,,
player,201810210chi,nwe,HogaCh00,rec,6,,,,,
player,201810210chi,nwe,HogaCh00,rec_yds,63,,,,,
player,201810210chi,nwe,HogaCh00,rec_td,0,,,,,
player,201810210chi,nwe,HogaCh00,rec_long,20,,,,,
player,201810210chi,nwe,HogaCh00,fumbles,0,,,,,
player,201810210chi,nwe,HogaCh00,fumbles_lost,0,,,,,
player,201810210chi,nwe,EdelJu00,pass_cmp,0,,,,,
player,201810210chi,nwe,EdelJu00,pass_att,0,,,,,
player,201810210chi,nwe,EdelJu00,pass_yds,0,,,,,
player,201810210chi,nwe,EdelJu00,pass_td,0,,,,,
player,201810210chi,nwe,EdelJu00,pass_int,0,,,,,
player,201810210chi,nwe,EdelJu00,pass_sacked,0,,,,,
player,201810210chi,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201810210chi,nwe,EdelJu00,pass_long,0,,,,,
player,201810210chi,nwe,EdelJu00,pass_rating,,,,,,
player,201810210chi,nwe,EdelJu00,rush_att,0,,,,,
player,201810210chi,nwe,EdelJu00,rush_yds,0,,,,,
player,201810210chi,nwe,EdelJu00,rush_td,0,,,,,
player,201810210chi,nwe,EdelJu00,rush_long,0,,,,,
player,201810210chi,nwe,EdelJu00,targets,8,,,,,
player,201810210chi,nwe,EdelJu00,rec,5,,,,,
player,201810210chi,nwe,EdelJu00,rec_yds,36,,,,,
player,201810210chi,nwe,EdelJu00,rec_td,1,,,,,
player,201810210chi,nwe,EdelJu00,rec_long,11,,,,,
player,201810210chi,nwe,EdelJu00,fumbles,1,,,,,
player,201810210chi,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201810210chi,nwe,DorsPh00,pass_cmp,0,,,,,
player,201810210chi,nwe,DorsPh00,pass_att,0,,,,,
player,201810210chi,nwe,DorsPh00,pass_yds,0,,,,,
player,201810210chi,nwe,DorsPh00,pass_td,0,,,,,
player,201810210chi,nwe,DorsPh00,pass_int,0,,,,,
player,201810210chi,nwe,DorsPh00,pass_sacked,0,,,,,
player,201810210chi,nwe,DorsPh00,pass_sacked_yds,0,,,,,
player,201810210chi,nwe,DorsPh00,pass_long,0,,,,,
player,201810210chi,nwe,DorsPh00,pass_rating,,,,,,
player,201810210chi,nwe,DorsPh00,rush_att,0,,,,,
player,201810210chi,nwe,DorsPh00,rush_yds,0,,,,,
player,201810210chi,nwe,DorsPh00,rush_td,0,,,,,
player,201810210chi,nwe,DorsPh00,rush_long,0,,,,,
player,201810210chi,nwe,DorsPh00,targets,1,,,,,
player,201810210chi,nwe,DorsPh00,rec,1,,,,,
player,201810210chi,nwe,DorsPh00,rec_yds,8,,,,,
player,201810210chi,nwe,DorsPh00,rec_td,0,,,,,
player,201810210chi,nwe,DorsPh00,rec_long,8,,,,,
player,201810210chi,nwe,DorsPh00,fumbles,0,,,,,
player,201810210chi,nwe,DorsPh00,fumbles_lost,0,,,,,
player,201810210chi,nwe,DeveJa00,pass_cmp,0,,,,,
player,201810210chi,nwe,DeveJa00,pass_att,0,,,,,
player,201810210chi,nwe,DeveJa00,pass_yds,0,,,,,
player,201810210chi,nwe,DeveJa00,pass_td,0,,,,,
player,201810210chi,nwe,DeveJa00,pass_int,0,,,,,
player,201810210chi,nwe,DeveJa00,pass_sacked,0,,,,,
player,201810210chi,nwe,DeveJa00,pass_sacked_yds,0,,,,,
