game,2018,6,20181014,201810140rai,sea,"Seattle Seahawks",27,rai,"Oakland Raiders",3
team,201810140rai,sea,First Downs,19,,,,,,
team,201810140rai,rai,First Downs,15,,,,,,
team,201810140rai,sea,Rush-Yds-TDs,37-155-0,,,,,,
team,201810140rai,rai,Rush-Yds-TDs,19-79-0,,,,,,
team,201810140rai,sea,Cmp-Att-Yd-TD-INT,17-23-222-3-1,,,,,,
team,201810140rai,rai,Cmp-Att-Yd-TD-INT,23-31-142-0-0,,,,,,
team,201810140rai,sea,Sacked-Yards,1-8,,,,,,
team,201810140rai,rai,Sacked-Yards,6-36,,,,,,
team,201810140rai,sea,Net Pass Yards,214,,,,,,
team,201810140rai,rai,Net Pass Yards,106,,,,,,
team,201810140rai,sea,Total Yards,369,,,,,,
team,201810140rai,rai,Total Yards,185,,,,,,
team,201810140rai,sea,Fumbles-Lost,1-0,,,,,,
team,201810140rai,rai,Fumbles-Lost,3-2,,,,,,
team,201810140rai,sea,Turnovers,1,,,,,,
team,201810140rai,rai,Turnovers,2,,,,,,
team,201810140rai,sea,Penalties-Yards,8-64,,,,,,
team,201810140rai,rai,Penalties-Yards,5-38,,,,,,
team,201810140rai,sea,Third Down Conv.,9-13,,,,,,
team,201810140rai,rai,Third Down Conv.,4-12,,,,,,
team,201810140rai,sea,Fourth Down Conv.,0-0,,,,,,
team,201810140rai,rai,Fourth Down Conv.,0-1,,,,,,
team,201810140rai,sea,Time of Possession,31:26,,,,,,
team,201810140rai,rai,Time of Possession,28:34,,,,,,
player,201810140rai,sea,WilsRu00,pass_cmp,17,,,,,
player,201810140rai,sea,WilsRu00,pass_att,23,,,,,
player,201810140rai,sea,WilsRu00,pass_yds,222,,,,,
player,201810140rai,sea,WilsRu00,pass_td,3,,,,,
player,201810140rai,sea,WilsRu00,pass_int,1,,,,,
player,201810140rai,sea,WilsRu00,pass_sacked,1,,,,,
player,201810140rai,sea,WilsRu00,pass_sacked_yds,8,,,,,
player,201810140rai,sea,WilsRu00,pass_long,42,,,,,
player,201810140rai,sea,WilsRu00,pass_rating,125.4,,,,,
player,201810140rai,sea,WilsRu00,rush_att,6,,,,,
player,201810140rai,sea,WilsRu00,rush_yds,20,,,,,
player,201810140rai,sea,WilsRu00,rush_td,0,,,,,
player,201810140rai,sea,WilsRu00,rush_long,9,,,,,
player,201810140rai,sea,WilsRu00,targets,0,,,,,
player,201810140rai,sea,WilsRu00,rec,0,,,,,
player,201810140rai,sea,WilsRu00,rec_yds,0,,,,,
player,201810140rai,sea,WilsRu00,rec_td,0,,,,,
player,201810140rai,sea,WilsRu00,rec_long,0,,,,,
player,201810140rai,sea,WilsRu00,fumbles,1,,,,,
player,201810140rai,sea,WilsRu00,fumbles_lost,0,,,,,
player,201810140rai,sea,CarsCh00,pass_cmp,0,,,,,
player,201810140rai,sea,CarsCh00,pass_att,0,,,,,
player,201810140rai,sea,CarsCh00,pass_yds,0,,,,,
player,201810140rai,sea,CarsCh00,pass_td,0,,,,,
player,201810140rai,sea,CarsCh00,pass_int,0,,,,,
player,201810140rai,sea,CarsCh00,pass_sacked,0,,,,,
player,201810140rai,sea,CarsCh00,pass_sacked_yds,0,,,,,
player,201810140rai,sea,CarsCh00,pass_long,0,,,,,
player,201810140rai,sea,CarsCh00,pass_rating,,,,,,
player,201810140rai,sea,CarsCh00,rush_att,14,,,,,
player,201810140rai,sea,CarsCh00,rush_yds,59,,,,,
player,201810140rai,sea,CarsCh00,rush_td,0,,,,,
player,201810140rai,sea,CarsCh00,rush_long,21,,,,,
player,201810140rai,sea,CarsCh00,targets,0,,,,,
player,201810140rai,sea,CarsCh00,rec,0,,,,,
player,201810140rai,sea,CarsCh00,rec_yds,0,,,,,
player,201810140rai,sea,CarsCh00,rec_td,0,,,,,
player,201810140rai,sea,CarsCh00,rec_long,0,,,,,
player,201810140rai,sea,CarsCh00,fumbles,0,,,,,
player,201810140rai,sea,CarsCh00,fumbles_lost,0,,,,,
player,201810140rai,sea,PennRa00,pass_cmp,0,,,,,
player,201810140rai,sea,PennRa00,pass_att,0,,,,,
player,201810140rai,sea,PennRa00,pass_yds,0,,,,,
player,201810140rai,sea,PennRa00,pass_td,0,,,,,
player,201810140rai,sea,PennRa00,pass_int,0,,,,,
player,201810140rai,sea,PennRa00,pass_sacked,0,,,,,
player,201810140rai,sea,PennRa00,pass_sacked_yds,0,,,,,
player,201810140rai,sea,PennRa00,pass_long,0,,,,,
player,201810140rai,sea,PennRa00,pass_rating,,,,,,
player,201810140rai,sea,PennRa00,rush_att,9,,,,,
player,201810140rai,sea,PennRa00,rush_yds,43,,,,,
player,201810140rai,sea,PennRa00,rush_td,0,,,,,
player,201810140rai,sea,PennRa00,rush_long,13,,,,,
player,201810140rai,sea,PennRa00,targets,2,,,,,
player,201810140rai,sea,PennRa00,rec,2,,,,,
