game,2018,1,20180909,201809090cle,pit,"Pittsburgh Steelers",21,cle,"Cleveland Browns",21
team,201809090cle,pit,First Downs,25,,,,,,
team,201809090cle,cle,First Downs,22,,,,,,
team,201809090cle,pit,Rush-Yds-TDs,35-159-2,,,,,,
team,201809090cle,cle,Rush-Yds-TDs,38-177-2,,,,,,
team,201809090cle,pit,Cmp-Att-Yd-TD-INT,23-41-335-1-3,,,,,,
team,201809090cle,cle,Cmp-Att-Yd-TD-INT,15-40-197-1-1,,,,,,
team,201809090cle,pit,Sacked-Yards,4-22,,,,,,
team,201809090cle,cle,Sacked-Yards,7-47,,,,,,
team,201809090cle,pit,Net Pass Yards,313,,,,,,
team,201809090cle,cle,Net Pass Yards,150,,,,,,
team,201809090cle,pit,Total Yards,472,,,,,,
team,201809090cle,cle,Total Yards,327,,,,,,
team,201809090cle,pit,Fumbles-Lost,3-3,,,,,,
team,201809090cle,cle,Fumbles-Lost,1-0,,,,,,
team,201809090cle,pit,Turnovers,6,,,,,,
team,201809090cle,cle,Turnovers,1,,,,,,
team,201809090cle,pit,Penalties-Yards,12-116,,,,,,
team,201809090cle,cle,Penalties-Yards,11-87,,,,,,
team,201809090cle,pit,Third Down Conv.,7-15,,,,,,
team,201809090cle,cle,Third Down Conv.,5-18,,,,,,
team,201809090cle,pit,Fourth Down Conv.,0-0,,,,,,
team,201809090cle,cle,Fourth Down Conv.,0-1,,,,,,
team,201809090cle,pit,Time of Possession,35:12,,,,,,
team,201809090cle,cle,Time of Possession,34:48,,,,,,
player,201809090cle,pit,RoetBe00,pass_cmp,23,,,,,
player,201809090cle,pit,RoetBe00,pass_att,41,,,,,
player,201809090cle,pit,RoetBe00,pass_yds,335,,,,,
player,201809090cle,pit,RoetBe00,pass_td,1,,,,,
player,201809090cle,pit,RoetBe00,pass_int,3,,,,,
player,201809090cle,pit,RoetBe00,pass_sacked,4,,,,,
player,201809090cle,pit,RoetBe00,pass_sacked_yds,22,,,,,
player,201809090cle,pit,RoetBe00,pass_long,67,,,,,
player,201809090cle,pit,RoetBe00,pass_rating,60.5,,,,,
player,201809090cle,pit,RoetBe00,rush_att,3,,,,,
player,201809090cle,pit,RoetBe00,rush_yds,16,,,,,
player,201809090cle,pit,RoetBe00,rush_td,0,,,,,
player,201809090cle,pit,RoetBe00,rush_long,15,,,,,
player,201809090cle,pit,RoetBe00,targets,0,,,,,
player,201809090cle,pit,RoetBe00,rec,0,,,,,
player,201809090cle,pit,RoetBe00,rec_yds,0,,,,,
player,201809090cle,pit,RoetBe00,rec_td,0,,,,,
player,201809090cle,pit,RoetBe00,rec_long,0,,,,,
player,201809090cle,pit,RoetBe00,fumbles,2,,,,,
player,201809090cle,pit,RoetBe00,fumbles_lost,2,,,,,
player,201809090cle,pit,ConnJa00,pass_cmp,0,,,,,
player,201809090cle,pit,ConnJa00,pass_att,0,,,,,
player,201809090cle,pit,ConnJa00,pass_yds,0,,,,,
