game,2018,5,20181007,201810070htx,dal,"Dallas Cowboys",16,htx,"Houston Texans",19
team,201810070htx,dal,First Downs,14,,,,,,
team,201810070htx,htx,First Downs,25,,,,,,
team,201810070htx,dal,Rush-Yds-TDs,29-98-0,,,,,,
team,201810070htx,htx,Rush-Yds-TDs,31-88-0,,,,,,
team,201810070htx,dal,Cmp-Att-Yd-TD-INT,18-29-208-1-2,,,,,,
team,201810070htx,htx,Cmp-Att-Yd-TD-INT,33-44-375-1-1,,,,,,
team,201810070htx,dal,Sacked-Yards,2-14,,,,,,
team,201810070htx,htx,Sacked-Yards,1-1,,,,,,
team,201810070htx,dal,Net Pass Yards,194,,,,,,
team,201810070htx,htx,Net Pass Yards,374,,,,,,
team,201810070htx,dal,Total Yards,292,,,,,,
team,201810070htx,htx,Total Yards,462,,,,,,
team,201810070htx,dal,Fumbles-Lost,0-0,,,,,,
team,201810070htx,htx,Fumbles-Lost,2-1,,,,,,
team,201810070htx,dal,Turnovers,2,,,,,,
team,201810070htx,htx,Turnovers,2,,,,,,
team,201810070htx,dal,Penalties-Yards,7-72,,,,,,
team,201810070htx,htx,Penalties-Yards,5-25,,,,,,
team,201810070htx,dal,Third Down Conv.,4-14,,,,,,
team,201810070htx,htx,Third Down Conv.,5-15,,,,,,
team,201810070htx,dal,Fourth Down Conv.,1-1,,,,,,
team,201810070htx,htx,Fourth Down Conv.,0-1,,,,,,
team,201810070htx,dal,Time of Possession,31:32,,,,,,
team,201810070htx,htx,Time of Possession,36:38,,,,,,
player,201810070htx,dal,PresDa01,pass_cmp,18,,,,,
player,201810070htx,dal,PresDa01,pass_att,29,,,,,
player,201810070htx,dal,PresDa01,pass_yds,208,,,,,
player,201810070htx,dal,PresDa01,pass_td,1,,,,,
player,201810070htx,dal,PresDa01,pass_int,2,,,,,
player,201810070htx,dal,PresDa01,pass_sacked,2,,,,,
player,201810070htx,dal,PresDa01,pass_sacked_yds,14,,,,,
player,201810070htx,dal,PresDa01,pass_long,44,,,,,
player,201810070htx,dal,PresDa01,pass_rating,66.5,,,,,
player,201810070htx,dal,PresDa01,rush_att,6,,,,,
player,201810070htx,dal,PresDa01,rush_yds,34,,,,,
player,201810070htx,dal,PresDa01,rush_td,0,,,,,
player,201810070htx,dal,PresDa01,rush_long,11,,,,,
player,201810070htx,dal,PresDa01,targets,0,,,,,
player,201810070htx,dal,PresDa01,rec,0,,,,,
player,201810070htx,dal,PresDa01,rec_yds,0,,,,,
player,201810070htx,dal,PresDa01,rec_td,0,,,,,
player,201810070htx,dal,PresDa01,rec_long,0,,,,,
player,201810070htx,dal,PresDa01,fumbles,0,,,,,
player,201810070htx,dal,PresDa01,fumbles_lost,0,,,,,
player,201810070htx,dal,ElliEz00,pass_cmp,0,,,,,
player,201810070htx,dal,ElliEz00,pass_att,0,,,,,
player,201810070htx,dal,ElliEz00,pass_yds,0,,,,,
player,201810070htx,dal,ElliEz00,pass_td,0,,,,,
player,201810070htx,dal,ElliEz00,pass_int,0,,,,,
player,201810070htx,dal,ElliEz00,pass_sacked,0,,,,,
player,201810070htx,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201810070htx,dal,ElliEz00,pass_long,0,,,,,
player,201810070htx,dal,ElliEz00,pass_rating,,,,,,
player,201810070htx,dal,ElliEz00,rush_att,20,,,,,
