game,2018,3,20180923,201809230phi,clt,"Indianapolis Colts",16,phi,"Philadelphia Eagles",20
team,201809230phi,clt,First Downs,14,,,,,,
team,201809230phi,phi,First Downs,26,,,,,,
team,201809230phi,clt,Rush-Yds-TDs,13-68-0,,,,,,
team,201809230phi,phi,Rush-Yds-TDs,35-152-1,,,,,,
team,201809230phi,clt,Cmp-Att-Yd-TD-INT,25-41-164-1-0,,,,,,
team,201809230phi,phi,Cmp-Att-Yd-TD-INT,25-37-255-1-1,,,,,,
team,201809230phi,clt,Sacked-Yards,2-23,,,,,,
team,201809230phi,phi,Sacked-Yards,5-28,,,,,,
team,201809230phi,clt,Net Pass Yards,141,,,,,,
team,201809230phi,phi,Net Pass Yards,227,,,,,,
team,201809230phi,clt,Total Yards,209,,,,,,
team,201809230phi,phi,Total Yards,379,,,,,,
team,201809230phi,clt,Fumbles-Lost,0-0,,,,,,
team,201809230phi,phi,Fumbles-Lost,4-1,,,,,,
team,201809230phi,clt,Turnovers,0,,,,,,
team,201809230phi,phi,Turnovers,2,,,,,,
team,201809230phi,clt,Penalties-Yards,11-77,,,,,,
team,201809230phi,phi,Penalties-Yards,10-110,,,,,,
team,201809230phi,clt,Third Down Conv.,2-12,,,,,,
team,201809230phi,phi,Third Down Conv.,6-14,,,,,,
team,201809230phi,clt,Fourth Down Conv.,1-2,,,,,,
team,201809230phi,phi,Fourth Down Conv.,0-0,,,,,,
team,201809230phi,clt,Time of Possession,19:48,,,,,,
team,201809230phi,phi,Time of Possession,40:12,,,,,,
player,201809230phi,clt,LuckAn00,pass_cmp,25,,,,,
player,201809230phi,clt,LuckAn00,pass_att,40,,,,,
player,201809230phi,clt,LuckAn00,pass_yds,164,,,,,
player,201809230phi,clt,LuckAn00,pass_td,1,,,,,
player,201809230phi,clt,LuckAn00,pass_int,0,,,,,
player,201809230phi,clt,LuckAn00,pass_sacked,2,,,,,
player,201809230phi,clt,LuckAn00,pass_sacked_yds,23,,,,,
player,201809230phi,clt,LuckAn00,pass_long,29,,,,,
player,201809230phi,clt,LuckAn00,pass_rating,79.6,,,,,
player,201809230phi,clt,LuckAn00,rush_att,1,,,,,
player,201809230phi,clt,LuckAn00,rush_yds,33,,,,,
player,201809230phi,clt,LuckAn00,rush_td,0,,,,,
player,201809230phi,clt,LuckAn00,rush_long,33,,,,,
player,201809230phi,clt,LuckAn00,targets,0,,,,,
player,201809230phi,clt,LuckAn00,rec,0,,,,,
player,201809230phi,clt,LuckAn00,rec_yds,0,,,,,
player,201809230phi,clt,LuckAn00,rec_td,0,,,,,
player,201809230phi,clt,LuckAn00,rec_long,0,,,,,
player,201809230phi,clt,LuckAn00,fumbles,0,,,,,
player,201809230phi,clt,LuckAn00,fumbles_lost,0,,,,,
player,201809230phi,clt,BrisJa00,pass_cmp,0,,,,,
player,201809230phi,clt,BrisJa00,pass_att,1,,,,,
player,201809230phi,clt,BrisJa00,pass_yds,0,,,,,
player,201809230phi,clt,BrisJa00,pass_td,0,,,,,
player,201809230phi,clt,BrisJa00,pass_int,0,,,,,
player,201809230phi,clt,BrisJa00,pass_sacked,0,,,,,
player,201809230phi,clt,BrisJa00,pass_sacked_yds,0,,,,,
player,201809230phi,clt,BrisJa00,pass_long,0,,,,,
player,201809230phi,clt,BrisJa00,pass_rating,39.6,,,,,
player,201809230phi,clt,BrisJa00,rush_att,0,,,,,
player,201809230phi,clt,BrisJa00,rush_yds,0,,,,,
