game,2014,5,20141005,201410050oti,cle,"Cleveland Browns",29,oti,"Tennessee Titans",28
team,201410050oti,cle,First Downs,27,,,,,,
team,201410050oti,oti,First Downs,22,,,,,,
team,201410050oti,cle,Rush-Yds-TDs,36-176-0,,,,,,
team,201410050oti,oti,Rush-Yds-TDs,30-149-1,,,,,,
team,201410050oti,cle,Cmp-Att-Yd-TD-INT,21-37-291-3-1,,,,,,
team,201410050oti,oti,Cmp-Att-Yd-TD-INT,21-32-273-3-0,,,,,,
team,201410050oti,cle,Sacked-Yards,1-7,,,,,,
team,201410050oti,oti,Sacked-Yards,3-12,,,,,,
team,201410050oti,cle,Net Pass Yards,284,,,,,,
team,201410050oti,oti,Net Pass Yards,261,,,,,,
team,201410050oti,cle,Total Yards,460,,,,,,
team,201410050oti,oti,Total Yards,410,,,,,,
team,201410050oti,cle,Fumbles-Lost,0-0,,,,,,
team,201410050oti,oti,Fumbles-Lost,0-0,,,,,,
team,201410050oti,cle,Turnovers,1,,,,,,
team,201410050oti,oti,Turnovers,0,,,,,,
team,201410050oti,cle,Penalties-Yards,7-74,,,,,,
team,201410050oti,oti,Penalties-Yards,7-68,,,,,,
team,201410050oti,cle,Third Down Conv.,4-12,,,,,,
team,201410050oti,oti,Third Down Conv.,8-14,,,,,,
team,201410050oti,cle,Fourth Down Conv.,0-2,,,,,,
team,201410050oti,oti,Fourth Down Conv.,0-1,,,,,,
team,201410050oti,cle,Time of Possession,29:17,,,,,,
team,201410050oti,oti,Time of Possession,30:43,,,,,,
player,201410050oti,cle,HoyeBr00,pass_cmp,21,,,,,
player,201410050oti,cle,HoyeBr00,pass_att,37,,,,,
player,201410050oti,cle,HoyeBr00,pass_yds,291,,,,,
player,201410050oti,cle,HoyeBr00,pass_td,3,,,,,
player,201410050oti,cle,HoyeBr00,pass_int,1,,,,,
player,201410050oti,cle,HoyeBr00,pass_sacked,1,,,,,
player,201410050oti,cle,HoyeBr00,pass_sacked_yds,7,,,,,
player,201410050oti,cle,HoyeBr00,pass_long,49,,,,,
player,201410050oti,cle,HoyeBr00,pass_rating,97.9,,,,,
