game,2014,2,20140914,201409140car,det,"Detroit Lions",7,car,"Carolina Panthers",24
team,201409140car,det,First Downs,21,,,,,,
team,201409140car,car,First Downs,20,,,,,,
team,201409140car,det,Rush-Yds-TDs,18-70-0,,,,,,
team,201409140car,car,Rush-Yds-TDs,24-62-1,,,,,,
team,201409140car,det,Cmp-Att-Yd-TD-INT,27-48-291-1-1,,,,,,
team,201409140car,car,Cmp-Att-Yd-TD-INT,22-34-281-1-0,,,,,,
team,201409140car,det,Sacked-Yards,4-38,,,,,,
team,201409140car,car,Sacked-Yards,4-30,,,,,,
team,201409140car,det,Net Pass Yards,253,,,,,,
team,201409140car,car,Net Pass Yards,251,,,,,,
team,201409140car,det,Total Yards,323,,,,,,
team,201409140car,car,Total Yards,313,,,,,,
team,201409140car,det,Fumbles-Lost,3-2,,,,,,
team,201409140car,car,Fumbles-Lost,0-0,,,,,,
team,201409140car,det,Turnovers,3,,,,,,
team,201409140car,car,Turnovers,0,,,,,,
team,201409140car,det,Penalties-Yards,5-33,,,,,,
team,201409140car,car,Penalties-Yards,4-45,,,,,,
team,201409140car,det,Third Down Conv.,6-15,,,,,,
team,201409140car,car,Third Down Conv.,3-12,,,,,,
team,201409140car,det,Fourth Down Conv.,1-2,,,,,,
team,201409140car,car,Fourth Down Conv.,0-0,,,,,,
team,201409140car,det,Time of Possession,30:41,,,,,,
team,201409140car,car,Time of Possession,29:19,,,,,,
player,201409140car,det,StafMa00,pass_cmp,27,,,,,
player,201409140car,det,StafMa00,pass_att,48,,,,,
player,201409140car,det,StafMa00,pass_yds,291,,,,,
player,201409140car,det,StafMa00,pass_td,1,,,,,
player,201409140car,det,StafMa00,pass_int,1,,,,,
player,201409140car,det,StafMa00,pass_sacked,4,,,,,
player,201409140car,det,StafMa00,pass_sacked_yds,38,,,,,
player,201409140car,det,StafMa00,pass_long,25,,,,,
player,201409140car,det,StafMa00,pass_rating,72.5,,,,,
player,201409140car,det,StafMa00,rush_att,1,,,,,
player,201409140car,det,StafMa00,rush_yds,8,,,,,
player,201409140car,det,StafMa00,rush_td,0,,,,,
player,201409140car,det,StafMa00,rush_long,8,,,,,
player,201409140car,det,StafMa00,targets,0,,,,,
player,201409140car,det,StafMa00,rec,0,,,,,
player,201409140car,det,StafMa00,rec_yds,0,,,,,
player,201409140car,det,StafMa00,rec_td,0,,,,,
player,201409140car,det,StafMa00,rec_long,0,,,,,
player,201409140car,det,StafMa00,fumbles,0,,,,,
player,201409140car,det,StafMa00,fumbles_lost,0,,,,,
player,201409140car,det,BellJo01,pass_cmp,0,,,,,
player,201409140car,det,BellJo01,pass_att,0,,,,,
player,201409140car,det,BellJo01,pass_yds,0,,,,,
player,201409140car,det,BellJo01,pass_td,0,,,,,
player,201409140car,det,BellJo01,pass_int,0,,,,,
player,201409140car,det,BellJo01,pass_sacked,0,,,,,
player,201409140car,det,BellJo01,pass_sacked_yds,0,,,,,
player,201409140car,det,BellJo01,pass_long,0,,,,,
player,201409140car,det,BellJo01,pass_rating,,,,,,
player,201409140car,det,BellJo01,rush_att,10,,,,,
player,201409140car,det,BellJo01,rush_yds,36,,,,,
player,201409140car,det,BellJo01,rush_td,0,,,,,
player,201409140car,det,BellJo01,rush_long,12,,,,,
player,201409140car,det,BellJo01,targets,11,,,,,
player,201409140car,det,BellJo01,rec,6,,,,,
player,201409140car,det,BellJo01,rec_yds,61,,,,,
player,201409140car,det,BellJo01,rec_td,0,,,,,
player,201409140car,det,BellJo01,rec_long,19,,,,,
player,201409140car,det,BellJo01,fumbles,1,,,,,
player,201409140car,det,BellJo01,fumbles_lost,1,,,,,
player,201409140car,det,BushRe00,pass_cmp,0,,,,,
player,201409140car,det,BushRe00,pass_att,0,,,,,
player,201409140car,det,BushRe00,pass_yds,0,,,,,
player,201409140car,det,BushRe00,pass_td,0,,,,,
player,201409140car,det,BushRe00,pass_int,0,,,,,
player,201409140car,det,BushRe00,pass_sacked,0,,,,,
player,201409140car,det,BushRe00,pass_sacked_yds,0,,,,,
player,201409140car,det,BushRe00,pass_long,0,,,,,
player,201409140car,det,BushRe00,pass_rating,,,,,,
player,201409140car,det,BushRe00,rush_att,6,,,,,
player,201409140car,det,BushRe00,rush_yds,26,,,,,
player,201409140car,det,BushRe00,rush_td,0,,,,,
player,201409140car,det,BushRe00,rush_long,8,,,,,
player,201409140car,det,BushRe00,targets,3,,,,,
player,201409140car,det,BushRe00,rec,2,,,,,
player,201409140car,det,BushRe00,rec_yds,6,,,,,
player,201409140car,det,BushRe00,rec_td,0,,,,,
player,201409140car,det,BushRe00,rec_long,3,,,,,
player,201409140car,det,BushRe00,fumbles,0,,,,,
player,201409140car,det,BushRe00,fumbles_lost,0,,,,,
player,201409140car,det,JohnCa00,pass_cmp,0,,,,,
player,201409140car,det,JohnCa00,pass_att,0,,,,,
player,201409140car,det,JohnCa00,pass_yds,0,,,,,
player,201409140car,det,JohnCa00,pass_td,0,,,,,
player,201409140car,det,JohnCa00,pass_int,0,,,,,
player,201409140car,det,JohnCa00,pass_sacked,0,,,,,
player,201409140car,det,JohnCa00,pass_sacked_yds,0,,,,,
player,201409140car,det,JohnCa00,pass_long,0,,,,,
player,201409140car,det,JohnCa00,pass_rating,,,,,,
player,201409140car,det,JohnCa00,rush_att,0,,,,,
player,201409140car,det,JohnCa00,rush_yds,0,,,,,
player,201409140car,det,JohnCa00,rush_td,0,,,,,
player,201409140car,det,JohnCa00,rush_long,0,,,,,
player,201409140car,det,JohnCa00,targets,13,,,,,
player,201409140car,det,JohnCa00,rec,6,,,,,
player,201409140car,det,JohnCa00,rec_yds,83,,,,,
player,201409140car,det,JohnCa00,rec_td,0,,,,,
player,201409140car,det,JohnCa00,rec_long,25,,,,,
player,201409140car,det,JohnCa00,fumbles,0,,,,,
player,201409140car,det,JohnCa00,fumbles_lost,0,,,,,
player,201409140car,det,TateGo00,pass_cmp,0,,,,,
player,201409140car,det,TateGo00,pass_att,0,,,,,
player,201409140car,det,TateGo00,pass_yds,0,,,,,
player,201409140car,det,TateGo00,pass_td,0,,,,,
player,201409140car,det,TateGo00,pass_int,0,,,,,
player,201409140car,det,TateGo00,pass_sacked,0,,,,,
player,201409140car,det,TateGo00,pass_sacked_yds,0,,,,,
player,201409140car,det,TateGo00,pass_long,0,,,,,
player,201409140car,det,TateGo00,pass_rating,,,,,,
player,201409140car,det,TateGo00,rush_att,0,,,,,
