game,2014,4,20140928,201409280rai,mia,"Miami Dolphins",38,rai,"Oakland Raiders",14
team,201409280rai,mia,First Downs,24,,,,,,
team,201409280rai,rai,First Downs,17,,,,,,
team,201409280rai,mia,Rush-Yds-TDs,35-157-2,,,,,,
team,201409280rai,rai,Rush-Yds-TDs,18-53-0,,,,,,
team,201409280rai,mia,Cmp-Att-Yd-TD-INT,23-31-278-2-1,,,,,,
team,201409280rai,rai,Cmp-Att-Yd-TD-INT,28-44-275-2-3,,,,,,
team,201409280rai,mia,Sacked-Yards,0-0,,,,,,
team,201409280rai,rai,Sacked-Yards,2-11,,,,,,
team,201409280rai,mia,Net Pass Yards,278,,,,,,
team,201409280rai,rai,Net Pass Yards,264,,,,,,
team,201409280rai,mia,Total Yards,435,,,,,,
team,201409280rai,rai,Total Yards,317,,,,,,
team,201409280rai,mia,Fumbles-Lost,3-2,,,,,,
team,201409280rai,rai,Fumbles-Lost,1-1,,,,,,
team,201409280rai,mia,Turnovers,3,,,,,,
team,201409280rai,rai,Turnovers,4,,,,,,
team,201409280rai,mia,Penalties-Yards,5-35,,,,,,
team,201409280rai,rai,Penalties-Yards,9-80,,,,,,
team,201409280rai,mia,Third Down Conv.,5-11,,,,,,
team,201409280rai,rai,Third Down Conv.,6-14,,,,,,
team,201409280rai,mia,Fourth Down Conv.,1-2,,,,,,
team,201409280rai,rai,Fourth Down Conv.,0-1,,,,,,
team,201409280rai,mia,Time of Possession,30:54,,,,,,
team,201409280rai,rai,Time of Possession,29:06,,,,,,
player,201409280rai,mia,TannRy00,pass_cmp,23,,,,,
player,201409280rai,mia,TannRy00,pass_att,31,,,,,
player,201409280rai,mia,TannRy00,pass_yds,278,,,,,
player,201409280rai,mia,TannRy00,pass_td,2,,,,,
player,201409280rai,mia,TannRy00,pass_int,1,,,,,
player,201409280rai,mia,TannRy00,pass_sacked,0,,,,,
player,201409280rai,mia,TannRy00,pass_sacked_yds,0,,,,,
player,201409280rai,mia,TannRy00,pass_long,35,,,,,
player,201409280rai,mia,TannRy00,pass_rating,109.3,,,,,
player,201409280rai,mia,TannRy00,rush_att,5,,,,,
player,201409280rai,mia,TannRy00,rush_yds,35,,,,,
player,201409280rai,mia,TannRy00,rush_td,0,,,,,
player,201409280rai,mia,TannRy00,rush_long,18,,,,,
player,201409280rai,mia,TannRy00,targets,0,,,,,
player,201409280rai,mia,TannRy00,rec,0,,,,,
player,201409280rai,mia,TannRy00,rec_yds,0,,,,,
player,201409280rai,mia,TannRy00,rec_td,0,,,,,
player,201409280rai,mia,TannRy00,rec_long,0,,,,,
player,201409280rai,mia,TannRy00,fumbles,0,,,,,
player,201409280rai,mia,TannRy00,fumbles_lost,0,,,,,
player,201409280rai,mia,MillLa01,pass_cmp,0,,,,,
player,201409280rai,mia,MillLa01,pass_att,0,,,,,
player,201409280rai,mia,MillLa01,pass_yds,0,,,,,
player,201409280rai,mia,MillLa01,pass_td,0,,,,,
player,201409280rai,mia,MillLa01,pass_int,0,,,,,
player,201409280rai,mia,MillLa01,pass_sacked,0,,,,,
player,201409280rai,mia,MillLa01,pass_sacked_yds,0,,,,,
player,201409280rai,mia,MillLa01,pass_long,0,,,,,
player,201409280rai,mia,MillLa01,pass_rating,,,,,,
player,201409280rai,mia,MillLa01,rush_att,12,,,,,
player,201409280rai,mia,MillLa01,rush_yds,64,,,,,
player,201409280rai,mia,MillLa01,rush_td,2,,,,,
player,201409280rai,mia,MillLa01,rush_long,21,,,,,
player,201409280rai,mia,MillLa01,targets,2,,,,,
player,201409280rai,mia,MillLa01,rec,2,,,,,
player,201409280rai,mia,MillLa01,rec_yds,3,,,,,
player,201409280rai,mia,MillLa01,rec_td,0,,,,,
player,201409280rai,mia,MillLa01,rec_long,2,,,,,
player,201409280rai,mia,MillLa01,fumbles,1,,,,,
player,201409280rai,mia,MillLa01,fumbles_lost,1,,,,,
player,201409280rai,mia,ThomDa03,pass_cmp,0,,,,,
player,201409280rai,mia,ThomDa03,pass_att,0,,,,,
player,201409280rai,mia,ThomDa03,pass_yds,0,,,,,
player,201409280rai,mia,ThomDa03,pass_td,0,,,,,
player,201409280rai,mia,ThomDa03,pass_int,0,,,,,
player,201409280rai,mia,ThomDa03,pass_sacked,0,,,,,
player,201409280rai,mia,ThomDa03,pass_sacked_yds,0,,,,,
player,201409280rai,mia,ThomDa03,pass_long,0,,,,,
player,201409280rai,mia,ThomDa03,pass_rating,,,,,,
player,201409280rai,mia,ThomDa03,rush_att,5,,,,,
player,201409280rai,mia,ThomDa03,rush_yds,35,,,,,
player,201409280rai,mia,ThomDa03,rush_td,0,,,,,
player,201409280rai,mia,ThomDa03,rush_long,15,,,,,
player,201409280rai,mia,ThomDa03,targets,2,,,,,
player,201409280rai,mia,ThomDa03,rec,1,,,,,
player,201409280rai,mia,ThomDa03,rec_yds,25,,,,,
player,201409280rai,mia,ThomDa03,rec_td,0,,,,,
player,201409280rai,mia,ThomDa03,rec_long,25,,,,,
player,201409280rai,mia,ThomDa03,fumbles,0,,,,,
player,201409280rai,mia,ThomDa03,fumbles_lost,0,,,,,
player,201409280rai,mia,WillDa05,pass_cmp,0,,,,,
player,201409280rai,mia,WillDa05,pass_att,0,,,,,
player,201409280rai,mia,WillDa05,pass_yds,0,,,,,
player,201409280rai,mia,WillDa05,pass_td,0,,,,,
player,201409280rai,mia,WillDa05,pass_int,0,,,,,
player,201409280rai,mia,WillDa05,pass_sacked,0,,,,,
