game,2014,17,20141228,201412280tam,nor,"New Orleans Saints",23,tam,"Tampa Bay Buccaneers",20
team,201412280tam,nor,First Downs,20,,,,,,
team,201412280tam,tam,First Downs,18,,,,,,
team,201412280tam,nor,Rush-Yds-TDs,23-70-2,,,,,,
team,201412280tam,tam,Rush-Yds-TDs,39-183-1,,,,,,
team,201412280tam,nor,Cmp-Att-Yd-TD-INT,24-38-281-1-3,,,,,,
team,201412280tam,tam,Cmp-Att-Yd-TD-INT,14-23-115-1-1,,,,,,
team,201412280tam,nor,Sacked-Yards,2-13,,,,,,
team,201412280tam,tam,Sacked-Yards,3-18,,,,,,
team,201412280tam,nor,Net Pass Yards,268,,,,,,
team,201412280tam,tam,Net Pass Yards,97,,,,,,
team,201412280tam,nor,Total Yards,338,,,,,,
team,201412280tam,tam,Total Yards,280,,,,,,
team,201412280tam,nor,Fumbles-Lost,1-0,,,,,,
team,201412280tam,tam,Fumbles-Lost,0-0,,,,,,
team,201412280tam,nor,Turnovers,3,,,,,,
team,201412280tam,tam,Turnovers,1,,,,,,
team,201412280tam,nor,Penalties-Yards,2-15,,,,,,
team,201412280tam,tam,Penalties-Yards,4-23,,,,,,
team,201412280tam,nor,Third Down Conv.,7-14,,,,,,
team,201412280tam,tam,Third Down Conv.,9-17,,,,,,
team,201412280tam,nor,Fourth Down Conv.,1-1,,,,,,
team,201412280tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201412280tam,nor,Time of Possession,27:13,,,,,,
team,201412280tam,tam,Time of Possession,32:47,,,,,,
player,201412280tam,nor,BreeDr00,pass_cmp,24,,,,,
player,201412280tam,nor,BreeDr00,pass_att,38,,,,,
player,201412280tam,nor,BreeDr00,pass_yds,281,,,,,
player,201412280tam,nor,BreeDr00,pass_td,1,,,,,
player,201412280tam,nor,BreeDr00,pass_int,3,,,,,
player,201412280tam,nor,BreeDr00,pass_sacked,2,,,,,
player,201412280tam,nor,BreeDr00,pass_sacked_yds,13,,,,,
player,201412280tam,nor,BreeDr00,pass_long,44,,,,,
player,201412280tam,nor,BreeDr00,pass_rating,61.4,,,,,
player,201412280tam,nor,BreeDr00,rush_att,2,,,,,
player,201412280tam,nor,BreeDr00,rush_yds,-2,,,,,
player,201412280tam,nor,BreeDr00,rush_td,0,,,,,
player,201412280tam,nor,BreeDr00,rush_long,-1,,,,,
player,201412280tam,nor,BreeDr00,targets,1,,,,,
player,201412280tam,nor,BreeDr00,rec,1,,,,,
player,201412280tam,nor,BreeDr00,rec_yds,1,,,,,
player,201412280tam,nor,BreeDr00,rec_td,0,,,,,
player,201412280tam,nor,BreeDr00,rec_long,1,,,,,
player,201412280tam,nor,BreeDr00,fumbles,0,,,,,
player,201412280tam,nor,BreeDr00,fumbles_lost,0,,,,,
player,201412280tam,nor,IngrMa01,pass_cmp,0,,,,,
player,201412280tam,nor,IngrMa01,pass_att,0,,,,,
player,201412280tam,nor,IngrMa01,pass_yds,0,,,,,
player,201412280tam,nor,IngrMa01,pass_td,0,,,,,
player,201412280tam,nor,IngrMa01,pass_int,0,,,,,
player,201412280tam,nor,IngrMa01,pass_sacked,0,,,,,
player,201412280tam,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201412280tam,nor,IngrMa01,pass_long,0,,,,,
player,201412280tam,nor,IngrMa01,pass_rating,,,,,,
player,201412280tam,nor,IngrMa01,rush_att,14,,,,,
player,201412280tam,nor,IngrMa01,rush_yds,57,,,,,
player,201412280tam,nor,IngrMa01,rush_td,1,,,,,
player,201412280tam,nor,IngrMa01,rush_long,18,,,,,
player,201412280tam,nor,IngrMa01,targets,3,,,,,
player,201412280tam,nor,IngrMa01,rec,2,,,,,
player,201412280tam,nor,IngrMa01,rec_yds,4,,,,,
player,201412280tam,nor,IngrMa01,rec_td,0,,,,,
player,201412280tam,nor,IngrMa01,rec_long,6,,,,,
player,201412280tam,nor,IngrMa01,fumbles,1,,,,,
player,201412280tam,nor,IngrMa01,fumbles_lost,0,,,,,
player,201412280tam,nor,RobiKh00,pass_cmp,0,,,,,
player,201412280tam,nor,RobiKh00,pass_att,0,,,,,
player,201412280tam,nor,RobiKh00,pass_yds,0,,,,,
player,201412280tam,nor,RobiKh00,pass_td,0,,,,,
player,201412280tam,nor,RobiKh00,pass_int,0,,,,,
player,201412280tam,nor,RobiKh00,pass_sacked,0,,,,,
player,201412280tam,nor,RobiKh00,pass_sacked_yds,0,,,,,
player,201412280tam,nor,RobiKh00,pass_long,0,,,,,
player,201412280tam,nor,RobiKh00,pass_rating,,,,,,
player,201412280tam,nor,RobiKh00,rush_att,7,,,,,
player,201412280tam,nor,RobiKh00,rush_yds,15,,,,,
player,201412280tam,nor,RobiKh00,rush_td,1,,,,,
player,201412280tam,nor,RobiKh00,rush_long,8,,,,,
player,201412280tam,nor,RobiKh00,targets,2,,,,,
player,201412280tam,nor,RobiKh00,rec,2,,,,,
player,201412280tam,nor,RobiKh00,rec_yds,22,,,,,
player,201412280tam,nor,RobiKh00,rec_td,0,,,,,
player,201412280tam,nor,RobiKh00,rec_long,17,,,,,
player,201412280tam,nor,RobiKh00,fumbles,0,,,,,
player,201412280tam,nor,RobiKh00,fumbles_lost,0,,,,,
player,201412280tam,nor,StilKe00,pass_cmp,0,,,,,
player,201412280tam,nor,StilKe00,pass_att,0,,,,,
player,201412280tam,nor,StilKe00,pass_yds,0,,,,,
player,201412280tam,nor,StilKe00,pass_td,0,,,,,
player,201412280tam,nor,StilKe00,pass_int,0,,,,,
player,201412280tam,nor,StilKe00,pass_sacked,0,,,,,
player,201412280tam,nor,StilKe00,pass_sacked_yds,0,,,,,
player,201412280tam,nor,StilKe00,pass_long,0,,,,,
player,201412280tam,nor,StilKe00,pass_rating,,,,,,
player,201412280tam,nor,StilKe00,rush_att,0,,,,,
player,201412280tam,nor,StilKe00,rush_yds,0,,,,,
player,201412280tam,nor,StilKe00,rush_td,0,,,,,
player,201412280tam,nor,StilKe00,rush_long,0,,,,,
player,201412280tam,nor,StilKe00,targets,7,,,,,
player,201412280tam,nor,StilKe00,rec,5,,,,,
player,201412280tam,nor,StilKe00,rec_yds,82,,,,,
player,201412280tam,nor,StilKe00,rec_td,0,,,,,
player,201412280tam,nor,StilKe00,rec_long,44,,,,,
player,201412280tam,nor,StilKe00,fumbles,0,,,,,
player,201412280tam,nor,StilKe00,fumbles_lost,0,,,,,
player,201412280tam,nor,GrahJi00,pass_cmp,0,,,,,
player,201412280tam,nor,GrahJi00,pass_att,0,,,,,
player,201412280tam,nor,GrahJi00,pass_yds,0,,,,,
player,201412280tam,nor,GrahJi00,pass_td,0,,,,,
player,201412280tam,nor,GrahJi00,pass_int,0,,,,,
player,201412280tam,nor,GrahJi00,pass_sacked,0,,,,,
player,201412280tam,nor,GrahJi00,pass_sacked_yds,0,,,,,
player,201412280tam,nor,GrahJi00,pass_long,0,,,,,
player,201412280tam,nor,GrahJi00,pass_rating,,,,,,
player,201412280tam,nor,GrahJi00,rush_att,0,,,,,
player,201412280tam,nor,GrahJi00,rush_yds,0,,,,,
player,201412280tam,nor,GrahJi00,rush_td,0,,,,,
player,201412280tam,nor,GrahJi00,rush_long,0,,,,,
player,201412280tam,nor,GrahJi00,targets,9,,,,,
player,201412280tam,nor,GrahJi00,rec,6,,,,,
player,201412280tam,nor,GrahJi00,rec_yds,54,,,,,
player,201412280tam,nor,GrahJi00,rec_td,0,,,,,
player,201412280tam,nor,GrahJi00,rec_long,14,,,,,
player,201412280tam,nor,GrahJi00,fumbles,0,,,,,
player,201412280tam,nor,GrahJi00,fumbles_lost,0,,,,,
player,201412280tam,nor,ColsMa00,pass_cmp,0,,,,,
player,201412280tam,nor,ColsMa00,pass_att,0,,,,,
player,201412280tam,nor,ColsMa00,pass_yds,0,,,,,
player,201412280tam,nor,ColsMa00,pass_td,0,,,,,
player,201412280tam,nor,ColsMa00,pass_int,0,,,,,
player,201412280tam,nor,ColsMa00,pass_sacked,0,,,,,
player,201412280tam,nor,ColsMa00,pass_sacked_yds,0,,,,,
player,201412280tam,nor,ColsMa00,pass_long,0,,,,,
player,201412280tam,nor,ColsMa00,pass_rating,,,,,,
player,201412280tam,nor,ColsMa00,rush_att,0,,,,,
player,201412280tam,nor,ColsMa00,rush_yds,0,,,,,
player,201412280tam,nor,ColsMa00,rush_td,0,,,,,
player,201412280tam,nor,ColsMa00,rush_long,0,,,,,
player,201412280tam,nor,ColsMa00,targets,7,,,,,
player,201412280tam,nor,ColsMa00,rec,2,,,,,
player,201412280tam,nor,ColsMa00,rec_yds,51,,,,,
player,201412280tam,nor,ColsMa00,rec_td,1,,,,,
player,201412280tam,nor,ColsMa00,rec_long,36,,,,,
player,201412280tam,nor,ColsMa00,fumbles,0,,,,,
player,201412280tam,nor,ColsMa00,fumbles_lost,0,,,,,
player,201412280tam,nor,ToonNi00,pass_cmp,0,,,,,
player,201412280tam,nor,ToonNi00,pass_att,0,,,,,
player,201412280tam,nor,ToonNi00,pass_yds,0,,,,,
player,201412280tam,nor,ToonNi00,pass_td,0,,,,,
player,201412280tam,nor,ToonNi00,pass_int,0,,,,,
player,201412280tam,nor,ToonNi00,pass_sacked,0,,,,,
player,201412280tam,nor,ToonNi00,pass_sacked_yds,0,,,,,
player,201412280tam,nor,ToonNi00,pass_long,0,,,,,
player,201412280tam,nor,ToonNi00,pass_rating,,,,,,
player,201412280tam,nor,ToonNi00,rush_att,0,,,,,
player,201412280tam,nor,ToonNi00,rush_yds,0,,,,,
player,201412280tam,nor,ToonNi00,rush_td,0,,,,,
player,201412280tam,nor,ToonNi00,rush_long,0,,,,,
player,201412280tam,nor,ToonNi00,targets,2,,,,,
player,201412280tam,nor,ToonNi00,rec,1,,,,,
player,201412280tam,nor,ToonNi00,rec_yds,24,,,,,
player,201412280tam,nor,ToonNi00,rec_td,0,,,,,
player,201412280tam,nor,ToonNi00,rec_long,24,,,,,
player,201412280tam,nor,ToonNi00,fumbles,0,,,,,
player,201412280tam,nor,ToonNi00,fumbles_lost,0,,,,,
player,201412280tam,nor,WatsBe00,pass_cmp,0,,,,,
