game,2014,16,20141221,201412210tam,gnb,"Green Bay Packers",20,tam,"Tampa Bay Buccaneers",3
team,201412210tam,gnb,First Downs,23,,,,,,
team,201412210tam,tam,First Downs,6,,,,,,
team,201412210tam,gnb,Rush-Yds-TDs,31-121-1,,,,,,
team,201412210tam,tam,Rush-Yds-TDs,14-16-0,,,,,,
team,201412210tam,gnb,Cmp-Att-Yd-TD-INT,31-40-318-1-0,,,,,,
team,201412210tam,tam,Cmp-Att-Yd-TD-INT,12-26-147-0-1,,,,,,
team,201412210tam,gnb,Sacked-Yards,1-8,,,,,,
team,201412210tam,tam,Sacked-Yards,7-54,,,,,,
team,201412210tam,gnb,Net Pass Yards,310,,,,,,
team,201412210tam,tam,Net Pass Yards,93,,,,,,
team,201412210tam,gnb,Total Yards,431,,,,,,
team,201412210tam,tam,Total Yards,109,,,,,,
team,201412210tam,gnb,Fumbles-Lost,2-1,,,,,,
team,201412210tam,tam,Fumbles-Lost,1-0,,,,,,
team,201412210tam,gnb,Turnovers,1,,,,,,
team,201412210tam,tam,Turnovers,1,,,,,,
team,201412210tam,gnb,Penalties-Yards,5-40,,,,,,
team,201412210tam,tam,Penalties-Yards,3-30,,,,,,
team,201412210tam,gnb,Third Down Conv.,6-13,,,,,,
team,201412210tam,tam,Third Down Conv.,4-14,,,,,,
team,201412210tam,gnb,Fourth Down Conv.,0-1,,,,,,
team,201412210tam,tam,Fourth Down Conv.,1-1,,,,,,
team,201412210tam,gnb,Time of Possession,38:38,,,,,,
team,201412210tam,tam,Time of Possession,21:22,,,,,,
player,201412210tam,gnb,RodgAa00,pass_cmp,31,,,,,
player,201412210tam,gnb,RodgAa00,pass_att,40,,,,,
player,201412210tam,gnb,RodgAa00,pass_yds,318,,,,,
player,201412210tam,gnb,RodgAa00,pass_td,1,,,,,
player,201412210tam,gnb,RodgAa00,pass_int,0,,,,,
player,201412210tam,gnb,RodgAa00,pass_sacked,1,,,,,
player,201412210tam,gnb,RodgAa00,pass_sacked_yds,8,,,,,
player,201412210tam,gnb,RodgAa00,pass_long,30,,,,,
player,201412210tam,gnb,RodgAa00,pass_rating,108.1,,,,,
player,201412210tam,gnb,RodgAa00,rush_att,0,,,,,
player,201412210tam,gnb,RodgAa00,rush_yds,0,,,,,
player,201412210tam,gnb,RodgAa00,rush_td,0,,,,,
player,201412210tam,gnb,RodgAa00,rush_long,0,,,,,
player,201412210tam,gnb,RodgAa00,targets,0,,,,,
player,201412210tam,gnb,RodgAa00,rec,0,,,,,
player,201412210tam,gnb,RodgAa00,rec_yds,0,,,,,
player,201412210tam,gnb,RodgAa00,rec_td,0,,,,,
player,201412210tam,gnb,RodgAa00,rec_long,0,,,,,
player,201412210tam,gnb,RodgAa00,fumbles,1,,,,,
player,201412210tam,gnb,RodgAa00,fumbles_lost,1,,,,,
player,201412210tam,gnb,LacyEd00,pass_cmp,0,,,,,
player,201412210tam,gnb,LacyEd00,pass_att,0,,,,,
player,201412210tam,gnb,LacyEd00,pass_yds,0,,,,,
player,201412210tam,gnb,LacyEd00,pass_td,0,,,,,
player,201412210tam,gnb,LacyEd00,pass_int,0,,,,,
player,201412210tam,gnb,LacyEd00,pass_sacked,0,,,,,
player,201412210tam,gnb,LacyEd00,pass_sacked_yds,0,,,,,
player,201412210tam,gnb,LacyEd00,pass_long,0,,,,,
player,201412210tam,gnb,LacyEd00,pass_rating,,,,,,
player,201412210tam,gnb,LacyEd00,rush_att,17,,,,,
player,201412210tam,gnb,LacyEd00,rush_yds,99,,,,,
player,201412210tam,gnb,LacyEd00,rush_td,1,,,,,
player,201412210tam,gnb,LacyEd00,rush_long,44,,,,,
player,201412210tam,gnb,LacyEd00,targets,1,,,,,
player,201412210tam,gnb,LacyEd00,rec,1,,,,,
player,201412210tam,gnb,LacyEd00,rec_yds,5,,,,,
player,201412210tam,gnb,LacyEd00,rec_td,0,,,,,
player,201412210tam,gnb,LacyEd00,rec_long,5,,,,,
player,201412210tam,gnb,LacyEd00,fumbles,0,,,,,
player,201412210tam,gnb,LacyEd00,fumbles_lost,0,,,,,
player,201412210tam,gnb,KuhnJo00,pass_cmp,0,,,,,
player,201412210tam,gnb,KuhnJo00,pass_att,0,,,,,
player,201412210tam,gnb,KuhnJo00,pass_yds,0,,,,,
player,201412210tam,gnb,KuhnJo00,pass_td,0,,,,,
player,201412210tam,gnb,KuhnJo00,pass_int,0,,,,,
player,201412210tam,gnb,KuhnJo00,pass_sacked,0,,,,,
