game,2014,11,20141116,201411160ram,den,"Denver Broncos",7,ram,"St. Louis Rams",22
team,201411160ram,den,First Downs,21,,,,,,
team,201411160ram,ram,First Downs,16,,,,,,
team,201411160ram,den,Rush-Yds-TDs,10-28-0,,,,,,
team,201411160ram,ram,Rush-Yds-TDs,33-131-0,,,,,,
team,201411160ram,den,Cmp-Att-Yd-TD-INT,34-54-389-1-2,,,,,,
team,201411160ram,ram,Cmp-Att-Yd-TD-INT,20-29-220-1-0,,,,,,
team,201411160ram,den,Sacked-Yards,2-20,,,,,,
team,201411160ram,ram,Sacked-Yards,3-14,,,,,,
team,201411160ram,den,Net Pass Yards,369,,,,,,
team,201411160ram,ram,Net Pass Yards,206,,,,,,
team,201411160ram,den,Total Yards,397,,,,,,
team,201411160ram,ram,Total Yards,337,,,,,,
team,201411160ram,den,Fumbles-Lost,0-0,,,,,,
team,201411160ram,ram,Fumbles-Lost,1-0,,,,,,
team,201411160ram,den,Turnovers,2,,,,,,
team,201411160ram,ram,Turnovers,0,,,,,,
team,201411160ram,den,Penalties-Yards,8-62,,,,,,
team,201411160ram,ram,Penalties-Yards,3-25,,,,,,
team,201411160ram,den,Third Down Conv.,4-12,,,,,,
team,201411160ram,ram,Third Down Conv.,6-17,,,,,,
team,201411160ram,den,Fourth Down Conv.,0-3,,,,,,
team,201411160ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201411160ram,den,Time of Possession,24:10,,,,,,
team,201411160ram,ram,Time of Possession,35:50,,,,,,
player,201411160ram,den,MannPe00,pass_cmp,34,,,,,
player,201411160ram,den,MannPe00,pass_att,54,,,,,
player,201411160ram,den,MannPe00,pass_yds,389,,,,,
player,201411160ram,den,MannPe00,pass_td,1,,,,,
player,201411160ram,den,MannPe00,pass_int,2,,,,,
player,201411160ram,den,MannPe00,pass_sacked,2,,,,,
player,201411160ram,den,MannPe00,pass_sacked_yds,20,,,,,
player,201411160ram,den,MannPe00,pass_long,42,,,,,
player,201411160ram,den,MannPe00,pass_rating,75.3,,,,,
player,201411160ram,den,MannPe00,rush_att,1,,,,,
player,201411160ram,den,MannPe00,rush_yds,-1,,,,,
player,201411160ram,den,MannPe00,rush_td,0,,,,,
player,201411160ram,den,MannPe00,rush_long,-1,,,,,
player,201411160ram,den,MannPe00,targets,0,,,,,
player,201411160ram,den,MannPe00,rec,0,,,,,
