game,2014,2,20140914,201409140cle,nor,"New Orleans Saints",24,cle,"Cleveland Browns",26
team,201409140cle,nor,First Downs,26,,,,,,
team,201409140cle,cle,First Downs,23,,,,,,
team,201409140cle,nor,Rush-Yds-TDs,27-174-1,,,,,,
team,201409140cle,cle,Rush-Yds-TDs,30-122-1,,,,,,
team,201409140cle,nor,Cmp-Att-Yd-TD-INT,27-40-237-2-1,,,,,,
team,201409140cle,cle,Cmp-Att-Yd-TD-INT,24-41-204-1-0,,,,,,
team,201409140cle,nor,Sacked-Yards,2-14,,,,,,
team,201409140cle,cle,Sacked-Yards,1-2,,,,,,
team,201409140cle,nor,Net Pass Yards,223,,,,,,
team,201409140cle,cle,Net Pass Yards,202,,,,,,
team,201409140cle,nor,Total Yards,397,,,,,,
team,201409140cle,cle,Total Yards,324,,,,,,
team,201409140cle,nor,Fumbles-Lost,1-1,,,,,,
team,201409140cle,cle,Fumbles-Lost,0-0,,,,,,
team,201409140cle,nor,Turnovers,2,,,,,,
team,201409140cle,cle,Turnovers,0,,,,,,
team,201409140cle,nor,Penalties-Yards,5-39,,,,,,
team,201409140cle,cle,Penalties-Yards,4-30,,,,,,
team,201409140cle,nor,Third Down Conv.,7-13,,,,,,
team,201409140cle,cle,Third Down Conv.,7-16,,,,,,
team,201409140cle,nor,Fourth Down Conv.,0-0,,,,,,
team,201409140cle,cle,Fourth Down Conv.,2-2,,,,,,
team,201409140cle,nor,Time of Possession,31:50,,,,,,
team,201409140cle,cle,Time of Possession,28:10,,,,,,
player,201409140cle,nor,BreeDr00,pass_cmp,27,,,,,
player,201409140cle,nor,BreeDr00,pass_att,40,,,,,
player,201409140cle,nor,BreeDr00,pass_yds,237,,,,,
player,201409140cle,nor,BreeDr00,pass_td,2,,,,,
player,201409140cle,nor,BreeDr00,pass_int,1,,,,,
player,201409140cle,nor,BreeDr00,pass_sacked,2,,,,,
player,201409140cle,nor,BreeDr00,pass_sacked_yds,14,,,,,
player,201409140cle,nor,BreeDr00,pass_long,23,,,,,
player,201409140cle,nor,BreeDr00,pass_rating,89.3,,,,,
player,201409140cle,nor,BreeDr00,rush_att,1,,,,,
player,201409140cle,nor,BreeDr00,rush_yds,3,,,,,
player,201409140cle,nor,BreeDr00,rush_td,0,,,,,
player,201409140cle,nor,BreeDr00,rush_long,3,,,,,
player,201409140cle,nor,BreeDr00,targets,0,,,,,
player,201409140cle,nor,BreeDr00,rec,0,,,,,
player,201409140cle,nor,BreeDr00,rec_yds,0,,,,,
player,201409140cle,nor,BreeDr00,rec_td,0,,,,,
player,201409140cle,nor,BreeDr00,rec_long,0,,,,,
player,201409140cle,nor,BreeDr00,fumbles,0,,,,,
player,201409140cle,nor,BreeDr00,fumbles_lost,0,,,,,
player,201409140cle,nor,IngrMa01,pass_cmp,0,,,,,
player,201409140cle,nor,IngrMa01,pass_att,0,,,,,
player,201409140cle,nor,IngrMa01,pass_yds,0,,,,,
player,201409140cle,nor,IngrMa01,pass_td,0,,,,,
player,201409140cle,nor,IngrMa01,pass_int,0,,,,,
player,201409140cle,nor,IngrMa01,pass_sacked,0,,,,,
player,201409140cle,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201409140cle,nor,IngrMa01,pass_long,0,,,,,
player,201409140cle,nor,IngrMa01,pass_rating,,,,,,
player,201409140cle,nor,IngrMa01,rush_att,11,,,,,
player,201409140cle,nor,IngrMa01,rush_yds,83,,,,,
player,201409140cle,nor,IngrMa01,rush_td,1,,,,,
player,201409140cle,nor,IngrMa01,rush_long,26,,,,,
player,201409140cle,nor,IngrMa01,targets,4,,,,,
player,201409140cle,nor,IngrMa01,rec,3,,,,,
player,201409140cle,nor,IngrMa01,rec_yds,21,,,,,
player,201409140cle,nor,IngrMa01,rec_td,0,,,,,
player,201409140cle,nor,IngrMa01,rec_long,13,,,,,
player,201409140cle,nor,IngrMa01,fumbles,0,,,,,
player,201409140cle,nor,IngrMa01,fumbles_lost,0,,,,,
player,201409140cle,nor,CookBr00,pass_cmp,0,,,,,
player,201409140cle,nor,CookBr00,pass_att,0,,,,,
player,201409140cle,nor,CookBr00,pass_yds,0,,,,,
player,201409140cle,nor,CookBr00,pass_td,0,,,,,
player,201409140cle,nor,CookBr00,pass_int,0,,,,,
player,201409140cle,nor,CookBr00,pass_sacked,0,,,,,
player,201409140cle,nor,CookBr00,pass_sacked_yds,0,,,,,
player,201409140cle,nor,CookBr00,pass_long,0,,,,,
player,201409140cle,nor,CookBr00,pass_rating,,,,,,
player,201409140cle,nor,CookBr00,rush_att,2,,,,,
player,201409140cle,nor,CookBr00,rush_yds,31,,,,,
player,201409140cle,nor,CookBr00,rush_td,0,,,,,
player,201409140cle,nor,CookBr00,rush_long,28,,,,,
player,201409140cle,nor,CookBr00,targets,6,,,,,
player,201409140cle,nor,CookBr00,rec,3,,,,,
player,201409140cle,nor,CookBr00,rec_yds,17,,,,,
player,201409140cle,nor,CookBr00,rec_td,0,,,,,
player,201409140cle,nor,CookBr00,rec_long,13,,,,,
player,201409140cle,nor,CookBr00,fumbles,0,,,,,
player,201409140cle,nor,CookBr00,fumbles_lost,0,,,,,
player,201409140cle,nor,RobiKh00,pass_cmp,0,,,,,
player,201409140cle,nor,RobiKh00,pass_att,0,,,,,
player,201409140cle,nor,RobiKh00,pass_yds,0,,,,,
player,201409140cle,nor,RobiKh00,pass_td,0,,,,,
player,201409140cle,nor,RobiKh00,pass_int,0,,,,,
player,201409140cle,nor,RobiKh00,pass_sacked,0,,,,,
player,201409140cle,nor,RobiKh00,pass_sacked_yds,0,,,,,
player,201409140cle,nor,RobiKh00,pass_long,0,,,,,
player,201409140cle,nor,RobiKh00,pass_rating,,,,,,
player,201409140cle,nor,RobiKh00,rush_att,8,,,,,
player,201409140cle,nor,RobiKh00,rush_yds,31,,,,,
player,201409140cle,nor,RobiKh00,rush_td,0,,,,,
player,201409140cle,nor,RobiKh00,rush_long,9,,,,,
player,201409140cle,nor,RobiKh00,targets,0,,,,,
player,201409140cle,nor,RobiKh00,rec,0,,,,,
player,201409140cle,nor,RobiKh00,rec_yds,0,,,,,
player,201409140cle,nor,RobiKh00,rec_td,0,,,,,
player,201409140cle,nor,RobiKh00,rec_long,0,,,,,
player,201409140cle,nor,RobiKh00,fumbles,1,,,,,
player,201409140cle,nor,RobiKh00,fumbles_lost,1,,,,,
player,201409140cle,nor,ThomPi00,pass_cmp,0,,,,,
player,201409140cle,nor,ThomPi00,pass_att,0,,,,,
player,201409140cle,nor,ThomPi00,pass_yds,0,,,,,
player,201409140cle,nor,ThomPi00,pass_td,0,,,,,
player,201409140cle,nor,ThomPi00,pass_int,0,,,,,
player,201409140cle,nor,ThomPi00,pass_sacked,0,,,,,
player,201409140cle,nor,ThomPi00,pass_sacked_yds,0,,,,,
player,201409140cle,nor,ThomPi00,pass_long,0,,,,,
player,201409140cle,nor,ThomPi00,pass_rating,,,,,,
player,201409140cle,nor,ThomPi00,rush_att,3,,,,,
player,201409140cle,nor,ThomPi00,rush_yds,16,,,,,
player,201409140cle,nor,ThomPi00,rush_td,0,,,,,
player,201409140cle,nor,ThomPi00,rush_long,7,,,,,
player,201409140cle,nor,ThomPi00,targets,3,,,,,
player,201409140cle,nor,ThomPi00,rec,3,,,,,
player,201409140cle,nor,ThomPi00,rec_yds,16,,,,,
player,201409140cle,nor,ThomPi00,rec_td,0,,,,,
player,201409140cle,nor,ThomPi00,rec_long,11,,,,,
player,201409140cle,nor,ThomPi00,fumbles,0,,,,,
player,201409140cle,nor,ThomPi00,fumbles_lost,0,,,,,
player,201409140cle,nor,JohnAu00,pass_cmp,0,,,,,
player,201409140cle,nor,JohnAu00,pass_att,0,,,,,
player,201409140cle,nor,JohnAu00,pass_yds,0,,,,,
player,201409140cle,nor,JohnAu00,pass_td,0,,,,,
player,201409140cle,nor,JohnAu00,pass_int,0,,,,,
player,201409140cle,nor,JohnAu00,pass_sacked,0,,,,,
player,201409140cle,nor,JohnAu00,pass_sacked_yds,0,,,,,
player,201409140cle,nor,JohnAu00,pass_long,0,,,,,
player,201409140cle,nor,JohnAu00,pass_rating,,,,,,
player,201409140cle,nor,JohnAu00,rush_att,2,,,,,
player,201409140cle,nor,JohnAu00,rush_yds,10,,,,,
player,201409140cle,nor,JohnAu00,rush_td,0,,,,,
player,201409140cle,nor,JohnAu00,rush_long,8,,,,,
player,201409140cle,nor,JohnAu00,targets,0,,,,,
player,201409140cle,nor,JohnAu00,rec,0,,,,,
player,201409140cle,nor,JohnAu00,rec_yds,0,,,,,
player,201409140cle,nor,JohnAu00,rec_td,0,,,,,
player,201409140cle,nor,JohnAu00,rec_long,0,,,,,
player,201409140cle,nor,JohnAu00,fumbles,0,,,,,
player,201409140cle,nor,JohnAu00,fumbles_lost,0,,,,,
player,201409140cle,nor,GrahJi00,pass_cmp,0,,,,,
player,201409140cle,nor,GrahJi00,pass_att,0,,,,,
player,201409140cle,nor,GrahJi00,pass_yds,0,,,,,
player,201409140cle,nor,GrahJi00,pass_td,0,,,,,
player,201409140cle,nor,GrahJi00,pass_int,0,,,,,
player,201409140cle,nor,GrahJi00,pass_sacked,0,,,,,
player,201409140cle,nor,GrahJi00,pass_sacked_yds,0,,,,,
player,201409140cle,nor,GrahJi00,pass_long,0,,,,,
player,201409140cle,nor,GrahJi00,pass_rating,,,,,,
player,201409140cle,nor,GrahJi00,rush_att,0,,,,,
player,201409140cle,nor,GrahJi00,rush_yds,0,,,,,
player,201409140cle,nor,GrahJi00,rush_td,0,,,,,
player,201409140cle,nor,GrahJi00,rush_long,0,,,,,
player,201409140cle,nor,GrahJi00,targets,13,,,,,
player,201409140cle,nor,GrahJi00,rec,10,,,,,
player,201409140cle,nor,GrahJi00,rec_yds,118,,,,,
player,201409140cle,nor,GrahJi00,rec_td,2,,,,,
player,201409140cle,nor,GrahJi00,rec_long,23,,,,,
player,201409140cle,nor,GrahJi00,fumbles,0,,,,,
player,201409140cle,nor,GrahJi00,fumbles_lost,0,,,,,
player,201409140cle,nor,MeacRo00,pass_cmp,0,,,,,
player,201409140cle,nor,MeacRo00,pass_att,0,,,,,
player,201409140cle,nor,MeacRo00,pass_yds,0,,,,,
player,201409140cle,nor,MeacRo00,pass_td,0,,,,,
player,201409140cle,nor,MeacRo00,pass_int,0,,,,,
