game,2014,14,20141207,201412070rai,sfo,"San Francisco 49ers",13,rai,"Oakland Raiders",24
player,201412070rai,sfo,GoreFr00,rec_td,0,,,,,
player,201412070rai,sfo,GoreFr00,rec_long,0,,,,,
player,201412070rai,sfo,GoreFr00,fumbles,0,,,,,
player,201412070rai,sfo,GoreFr00,fumbles_lost,0,,,,,
player,201412070rai,sfo,BoldAn00,pass_cmp,0,,,,,
player,201412070rai,sfo,BoldAn00,pass_att,0,,,,,
player,201412070rai,sfo,BoldAn00,pass_yds,0,,,,,
player,201412070rai,sfo,BoldAn00,pass_td,0,,,,,
player,201412070rai,sfo,BoldAn00,pass_int,0,,,,,
player,201412070rai,sfo,BoldAn00,pass_sacked,0,,,,,
player,201412070rai,sfo,BoldAn00,pass_sacked_yds,0,,,,,
player,201412070rai,sfo,BoldAn00,pass_long,0,,,,,
player,201412070rai,sfo,BoldAn00,pass_rating,,,,,,
player,201412070rai,sfo,BoldAn00,rush_att,1,,,,,
player,201412070rai,sfo,BoldAn00,rush_yds,4,,,,,
player,201412070rai,sfo,BoldAn00,rush_td,0,,,,,
player,201412070rai,sfo,BoldAn00,rush_long,4,,,,,
player,201412070rai,sfo,BoldAn00,targets,9,,,,,
player,201412070rai,sfo,BoldAn00,rec,4,,,,,
player,201412070rai,sfo,BoldAn00,rec_yds,54,,,,,
player,201412070rai,sfo,BoldAn00,rec_td,0,,,,,
player,201412070rai,sfo,BoldAn00,rec_long,20,,,,,
player,201412070rai,sfo,BoldAn00,fumbles,0,,,,,
player,201412070rai,sfo,BoldAn00,fumbles_lost,0,,,,,
player,201412070rai,sfo,HydeCa00,pass_cmp,0,,,,,
player,201412070rai,sfo,HydeCa00,pass_att,0,,,,,
player,201412070rai,sfo,HydeCa00,pass_yds,0,,,,,
player,201412070rai,sfo,HydeCa00,pass_td,0,,,,,
player,201412070rai,sfo,HydeCa00,pass_int,0,,,,,
player,201412070rai,sfo,HydeCa00,pass_sacked,0,,,,,
player,201412070rai,sfo,HydeCa00,pass_sacked_yds,0,,,,,
player,201412070rai,sfo,HydeCa00,pass_long,0,,,,,
player,201412070rai,sfo,HydeCa00,pass_rating,,,,,,
player,201412070rai,sfo,HydeCa00,rush_att,2,,,,,
player,201412070rai,sfo,HydeCa00,rush_yds,4,,,,,
player,201412070rai,sfo,HydeCa00,rush_td,0,,,,,
player,201412070rai,sfo,HydeCa00,rush_long,2,,,,,
player,201412070rai,sfo,HydeCa00,targets,1,,,,,
player,201412070rai,sfo,HydeCa00,rec,1,,,,,
player,201412070rai,sfo,HydeCa00,rec_yds,8,,,,,
player,201412070rai,sfo,HydeCa00,rec_td,0,,,,,
player,201412070rai,sfo,HydeCa00,rec_long,8,,,,,
player,201412070rai,sfo,HydeCa00,fumbles,0,,,,,
player,201412070rai,sfo,HydeCa00,fumbles_lost,0,,,,,
player,201412070rai,sfo,CrabMi00,pass_cmp,0,,,,,
player,201412070rai,sfo,CrabMi00,pass_att,0,,,,,
player,201412070rai,sfo,CrabMi00,pass_yds,0,,,,,
player,201412070rai,sfo,CrabMi00,pass_td,0,,,,,
player,201412070rai,sfo,CrabMi00,pass_int,0,,,,,
player,201412070rai,sfo,CrabMi00,pass_sacked,0,,,,,
player,201412070rai,sfo,CrabMi00,pass_sacked_yds,0,,,,,
player,201412070rai,sfo,CrabMi00,pass_long,0,,,,,
player,201412070rai,sfo,CrabMi00,pass_rating,,,,,,
player,201412070rai,sfo,CrabMi00,rush_att,0,,,,,
player,201412070rai,sfo,CrabMi00,rush_yds,0,,,,,
player,201412070rai,sfo,CrabMi00,rush_td,0,,,,,
player,201412070rai,sfo,CrabMi00,rush_long,0,,,,,
player,201412070rai,sfo,CrabMi00,targets,14,,,,,
player,201412070rai,sfo,CrabMi00,rec,9,,,,,
player,201412070rai,sfo,CrabMi00,rec_yds,56,,,,,
player,201412070rai,sfo,CrabMi00,rec_td,0,,,,,
player,201412070rai,sfo,CrabMi00,rec_long,18,,,,,
player,201412070rai,sfo,CrabMi00,fumbles,0,,,,,
player,201412070rai,sfo,CrabMi00,fumbles_lost,0,,,,,
player,201412070rai,sfo,DaviVe00,pass_cmp,0,,,,,
player,201412070rai,sfo,DaviVe00,pass_att,0,,,,,
