game,2014,16,20141220,201412200sfo,sdg,"San Diego Chargers",38,sfo,"San Francisco 49ers",35
player,201412200sfo,sdg,BrowRo05,pass_sacked_yds,0,,,,,
player,201412200sfo,sdg,BrowRo05,pass_long,0,,,,,
player,201412200sfo,sdg,BrowRo05,pass_rating,,,,,,
player,201412200sfo,sdg,BrowRo05,rush_att,7,,,,,
player,201412200sfo,sdg,BrowRo05,rush_yds,33,,,,,
player,201412200sfo,sdg,BrowRo05,rush_td,0,,,,,
player,201412200sfo,sdg,BrowRo05,rush_long,11,,,,,
player,201412200sfo,sdg,BrowRo05,targets,3,,,,,
player,201412200sfo,sdg,BrowRo05,rec,1,,,,,
player,201412200sfo,sdg,BrowRo05,rec_yds,9,,,,,
player,201412200sfo,sdg,BrowRo05,rec_td,0,,,,,
player,201412200sfo,sdg,BrowRo05,rec_long,9,,,,,
player,201412200sfo,sdg,BrowRo05,fumbles,0,,,,,
player,201412200sfo,sdg,BrowRo05,fumbles_lost,0,,,,,
player,201412200sfo,sdg,BrowDo00,pass_cmp,0,,,,,
player,201412200sfo,sdg,BrowDo00,pass_att,0,,,,,
player,201412200sfo,sdg,BrowDo00,pass_yds,0,,,,,
player,201412200sfo,sdg,BrowDo00,pass_td,0,,,,,
player,201412200sfo,sdg,BrowDo00,pass_int,0,,,,,
player,201412200sfo,sdg,BrowDo00,pass_sacked,0,,,,,
player,201412200sfo,sdg,BrowDo00,pass_sacked_yds,0,,,,,
player,201412200sfo,sdg,BrowDo00,pass_long,0,,,,,
player,201412200sfo,sdg,BrowDo00,pass_rating,,,,,,
player,201412200sfo,sdg,BrowDo00,rush_att,4,,,,,
player,201412200sfo,sdg,BrowDo00,rush_yds,12,,,,,
player,201412200sfo,sdg,BrowDo00,rush_td,0,,,,,
player,201412200sfo,sdg,BrowDo00,rush_long,4,,,,,
player,201412200sfo,sdg,BrowDo00,targets,3,,,,,
player,201412200sfo,sdg,BrowDo00,rec,1,,,,,
player,201412200sfo,sdg,BrowDo00,rec_yds,4,,,,,
player,201412200sfo,sdg,BrowDo00,rec_td,0,,,,,
player,201412200sfo,sdg,BrowDo00,rec_long,4,,,,,
player,201412200sfo,sdg,BrowDo00,fumbles,0,,,,,
player,201412200sfo,sdg,BrowDo00,fumbles_lost,0,,,,,
player,201412200sfo,sdg,RoyaEd00,pass_cmp,0,,,,,
player,201412200sfo,sdg,RoyaEd00,pass_att,0,,,,,
player,201412200sfo,sdg,RoyaEd00,pass_yds,0,,,,,
player,201412200sfo,sdg,RoyaEd00,pass_td,0,,,,,
player,201412200sfo,sdg,RoyaEd00,pass_int,0,,,,,
player,201412200sfo,sdg,RoyaEd00,pass_sacked,0,,,,,
player,201412200sfo,sdg,RoyaEd00,pass_sacked_yds,0,,,,,
player,201412200sfo,sdg,RoyaEd00,pass_long,0,,,,,
player,201412200sfo,sdg,RoyaEd00,pass_rating,,,,,,
player,201412200sfo,sdg,RoyaEd00,rush_att,0,,,,,
player,201412200sfo,sdg,RoyaEd00,rush_yds,0,,,,,
player,201412200sfo,sdg,RoyaEd00,rush_td,0,,,,,
player,201412200sfo,sdg,RoyaEd00,rush_long,0,,,,,
player,201412200sfo,sdg,RoyaEd00,targets,12,,,,,
player,201412200sfo,sdg,RoyaEd00,rec,10,,,,,
player,201412200sfo,sdg,RoyaEd00,rec_yds,94,,,,,
player,201412200sfo,sdg,RoyaEd00,rec_td,1,,,,,
player,201412200sfo,sdg,RoyaEd00,rec_long,20,,,,,
player,201412200sfo,sdg,RoyaEd00,fumbles,0,,,,,
player,201412200sfo,sdg,RoyaEd00,fumbles_lost,0,,,,,
player,201412200sfo,sdg,GateAn00,pass_cmp,0,,,,,
player,201412200sfo,sdg,GateAn00,pass_att,0,,,,,
player,201412200sfo,sdg,GateAn00,pass_yds,0,,,,,
player,201412200sfo,sdg,GateAn00,pass_td,0,,,,,
player,201412200sfo,sdg,GateAn00,pass_int,0,,,,,
player,201412200sfo,sdg,GateAn00,pass_sacked,0,,,,,
player,201412200sfo,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201412200sfo,sdg,GateAn00,pass_long,0,,,,,
player,201412200sfo,sdg,GateAn00,pass_rating,,,,,,
player,201412200sfo,sdg,GateAn00,rush_att,0,,,,,
player,201412200sfo,sdg,GateAn00,rush_yds,0,,,,,
player,201412200sfo,sdg,GateAn00,rush_td,0,,,,,
player,201412200sfo,sdg,GateAn00,rush_long,0,,,,,
player,201412200sfo,sdg,GateAn00,targets,9,,,,,
player,201412200sfo,sdg,GateAn00,rec,7,,,,,
player,201412200sfo,sdg,GateAn00,rec_yds,92,,,,,
player,201412200sfo,sdg,GateAn00,rec_td,2,,,,,
player,201412200sfo,sdg,GateAn00,rec_long,28,,,,,
player,201412200sfo,sdg,GateAn00,fumbles,0,,,,,
player,201412200sfo,sdg,GateAn00,fumbles_lost,0,,,,,
player,201412200sfo,sdg,InmaDo00,pass_cmp,0,,,,,
player,201412200sfo,sdg,InmaDo00,pass_att,0,,,,,
player,201412200sfo,sdg,InmaDo00,pass_yds,0,,,,,
player,201412200sfo,sdg,InmaDo00,pass_td,0,,,,,
player,201412200sfo,sdg,InmaDo00,pass_int,0,,,,,
player,201412200sfo,sdg,InmaDo00,pass_sacked,0,,,,,
player,201412200sfo,sdg,InmaDo00,pass_sacked_yds,0,,,,,
player,201412200sfo,sdg,InmaDo00,pass_long,0,,,,,
player,201412200sfo,sdg,InmaDo00,pass_rating,,,,,,
player,201412200sfo,sdg,InmaDo00,rush_att,0,,,,,
player,201412200sfo,sdg,InmaDo00,rush_yds,0,,,,,
player,201412200sfo,sdg,InmaDo00,rush_td,0,,,,,
player,201412200sfo,sdg,InmaDo00,rush_long,0,,,,,
player,201412200sfo,sdg,InmaDo00,targets,9,,,,,
player,201412200sfo,sdg,InmaDo00,rec,7,,,,,
player,201412200sfo,sdg,InmaDo00,rec_yds,79,,,,,
player,201412200sfo,sdg,InmaDo00,rec_td,0,,,,,
player,201412200sfo,sdg,InmaDo00,rec_long,19,,,,,
player,201412200sfo,sdg,InmaDo00,fumbles,0,,,,,
player,201412200sfo,sdg,InmaDo00,fumbles_lost,0,,,,,
player,201412200sfo,sdg,FloyMa00,pass_cmp,0,,,,,
player,201412200sfo,sdg,FloyMa00,pass_att,0,,,,,
player,201412200sfo,sdg,FloyMa00,pass_yds,0,,,,,
player,201412200sfo,sdg,FloyMa00,pass_td,0,,,,,
player,201412200sfo,sdg,FloyMa00,pass_int,0,,,,,
player,201412200sfo,sdg,FloyMa00,pass_sacked,0,,,,,
player,201412200sfo,sdg,FloyMa00,pass_sacked_yds,0,,,,,
player,201412200sfo,sdg,FloyMa00,pass_long,0,,,,,
player,201412200sfo,sdg,FloyMa00,pass_rating,,,,,,
player,201412200sfo,sdg,FloyMa00,rush_att,0,,,,,
player,201412200sfo,sdg,FloyMa00,rush_yds,0,,,,,
player,201412200sfo,sdg,FloyMa00,rush_td,0,,,,,
player,201412200sfo,sdg,FloyMa00,rush_long,0,,,,,
player,201412200sfo,sdg,FloyMa00,targets,10,,,,,
player,201412200sfo,sdg,FloyMa00,rec,4,,,,,
player,201412200sfo,sdg,FloyMa00,rec_yds,50,,,,,
player,201412200sfo,sdg,FloyMa00,rec_td,1,,,,,
player,201412200sfo,sdg,FloyMa00,rec_long,25,,,,,
player,201412200sfo,sdg,FloyMa00,fumbles,0,,,,,
player,201412200sfo,sdg,FloyMa00,fumbles_lost,0,,,,,
player,201412200sfo,sdg,AjirSe00,pass_cmp,0,,,,,
player,201412200sfo,sdg,AjirSe00,pass_att,0,,,,,
player,201412200sfo,sdg,AjirSe00,pass_yds,0,,,,,
player,201412200sfo,sdg,AjirSe00,pass_td,0,,,,,
player,201412200sfo,sdg,AjirSe00,pass_int,0,,,,,
player,201412200sfo,sdg,AjirSe00,pass_sacked,0,,,,,
player,201412200sfo,sdg,AjirSe00,pass_sacked_yds,0,,,,,
player,201412200sfo,sdg,AjirSe00,pass_long,0,,,,,
player,201412200sfo,sdg,AjirSe00,pass_rating,,,,,,
player,201412200sfo,sdg,AjirSe00,rush_att,0,,,,,
player,201412200sfo,sdg,AjirSe00,rush_yds,0,,,,,
player,201412200sfo,sdg,AjirSe00,rush_td,0,,,,,
player,201412200sfo,sdg,AjirSe00,rush_long,0,,,,,
player,201412200sfo,sdg,AjirSe00,targets,3,,,,,
player,201412200sfo,sdg,AjirSe00,rec,0,,,,,
player,201412200sfo,sdg,AjirSe00,rec_yds,0,,,,,
player,201412200sfo,sdg,AjirSe00,rec_td,0,,,,,
player,201412200sfo,sdg,AjirSe00,rec_long,0,,,,,
player,201412200sfo,sdg,AjirSe00,fumbles,0,,,,,
player,201412200sfo,sdg,AjirSe00,fumbles_lost,0,,,,,
player,201412200sfo,sfo,KaepCo00,pass_cmp,15,,,,,
player,201412200sfo,sfo,KaepCo00,pass_att,24,,,,,
player,201412200sfo,sfo,KaepCo00,pass_yds,114,,,,,
player,201412200sfo,sfo,KaepCo00,pass_td,1,,,,,
player,201412200sfo,sfo,KaepCo00,pass_int,0,,,,,
player,201412200sfo,sfo,KaepCo00,pass_sacked,2,,,,,
player,201412200sfo,sfo,KaepCo00,pass_sacked_yds,22,,,,,
player,201412200sfo,sfo,KaepCo00,pass_long,20,,,,,
player,201412200sfo,sfo,KaepCo00,pass_rating,87.8,,,,,
player,201412200sfo,sfo,KaepCo00,rush_att,7,,,,,
player,201412200sfo,sfo,KaepCo00,rush_yds,151,,,,,
player,201412200sfo,sfo,KaepCo00,rush_td,1,,,,,
player,201412200sfo,sfo,KaepCo00,rush_long,90,,,,,
player,201412200sfo,sfo,KaepCo00,targets,0,,,,,
player,201412200sfo,sfo,KaepCo00,rec,0,,,,,
player,201412200sfo,sfo,KaepCo00,rec_yds,0,,,,,
player,201412200sfo,sfo,KaepCo00,rec_td,0,,,,,
player,201412200sfo,sfo,KaepCo00,rec_long,0,,,,,
player,201412200sfo,sfo,KaepCo00,fumbles,1,,,,,
player,201412200sfo,sfo,KaepCo00,fumbles_lost,1,,,,,
player,201412200sfo,sfo,GoreFr00,pass_cmp,0,,,,,
player,201412200sfo,sfo,GoreFr00,pass_att,0,,,,,
player,201412200sfo,sfo,GoreFr00,pass_yds,0,,,,,
player,201412200sfo,sfo,GoreFr00,pass_td,0,,,,,
player,201412200sfo,sfo,GoreFr00,pass_int,0,,,,,
player,201412200sfo,sfo,GoreFr00,pass_sacked,0,,,,,
player,201412200sfo,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201412200sfo,sfo,GoreFr00,pass_long,0,,,,,
player,201412200sfo,sfo,GoreFr00,pass_rating,,,,,,
player,201412200sfo,sfo,GoreFr00,rush_att,26,,,,,
player,201412200sfo,sfo,GoreFr00,rush_yds,158,,,,,
player,201412200sfo,sfo,GoreFr00,rush_td,1,,,,,
player,201412200sfo,sfo,GoreFr00,rush_long,52,,,,,
player,201412200sfo,sfo,GoreFr00,targets,0,,,,,
player,201412200sfo,sfo,GoreFr00,rec,0,,,,,
player,201412200sfo,sfo,GoreFr00,rec_yds,0,,,,,
player,201412200sfo,sfo,GoreFr00,rec_td,0,,,,,
player,201412200sfo,sfo,GoreFr00,rec_long,0,,,,,
player,201412200sfo,sfo,GoreFr00,fumbles,0,,,,,
player,201412200sfo,sfo,GoreFr00,fumbles_lost,0,,,,,
player,201412200sfo,sfo,PattQu00,pass_cmp,0,,,,,
player,201412200sfo,sfo,PattQu00,pass_att,0,,,,,
player,201412200sfo,sfo,PattQu00,pass_yds,0,,,,,
player,201412200sfo,sfo,PattQu00,pass_td,0,,,,,
player,201412200sfo,sfo,PattQu00,pass_int,0,,,,,
player,201412200sfo,sfo,PattQu00,pass_sacked,0,,,,,
player,201412200sfo,sfo,PattQu00,pass_sacked_yds,0,,,,,
player,201412200sfo,sfo,PattQu00,pass_long,0,,,,,
player,201412200sfo,sfo,PattQu00,pass_rating,,,,,,
player,201412200sfo,sfo,PattQu00,rush_att,1,,,,,
player,201412200sfo,sfo,PattQu00,rush_yds,20,,,,,
player,201412200sfo,sfo,PattQu00,rush_td,0,,,,,
player,201412200sfo,sfo,PattQu00,rush_long,20,,,,,
player,201412200sfo,sfo,PattQu00,targets,6,,,,,
player,201412200sfo,sfo,PattQu00,rec,2,,,,,
player,201412200sfo,sfo,PattQu00,rec_yds,9,,,,,
player,201412200sfo,sfo,PattQu00,rec_td,0,,,,,
player,201412200sfo,sfo,PattQu00,rec_long,5,,,,,
player,201412200sfo,sfo,PattQu00,fumbles,1,,,,,
player,201412200sfo,sfo,PattQu00,fumbles_lost,1,,,,,
player,201412200sfo,sfo,SmitAl22,pass_cmp,0,,,,,
player,201412200sfo,sfo,SmitAl22,pass_att,0,,,,,
player,201412200sfo,sfo,SmitAl22,pass_yds,0,,,,,
player,201412200sfo,sfo,SmitAl22,pass_td,0,,,,,
player,201412200sfo,sfo,SmitAl22,pass_int,0,,,,,
player,201412200sfo,sfo,SmitAl22,pass_sacked,0,,,,,
player,201412200sfo,sfo,SmitAl22,pass_sacked_yds,0,,,,,
player,201412200sfo,sfo,SmitAl22,pass_long,0,,,,,
player,201412200sfo,sfo,SmitAl22,pass_rating,,,,,,
player,201412200sfo,sfo,SmitAl22,rush_att,2,,,,,
player,201412200sfo,sfo,SmitAl22,rush_yds,14,,,,,
player,201412200sfo,sfo,SmitAl22,rush_td,0,,,,,
player,201412200sfo,sfo,SmitAl22,rush_long,12,,,,,
player,201412200sfo,sfo,SmitAl22,targets,2,,,,,
player,201412200sfo,sfo,SmitAl22,rec,2,,,,,
player,201412200sfo,sfo,SmitAl22,rec_yds,9,,,,,
player,201412200sfo,sfo,SmitAl22,rec_td,0,,,,,
player,201412200sfo,sfo,SmitAl22,rec_long,5,,,,,
player,201412200sfo,sfo,SmitAl22,fumbles,0,,,,,
player,201412200sfo,sfo,SmitAl22,fumbles_lost,0,,,,,
player,201412200sfo,sfo,ElliBr00,pass_cmp,0,,,,,
player,201412200sfo,sfo,ElliBr00,pass_att,0,,,,,
player,201412200sfo,sfo,ElliBr00,pass_yds,0,,,,,
player,201412200sfo,sfo,ElliBr00,pass_td,0,,,,,
player,201412200sfo,sfo,ElliBr00,pass_int,0,,,,,
player,201412200sfo,sfo,ElliBr00,pass_sacked,0,,,,,
player,201412200sfo,sfo,ElliBr00,pass_sacked_yds,0,,,,,
player,201412200sfo,sfo,ElliBr00,pass_long,0,,,,,
player,201412200sfo,sfo,ElliBr00,pass_rating,,,,,,
player,201412200sfo,sfo,ElliBr00,rush_att,3,,,,,
player,201412200sfo,sfo,ElliBr00,rush_yds,12,,,,,
player,201412200sfo,sfo,ElliBr00,rush_td,1,,,,,
player,201412200sfo,sfo,ElliBr00,rush_long,7,,,,,
player,201412200sfo,sfo,ElliBr00,targets,4,,,,,
player,201412200sfo,sfo,ElliBr00,rec,1,,,,,
player,201412200sfo,sfo,ElliBr00,rec_yds,8,,,,,
player,201412200sfo,sfo,ElliBr00,rec_td,1,,,,,
player,201412200sfo,sfo,ElliBr00,rec_long,8,,,,,
player,201412200sfo,sfo,ElliBr00,fumbles,0,,,,,
player,201412200sfo,sfo,ElliBr00,fumbles_lost,0,,,,,
player,201412200sfo,sfo,BoldAn00,pass_cmp,0,,,,,
player,201412200sfo,sfo,BoldAn00,pass_att,0,,,,,
player,201412200sfo,sfo,BoldAn00,pass_yds,0,,,,,
player,201412200sfo,sfo,BoldAn00,pass_td,0,,,,,
player,201412200sfo,sfo,BoldAn00,pass_int,0,,,,,
player,201412200sfo,sfo,BoldAn00,pass_sacked,0,,,,,
player,201412200sfo,sfo,BoldAn00,pass_sacked_yds,0,,,,,
player,201412200sfo,sfo,BoldAn00,pass_long,0,,,,,
player,201412200sfo,sfo,BoldAn00,pass_rating,,,,,,
player,201412200sfo,sfo,BoldAn00,rush_att,0,,,,,
player,201412200sfo,sfo,BoldAn00,rush_yds,0,,,,,
player,201412200sfo,sfo,BoldAn00,rush_td,0,,,,,
player,201412200sfo,sfo,BoldAn00,rush_long,0,,,,,
player,201412200sfo,sfo,BoldAn00,targets,9,,,,,
player,201412200sfo,sfo,BoldAn00,rec,7,,,,,
player,201412200sfo,sfo,BoldAn00,rec_yds,61,,,,,
player,201412200sfo,sfo,BoldAn00,rec_td,0,,,,,
player,201412200sfo,sfo,BoldAn00,rec_long,20,,,,,
player,201412200sfo,sfo,BoldAn00,fumbles,0,,,,,
player,201412200sfo,sfo,BoldAn00,fumbles_lost,0,,,,,
player,201412200sfo,sfo,MillBr02,pass_cmp,0,,,,,
player,201412200sfo,sfo,MillBr02,pass_att,0,,,,,
player,201412200sfo,sfo,MillBr02,pass_yds,0,,,,,
player,201412200sfo,sfo,MillBr02,pass_td,0,,,,,
player,201412200sfo,sfo,MillBr02,pass_int,0,,,,,
player,201412200sfo,sfo,MillBr02,pass_sacked,0,,,,,
player,201412200sfo,sfo,MillBr02,pass_sacked_yds,0,,,,,
player,201412200sfo,sfo,MillBr02,pass_long,0,,,,,
player,201412200sfo,sfo,MillBr02,pass_rating,,,,,,
player,201412200sfo,sfo,MillBr02,rush_att,1,,,,,
player,201412200sfo,sfo,MillBr02,rush_yds,0,,,,,
player,201412200sfo,sfo,MillBr02,rush_td,0,,,,,
player,201412200sfo,sfo,MillBr02,rush_long,0,,,,,
player,201412200sfo,sfo,MillBr02,targets,2,,,,,
player,201412200sfo,sfo,MillBr02,rec,2,,,,,
player,201412200sfo,sfo,MillBr02,rec_yds,22,,,,,
player,201412200sfo,sfo,MillBr02,rec_td,0,,,,,
player,201412200sfo,sfo,MillBr02,rec_long,12,,,,,
player,201412200sfo,sfo,MillBr02,fumbles,1,,,,,
player,201412200sfo,sfo,MillBr02,fumbles_lost,1,,,,,
player,201412200sfo,sfo,CrabMi00,pass_cmp,0,,,,,
player,201412200sfo,sfo,CrabMi00,pass_att,0,,,,,
player,201412200sfo,sfo,CrabMi00,pass_yds,0,,,,,
player,201412200sfo,sfo,CrabMi00,pass_td,0,,,,,
player,201412200sfo,sfo,CrabMi00,pass_int,0,,,,,
player,201412200sfo,sfo,CrabMi00,pass_sacked,0,,,,,
player,201412200sfo,sfo,CrabMi00,pass_sacked_yds,0,,,,,
player,201412200sfo,sfo,CrabMi00,pass_long,0,,,,,
player,201412200sfo,sfo,CrabMi00,pass_rating,,,,,,
player,201412200sfo,sfo,CrabMi00,rush_att,0,,,,,
player,201412200sfo,sfo,CrabMi00,rush_yds,0,,,,,
player,201412200sfo,sfo,CrabMi00,rush_td,0,,,,,
player,201412200sfo,sfo,CrabMi00,rush_long,0,,,,,
player,201412200sfo,sfo,CrabMi00,targets,1,,,,,
player,201412200sfo,sfo,CrabMi00,rec,1,,,,,
player,201412200sfo,sfo,CrabMi00,rec_yds,5,,,,,
player,201412200sfo,sfo,CrabMi00,rec_td,0,,,,,
player,201412200sfo,sfo,CrabMi00,rec_long,5,,,,,
player,201412200sfo,sfo,CrabMi00,fumbles,0,,,,,
player,201412200sfo,sfo,CrabMi00,fumbles_lost,0,,,,,
player,201412200sfo,sdg,TeoxMa00,def_int,0,,,,,
player,201412200sfo,sdg,TeoxMa00,def_int_yds,0,,,,,
player,201412200sfo,sdg,TeoxMa00,def_int_td,0,,,,,
player,201412200sfo,sdg,TeoxMa00,def_int_long,0,,,,,
player,201412200sfo,sdg,TeoxMa00,pass_defended,0,,,,,
player,201412200sfo,sdg,TeoxMa00,sacks,1.0,,,,,
player,201412200sfo,sdg,TeoxMa00,tackles_combined,11,,,,,
player,201412200sfo,sdg,TeoxMa00,tackles_solo,8,,,,,
player,201412200sfo,sdg,TeoxMa00,tackles_assists,3,,,,,
player,201412200sfo,sdg,TeoxMa00,tackles_loss,1,,,,,
player,201412200sfo,sdg,TeoxMa00,qb_hits,1,,,,,
player,201412200sfo,sdg,TeoxMa00,fumbles_rec,0,,,,,
player,201412200sfo,sdg,TeoxMa00,fumbles_rec_yds,0,,,,,
player,201412200sfo,sdg,TeoxMa00,fumbles_rec_td,0,,,,,
player,201412200sfo,sdg,TeoxMa00,fumbles_forced,0,,,,,
player,201412200sfo,sdg,MathRi99,def_int,0,,,,,
player,201412200sfo,sdg,MathRi99,def_int_yds,0,,,,,
player,201412200sfo,sdg,MathRi99,def_int_td,0,,,,,
player,201412200sfo,sdg,MathRi99,def_int_long,0,,,,,
player,201412200sfo,sdg,MathRi99,pass_defended,0,,,,,
player,201412200sfo,sdg,MathRi99,sacks,0.5,,,,,
player,201412200sfo,sdg,MathRi99,tackles_combined,2,,,,,
player,201412200sfo,sdg,MathRi99,tackles_solo,0,,,,,
player,201412200sfo,sdg,MathRi99,tackles_assists,2,,,,,
player,201412200sfo,sdg,MathRi99,tackles_loss,0,,,,,
player,201412200sfo,sdg,MathRi99,qb_hits,1,,,,,
player,201412200sfo,sdg,MathRi99,fumbles_rec,0,,,,,
player,201412200sfo,sdg,MathRi99,fumbles_rec_yds,0,,,,,
player,201412200sfo,sdg,MathRi99,fumbles_rec_td,0,,,,,
player,201412200sfo,sdg,MathRi99,fumbles_forced,1,,,,,
player,201412200sfo,sdg,FreeDw00,def_int,0,,,,,
player,201412200sfo,sdg,FreeDw00,def_int_yds,0,,,,,
player,201412200sfo,sdg,FreeDw00,def_int_td,0,,,,,
player,201412200sfo,sdg,FreeDw00,def_int_long,0,,,,,
player,201412200sfo,sdg,FreeDw00,pass_defended,0,,,,,
player,201412200sfo,sdg,FreeDw00,sacks,0.5,,,,,
player,201412200sfo,sdg,FreeDw00,tackles_combined,1,,,,,
player,201412200sfo,sdg,FreeDw00,tackles_solo,0,,,,,
player,201412200sfo,sdg,FreeDw00,tackles_assists,1,,,,,
player,201412200sfo,sdg,FreeDw00,tackles_loss,0,,,,,
player,201412200sfo,sdg,FreeDw00,qb_hits,0,,,,,
player,201412200sfo,sdg,FreeDw00,fumbles_rec,0,,,,,
player,201412200sfo,sdg,FreeDw00,fumbles_rec_yds,0,,,,,
player,201412200sfo,sdg,FreeDw00,fumbles_rec_td,0,,,,,
player,201412200sfo,sdg,FreeDw00,fumbles_forced,0,,,,,
player,201412200sfo,sdg,WeddEr99,def_int,0,,,,,
player,201412200sfo,sdg,WeddEr99,def_int_yds,0,,,,,
player,201412200sfo,sdg,WeddEr99,def_int_td,0,,,,,
player,201412200sfo,sdg,WeddEr99,def_int_long,0,,,,,
player,201412200sfo,sdg,WeddEr99,pass_defended,0,,,,,
player,201412200sfo,sdg,WeddEr99,sacks,0.0,,,,,
player,201412200sfo,sdg,WeddEr99,tackles_combined,10,,,,,
player,201412200sfo,sdg,WeddEr99,tackles_solo,8,,,,,
player,201412200sfo,sdg,WeddEr99,tackles_assists,2,,,,,
player,201412200sfo,sdg,WeddEr99,tackles_loss,0,,,,,
player,201412200sfo,sdg,WeddEr99,qb_hits,0,,,,,
player,201412200sfo,sdg,WeddEr99,fumbles_rec,0,,,,,
player,201412200sfo,sdg,WeddEr99,fumbles_rec_yds,0,,,,,
player,201412200sfo,sdg,WeddEr99,fumbles_rec_td,0,,,,,
player,201412200sfo,sdg,WeddEr99,fumbles_forced,1,,,,,
player,201412200sfo,sdg,GilcMa00,def_int,0,,,,,
player,201412200sfo,sdg,GilcMa00,def_int_yds,0,,,,,
