game,2014,16,20141220,201412200sfo,sdg,"San Diego Chargers",38,sfo,"San Francisco 49ers",35
team,201412200sfo,sdg,First Downs,28,,,,,,
team,201412200sfo,sfo,First Downs,21,,,,,,
team,201412200sfo,sdg,Rush-Yds-TDs,24-98-0,,,,,,
team,201412200sfo,sfo,Rush-Yds-TDs,40-355-3,,,,,,
team,201412200sfo,sdg,Cmp-Att-Yd-TD-INT,33-54-356-4-3,,,,,,
team,201412200sfo,sfo,Cmp-Att-Yd-TD-INT,15-24-114-1-0,,,,,,
team,201412200sfo,sdg,Sacked-Yards,2-8,,,,,,
team,201412200sfo,sfo,Sacked-Yards,2-22,,,,,,
team,201412200sfo,sdg,Net Pass Yards,348,,,,,,
team,201412200sfo,sfo,Net Pass Yards,92,,,,,,
team,201412200sfo,sdg,Total Yards,446,,,,,,
team,201412200sfo,sfo,Total Yards,447,,,,,,
team,201412200sfo,sdg,Fumbles-Lost,1-0,,,,,,
team,201412200sfo,sfo,Fumbles-Lost,3-3,,,,,,
team,201412200sfo,sdg,Turnovers,3,,,,,,
team,201412200sfo,sfo,Turnovers,3,,,,,,
team,201412200sfo,sdg,Penalties-Yards,8-38,,,,,,
team,201412200sfo,sfo,Penalties-Yards,9-92,,,,,,
team,201412200sfo,sdg,Third Down Conv.,8-16,,,,,,
team,201412200sfo,sfo,Third Down Conv.,5-11,,,,,,
team,201412200sfo,sdg,Fourth Down Conv.,3-3,,,,,,
team,201412200sfo,sfo,Fourth Down Conv.,0-1,,,,,,
team,201412200sfo,sdg,Time of Possession,34:19,,,,,,
team,201412200sfo,sfo,Time of Possession,30:35,,,,,,
player,201412200sfo,sdg,RivePh00,pass_cmp,33,,,,,
player,201412200sfo,sdg,RivePh00,pass_att,54,,,,,
player,201412200sfo,sdg,RivePh00,pass_yds,356,,,,,
player,201412200sfo,sdg,RivePh00,pass_td,4,,,,,
player,201412200sfo,sdg,RivePh00,pass_int,3,,,,,
player,201412200sfo,sdg,RivePh00,pass_sacked,2,,,,,
player,201412200sfo,sdg,RivePh00,pass_sacked_yds,8,,,,,
player,201412200sfo,sdg,RivePh00,pass_long,28,,,,,
player,201412200sfo,sdg,RivePh00,pass_rating,82.0,,,,,
player,201412200sfo,sdg,RivePh00,rush_att,0,,,,,
player,201412200sfo,sdg,RivePh00,rush_yds,0,,,,,
player,201412200sfo,sdg,RivePh00,rush_td,0,,,,,
player,201412200sfo,sdg,RivePh00,rush_long,0,,,,,
player,201412200sfo,sdg,RivePh00,targets,0,,,,,
player,201412200sfo,sdg,RivePh00,rec,0,,,,,
player,201412200sfo,sdg,RivePh00,rec_yds,0,,,,,
player,201412200sfo,sdg,RivePh00,rec_td,0,,,,,
player,201412200sfo,sdg,RivePh00,rec_long,0,,,,,
player,201412200sfo,sdg,RivePh00,fumbles,1,,,,,
player,201412200sfo,sdg,RivePh00,fumbles_lost,0,,,,,
player,201412200sfo,sdg,OlivBr01,pass_cmp,0,,,,,
player,201412200sfo,sdg,OlivBr01,pass_att,0,,,,,
player,201412200sfo,sdg,OlivBr01,pass_yds,0,,,,,
player,201412200sfo,sdg,OlivBr01,pass_td,0,,,,,
player,201412200sfo,sdg,OlivBr01,pass_int,0,,,,,
player,201412200sfo,sdg,OlivBr01,pass_sacked,0,,,,,
player,201412200sfo,sdg,OlivBr01,pass_sacked_yds,0,,,,,
player,201412200sfo,sdg,OlivBr01,pass_long,0,,,,,
player,201412200sfo,sdg,OlivBr01,pass_rating,,,,,,
player,201412200sfo,sdg,OlivBr01,rush_att,13,,,,,
player,201412200sfo,sdg,OlivBr01,rush_yds,53,,,,,
player,201412200sfo,sdg,OlivBr01,rush_td,0,,,,,
player,201412200sfo,sdg,OlivBr01,rush_long,22,,,,,
player,201412200sfo,sdg,OlivBr01,targets,5,,,,,
player,201412200sfo,sdg,OlivBr01,rec,3,,,,,
player,201412200sfo,sdg,OlivBr01,rec_yds,28,,,,,
player,201412200sfo,sdg,OlivBr01,rec_td,0,,,,,
player,201412200sfo,sdg,OlivBr01,rec_long,12,,,,,
player,201412200sfo,sdg,OlivBr01,fumbles,0,,,,,
player,201412200sfo,sdg,OlivBr01,fumbles_lost,0,,,,,
player,201412200sfo,sdg,BrowRo05,pass_cmp,0,,,,,
player,201412200sfo,sdg,BrowRo05,pass_att,0,,,,,
player,201412200sfo,sdg,BrowRo05,pass_yds,0,,,,,
player,201412200sfo,sdg,BrowRo05,pass_td,0,,,,,
player,201412200sfo,sdg,BrowRo05,pass_int,0,,,,,
player,201412200sfo,sdg,BrowRo05,pass_sacked,0,,,,,
