game,2014,10,20141109,201411090gnb,chi,"Chicago Bears",14,gnb,"Green Bay Packers",55
team,201411090gnb,chi,First Downs,21,,,,,,
team,201411090gnb,gnb,First Downs,21,,,,,,
team,201411090gnb,chi,Rush-Yds-TDs,24-55-0,,,,,,
team,201411090gnb,gnb,Rush-Yds-TDs,32-132-0,,,,,,
team,201411090gnb,chi,Cmp-Att-Yd-TD-INT,23-40-283-1-2,,,,,,
team,201411090gnb,gnb,Cmp-Att-Yd-TD-INT,19-32-319-6-0,,,,,,
team,201411090gnb,chi,Sacked-Yards,4-27,,,,,,
team,201411090gnb,gnb,Sacked-Yards,0-0,,,,,,
team,201411090gnb,chi,Net Pass Yards,256,,,,,,
team,201411090gnb,gnb,Net Pass Yards,319,,,,,,
team,201411090gnb,chi,Total Yards,311,,,,,,
team,201411090gnb,gnb,Total Yards,451,,,,,,
team,201411090gnb,chi,Fumbles-Lost,2-1,,,,,,
team,201411090gnb,gnb,Fumbles-Lost,1-1,,,,,,
team,201411090gnb,chi,Turnovers,3,,,,,,
team,201411090gnb,gnb,Turnovers,1,,,,,,
team,201411090gnb,chi,Penalties-Yards,11-163,,,,,,
team,201411090gnb,gnb,Penalties-Yards,5-50,,,,,,
team,201411090gnb,chi,Third Down Conv.,3-12,,,,,,
team,201411090gnb,gnb,Third Down Conv.,6-13,,,,,,
team,201411090gnb,chi,Fourth Down Conv.,0-4,,,,,,
team,201411090gnb,gnb,Fourth Down Conv.,2-2,,,,,,
team,201411090gnb,chi,Time of Possession,30:19,,,,,,
team,201411090gnb,gnb,Time of Possession,29:41,,,,,,
player,201411090gnb,chi,CutlJa00,pass_cmp,22,,,,,
player,201411090gnb,chi,CutlJa00,pass_att,37,,,,,
player,201411090gnb,chi,CutlJa00,pass_yds,272,,,,,
player,201411090gnb,chi,CutlJa00,pass_td,1,,,,,
player,201411090gnb,chi,CutlJa00,pass_int,2,,,,,
player,201411090gnb,chi,CutlJa00,pass_sacked,3,,,,,
player,201411090gnb,chi,CutlJa00,pass_sacked_yds,18,,,,,
player,201411090gnb,chi,CutlJa00,pass_long,45,,,,,
player,201411090gnb,chi,CutlJa00,pass_rating,68.7,,,,,
player,201411090gnb,chi,CutlJa00,rush_att,2,,,,,
player,201411090gnb,chi,CutlJa00,rush_yds,0,,,,,
player,201411090gnb,chi,CutlJa00,rush_td,0,,,,,
player,201411090gnb,chi,CutlJa00,rush_long,1,,,,,
player,201411090gnb,chi,CutlJa00,targets,0,,,,,
player,201411090gnb,chi,CutlJa00,rec,0,,,,,
player,201411090gnb,chi,CutlJa00,rec_yds,0,,,,,
player,201411090gnb,chi,CutlJa00,rec_td,0,,,,,
player,201411090gnb,chi,CutlJa00,rec_long,0,,,,,
