game,2014,10,20141109,201411090rav,oti,"Tennessee Titans",7,rav,"Baltimore Ravens",21
team,201411090rav,oti,First Downs,14,,,,,,
team,201411090rav,rav,First Downs,18,,,,,,
team,201411090rav,oti,Rush-Yds-TDs,22-67-0,,,,,,
team,201411090rav,rav,Rush-Yds-TDs,34-151-2,,,,,,
team,201411090rav,oti,Cmp-Att-Yd-TD-INT,16-27-179-1-1,,,,,,
team,201411090rav,rav,Cmp-Att-Yd-TD-INT,16-27-169-1-0,,,,,,
team,201411090rav,oti,Sacked-Yards,5-36,,,,,,
team,201411090rav,rav,Sacked-Yards,1-8,,,,,,
team,201411090rav,oti,Net Pass Yards,143,,,,,,
team,201411090rav,rav,Net Pass Yards,161,,,,,,
team,201411090rav,oti,Total Yards,210,,,,,,
team,201411090rav,rav,Total Yards,312,,,,,,
team,201411090rav,oti,Fumbles-Lost,2-1,,,,,,
team,201411090rav,rav,Fumbles-Lost,1-0,,,,,,
team,201411090rav,oti,Turnovers,2,,,,,,
team,201411090rav,rav,Turnovers,0,,,,,,
team,201411090rav,oti,Penalties-Yards,9-67,,,,,,
team,201411090rav,rav,Penalties-Yards,5-40,,,,,,
team,201411090rav,oti,Third Down Conv.,4-12,,,,,,
team,201411090rav,rav,Third Down Conv.,4-13,,,,,,
team,201411090rav,oti,Fourth Down Conv.,0-0,,,,,,
team,201411090rav,rav,Fourth Down Conv.,1-1,,,,,,
team,201411090rav,oti,Time of Possession,29:13,,,,,,
team,201411090rav,rav,Time of Possession,30:47,,,,,,
player,201411090rav,oti,MettZa00,pass_cmp,16,,,,,
player,201411090rav,oti,MettZa00,pass_att,27,,,,,
player,201411090rav,oti,MettZa00,pass_yds,179,,,,,
player,201411090rav,oti,MettZa00,pass_td,1,,,,,
player,201411090rav,oti,MettZa00,pass_int,1,,,,,
player,201411090rav,oti,MettZa00,pass_sacked,5,,,,,
player,201411090rav,oti,MettZa00,pass_sacked_yds,36,,,,,
player,201411090rav,oti,MettZa00,pass_long,20,,,,,
player,201411090rav,oti,MettZa00,pass_rating,76.0,,,,,
player,201411090rav,oti,MettZa00,rush_att,0,,,,,
player,201411090rav,oti,MettZa00,rush_yds,0,,,,,
player,201411090rav,oti,MettZa00,rush_td,0,,,,,
player,201411090rav,oti,MettZa00,rush_long,0,,,,,
player,201411090rav,oti,MettZa00,targets,0,,,,,
player,201411090rav,oti,MettZa00,rec,0,,,,,
player,201411090rav,oti,MettZa00,rec_yds,0,,,,,
player,201411090rav,oti,MettZa00,rec_td,0,,,,,
player,201411090rav,oti,MettZa00,rec_long,0,,,,,
player,201411090rav,oti,MettZa00,fumbles,0,,,,,
player,201411090rav,oti,MettZa00,fumbles_lost,0,,,,,
player,201411090rav,oti,SankBi00,pass_cmp,0,,,,,
player,201411090rav,oti,SankBi00,pass_att,0,,,,,
player,201411090rav,oti,SankBi00,pass_yds,0,,,,,
player,201411090rav,oti,SankBi00,pass_td,0,,,,,
player,201411090rav,oti,SankBi00,pass_int,0,,,,,
player,201411090rav,oti,SankBi00,pass_sacked,0,,,,,
player,201411090rav,oti,SankBi00,pass_sacked_yds,0,,,,,
player,201411090rav,oti,SankBi00,pass_long,0,,,,,
player,201411090rav,oti,SankBi00,pass_rating,,,,,,
player,201411090rav,oti,SankBi00,rush_att,16,,,,,
player,201411090rav,oti,SankBi00,rush_yds,55,,,,,
player,201411090rav,oti,SankBi00,rush_td,0,,,,,
player,201411090rav,oti,SankBi00,rush_long,11,,,,,
player,201411090rav,oti,SankBi00,targets,3,,,,,
player,201411090rav,oti,SankBi00,rec,3,,,,,
player,201411090rav,oti,SankBi00,rec_yds,19,,,,,
player,201411090rav,oti,SankBi00,rec_td,0,,,,,
player,201411090rav,oti,SankBi00,rec_long,9,,,,,
player,201411090rav,oti,SankBi00,fumbles,0,,,,,
player,201411090rav,oti,SankBi00,fumbles_lost,0,,,,,
player,201411090rav,oti,GreeSh00,pass_cmp,0,,,,,
player,201411090rav,oti,GreeSh00,pass_att,0,,,,,
player,201411090rav,oti,GreeSh00,pass_yds,0,,,,,
player,201411090rav,oti,GreeSh00,pass_td,0,,,,,
