game,2014,3,20140921,201409210sea,den,"Denver Broncos",20,sea,"Seattle Seahawks",26
team,201409210sea,den,First Downs,20,,,,,,
team,201409210sea,sea,First Downs,26,,,,,,
team,201409210sea,den,Rush-Yds-TDs,20-36-0,,,,,,
team,201409210sea,sea,Rush-Yds-TDs,37-129-1,,,,,,
team,201409210sea,den,Cmp-Att-Yd-TD-INT,31-49-303-2-1,,,,,,
team,201409210sea,sea,Cmp-Att-Yd-TD-INT,25-35-275-2-1,,,,,,
team,201409210sea,den,Sacked-Yards,1-7,,,,,,
team,201409210sea,sea,Sacked-Yards,3-20,,,,,,
team,201409210sea,den,Net Pass Yards,296,,,,,,
team,201409210sea,sea,Net Pass Yards,255,,,,,,
team,201409210sea,den,Total Yards,332,,,,,,
team,201409210sea,sea,Total Yards,384,,,,,,
team,201409210sea,den,Fumbles-Lost,1-1,,,,,,
team,201409210sea,sea,Fumbles-Lost,1-0,,,,,,
team,201409210sea,den,Turnovers,2,,,,,,
team,201409210sea,sea,Turnovers,1,,,,,,
team,201409210sea,den,Penalties-Yards,4-27,,,,,,
team,201409210sea,sea,Penalties-Yards,7-34,,,,,,
team,201409210sea,den,Third Down Conv.,6-16,,,,,,
team,201409210sea,sea,Third Down Conv.,7-17,,,,,,
team,201409210sea,den,Fourth Down Conv.,0-0,,,,,,
team,201409210sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201409210sea,den,Time of Possession,27:42,,,,,,
team,201409210sea,sea,Time of Possession,38:04,,,,,,
player,201409210sea,den,MannPe00,pass_cmp,31,,,,,
player,201409210sea,den,MannPe00,pass_att,49,,,,,
player,201409210sea,den,MannPe00,pass_yds,303,,,,,
player,201409210sea,den,MannPe00,pass_td,2,,,,,
player,201409210sea,den,MannPe00,pass_int,1,,,,,
player,201409210sea,den,MannPe00,pass_sacked,1,,,,,
player,201409210sea,den,MannPe00,pass_sacked_yds,7,,,,,
player,201409210sea,den,MannPe00,pass_long,42,,,,,
player,201409210sea,den,MannPe00,pass_rating,85.7,,,,,
player,201409210sea,den,MannPe00,rush_att,1,,,,,
player,201409210sea,den,MannPe00,rush_yds,-1,,,,,
player,201409210sea,den,MannPe00,rush_td,0,,,,,
player,201409210sea,den,MannPe00,rush_long,-1,,,,,
player,201409210sea,den,MannPe00,targets,0,,,,,
player,201409210sea,den,MannPe00,rec,0,,,,,
player,201409210sea,den,MannPe00,rec_yds,0,,,,,
player,201409210sea,den,MannPe00,rec_td,0,,,,,
player,201409210sea,den,MannPe00,rec_long,0,,,,,
player,201409210sea,den,MannPe00,fumbles,0,,,,,
player,201409210sea,den,MannPe00,fumbles_lost,0,,,,,
player,201409210sea,den,BallMo00,pass_cmp,0,,,,,
player,201409210sea,den,BallMo00,pass_att,0,,,,,
player,201409210sea,den,BallMo00,pass_yds,0,,,,,
player,201409210sea,den,BallMo00,pass_td,0,,,,,
player,201409210sea,den,BallMo00,pass_int,0,,,,,
player,201409210sea,den,BallMo00,pass_sacked,0,,,,,
player,201409210sea,den,BallMo00,pass_sacked_yds,0,,,,,
player,201409210sea,den,BallMo00,pass_long,0,,,,,
player,201409210sea,den,BallMo00,pass_rating,,,,,,
player,201409210sea,den,BallMo00,rush_att,14,,,,,
player,201409210sea,den,BallMo00,rush_yds,38,,,,,
