game,2014,13,20141130,201411300clt,was,"Washington Redskins",27,clt,"Indianapolis Colts",49
team,201411300clt,was,First Downs,24,,,,,,
team,201411300clt,clt,First Downs,19,,,,,,
team,201411300clt,was,Rush-Yds-TDs,21-84-0,,,,,,
team,201411300clt,clt,Rush-Yds-TDs,21-126-1,,,,,,
team,201411300clt,was,Cmp-Att-Yd-TD-INT,31-47-392-3-0,,,,,,
team,201411300clt,clt,Cmp-Att-Yd-TD-INT,19-27-370-5-1,,,,,,
team,201411300clt,was,Sacked-Yards,6-51,,,,,,
team,201411300clt,clt,Sacked-Yards,1-9,,,,,,
team,201411300clt,was,Net Pass Yards,341,,,,,,
team,201411300clt,clt,Net Pass Yards,361,,,,,,
team,201411300clt,was,Total Yards,425,,,,,,
team,201411300clt,clt,Total Yards,487,,,,,,
team,201411300clt,was,Fumbles-Lost,5-1,,,,,,
team,201411300clt,clt,Fumbles-Lost,3-2,,,,,,
team,201411300clt,was,Turnovers,1,,,,,,
team,201411300clt,clt,Turnovers,3,,,,,,
team,201411300clt,was,Penalties-Yards,10-78,,,,,,
team,201411300clt,clt,Penalties-Yards,10-94,,,,,,
team,201411300clt,was,Third Down Conv.,5-15,,,,,,
team,201411300clt,clt,Third Down Conv.,5-8,,,,,,
team,201411300clt,was,Fourth Down Conv.,0-2,,,,,,
team,201411300clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201411300clt,was,Time of Possession,36:05,,,,,,
team,201411300clt,clt,Time of Possession,23:55,,,,,,
player,201411300clt,was,McCoCo00,pass_cmp,31,,,,,
player,201411300clt,was,McCoCo00,pass_att,47,,,,,
player,201411300clt,was,McCoCo00,pass_yds,392,,,,,
player,201411300clt,was,McCoCo00,pass_td,3,,,,,
player,201411300clt,was,McCoCo00,pass_int,0,,,,,
player,201411300clt,was,McCoCo00,pass_sacked,6,,,,,
player,201411300clt,was,McCoCo00,pass_sacked_yds,51,,,,,
player,201411300clt,was,McCoCo00,pass_long,42,,,,,
player,201411300clt,was,McCoCo00,pass_rating,113.1,,,,,
player,201411300clt,was,McCoCo00,rush_att,3,,,,,
player,201411300clt,was,McCoCo00,rush_yds,12,,,,,
player,201411300clt,was,McCoCo00,rush_td,0,,,,,
player,201411300clt,was,McCoCo00,rush_long,11,,,,,
player,201411300clt,was,McCoCo00,targets,0,,,,,
player,201411300clt,was,McCoCo00,rec,0,,,,,
player,201411300clt,was,McCoCo00,rec_yds,0,,,,,
player,201411300clt,was,McCoCo00,rec_td,0,,,,,
player,201411300clt,was,McCoCo00,rec_long,0,,,,,
player,201411300clt,was,McCoCo00,fumbles,4,,,,,
player,201411300clt,was,McCoCo00,fumbles_lost,1,,,,,
player,201411300clt,was,MorrAl00,pass_cmp,0,,,,,
player,201411300clt,was,MorrAl00,pass_att,0,,,,,
player,201411300clt,was,MorrAl00,pass_yds,0,,,,,
player,201411300clt,was,MorrAl00,pass_td,0,,,,,
player,201411300clt,was,MorrAl00,pass_int,0,,,,,
player,201411300clt,was,MorrAl00,pass_sacked,0,,,,,
player,201411300clt,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201411300clt,was,MorrAl00,pass_long,0,,,,,
player,201411300clt,was,MorrAl00,pass_rating,,,,,,
