game,2014,8,20141026,201410260kan,ram,"St. Louis Rams",7,kan,"Kansas City Chiefs",34
team,201410260kan,ram,First Downs,13,,,,,,
team,201410260kan,kan,First Downs,23,,,,,,
team,201410260kan,ram,Rush-Yds-TDs,19-84-0,,,,,,
team,201410260kan,kan,Rush-Yds-TDs,33-140-3,,,,,,
team,201410260kan,ram,Cmp-Att-Yd-TD-INT,15-25-160-1-1,,,,,,
team,201410260kan,kan,Cmp-Att-Yd-TD-INT,25-29-223-0-0,,,,,,
team,201410260kan,ram,Sacked-Yards,7-44,,,,,,
team,201410260kan,kan,Sacked-Yards,2-8,,,,,,
team,201410260kan,ram,Net Pass Yards,116,,,,,,
team,201410260kan,kan,Net Pass Yards,215,,,,,,
team,201410260kan,ram,Total Yards,200,,,,,,
team,201410260kan,kan,Total Yards,355,,,,,,
team,201410260kan,ram,Fumbles-Lost,0-0,,,,,,
team,201410260kan,kan,Fumbles-Lost,2-1,,,,,,
team,201410260kan,ram,Turnovers,1,,,,,,
team,201410260kan,kan,Turnovers,1,,,,,,
team,201410260kan,ram,Penalties-Yards,8-68,,,,,,
team,201410260kan,kan,Penalties-Yards,7-51,,,,,,
team,201410260kan,ram,Third Down Conv.,3-11,,,,,,
team,201410260kan,kan,Third Down Conv.,6-12,,,,,,
team,201410260kan,ram,Fourth Down Conv.,0-1,,,,,,
team,201410260kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201410260kan,ram,Time of Possession,24:22,,,,,,
team,201410260kan,kan,Time of Possession,35:38,,,,,,
player,201410260kan,ram,DaviAu00,pass_cmp,15,,,,,
player,201410260kan,ram,DaviAu00,pass_att,25,,,,,
player,201410260kan,ram,DaviAu00,pass_yds,160,,,,,
player,201410260kan,ram,DaviAu00,pass_td,1,,,,,
player,201410260kan,ram,DaviAu00,pass_int,1,,,,,
player,201410260kan,ram,DaviAu00,pass_sacked,7,,,,,
player,201410260kan,ram,DaviAu00,pass_sacked_yds,44,,,,,
player,201410260kan,ram,DaviAu00,pass_long,43,,,,,
player,201410260kan,ram,DaviAu00,pass_rating,75.4,,,,,
player,201410260kan,ram,DaviAu00,rush_att,1,,,,,
player,201410260kan,ram,DaviAu00,rush_yds,1,,,,,
player,201410260kan,ram,DaviAu00,rush_td,0,,,,,
player,201410260kan,ram,DaviAu00,rush_long,1,,,,,
player,201410260kan,ram,DaviAu00,targets,0,,,,,
player,201410260kan,ram,DaviAu00,rec,0,,,,,
player,201410260kan,ram,DaviAu00,rec_yds,0,,,,,
player,201410260kan,ram,DaviAu00,rec_td,0,,,,,
player,201410260kan,ram,DaviAu00,rec_long,0,,,,,
player,201410260kan,ram,DaviAu00,fumbles,0,,,,,
player,201410260kan,ram,DaviAu00,fumbles_lost,0,,,,,
player,201410260kan,ram,MasoTr00,pass_cmp,0,,,,,
player,201410260kan,ram,MasoTr00,pass_att,0,,,,,
player,201410260kan,ram,MasoTr00,pass_yds,0,,,,,
player,201410260kan,ram,MasoTr00,pass_td,0,,,,,
player,201410260kan,ram,MasoTr00,pass_int,0,,,,,
player,201410260kan,ram,MasoTr00,pass_sacked,0,,,,,
player,201410260kan,ram,MasoTr00,pass_sacked_yds,0,,,,,
player,201410260kan,ram,MasoTr00,pass_long,0,,,,,
player,201410260kan,ram,MasoTr00,pass_rating,,,,,,
player,201410260kan,ram,MasoTr00,rush_att,7,,,,,
player,201410260kan,ram,MasoTr00,rush_yds,32,,,,,
player,201410260kan,ram,MasoTr00,rush_td,0,,,,,
player,201410260kan,ram,MasoTr00,rush_long,14,,,,,
player,201410260kan,ram,MasoTr00,targets,1,,,,,
player,201410260kan,ram,MasoTr00,rec,1,,,,,
player,201410260kan,ram,MasoTr00,rec_yds,1,,,,,
player,201410260kan,ram,MasoTr00,rec_td,0,,,,,
player,201410260kan,ram,MasoTr00,rec_long,1,,,,,
player,201410260kan,ram,MasoTr00,fumbles,0,,,,,
player,201410260kan,ram,MasoTr00,fumbles_lost,0,,,,,
player,201410260kan,ram,CunnBe01,pass_cmp,0,,,,,
player,201410260kan,ram,CunnBe01,pass_att,0,,,,,
player,201410260kan,ram,CunnBe01,pass_yds,0,,,,,
player,201410260kan,ram,CunnBe01,pass_td,0,,,,,
player,201410260kan,ram,CunnBe01,pass_int,0,,,,,
player,201410260kan,ram,CunnBe01,pass_sacked,0,,,,,
player,201410260kan,ram,CunnBe01,pass_sacked_yds,0,,,,,
player,201410260kan,ram,CunnBe01,pass_long,0,,,,,
player,201410260kan,ram,CunnBe01,pass_rating,,,,,,
player,201410260kan,ram,CunnBe01,rush_att,4,,,,,
player,201410260kan,ram,CunnBe01,rush_yds,27,,,,,
player,201410260kan,ram,CunnBe01,rush_td,0,,,,,
player,201410260kan,ram,CunnBe01,rush_long,18,,,,,
player,201410260kan,ram,CunnBe01,targets,1,,,,,
player,201410260kan,ram,CunnBe01,rec,1,,,,,
player,201410260kan,ram,CunnBe01,rec_yds,8,,,,,
player,201410260kan,ram,CunnBe01,rec_td,0,,,,,
player,201410260kan,ram,CunnBe01,rec_long,8,,,,,
player,201410260kan,ram,CunnBe01,fumbles,0,,,,,
player,201410260kan,ram,CunnBe01,fumbles_lost,0,,,,,
player,201410260kan,ram,StacZa00,pass_cmp,0,,,,,
player,201410260kan,ram,StacZa00,pass_att,0,,,,,
player,201410260kan,ram,StacZa00,pass_yds,0,,,,,
player,201410260kan,ram,StacZa00,pass_td,0,,,,,
player,201410260kan,ram,StacZa00,pass_int,0,,,,,
player,201410260kan,ram,StacZa00,pass_sacked,0,,,,,
player,201410260kan,ram,StacZa00,pass_sacked_yds,0,,,,,
player,201410260kan,ram,StacZa00,pass_long,0,,,,,
player,201410260kan,ram,StacZa00,pass_rating,,,,,,
player,201410260kan,ram,StacZa00,rush_att,5,,,,,
player,201410260kan,ram,StacZa00,rush_yds,17,,,,,
player,201410260kan,ram,StacZa00,rush_td,0,,,,,
player,201410260kan,ram,StacZa00,rush_long,9,,,,,
player,201410260kan,ram,StacZa00,targets,4,,,,,
player,201410260kan,ram,StacZa00,rec,3,,,,,
player,201410260kan,ram,StacZa00,rec_yds,20,,,,,
player,201410260kan,ram,StacZa00,rec_td,0,,,,,
player,201410260kan,ram,StacZa00,rec_long,8,,,,,
player,201410260kan,ram,StacZa00,fumbles,0,,,,,
player,201410260kan,ram,StacZa00,fumbles_lost,0,,,,,
player,201410260kan,ram,AustTa00,pass_cmp,0,,,,,
player,201410260kan,ram,AustTa00,pass_att,0,,,,,
player,201410260kan,ram,AustTa00,pass_yds,0,,,,,
player,201410260kan,ram,AustTa00,pass_td,0,,,,,
player,201410260kan,ram,AustTa00,pass_int,0,,,,,
player,201410260kan,ram,AustTa00,pass_sacked,0,,,,,
player,201410260kan,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201410260kan,ram,AustTa00,pass_long,0,,,,,
player,201410260kan,ram,AustTa00,pass_rating,,,,,,
player,201410260kan,ram,AustTa00,rush_att,2,,,,,
player,201410260kan,ram,AustTa00,rush_yds,7,,,,,
player,201410260kan,ram,AustTa00,rush_td,0,,,,,
player,201410260kan,ram,AustTa00,rush_long,4,,,,,
player,201410260kan,ram,AustTa00,targets,2,,,,,
player,201410260kan,ram,AustTa00,rec,2,,,,,
player,201410260kan,ram,AustTa00,rec_yds,12,,,,,
player,201410260kan,ram,AustTa00,rec_td,0,,,,,
player,201410260kan,ram,AustTa00,rec_long,9,,,,,
player,201410260kan,ram,AustTa00,fumbles,0,,,,,
player,201410260kan,ram,AustTa00,fumbles_lost,0,,,,,
player,201410260kan,ram,BritKe00,pass_cmp,0,,,,,
player,201410260kan,ram,BritKe00,pass_att,0,,,,,
player,201410260kan,ram,BritKe00,pass_yds,0,,,,,
player,201410260kan,ram,BritKe00,pass_td,0,,,,,
player,201410260kan,ram,BritKe00,pass_int,0,,,,,
player,201410260kan,ram,BritKe00,pass_sacked,0,,,,,
player,201410260kan,ram,BritKe00,pass_sacked_yds,0,,,,,
player,201410260kan,ram,BritKe00,pass_long,0,,,,,
player,201410260kan,ram,BritKe00,pass_rating,,,,,,
player,201410260kan,ram,BritKe00,rush_att,0,,,,,
player,201410260kan,ram,BritKe00,rush_yds,0,,,,,
player,201410260kan,ram,BritKe00,rush_td,0,,,,,
player,201410260kan,ram,BritKe00,rush_long,0,,,,,
player,201410260kan,ram,BritKe00,targets,5,,,,,
player,201410260kan,ram,BritKe00,rec,2,,,,,
player,201410260kan,ram,BritKe00,rec_yds,52,,,,,
player,201410260kan,ram,BritKe00,rec_td,0,,,,,
player,201410260kan,ram,BritKe00,rec_long,43,,,,,
player,201410260kan,ram,BritKe00,fumbles,0,,,,,
player,201410260kan,ram,BritKe00,fumbles_lost,0,,,,,
player,201410260kan,ram,BailSt01,pass_cmp,0,,,,,
player,201410260kan,ram,BailSt01,pass_att,0,,,,,
player,201410260kan,ram,BailSt01,pass_yds,0,,,,,
player,201410260kan,ram,BailSt01,pass_td,0,,,,,
player,201410260kan,ram,BailSt01,pass_int,0,,,,,
player,201410260kan,ram,BailSt01,pass_sacked,0,,,,,
player,201410260kan,ram,BailSt01,pass_sacked_yds,0,,,,,
player,201410260kan,ram,BailSt01,pass_long,0,,,,,
player,201410260kan,ram,BailSt01,pass_rating,,,,,,
player,201410260kan,ram,BailSt01,rush_att,0,,,,,
player,201410260kan,ram,BailSt01,rush_yds,0,,,,,
player,201410260kan,ram,BailSt01,rush_td,0,,,,,
player,201410260kan,ram,BailSt01,rush_long,0,,,,,
player,201410260kan,ram,BailSt01,targets,3,,,,,
player,201410260kan,ram,BailSt01,rec,2,,,,,
player,201410260kan,ram,BailSt01,rec_yds,33,,,,,
player,201410260kan,ram,BailSt01,rec_td,0,,,,,
player,201410260kan,ram,BailSt01,rec_long,20,,,,,
player,201410260kan,ram,BailSt01,fumbles,0,,,,,
player,201410260kan,ram,BailSt01,fumbles_lost,0,,,,,
player,201410260kan,ram,GiveCh00,pass_cmp,0,,,,,
player,201410260kan,ram,GiveCh00,pass_att,0,,,,,
player,201410260kan,ram,GiveCh00,pass_yds,0,,,,,
player,201410260kan,ram,GiveCh00,pass_td,0,,,,,
player,201410260kan,ram,GiveCh00,pass_int,0,,,,,
player,201410260kan,ram,GiveCh00,pass_sacked,0,,,,,
player,201410260kan,ram,GiveCh00,pass_sacked_yds,0,,,,,
player,201410260kan,ram,GiveCh00,pass_long,0,,,,,
player,201410260kan,ram,GiveCh00,pass_rating,,,,,,
player,201410260kan,ram,GiveCh00,rush_att,0,,,,,
player,201410260kan,ram,GiveCh00,rush_yds,0,,,,,
player,201410260kan,ram,GiveCh00,rush_td,0,,,,,
player,201410260kan,ram,GiveCh00,rush_long,0,,,,,
player,201410260kan,ram,GiveCh00,targets,2,,,,,
player,201410260kan,ram,GiveCh00,rec,1,,,,,
player,201410260kan,ram,GiveCh00,rec_yds,12,,,,,
player,201410260kan,ram,GiveCh00,rec_td,0,,,,,
player,201410260kan,ram,GiveCh00,rec_long,12,,,,,
player,201410260kan,ram,GiveCh00,fumbles,0,,,,,
player,201410260kan,ram,GiveCh00,fumbles_lost,0,,,,,
player,201410260kan,ram,CookJa02,pass_cmp,0,,,,,
player,201410260kan,ram,CookJa02,pass_att,0,,,,,
player,201410260kan,ram,CookJa02,pass_yds,0,,,,,
player,201410260kan,ram,CookJa02,pass_td,0,,,,,
player,201410260kan,ram,CookJa02,pass_int,0,,,,,
player,201410260kan,ram,CookJa02,pass_sacked,0,,,,,
player,201410260kan,ram,CookJa02,pass_sacked_yds,0,,,,,
player,201410260kan,ram,CookJa02,pass_long,0,,,,,
player,201410260kan,ram,CookJa02,pass_rating,,,,,,
player,201410260kan,ram,CookJa02,rush_att,0,,,,,
player,201410260kan,ram,CookJa02,rush_yds,0,,,,,
player,201410260kan,ram,CookJa02,rush_td,0,,,,,
player,201410260kan,ram,CookJa02,rush_long,0,,,,,
player,201410260kan,ram,CookJa02,targets,3,,,,,
player,201410260kan,ram,CookJa02,rec,1,,,,,
player,201410260kan,ram,CookJa02,rec_yds,11,,,,,
player,201410260kan,ram,CookJa02,rec_td,0,,,,,
player,201410260kan,ram,CookJa02,rec_long,11,,,,,
player,201410260kan,ram,CookJa02,fumbles,0,,,,,
player,201410260kan,ram,CookJa02,fumbles_lost,0,,,,,
player,201410260kan,ram,QuicBr00,pass_cmp,0,,,,,
player,201410260kan,ram,QuicBr00,pass_att,0,,,,,
player,201410260kan,ram,QuicBr00,pass_yds,0,,,,,
player,201410260kan,ram,QuicBr00,pass_td,0,,,,,
player,201410260kan,ram,QuicBr00,pass_int,0,,,,,
player,201410260kan,ram,QuicBr00,pass_sacked,0,,,,,
player,201410260kan,ram,QuicBr00,pass_sacked_yds,0,,,,,
player,201410260kan,ram,QuicBr00,pass_long,0,,,,,
player,201410260kan,ram,QuicBr00,pass_rating,,,,,,
player,201410260kan,ram,QuicBr00,rush_att,0,,,,,
player,201410260kan,ram,QuicBr00,rush_yds,0,,,,,
player,201410260kan,ram,QuicBr00,rush_td,0,,,,,
player,201410260kan,ram,QuicBr00,rush_long,0,,,,,
