game,2014,7,20141019,201410190dal,nyg,"New York Giants",21,dal,"Dallas Cowboys",31
team,201410190dal,nyg,First Downs,20,,,,,,
team,201410190dal,dal,First Downs,20,,,,,,
team,201410190dal,nyg,Rush-Yds-TDs,26-104-0,,,,,,
team,201410190dal,dal,Rush-Yds-TDs,35-156-1,,,,,,
team,201410190dal,nyg,Cmp-Att-Yd-TD-INT,21-33-248-3-0,,,,,,
team,201410190dal,dal,Cmp-Att-Yd-TD-INT,17-23-279-3-1,,,,,,
team,201410190dal,nyg,Sacked-Yards,0-0,,,,,,
team,201410190dal,dal,Sacked-Yards,2-12,,,,,,
team,201410190dal,nyg,Net Pass Yards,248,,,,,,
team,201410190dal,dal,Net Pass Yards,267,,,,,,
team,201410190dal,nyg,Total Yards,352,,,,,,
team,201410190dal,dal,Total Yards,423,,,,,,
team,201410190dal,nyg,Fumbles-Lost,2-2,,,,,,
team,201410190dal,dal,Fumbles-Lost,0-0,,,,,,
team,201410190dal,nyg,Turnovers,2,,,,,,
team,201410190dal,dal,Turnovers,1,,,,,,
team,201410190dal,nyg,Penalties-Yards,6-40,,,,,,
team,201410190dal,dal,Penalties-Yards,6-46,,,,,,
team,201410190dal,nyg,Third Down Conv.,5-13,,,,,,
team,201410190dal,dal,Third Down Conv.,9-14,,,,,,
team,201410190dal,nyg,Fourth Down Conv.,1-1,,,,,,
team,201410190dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201410190dal,nyg,Time of Possession,26:11,,,,,,
team,201410190dal,dal,Time of Possession,33:49,,,,,,
player,201410190dal,nyg,MannEl00,pass_cmp,21,,,,,
player,201410190dal,nyg,MannEl00,pass_att,33,,,,,
player,201410190dal,nyg,MannEl00,pass_yds,248,,,,,
player,201410190dal,nyg,MannEl00,pass_td,3,,,,,
player,201410190dal,nyg,MannEl00,pass_int,0,,,,,
player,201410190dal,nyg,MannEl00,pass_sacked,0,,,,,
player,201410190dal,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201410190dal,nyg,MannEl00,pass_long,27,,,,,
player,201410190dal,nyg,MannEl00,pass_rating,116.7,,,,,
player,201410190dal,nyg,MannEl00,rush_att,1,,,,,
player,201410190dal,nyg,MannEl00,rush_yds,11,,,,,
player,201410190dal,nyg,MannEl00,rush_td,0,,,,,
player,201410190dal,nyg,MannEl00,rush_long,11,,,,,
player,201410190dal,nyg,MannEl00,targets,0,,,,,
player,201410190dal,nyg,MannEl00,rec,0,,,,,
player,201410190dal,nyg,MannEl00,rec_yds,0,,,,,
player,201410190dal,nyg,MannEl00,rec_td,0,,,,,
player,201410190dal,nyg,MannEl00,rec_long,0,,,,,
player,201410190dal,nyg,MannEl00,fumbles,0,,,,,
player,201410190dal,nyg,MannEl00,fumbles_lost,0,,,,,
player,201410190dal,nyg,WillAn00,pass_cmp,0,,,,,
player,201410190dal,nyg,WillAn00,pass_att,0,,,,,
player,201410190dal,nyg,WillAn00,pass_yds,0,,,,,
player,201410190dal,nyg,WillAn00,pass_td,0,,,,,
player,201410190dal,nyg,WillAn00,pass_int,0,,,,,
player,201410190dal,nyg,WillAn00,pass_sacked,0,,,,,
player,201410190dal,nyg,WillAn00,pass_sacked_yds,0,,,,,
player,201410190dal,nyg,WillAn00,pass_long,0,,,,,
player,201410190dal,nyg,WillAn00,pass_rating,,,,,,
player,201410190dal,nyg,WillAn00,rush_att,18,,,,,
player,201410190dal,nyg,WillAn00,rush_yds,51,,,,,
player,201410190dal,nyg,WillAn00,rush_td,0,,,,,
player,201410190dal,nyg,WillAn00,rush_long,22,,,,,
player,201410190dal,nyg,WillAn00,targets,3,,,,,
player,201410190dal,nyg,WillAn00,rec,0,,,,,
player,201410190dal,nyg,WillAn00,rec_yds,0,,,,,
player,201410190dal,nyg,WillAn00,rec_td,0,,,,,
player,201410190dal,nyg,WillAn00,rec_long,0,,,,,
