game,2014,3,20140921,201409210ram,dal,"Dallas Cowboys",34,ram,"St. Louis Rams",31
team,201409210ram,dal,First Downs,19,,,,,,
team,201409210ram,ram,First Downs,26,,,,,,
team,201409210ram,dal,Rush-Yds-TDs,29-123-1,,,,,,
team,201409210ram,ram,Rush-Yds-TDs,30-121-0,,,,,,
team,201409210ram,dal,Cmp-Att-Yd-TD-INT,18-23-217-2-1,,,,,,
team,201409210ram,ram,Cmp-Att-Yd-TD-INT,30-42-327-3-2,,,,,,
team,201409210ram,dal,Sacked-Yards,0-0,,,,,,
team,201409210ram,ram,Sacked-Yards,0-0,,,,,,
team,201409210ram,dal,Net Pass Yards,217,,,,,,
team,201409210ram,ram,Net Pass Yards,327,,,,,,
team,201409210ram,dal,Total Yards,340,,,,,,
team,201409210ram,ram,Total Yards,448,,,,,,
team,201409210ram,dal,Fumbles-Lost,1-1,,,,,,
team,201409210ram,ram,Fumbles-Lost,1-1,,,,,,
team,201409210ram,dal,Turnovers,2,,,,,,
team,201409210ram,ram,Turnovers,3,,,,,,
team,201409210ram,dal,Penalties-Yards,3-15,,,,,,
team,201409210ram,ram,Penalties-Yards,8-119,,,,,,
team,201409210ram,dal,Third Down Conv.,5-10,,,,,,
team,201409210ram,ram,Third Down Conv.,8-13,,,,,,
team,201409210ram,dal,Fourth Down Conv.,0-0,,,,,,
team,201409210ram,ram,Fourth Down Conv.,1-2,,,,,,
team,201409210ram,dal,Time of Possession,27:10,,,,,,
team,201409210ram,ram,Time of Possession,32:50,,,,,,
player,201409210ram,dal,RomoTo00,pass_cmp,18,,,,,
player,201409210ram,dal,RomoTo00,pass_att,23,,,,,
player,201409210ram,dal,RomoTo00,pass_yds,217,,,,,
player,201409210ram,dal,RomoTo00,pass_td,2,,,,,
player,201409210ram,dal,RomoTo00,pass_int,1,,,,,
player,201409210ram,dal,RomoTo00,pass_sacked,0,,,,,
player,201409210ram,dal,RomoTo00,pass_sacked_yds,0,,,,,
player,201409210ram,dal,RomoTo00,pass_long,68,,,,,
player,201409210ram,dal,RomoTo00,pass_rating,116.8,,,,,
player,201409210ram,dal,RomoTo00,rush_att,3,,,,,
player,201409210ram,dal,RomoTo00,rush_yds,14,,,,,
player,201409210ram,dal,RomoTo00,rush_td,0,,,,,
player,201409210ram,dal,RomoTo00,rush_long,16,,,,,
player,201409210ram,dal,RomoTo00,targets,0,,,,,
player,201409210ram,dal,RomoTo00,rec,0,,,,,
player,201409210ram,dal,RomoTo00,rec_yds,0,,,,,
player,201409210ram,dal,RomoTo00,rec_td,0,,,,,
player,201409210ram,dal,RomoTo00,rec_long,0,,,,,
player,201409210ram,dal,RomoTo00,fumbles,0,,,,,
player,201409210ram,dal,RomoTo00,fumbles_lost,0,,,,,
player,201409210ram,dal,MurrDe00,pass_cmp,0,,,,,
player,201409210ram,dal,MurrDe00,pass_att,0,,,,,
player,201409210ram,dal,MurrDe00,pass_yds,0,,,,,
player,201409210ram,dal,MurrDe00,pass_td,0,,,,,
player,201409210ram,dal,MurrDe00,pass_int,0,,,,,
player,201409210ram,dal,MurrDe00,pass_sacked,0,,,,,
player,201409210ram,dal,MurrDe00,pass_sacked_yds,0,,,,,
player,201409210ram,dal,MurrDe00,pass_long,0,,,,,
player,201409210ram,dal,MurrDe00,pass_rating,,,,,,
player,201409210ram,dal,MurrDe00,rush_att,24,,,,,
player,201409210ram,dal,MurrDe00,rush_yds,100,,,,,
player,201409210ram,dal,MurrDe00,rush_td,1,,,,,
player,201409210ram,dal,MurrDe00,rush_long,44,,,,,
player,201409210ram,dal,MurrDe00,targets,4,,,,,
player,201409210ram,dal,MurrDe00,rec,4,,,,,
player,201409210ram,dal,MurrDe00,rec_yds,31,,,,,
player,201409210ram,dal,MurrDe00,rec_td,0,,,,,
player,201409210ram,dal,MurrDe00,rec_long,11,,,,,
player,201409210ram,dal,MurrDe00,fumbles,1,,,,,
player,201409210ram,dal,MurrDe00,fumbles_lost,1,,,,,
player,201409210ram,dal,RandJo01,pass_cmp,0,,,,,
player,201409210ram,dal,RandJo01,pass_att,0,,,,,
player,201409210ram,dal,RandJo01,pass_yds,0,,,,,
player,201409210ram,dal,RandJo01,pass_td,0,,,,,
player,201409210ram,dal,RandJo01,pass_int,0,,,,,
player,201409210ram,dal,RandJo01,pass_sacked,0,,,,,
player,201409210ram,dal,RandJo01,pass_sacked_yds,0,,,,,
player,201409210ram,dal,RandJo01,pass_long,0,,,,,
player,201409210ram,dal,RandJo01,pass_rating,,,,,,
player,201409210ram,dal,RandJo01,rush_att,2,,,,,
player,201409210ram,dal,RandJo01,rush_yds,9,,,,,
player,201409210ram,dal,RandJo01,rush_td,0,,,,,
player,201409210ram,dal,RandJo01,rush_long,7,,,,,
player,201409210ram,dal,RandJo01,targets,0,,,,,
player,201409210ram,dal,RandJo01,rec,0,,,,,
player,201409210ram,dal,RandJo01,rec_yds,0,,,,,
player,201409210ram,dal,RandJo01,rec_td,0,,,,,
player,201409210ram,dal,RandJo01,rec_long,0,,,,,
player,201409210ram,dal,RandJo01,fumbles,0,,,,,
player,201409210ram,dal,RandJo01,fumbles_lost,0,,,,,
player,201409210ram,dal,BryaDe01,pass_cmp,0,,,,,
player,201409210ram,dal,BryaDe01,pass_att,0,,,,,
player,201409210ram,dal,BryaDe01,pass_yds,0,,,,,
player,201409210ram,dal,BryaDe01,pass_td,0,,,,,
player,201409210ram,dal,BryaDe01,pass_int,0,,,,,
player,201409210ram,dal,BryaDe01,pass_sacked,0,,,,,
player,201409210ram,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201409210ram,dal,BryaDe01,pass_long,0,,,,,
player,201409210ram,dal,BryaDe01,pass_rating,,,,,,
player,201409210ram,dal,BryaDe01,rush_att,0,,,,,
player,201409210ram,dal,BryaDe01,rush_yds,0,,,,,
player,201409210ram,dal,BryaDe01,rush_td,0,,,,,
player,201409210ram,dal,BryaDe01,rush_long,0,,,,,
player,201409210ram,dal,BryaDe01,targets,7,,,,,
player,201409210ram,dal,BryaDe01,rec,6,,,,,
player,201409210ram,dal,BryaDe01,rec_yds,89,,,,,
player,201409210ram,dal,BryaDe01,rec_td,1,,,,,
player,201409210ram,dal,BryaDe01,rec_long,68,,,,,
player,201409210ram,dal,BryaDe01,fumbles,0,,,,,
player,201409210ram,dal,BryaDe01,fumbles_lost,0,,,,,
