game,2014,2,20140914,201409140tam,ram,"St. Louis Rams",19,tam,"Tampa Bay Buccaneers",17
team,201409140tam,ram,First Downs,20,,,,,,
team,201409140tam,tam,First Downs,18,,,,,,
team,201409140tam,ram,Rush-Yds-TDs,29-119-1,,,,,,
team,201409140tam,tam,Rush-Yds-TDs,30-157-2,,,,,,
team,201409140tam,ram,Cmp-Att-Yd-TD-INT,22-29-235-0-0,,,,,,
team,201409140tam,tam,Cmp-Att-Yd-TD-INT,16-21-179-0-1,,,,,,
team,201409140tam,ram,Sacked-Yards,2-15,,,,,,
team,201409140tam,tam,Sacked-Yards,1-4,,,,,,
team,201409140tam,ram,Net Pass Yards,220,,,,,,
team,201409140tam,tam,Net Pass Yards,175,,,,,,
team,201409140tam,ram,Total Yards,339,,,,,,
team,201409140tam,tam,Total Yards,332,,,,,,
team,201409140tam,ram,Fumbles-Lost,2-1,,,,,,
team,201409140tam,tam,Fumbles-Lost,1-0,,,,,,
team,201409140tam,ram,Turnovers,1,,,,,,
team,201409140tam,tam,Turnovers,1,,,,,,
team,201409140tam,ram,Penalties-Yards,5-65,,,,,,
team,201409140tam,tam,Penalties-Yards,4-30,,,,,,
team,201409140tam,ram,Third Down Conv.,5-11,,,,,,
team,201409140tam,tam,Third Down Conv.,4-8,,,,,,
team,201409140tam,ram,Fourth Down Conv.,0-0,,,,,,
team,201409140tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201409140tam,ram,Time of Possession,32:05,,,,,,
team,201409140tam,tam,Time of Possession,27:55,,,,,,
player,201409140tam,ram,DaviAu00,pass_cmp,22,,,,,
player,201409140tam,ram,DaviAu00,pass_att,29,,,,,
player,201409140tam,ram,DaviAu00,pass_yds,235,,,,,
player,201409140tam,ram,DaviAu00,pass_td,0,,,,,
player,201409140tam,ram,DaviAu00,pass_int,0,,,,,
player,201409140tam,ram,DaviAu00,pass_sacked,2,,,,,
player,201409140tam,ram,DaviAu00,pass_sacked_yds,15,,,,,
