game,2014,5,20141005,201410050car,chi,"Chicago Bears",24,car,"Carolina Panthers",31
team,201410050car,chi,First Downs,17,,,,,,
team,201410050car,car,First Downs,22,,,,,,
team,201410050car,chi,Rush-Yds-TDs,22-85-1,,,,,,
team,201410050car,car,Rush-Yds-TDs,26-91-1,,,,,,
team,201410050car,chi,Cmp-Att-Yd-TD-INT,28-36-289-2-2,,,,,,
team,201410050car,car,Cmp-Att-Yd-TD-INT,19-35-255-2-1,,,,,,
team,201410050car,chi,Sacked-Yards,4-27,,,,,,
team,201410050car,car,Sacked-Yards,2-24,,,,,,
team,201410050car,chi,Net Pass Yards,262,,,,,,
team,201410050car,car,Net Pass Yards,231,,,,,,
team,201410050car,chi,Total Yards,347,,,,,,
team,201410050car,car,Total Yards,322,,,,,,
team,201410050car,chi,Fumbles-Lost,3-2,,,,,,
team,201410050car,car,Fumbles-Lost,3-2,,,,,,
team,201410050car,chi,Turnovers,4,,,,,,
team,201410050car,car,Turnovers,3,,,,,,
team,201410050car,chi,Penalties-Yards,10-79,,,,,,
team,201410050car,car,Penalties-Yards,3-30,,,,,,
team,201410050car,chi,Third Down Conv.,5-13,,,,,,
team,201410050car,car,Third Down Conv.,5-12,,,,,,
team,201410050car,chi,Fourth Down Conv.,0-1,,,,,,
team,201410050car,car,Fourth Down Conv.,0-0,,,,,,
team,201410050car,chi,Time of Possession,32:59,,,,,,
team,201410050car,car,Time of Possession,27:01,,,,,,
player,201410050car,chi,CutlJa00,pass_cmp,28,,,,,
player,201410050car,chi,CutlJa00,pass_att,36,,,,,
player,201410050car,chi,CutlJa00,pass_yds,289,,,,,
player,201410050car,chi,CutlJa00,pass_td,2,,,,,
player,201410050car,chi,CutlJa00,pass_int,2,,,,,
player,201410050car,chi,CutlJa00,pass_sacked,4,,,,,
player,201410050car,chi,CutlJa00,pass_sacked_yds,27,,,,,
player,201410050car,chi,CutlJa00,pass_long,56,,,,,
player,201410050car,chi,CutlJa00,pass_rating,95.5,,,,,
player,201410050car,chi,CutlJa00,rush_att,3,,,,,
player,201410050car,chi,CutlJa00,rush_yds,22,,,,,
player,201410050car,chi,CutlJa00,rush_td,1,,,,,
player,201410050car,chi,CutlJa00,rush_long,13,,,,,
player,201410050car,chi,CutlJa00,targets,0,,,,,
player,201410050car,chi,CutlJa00,rec,0,,,,,
player,201410050car,chi,CutlJa00,rec_yds,0,,,,,
player,201410050car,chi,CutlJa00,rec_td,0,,,,,
player,201410050car,chi,CutlJa00,rec_long,0,,,,,
player,201410050car,chi,CutlJa00,fumbles,1,,,,,
player,201410050car,chi,CutlJa00,fumbles_lost,1,,,,,
player,201410050car,chi,FortMa00,pass_cmp,0,,,,,
player,201410050car,chi,FortMa00,pass_att,0,,,,,
player,201410050car,chi,FortMa00,pass_yds,0,,,,,
player,201410050car,chi,FortMa00,pass_td,0,,,,,
player,201410050car,chi,FortMa00,pass_int,0,,,,,
player,201410050car,chi,FortMa00,pass_sacked,0,,,,,
player,201410050car,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201410050car,chi,FortMa00,pass_long,0,,,,,
player,201410050car,chi,FortMa00,pass_rating,,,,,,
player,201410050car,chi,FortMa00,rush_att,17,,,,,
player,201410050car,chi,FortMa00,rush_yds,61,,,,,
player,201410050car,chi,FortMa00,rush_td,0,,,,,
player,201410050car,chi,FortMa00,rush_long,15,,,,,
player,201410050car,chi,FortMa00,targets,12,,,,,
player,201410050car,chi,FortMa00,rec,12,,,,,
player,201410050car,chi,FortMa00,rec_yds,105,,,,,
player,201410050car,chi,FortMa00,rec_td,1,,,,,
player,201410050car,chi,FortMa00,rec_long,56,,,,,
player,201410050car,chi,FortMa00,fumbles,1,,,,,
player,201410050car,chi,FortMa00,fumbles_lost,1,,,,,
player,201410050car,chi,CareKa00,pass_cmp,0,,,,,
player,201410050car,chi,CareKa00,pass_att,0,,,,,
player,201410050car,chi,CareKa00,pass_yds,0,,,,,
player,201410050car,chi,CareKa00,pass_td,0,,,,,
player,201410050car,chi,CareKa00,pass_int,0,,,,,
player,201410050car,chi,CareKa00,pass_sacked,0,,,,,
player,201410050car,chi,CareKa00,pass_sacked_yds,0,,,,,
player,201410050car,chi,CareKa00,pass_long,0,,,,,
