game,2014,12,20141123,201411230sdg,ram,"St. Louis Rams",24,sdg,"San Diego Chargers",27
player,201411230sdg,ram,CookJa02,targets,9,,,,,
player,201411230sdg,ram,CookJa02,rec,3,,,,,
player,201411230sdg,ram,CookJa02,rec_yds,27,,,,,
player,201411230sdg,ram,CookJa02,rec_td,0,,,,,
player,201411230sdg,ram,CookJa02,rec_long,10,,,,,
player,201411230sdg,ram,CookJa02,fumbles,0,,,,,
player,201411230sdg,ram,CookJa02,fumbles_lost,0,,,,,
player,201411230sdg,ram,KendLa00,pass_cmp,0,,,,,
player,201411230sdg,ram,KendLa00,pass_att,0,,,,,
player,201411230sdg,ram,KendLa00,pass_yds,0,,,,,
player,201411230sdg,ram,KendLa00,pass_td,0,,,,,
player,201411230sdg,ram,KendLa00,pass_int,0,,,,,
player,201411230sdg,ram,KendLa00,pass_sacked,0,,,,,
player,201411230sdg,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201411230sdg,ram,KendLa00,pass_long,0,,,,,
player,201411230sdg,ram,KendLa00,pass_rating,,,,,,
player,201411230sdg,ram,KendLa00,rush_att,0,,,,,
player,201411230sdg,ram,KendLa00,rush_yds,0,,,,,
player,201411230sdg,ram,KendLa00,rush_td,0,,,,,
player,201411230sdg,ram,KendLa00,rush_long,0,,,,,
player,201411230sdg,ram,KendLa00,targets,2,,,,,
player,201411230sdg,ram,KendLa00,rec,1,,,,,
player,201411230sdg,ram,KendLa00,rec_yds,16,,,,,
player,201411230sdg,ram,KendLa00,rec_td,0,,,,,
player,201411230sdg,ram,KendLa00,rec_long,16,,,,,
player,201411230sdg,ram,KendLa00,fumbles,0,,,,,
player,201411230sdg,ram,KendLa00,fumbles_lost,0,,,,,
player,201411230sdg,sdg,RivePh00,pass_cmp,29,,,,,
player,201411230sdg,sdg,RivePh00,pass_att,35,,,,,
player,201411230sdg,sdg,RivePh00,pass_yds,291,,,,,
player,201411230sdg,sdg,RivePh00,pass_td,1,,,,,
player,201411230sdg,sdg,RivePh00,pass_int,1,,,,,
player,201411230sdg,sdg,RivePh00,pass_sacked,3,,,,,
player,201411230sdg,sdg,RivePh00,pass_sacked_yds,9,,,,,
player,201411230sdg,sdg,RivePh00,pass_long,35,,,,,
player,201411230sdg,sdg,RivePh00,pass_rating,98.9,,,,,
player,201411230sdg,sdg,RivePh00,rush_att,3,,,,,
player,201411230sdg,sdg,RivePh00,rush_yds,-1,,,,,
player,201411230sdg,sdg,RivePh00,rush_td,0,,,,,
player,201411230sdg,sdg,RivePh00,rush_long,0,,,,,
player,201411230sdg,sdg,RivePh00,targets,0,,,,,
player,201411230sdg,sdg,RivePh00,rec,0,,,,,
player,201411230sdg,sdg,RivePh00,rec_yds,0,,,,,
player,201411230sdg,sdg,RivePh00,rec_td,0,,,,,
player,201411230sdg,sdg,RivePh00,rec_long,0,,,,,
player,201411230sdg,sdg,RivePh00,fumbles,0,,,,,
player,201411230sdg,sdg,RivePh00,fumbles_lost,0,,,,,
player,201411230sdg,sdg,MathRy00,pass_cmp,0,,,,,
player,201411230sdg,sdg,MathRy00,pass_att,0,,,,,
player,201411230sdg,sdg,MathRy00,pass_yds,0,,,,,
player,201411230sdg,sdg,MathRy00,pass_td,0,,,,,
player,201411230sdg,sdg,MathRy00,pass_int,0,,,,,
player,201411230sdg,sdg,MathRy00,pass_sacked,0,,,,,
player,201411230sdg,sdg,MathRy00,pass_sacked_yds,0,,,,,
player,201411230sdg,sdg,MathRy00,pass_long,0,,,,,
player,201411230sdg,sdg,MathRy00,pass_rating,,,,,,
player,201411230sdg,sdg,MathRy00,rush_att,12,,,,,
player,201411230sdg,sdg,MathRy00,rush_yds,105,,,,,
player,201411230sdg,sdg,MathRy00,rush_td,1,,,,,
player,201411230sdg,sdg,MathRy00,rush_long,32,,,,,
player,201411230sdg,sdg,MathRy00,targets,2,,,,,
player,201411230sdg,sdg,MathRy00,rec,2,,,,,
player,201411230sdg,sdg,MathRy00,rec_yds,8,,,,,
player,201411230sdg,sdg,MathRy00,rec_td,0,,,,,
player,201411230sdg,sdg,MathRy00,rec_long,10,,,,,
player,201411230sdg,sdg,MathRy00,fumbles,0,,,,,
player,201411230sdg,sdg,MathRy00,fumbles_lost,0,,,,,
player,201411230sdg,sdg,OlivBr01,pass_cmp,0,,,,,
player,201411230sdg,sdg,OlivBr01,pass_att,0,,,,,
player,201411230sdg,sdg,OlivBr01,pass_yds,0,,,,,
player,201411230sdg,sdg,OlivBr01,pass_td,0,,,,,
player,201411230sdg,sdg,OlivBr01,pass_int,0,,,,,
player,201411230sdg,sdg,OlivBr01,pass_sacked,0,,,,,
player,201411230sdg,sdg,OlivBr01,pass_sacked_yds,0,,,,,
player,201411230sdg,sdg,OlivBr01,pass_long,0,,,,,
player,201411230sdg,sdg,OlivBr01,pass_rating,,,,,,
player,201411230sdg,sdg,OlivBr01,rush_att,6,,,,,
player,201411230sdg,sdg,OlivBr01,rush_yds,17,,,,,
player,201411230sdg,sdg,OlivBr01,rush_td,0,,,,,
player,201411230sdg,sdg,OlivBr01,rush_long,7,,,,,
player,201411230sdg,sdg,OlivBr01,targets,4,,,,,
player,201411230sdg,sdg,OlivBr01,rec,4,,,,,
player,201411230sdg,sdg,OlivBr01,rec_yds,23,,,,,
player,201411230sdg,sdg,OlivBr01,rec_td,0,,,,,
player,201411230sdg,sdg,OlivBr01,rec_long,13,,,,,
player,201411230sdg,sdg,OlivBr01,fumbles,0,,,,,
player,201411230sdg,sdg,OlivBr01,fumbles_lost,0,,,,,
player,201411230sdg,sdg,BrowDo00,pass_cmp,0,,,,,
player,201411230sdg,sdg,BrowDo00,pass_att,0,,,,,
player,201411230sdg,sdg,BrowDo00,pass_yds,0,,,,,
player,201411230sdg,sdg,BrowDo00,pass_td,0,,,,,
player,201411230sdg,sdg,BrowDo00,pass_int,0,,,,,
player,201411230sdg,sdg,BrowDo00,pass_sacked,0,,,,,
player,201411230sdg,sdg,BrowDo00,pass_sacked_yds,0,,,,,
player,201411230sdg,sdg,BrowDo00,pass_long,0,,,,,
player,201411230sdg,sdg,BrowDo00,pass_rating,,,,,,
player,201411230sdg,sdg,BrowDo00,rush_att,1,,,,,
player,201411230sdg,sdg,BrowDo00,rush_yds,7,,,,,
player,201411230sdg,sdg,BrowDo00,rush_td,0,,,,,
player,201411230sdg,sdg,BrowDo00,rush_long,7,,,,,
player,201411230sdg,sdg,BrowDo00,targets,2,,,,,
player,201411230sdg,sdg,BrowDo00,rec,2,,,,,
player,201411230sdg,sdg,BrowDo00,rec_yds,20,,,,,
player,201411230sdg,sdg,BrowDo00,rec_td,0,,,,,
player,201411230sdg,sdg,BrowDo00,rec_long,12,,,,,
player,201411230sdg,sdg,BrowDo00,fumbles,0,,,,,
player,201411230sdg,sdg,BrowDo00,fumbles_lost,0,,,,,
player,201411230sdg,sdg,AlleKe00,pass_cmp,0,,,,,
player,201411230sdg,sdg,AlleKe00,pass_att,0,,,,,
player,201411230sdg,sdg,AlleKe00,pass_yds,0,,,,,
player,201411230sdg,sdg,AlleKe00,pass_td,0,,,,,
player,201411230sdg,sdg,AlleKe00,pass_int,0,,,,,
player,201411230sdg,sdg,AlleKe00,pass_sacked,0,,,,,
player,201411230sdg,sdg,AlleKe00,pass_sacked_yds,0,,,,,
player,201411230sdg,sdg,AlleKe00,pass_long,0,,,,,
player,201411230sdg,sdg,AlleKe00,pass_rating,,,,,,
player,201411230sdg,sdg,AlleKe00,rush_att,0,,,,,
player,201411230sdg,sdg,AlleKe00,rush_yds,0,,,,,
player,201411230sdg,sdg,AlleKe00,rush_td,0,,,,,
player,201411230sdg,sdg,AlleKe00,rush_long,0,,,,,
player,201411230sdg,sdg,AlleKe00,targets,9,,,,,
player,201411230sdg,sdg,AlleKe00,rec,6,,,,,
player,201411230sdg,sdg,AlleKe00,rec_yds,104,,,,,
player,201411230sdg,sdg,AlleKe00,rec_td,1,,,,,
player,201411230sdg,sdg,AlleKe00,rec_long,35,,,,,
player,201411230sdg,sdg,AlleKe00,fumbles,2,,,,,
player,201411230sdg,sdg,AlleKe00,fumbles_lost,2,,,,,
player,201411230sdg,sdg,RoyaEd00,pass_cmp,0,,,,,
player,201411230sdg,sdg,RoyaEd00,pass_att,0,,,,,
player,201411230sdg,sdg,RoyaEd00,pass_yds,0,,,,,
player,201411230sdg,sdg,RoyaEd00,pass_td,0,,,,,
player,201411230sdg,sdg,RoyaEd00,pass_int,0,,,,,
player,201411230sdg,sdg,RoyaEd00,pass_sacked,0,,,,,
player,201411230sdg,sdg,RoyaEd00,pass_sacked_yds,0,,,,,
player,201411230sdg,sdg,RoyaEd00,pass_long,0,,,,,
player,201411230sdg,sdg,RoyaEd00,pass_rating,,,,,,
player,201411230sdg,sdg,RoyaEd00,rush_att,0,,,,,
player,201411230sdg,sdg,RoyaEd00,rush_yds,0,,,,,
player,201411230sdg,sdg,RoyaEd00,rush_td,0,,,,,
player,201411230sdg,sdg,RoyaEd00,rush_long,0,,,,,
player,201411230sdg,sdg,RoyaEd00,targets,6,,,,,
player,201411230sdg,sdg,RoyaEd00,rec,6,,,,,
player,201411230sdg,sdg,RoyaEd00,rec_yds,50,,,,,
player,201411230sdg,sdg,RoyaEd00,rec_td,0,,,,,
player,201411230sdg,sdg,RoyaEd00,rec_long,12,,,,,
player,201411230sdg,sdg,RoyaEd00,fumbles,0,,,,,
player,201411230sdg,sdg,RoyaEd00,fumbles_lost,0,,,,,
player,201411230sdg,sdg,GreeLa00,pass_cmp,0,,,,,
player,201411230sdg,sdg,GreeLa00,pass_att,0,,,,,
player,201411230sdg,sdg,GreeLa00,pass_yds,0,,,,,
player,201411230sdg,sdg,GreeLa00,pass_td,0,,,,,
player,201411230sdg,sdg,GreeLa00,pass_int,0,,,,,
player,201411230sdg,sdg,GreeLa00,pass_sacked,0,,,,,
player,201411230sdg,sdg,GreeLa00,pass_sacked_yds,0,,,,,
player,201411230sdg,sdg,GreeLa00,pass_long,0,,,,,
player,201411230sdg,sdg,GreeLa00,pass_rating,,,,,,
player,201411230sdg,sdg,GreeLa00,rush_att,0,,,,,
player,201411230sdg,sdg,GreeLa00,rush_yds,0,,,,,
player,201411230sdg,sdg,GreeLa00,rush_td,0,,,,,
player,201411230sdg,sdg,GreeLa00,rush_long,0,,,,,
player,201411230sdg,sdg,GreeLa00,targets,3,,,,,
player,201411230sdg,sdg,GreeLa00,rec,2,,,,,
player,201411230sdg,sdg,GreeLa00,rec_yds,34,,,,,
player,201411230sdg,sdg,GreeLa00,rec_td,0,,,,,
player,201411230sdg,sdg,GreeLa00,rec_long,28,,,,,
player,201411230sdg,sdg,GreeLa00,fumbles,0,,,,,
player,201411230sdg,sdg,GreeLa00,fumbles_lost,0,,,,,
player,201411230sdg,sdg,FloyMa00,pass_cmp,0,,,,,
player,201411230sdg,sdg,FloyMa00,pass_att,0,,,,,
player,201411230sdg,sdg,FloyMa00,pass_yds,0,,,,,
player,201411230sdg,sdg,FloyMa00,pass_td,0,,,,,
player,201411230sdg,sdg,FloyMa00,pass_int,0,,,,,
player,201411230sdg,sdg,FloyMa00,pass_sacked,0,,,,,
player,201411230sdg,sdg,FloyMa00,pass_sacked_yds,0,,,,,
