game,2014,17,20141228,201412280oti,clt,"Indianapolis Colts",27,oti,"Tennessee Titans",10
team,201412280oti,clt,First Downs,16,,,,,,
team,201412280oti,oti,First Downs,9,,,,,,
team,201412280oti,clt,Rush-Yds-TDs,30-64-0,,,,,,
team,201412280oti,oti,Rush-Yds-TDs,24-142-0,,,,,,
team,201412280oti,clt,Cmp-Att-Yd-TD-INT,23-35-315-3-0,,,,,,
team,201412280oti,oti,Cmp-Att-Yd-TD-INT,13-31-79-1-0,,,,,,
team,201412280oti,clt,Sacked-Yards,1-1,,,,,,
team,201412280oti,oti,Sacked-Yards,4-29,,,,,,
team,201412280oti,clt,Net Pass Yards,314,,,,,,
team,201412280oti,oti,Net Pass Yards,50,,,,,,
team,201412280oti,clt,Total Yards,378,,,,,,
team,201412280oti,oti,Total Yards,192,,,,,,
team,201412280oti,clt,Fumbles-Lost,1-0,,,,,,
team,201412280oti,oti,Fumbles-Lost,4-1,,,,,,
team,201412280oti,clt,Turnovers,0,,,,,,
team,201412280oti,oti,Turnovers,1,,,,,,
team,201412280oti,clt,Penalties-Yards,4-20,,,,,,
team,201412280oti,oti,Penalties-Yards,4-20,,,,,,
team,201412280oti,clt,Third Down Conv.,5-16,,,,,,
team,201412280oti,oti,Third Down Conv.,4-16,,,,,,
team,201412280oti,clt,Fourth Down Conv.,1-3,,,,,,
team,201412280oti,oti,Fourth Down Conv.,1-3,,,,,,
team,201412280oti,clt,Time of Possession,33:26,,,,,,
team,201412280oti,oti,Time of Possession,26:34,,,,,,
player,201412280oti,clt,HassMa00,pass_cmp,13,,,,,
player,201412280oti,clt,HassMa00,pass_att,19,,,,,
player,201412280oti,clt,HassMa00,pass_yds,155,,,,,
player,201412280oti,clt,HassMa00,pass_td,1,,,,,
player,201412280oti,clt,HassMa00,pass_int,0,,,,,
player,201412280oti,clt,HassMa00,pass_sacked,0,,,,,
player,201412280oti,clt,HassMa00,pass_sacked_yds,0,,,,,
player,201412280oti,clt,HassMa00,pass_long,32,,,,,
