game,2014,15,20141214,201412140clt,htx,"Houston Texans",10,clt,"Indianapolis Colts",17
team,201412140clt,htx,First Downs,14,,,,,,
team,201412140clt,clt,First Downs,20,,,,,,
team,201412140clt,htx,Rush-Yds-TDs,41-137-0,,,,,,
team,201412140clt,clt,Rush-Yds-TDs,28-110-0,,,,,,
team,201412140clt,htx,Cmp-Att-Yd-TD-INT,13-25-157-0-1,,,,,,
team,201412140clt,clt,Cmp-Att-Yd-TD-INT,18-34-187-2-1,,,,,,
team,201412140clt,htx,Sacked-Yards,1-5,,,,,,
team,201412140clt,clt,Sacked-Yards,2-19,,,,,,
team,201412140clt,htx,Net Pass Yards,152,,,,,,
team,201412140clt,clt,Net Pass Yards,168,,,,,,
team,201412140clt,htx,Total Yards,289,,,,,,
team,201412140clt,clt,Total Yards,278,,,,,,
team,201412140clt,htx,Fumbles-Lost,2-1,,,,,,
team,201412140clt,clt,Fumbles-Lost,1-1,,,,,,
team,201412140clt,htx,Turnovers,2,,,,,,
team,201412140clt,clt,Turnovers,2,,,,,,
team,201412140clt,htx,Penalties-Yards,8-66,,,,,,
team,201412140clt,clt,Penalties-Yards,7-45,,,,,,
team,201412140clt,htx,Third Down Conv.,5-16,,,,,,
team,201412140clt,clt,Third Down Conv.,2-12,,,,,,
team,201412140clt,htx,Fourth Down Conv.,0-3,,,,,,
team,201412140clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201412140clt,htx,Time of Possession,31:05,,,,,,
team,201412140clt,clt,Time of Possession,28:55,,,,,,
player,201412140clt,htx,SavaTo00,pass_cmp,10,,,,,
player,201412140clt,htx,SavaTo00,pass_att,19,,,,,
player,201412140clt,htx,SavaTo00,pass_yds,127,,,,,
player,201412140clt,htx,SavaTo00,pass_td,0,,,,,
player,201412140clt,htx,SavaTo00,pass_int,1,,,,,
player,201412140clt,htx,SavaTo00,pass_sacked,1,,,,,
player,201412140clt,htx,SavaTo00,pass_sacked_yds,5,,,,,
player,201412140clt,htx,SavaTo00,pass_long,35,,,,,
player,201412140clt,htx,SavaTo00,pass_rating,51.9,,,,,
player,201412140clt,htx,SavaTo00,rush_att,4,,,,,
player,201412140clt,htx,SavaTo00,rush_yds,-4,,,,,
player,201412140clt,htx,SavaTo00,rush_td,0,,,,,
player,201412140clt,htx,SavaTo00,rush_long,1,,,,,
player,201412140clt,htx,SavaTo00,targets,0,,,,,
player,201412140clt,htx,SavaTo00,rec,0,,,,,
player,201412140clt,htx,SavaTo00,rec_yds,0,,,,,
player,201412140clt,htx,SavaTo00,rec_td,0,,,,,
player,201412140clt,htx,SavaTo00,rec_long,0,,,,,
player,201412140clt,htx,SavaTo00,fumbles,2,,,,,
player,201412140clt,htx,SavaTo00,fumbles_lost,1,,,,,
player,201412140clt,htx,FitzRy00,pass_cmp,3,,,,,
player,201412140clt,htx,FitzRy00,pass_att,6,,,,,
player,201412140clt,htx,FitzRy00,pass_yds,30,,,,,
player,201412140clt,htx,FitzRy00,pass_td,0,,,,,
player,201412140clt,htx,FitzRy00,pass_int,0,,,,,
player,201412140clt,htx,FitzRy00,pass_sacked,0,,,,,
player,201412140clt,htx,FitzRy00,pass_sacked_yds,0,,,,,
player,201412140clt,htx,FitzRy00,pass_long,16,,,,,
player,201412140clt,htx,FitzRy00,pass_rating,64.6,,,,,
player,201412140clt,htx,FitzRy00,rush_att,3,,,,,
player,201412140clt,htx,FitzRy00,rush_yds,16,,,,,
player,201412140clt,htx,FitzRy00,rush_td,0,,,,,
player,201412140clt,htx,FitzRy00,rush_long,12,,,,,
player,201412140clt,htx,FitzRy00,targets,0,,,,,
player,201412140clt,htx,FitzRy00,rec,0,,,,,
player,201412140clt,htx,FitzRy00,rec_yds,0,,,,,
player,201412140clt,htx,FitzRy00,rec_td,0,,,,,
player,201412140clt,htx,FitzRy00,rec_long,0,,,,,
player,201412140clt,htx,FitzRy00,fumbles,0,,,,,
player,201412140clt,htx,FitzRy00,fumbles_lost,0,,,,,
player,201412140clt,htx,FostAr00,pass_cmp,0,,,,,
player,201412140clt,htx,FostAr00,pass_att,0,,,,,
player,201412140clt,htx,FostAr00,pass_yds,0,,,,,
player,201412140clt,htx,FostAr00,pass_td,0,,,,,
player,201412140clt,htx,FostAr00,pass_int,0,,,,,
player,201412140clt,htx,FostAr00,pass_sacked,0,,,,,
player,201412140clt,htx,FostAr00,pass_sacked_yds,0,,,,,
player,201412140clt,htx,FostAr00,pass_long,0,,,,,
player,201412140clt,htx,FostAr00,pass_rating,,,,,,
player,201412140clt,htx,FostAr00,rush_att,26,,,,,
player,201412140clt,htx,FostAr00,rush_yds,99,,,,,
player,201412140clt,htx,FostAr00,rush_td,0,,,,,
