game,2014,10,20141109,201411090det,mia,"Miami Dolphins",16,det,"Detroit Lions",20
team,201411090det,mia,First Downs,20,,,,,,
team,201411090det,det,First Downs,19,,,,,,
team,201411090det,mia,Rush-Yds-TDs,19-50-0,,,,,,
team,201411090det,det,Rush-Yds-TDs,19-63-0,,,,,,
team,201411090det,mia,Cmp-Att-Yd-TD-INT,27-38-207-1-1,,,,,,
team,201411090det,det,Cmp-Att-Yd-TD-INT,27-42-307-2-1,,,,,,
team,201411090det,mia,Sacked-Yards,3-29,,,,,,
team,201411090det,det,Sacked-Yards,3-19,,,,,,
team,201411090det,mia,Net Pass Yards,178,,,,,,
team,201411090det,det,Net Pass Yards,288,,,,,,
team,201411090det,mia,Total Yards,228,,,,,,
team,201411090det,det,Total Yards,351,,,,,,
team,201411090det,mia,Fumbles-Lost,3-1,,,,,,
team,201411090det,det,Fumbles-Lost,0-0,,,,,,
team,201411090det,mia,Turnovers,2,,,,,,
team,201411090det,det,Turnovers,1,,,,,,
team,201411090det,mia,Penalties-Yards,5-44,,,,,,
team,201411090det,det,Penalties-Yards,10-98,,,,,,
team,201411090det,mia,Third Down Conv.,5-14,,,,,,
team,201411090det,det,Third Down Conv.,3-12,,,,,,
team,201411090det,mia,Fourth Down Conv.,0-0,,,,,,
team,201411090det,det,Fourth Down Conv.,2-3,,,,,,
team,201411090det,mia,Time of Possession,28:26,,,,,,
team,201411090det,det,Time of Possession,31:34,,,,,,
player,201411090det,mia,TannRy00,pass_cmp,27,,,,,
player,201411090det,mia,TannRy00,pass_att,38,,,,,
player,201411090det,mia,TannRy00,pass_yds,207,,,,,
player,201411090det,mia,TannRy00,pass_td,1,,,,,
player,201411090det,mia,TannRy00,pass_int,1,,,,,
player,201411090det,mia,TannRy00,pass_sacked,3,,,,,
player,201411090det,mia,TannRy00,pass_sacked_yds,29,,,,,
player,201411090det,mia,TannRy00,pass_long,20,,,,,
player,201411090det,mia,TannRy00,pass_rating,81.8,,,,,
player,201411090det,mia,TannRy00,rush_att,2,,,,,
player,201411090det,mia,TannRy00,rush_yds,0,,,,,
player,201411090det,mia,TannRy00,rush_td,0,,,,,
player,201411090det,mia,TannRy00,rush_long,3,,,,,
player,201411090det,mia,TannRy00,targets,0,,,,,
player,201411090det,mia,TannRy00,rec,0,,,,,
