game,2014,11,20141116,201411160crd,det,"Detroit Lions",6,crd,"Arizona Cardinals",14
team,201411160crd,det,First Downs,11,,,,,,
team,201411160crd,crd,First Downs,18,,,,,,
team,201411160crd,det,Rush-Yds-TDs,19-98-0,,,,,,
team,201411160crd,crd,Rush-Yds-TDs,26-46-0,,,,,,
team,201411160crd,det,Cmp-Att-Yd-TD-INT,18-30-183-0-1,,,,,,
team,201411160crd,crd,Cmp-Att-Yd-TD-INT,21-32-306-2-2,,,,,,
team,201411160crd,det,Sacked-Yards,4-19,,,,,,
team,201411160crd,crd,Sacked-Yards,0-0,,,,,,
team,201411160crd,det,Net Pass Yards,164,,,,,,
team,201411160crd,crd,Net Pass Yards,306,,,,,,
team,201411160crd,det,Total Yards,262,,,,,,
team,201411160crd,crd,Total Yards,352,,,,,,
team,201411160crd,det,Fumbles-Lost,2-0,,,,,,
team,201411160crd,crd,Fumbles-Lost,0-0,,,,,,
team,201411160crd,det,Turnovers,1,,,,,,
team,201411160crd,crd,Turnovers,2,,,,,,
team,201411160crd,det,Penalties-Yards,9-80,,,,,,
team,201411160crd,crd,Penalties-Yards,4-35,,,,,,
team,201411160crd,det,Third Down Conv.,5-15,,,,,,
team,201411160crd,crd,Third Down Conv.,8-14,,,,,,
team,201411160crd,det,Fourth Down Conv.,0-1,,,,,,
team,201411160crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201411160crd,det,Time of Possession,29:17,,,,,,
team,201411160crd,crd,Time of Possession,30:43,,,,,,
player,201411160crd,det,StafMa00,pass_cmp,18,,,,,
player,201411160crd,det,StafMa00,pass_att,30,,,,,
player,201411160crd,det,StafMa00,pass_yds,183,,,,,
player,201411160crd,det,StafMa00,pass_td,0,,,,,
player,201411160crd,det,StafMa00,pass_int,1,,,,,
player,201411160crd,det,StafMa00,pass_sacked,4,,,,,
player,201411160crd,det,StafMa00,pass_sacked_yds,19,,,,,
player,201411160crd,det,StafMa00,pass_long,30,,,,,
player,201411160crd,det,StafMa00,pass_rating,63.6,,,,,
player,201411160crd,det,StafMa00,rush_att,0,,,,,
player,201411160crd,det,StafMa00,rush_yds,0,,,,,
player,201411160crd,det,StafMa00,rush_td,0,,,,,
player,201411160crd,det,StafMa00,rush_long,0,,,,,
player,201411160crd,det,StafMa00,targets,0,,,,,
player,201411160crd,det,StafMa00,rec,0,,,,,
player,201411160crd,det,StafMa00,rec_yds,0,,,,,
player,201411160crd,det,StafMa00,rec_td,0,,,,,
player,201411160crd,det,StafMa00,rec_long,0,,,,,
player,201411160crd,det,StafMa00,fumbles,1,,,,,
player,201411160crd,det,StafMa00,fumbles_lost,0,,,,,
player,201411160crd,det,BellJo01,pass_cmp,0,,,,,
player,201411160crd,det,BellJo01,pass_att,0,,,,,
player,201411160crd,det,BellJo01,pass_yds,0,,,,,
player,201411160crd,det,BellJo01,pass_td,0,,,,,
player,201411160crd,det,BellJo01,pass_int,0,,,,,
player,201411160crd,det,BellJo01,pass_sacked,0,,,,,
player,201411160crd,det,BellJo01,pass_sacked_yds,0,,,,,
player,201411160crd,det,BellJo01,pass_long,0,,,,,
player,201411160crd,det,BellJo01,pass_rating,,,,,,
player,201411160crd,det,BellJo01,rush_att,14,,,,,
player,201411160crd,det,BellJo01,rush_yds,85,,,,,
player,201411160crd,det,BellJo01,rush_td,0,,,,,
player,201411160crd,det,BellJo01,rush_long,33,,,,,
player,201411160crd,det,BellJo01,targets,5,,,,,
player,201411160crd,det,BellJo01,rec,3,,,,,
player,201411160crd,det,BellJo01,rec_yds,30,,,,,
player,201411160crd,det,BellJo01,rec_td,0,,,,,
player,201411160crd,det,BellJo01,rec_long,21,,,,,
player,201411160crd,det,BellJo01,fumbles,1,,,,,
player,201411160crd,det,BellJo01,fumbles_lost,0,,,,,
player,201411160crd,det,TateGo00,pass_cmp,0,,,,,
player,201411160crd,det,TateGo00,pass_att,0,,,,,
player,201411160crd,det,TateGo00,pass_yds,0,,,,,
player,201411160crd,det,TateGo00,pass_td,0,,,,,
player,201411160crd,det,TateGo00,pass_int,0,,,,,
player,201411160crd,det,TateGo00,pass_sacked,0,,,,,
player,201411160crd,det,TateGo00,pass_sacked_yds,0,,,,,
player,201411160crd,det,TateGo00,pass_long,0,,,,,
player,201411160crd,det,TateGo00,pass_rating,,,,,,
player,201411160crd,det,TateGo00,rush_att,1,,,,,
player,201411160crd,det,TateGo00,rush_yds,8,,,,,
player,201411160crd,det,TateGo00,rush_td,0,,,,,
player,201411160crd,det,TateGo00,rush_long,8,,,,,
player,201411160crd,det,TateGo00,targets,2,,,,,
player,201411160crd,det,TateGo00,rec,2,,,,,
player,201411160crd,det,TateGo00,rec_yds,41,,,,,
player,201411160crd,det,TateGo00,rec_td,0,,,,,
player,201411160crd,det,TateGo00,rec_long,30,,,,,
player,201411160crd,det,TateGo00,fumbles,0,,,,,
player,201411160crd,det,TateGo00,fumbles_lost,0,,,,,
player,201411160crd,det,CollJe01,pass_cmp,0,,,,,
player,201411160crd,det,CollJe01,pass_att,0,,,,,
player,201411160crd,det,CollJe01,pass_yds,0,,,,,
player,201411160crd,det,CollJe01,pass_td,0,,,,,
player,201411160crd,det,CollJe01,pass_int,0,,,,,
player,201411160crd,det,CollJe01,pass_sacked,0,,,,,
player,201411160crd,det,CollJe01,pass_sacked_yds,0,,,,,
player,201411160crd,det,CollJe01,pass_long,0,,,,,
player,201411160crd,det,CollJe01,pass_rating,,,,,,
player,201411160crd,det,CollJe01,rush_att,2,,,,,
player,201411160crd,det,CollJe01,rush_yds,3,,,,,
player,201411160crd,det,CollJe01,rush_td,0,,,,,
player,201411160crd,det,CollJe01,rush_long,3,,,,,
player,201411160crd,det,CollJe01,targets,0,,,,,
player,201411160crd,det,CollJe01,rec,0,,,,,
player,201411160crd,det,CollJe01,rec_yds,0,,,,,
player,201411160crd,det,CollJe01,rec_td,0,,,,,
player,201411160crd,det,CollJe01,rec_long,0,,,,,
player,201411160crd,det,CollJe01,fumbles,0,,,,,
player,201411160crd,det,CollJe01,fumbles_lost,0,,,,,
player,201411160crd,det,RiddTh00,pass_cmp,0,,,,,
player,201411160crd,det,RiddTh00,pass_att,0,,,,,
player,201411160crd,det,RiddTh00,pass_yds,0,,,,,
player,201411160crd,det,RiddTh00,pass_td,0,,,,,
player,201411160crd,det,RiddTh00,pass_int,0,,,,,
player,201411160crd,det,RiddTh00,pass_sacked,0,,,,,
player,201411160crd,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201411160crd,det,RiddTh00,pass_long,0,,,,,
player,201411160crd,det,RiddTh00,pass_rating,,,,,,
player,201411160crd,det,RiddTh00,rush_att,2,,,,,
player,201411160crd,det,RiddTh00,rush_yds,2,,,,,
player,201411160crd,det,RiddTh00,rush_td,0,,,,,
player,201411160crd,det,RiddTh00,rush_long,2,,,,,
player,201411160crd,det,RiddTh00,targets,6,,,,,
player,201411160crd,det,RiddTh00,rec,3,,,,,
player,201411160crd,det,RiddTh00,rec_yds,24,,,,,
player,201411160crd,det,RiddTh00,rec_td,0,,,,,
player,201411160crd,det,RiddTh00,rec_long,16,,,,,
player,201411160crd,det,RiddTh00,fumbles,0,,,,,
player,201411160crd,det,RiddTh00,fumbles_lost,0,,,,,
player,201411160crd,det,JohnCa00,pass_cmp,0,,,,,
player,201411160crd,det,JohnCa00,pass_att,0,,,,,
player,201411160crd,det,JohnCa00,pass_yds,0,,,,,
player,201411160crd,det,JohnCa00,pass_td,0,,,,,
player,201411160crd,det,JohnCa00,pass_int,0,,,,,
player,201411160crd,det,JohnCa00,pass_sacked,0,,,,,
player,201411160crd,det,JohnCa00,pass_sacked_yds,0,,,,,
player,201411160crd,det,JohnCa00,pass_long,0,,,,,
player,201411160crd,det,JohnCa00,pass_rating,,,,,,
player,201411160crd,det,JohnCa00,rush_att,0,,,,,
player,201411160crd,det,JohnCa00,rush_yds,0,,,,,
player,201411160crd,det,JohnCa00,rush_td,0,,,,,
player,201411160crd,det,JohnCa00,rush_long,0,,,,,
player,201411160crd,det,JohnCa00,targets,12,,,,,
player,201411160crd,det,JohnCa00,rec,5,,,,,
player,201411160crd,det,JohnCa00,rec_yds,59,,,,,
player,201411160crd,det,JohnCa00,rec_td,0,,,,,
player,201411160crd,det,JohnCa00,rec_long,15,,,,,
player,201411160crd,det,JohnCa00,fumbles,0,,,,,
player,201411160crd,det,JohnCa00,fumbles_lost,0,,,,,
player,201411160crd,det,EbroEr00,pass_cmp,0,,,,,
player,201411160crd,det,EbroEr00,pass_att,0,,,,,
player,201411160crd,det,EbroEr00,pass_yds,0,,,,,
player,201411160crd,det,EbroEr00,pass_td,0,,,,,
player,201411160crd,det,EbroEr00,pass_int,0,,,,,
player,201411160crd,det,EbroEr00,pass_sacked,0,,,,,
player,201411160crd,det,EbroEr00,pass_sacked_yds,0,,,,,
player,201411160crd,det,EbroEr00,pass_long,0,,,,,
player,201411160crd,det,EbroEr00,pass_rating,,,,,,
player,201411160crd,det,EbroEr00,rush_att,0,,,,,
player,201411160crd,det,EbroEr00,rush_yds,0,,,,,
player,201411160crd,det,EbroEr00,rush_td,0,,,,,
player,201411160crd,det,EbroEr00,rush_long,0,,,,,
player,201411160crd,det,EbroEr00,targets,4,,,,,
player,201411160crd,det,EbroEr00,rec,4,,,,,
player,201411160crd,det,EbroEr00,rec_yds,22,,,,,
player,201411160crd,det,EbroEr00,rec_td,0,,,,,
player,201411160crd,det,EbroEr00,rec_long,8,,,,,
player,201411160crd,det,EbroEr00,fumbles,0,,,,,
player,201411160crd,det,EbroEr00,fumbles_lost,0,,,,,
player,201411160crd,det,RossJe01,pass_cmp,0,,,,,
player,201411160crd,det,RossJe01,pass_att,0,,,,,
player,201411160crd,det,RossJe01,pass_yds,0,,,,,
player,201411160crd,det,RossJe01,pass_td,0,,,,,
player,201411160crd,det,RossJe01,pass_int,0,,,,,
player,201411160crd,det,RossJe01,pass_sacked,0,,,,,
player,201411160crd,det,RossJe01,pass_sacked_yds,0,,,,,
player,201411160crd,det,RossJe01,pass_long,0,,,,,
player,201411160crd,det,RossJe01,pass_rating,,,,,,
player,201411160crd,det,RossJe01,rush_att,0,,,,,
player,201411160crd,det,RossJe01,rush_yds,0,,,,,
player,201411160crd,det,RossJe01,rush_td,0,,,,,
player,201411160crd,det,RossJe01,rush_long,0,,,,,
player,201411160crd,det,RossJe01,targets,1,,,,,
player,201411160crd,det,RossJe01,rec,1,,,,,
player,201411160crd,det,RossJe01,rec_yds,7,,,,,
player,201411160crd,det,RossJe01,rec_td,0,,,,,
player,201411160crd,det,RossJe01,rec_long,7,,,,,
player,201411160crd,det,RossJe01,fumbles,0,,,,,
player,201411160crd,det,RossJe01,fumbles_lost,0,,,,,
player,201411160crd,crd,StanDr00,pass_cmp,21,,,,,
player,201411160crd,crd,StanDr00,pass_att,32,,,,,
player,201411160crd,crd,StanDr00,pass_yds,306,,,,,
player,201411160crd,crd,StanDr00,pass_td,2,,,,,
player,201411160crd,crd,StanDr00,pass_int,2,,,,,
player,201411160crd,crd,StanDr00,pass_sacked,0,,,,,
player,201411160crd,crd,StanDr00,pass_sacked_yds,0,,,,,
player,201411160crd,crd,StanDr00,pass_long,49,,,,,
player,201411160crd,crd,StanDr00,pass_rating,91.4,,,,,
player,201411160crd,crd,StanDr00,rush_att,4,,,,,
player,201411160crd,crd,StanDr00,rush_yds,-4,,,,,
player,201411160crd,crd,StanDr00,rush_td,0,,,,,
player,201411160crd,crd,StanDr00,rush_long,-1,,,,,
player,201411160crd,crd,StanDr00,targets,0,,,,,
player,201411160crd,crd,StanDr00,rec,0,,,,,
player,201411160crd,crd,StanDr00,rec_yds,0,,,,,
player,201411160crd,crd,StanDr00,rec_td,0,,,,,
player,201411160crd,crd,StanDr00,rec_long,0,,,,,
player,201411160crd,crd,StanDr00,fumbles,0,,,,,
player,201411160crd,crd,StanDr00,fumbles_lost,0,,,,,
player,201411160crd,crd,ElliAn00,pass_cmp,0,,,,,
player,201411160crd,crd,ElliAn00,pass_att,0,,,,,
player,201411160crd,crd,ElliAn00,pass_yds,0,,,,,
player,201411160crd,crd,ElliAn00,pass_td,0,,,,,
player,201411160crd,crd,ElliAn00,pass_int,0,,,,,
player,201411160crd,crd,ElliAn00,pass_sacked,0,,,,,
player,201411160crd,crd,ElliAn00,pass_sacked_yds,0,,,,,
player,201411160crd,crd,ElliAn00,pass_long,0,,,,,
player,201411160crd,crd,ElliAn00,pass_rating,,,,,,
player,201411160crd,crd,ElliAn00,rush_att,19,,,,,
player,201411160crd,crd,ElliAn00,rush_yds,42,,,,,
player,201411160crd,crd,ElliAn00,rush_td,0,,,,,
player,201411160crd,crd,ElliAn00,rush_long,17,,,,,
player,201411160crd,crd,ElliAn00,targets,4,,,,,
player,201411160crd,crd,ElliAn00,rec,4,,,,,
player,201411160crd,crd,ElliAn00,rec_yds,24,,,,,
player,201411160crd,crd,ElliAn00,rec_td,0,,,,,
player,201411160crd,crd,ElliAn00,rec_long,24,,,,,
player,201411160crd,crd,ElliAn00,fumbles,0,,,,,
player,201411160crd,crd,ElliAn00,fumbles_lost,0,,,,,
