game,2014,15,20141211,201412110ram,crd,"Arizona Cardinals",12,ram,"St. Louis Rams",6
team,201412110ram,crd,First Downs,13,,,,,,
team,201412110ram,ram,First Downs,13,,,,,,
team,201412110ram,crd,Rush-Yds-TDs,33-143-0,,,,,,
team,201412110ram,ram,Rush-Yds-TDs,20-69-0,,,,,,
team,201412110ram,crd,Cmp-Att-Yd-TD-INT,16-30-139-0-0,,,,,,
team,201412110ram,ram,Cmp-Att-Yd-TD-INT,20-39-229-0-1,,,,,,
team,201412110ram,crd,Sacked-Yards,1-8,,,,,,
team,201412110ram,ram,Sacked-Yards,2-18,,,,,,
team,201412110ram,crd,Net Pass Yards,131,,,,,,
team,201412110ram,ram,Net Pass Yards,211,,,,,,
team,201412110ram,crd,Total Yards,274,,,,,,
team,201412110ram,ram,Total Yards,280,,,,,,
team,201412110ram,crd,Fumbles-Lost,1-0,,,,,,
team,201412110ram,ram,Fumbles-Lost,3-1,,,,,,
team,201412110ram,crd,Turnovers,0,,,,,,
team,201412110ram,ram,Turnovers,2,,,,,,
team,201412110ram,crd,Penalties-Yards,8-59,,,,,,
team,201412110ram,ram,Penalties-Yards,6-69,,,,,,
team,201412110ram,crd,Third Down Conv.,5-17,,,,,,
team,201412110ram,ram,Third Down Conv.,4-15,,,,,,
team,201412110ram,crd,Fourth Down Conv.,0-0,,,,,,
team,201412110ram,ram,Fourth Down Conv.,0-1,,,,,,
team,201412110ram,crd,Time of Possession,34:24,,,,,,
team,201412110ram,ram,Time of Possession,25:36,,,,,,
player,201412110ram,crd,StanDr00,pass_cmp,12,,,,,
player,201412110ram,crd,StanDr00,pass_att,20,,,,,
player,201412110ram,crd,StanDr00,pass_yds,109,,,,,
player,201412110ram,crd,StanDr00,pass_td,0,,,,,
player,201412110ram,crd,StanDr00,pass_int,0,,,,,
player,201412110ram,crd,StanDr00,pass_sacked,1,,,,,
player,201412110ram,crd,StanDr00,pass_sacked_yds,8,,,,,
player,201412110ram,crd,StanDr00,pass_long,49,,,,,
player,201412110ram,crd,StanDr00,pass_rating,74.8,,,,,
player,201412110ram,crd,StanDr00,rush_att,2,,,,,
player,201412110ram,crd,StanDr00,rush_yds,3,,,,,
player,201412110ram,crd,StanDr00,rush_td,0,,,,,
player,201412110ram,crd,StanDr00,rush_long,4,,,,,
player,201412110ram,crd,StanDr00,targets,0,,,,,
player,201412110ram,crd,StanDr00,rec,0,,,,,
player,201412110ram,crd,StanDr00,rec_yds,0,,,,,
player,201412110ram,crd,StanDr00,rec_td,0,,,,,
player,201412110ram,crd,StanDr00,rec_long,0,,,,,
player,201412110ram,crd,StanDr00,fumbles,0,,,,,
player,201412110ram,crd,StanDr00,fumbles_lost,0,,,,,
player,201412110ram,crd,LindRy00,pass_cmp,4,,,,,
player,201412110ram,crd,LindRy00,pass_att,10,,,,,
player,201412110ram,crd,LindRy00,pass_yds,30,,,,,
player,201412110ram,crd,LindRy00,pass_td,0,,,,,
player,201412110ram,crd,LindRy00,pass_int,0,,,,,
player,201412110ram,crd,LindRy00,pass_sacked,0,,,,,
player,201412110ram,crd,LindRy00,pass_sacked_yds,0,,,,,
player,201412110ram,crd,LindRy00,pass_long,14,,,,,
player,201412110ram,crd,LindRy00,pass_rating,47.9,,,,,
player,201412110ram,crd,LindRy00,rush_att,0,,,,,
player,201412110ram,crd,LindRy00,rush_yds,0,,,,,
player,201412110ram,crd,LindRy00,rush_td,0,,,,,
player,201412110ram,crd,LindRy00,rush_long,0,,,,,
player,201412110ram,crd,LindRy00,targets,0,,,,,
player,201412110ram,crd,LindRy00,rec,0,,,,,
player,201412110ram,crd,LindRy00,rec_yds,0,,,,,
player,201412110ram,crd,LindRy00,rec_td,0,,,,,
player,201412110ram,crd,LindRy00,rec_long,0,,,,,
player,201412110ram,crd,LindRy00,fumbles,0,,,,,
player,201412110ram,crd,LindRy00,fumbles_lost,0,,,,,
player,201412110ram,crd,WillKe05,pass_cmp,0,,,,,
player,201412110ram,crd,WillKe05,pass_att,0,,,,,
player,201412110ram,crd,WillKe05,pass_yds,0,,,,,
player,201412110ram,crd,WillKe05,pass_td,0,,,,,
player,201412110ram,crd,WillKe05,pass_int,0,,,,,
player,201412110ram,crd,WillKe05,pass_sacked,0,,,,,
player,201412110ram,crd,WillKe05,pass_sacked_yds,0,,,,,
player,201412110ram,crd,WillKe05,pass_long,0,,,,,
player,201412110ram,crd,WillKe05,pass_rating,,,,,,
player,201412110ram,crd,WillKe05,rush_att,15,,,,,
player,201412110ram,crd,WillKe05,rush_yds,75,,,,,
player,201412110ram,crd,WillKe05,rush_td,0,,,,,
player,201412110ram,crd,WillKe05,rush_long,19,,,,,
player,201412110ram,crd,WillKe05,targets,5,,,,,
player,201412110ram,crd,WillKe05,rec,2,,,,,
player,201412110ram,crd,WillKe05,rec_yds,11,,,,,
player,201412110ram,crd,WillKe05,rec_td,0,,,,,
player,201412110ram,crd,WillKe05,rec_long,6,,,,,
player,201412110ram,crd,WillKe05,fumbles,1,,,,,
player,201412110ram,crd,WillKe05,fumbles_lost,0,,,,,
player,201412110ram,crd,TaylSt00,pass_cmp,0,,,,,
player,201412110ram,crd,TaylSt00,pass_att,0,,,,,
player,201412110ram,crd,TaylSt00,pass_yds,0,,,,,
player,201412110ram,crd,TaylSt00,pass_td,0,,,,,
player,201412110ram,crd,TaylSt00,pass_int,0,,,,,
player,201412110ram,crd,TaylSt00,pass_sacked,0,,,,,
player,201412110ram,crd,TaylSt00,pass_sacked_yds,0,,,,,
player,201412110ram,crd,TaylSt00,pass_long,0,,,,,
player,201412110ram,crd,TaylSt00,pass_rating,,,,,,
player,201412110ram,crd,TaylSt00,rush_att,14,,,,,
player,201412110ram,crd,TaylSt00,rush_yds,61,,,,,
player,201412110ram,crd,TaylSt00,rush_td,0,,,,,
player,201412110ram,crd,TaylSt00,rush_long,21,,,,,
player,201412110ram,crd,TaylSt00,targets,0,,,,,
player,201412110ram,crd,TaylSt00,rec,0,,,,,
player,201412110ram,crd,TaylSt00,rec_yds,0,,,,,
player,201412110ram,crd,TaylSt00,rec_td,0,,,,,
player,201412110ram,crd,TaylSt00,rec_long,0,,,,,
player,201412110ram,crd,TaylSt00,fumbles,0,,,,,
player,201412110ram,crd,TaylSt00,fumbles_lost,0,,,,,
player,201412110ram,crd,GinnTe00,pass_cmp,0,,,,,
player,201412110ram,crd,GinnTe00,pass_att,0,,,,,
player,201412110ram,crd,GinnTe00,pass_yds,0,,,,,
player,201412110ram,crd,GinnTe00,pass_td,0,,,,,
player,201412110ram,crd,GinnTe00,pass_int,0,,,,,
player,201412110ram,crd,GinnTe00,pass_sacked,0,,,,,
player,201412110ram,crd,GinnTe00,pass_sacked_yds,0,,,,,
player,201412110ram,crd,GinnTe00,pass_long,0,,,,,
player,201412110ram,crd,GinnTe00,pass_rating,,,,,,
player,201412110ram,crd,GinnTe00,rush_att,1,,,,,
player,201412110ram,crd,GinnTe00,rush_yds,3,,,,,
player,201412110ram,crd,GinnTe00,rush_td,0,,,,,
player,201412110ram,crd,GinnTe00,rush_long,3,,,,,
player,201412110ram,crd,GinnTe00,targets,1,,,,,
player,201412110ram,crd,GinnTe00,rec,1,,,,,
player,201412110ram,crd,GinnTe00,rec_yds,4,,,,,
player,201412110ram,crd,GinnTe00,rec_td,0,,,,,
player,201412110ram,crd,GinnTe00,rec_long,4,,,,,
player,201412110ram,crd,GinnTe00,fumbles,0,,,,,
player,201412110ram,crd,GinnTe00,fumbles_lost,0,,,,,
player,201412110ram,crd,HousRo01,pass_cmp,0,,,,,
player,201412110ram,crd,HousRo01,pass_att,0,,,,,
player,201412110ram,crd,HousRo01,pass_yds,0,,,,,
player,201412110ram,crd,HousRo01,pass_td,0,,,,,
player,201412110ram,crd,HousRo01,pass_int,0,,,,,
player,201412110ram,crd,HousRo01,pass_sacked,0,,,,,
player,201412110ram,crd,HousRo01,pass_sacked_yds,0,,,,,
player,201412110ram,crd,HousRo01,pass_long,0,,,,,
player,201412110ram,crd,HousRo01,pass_rating,,,,,,
player,201412110ram,crd,HousRo01,rush_att,1,,,,,
player,201412110ram,crd,HousRo01,rush_yds,1,,,,,
player,201412110ram,crd,HousRo01,rush_td,0,,,,,
player,201412110ram,crd,HousRo01,rush_long,1,,,,,
player,201412110ram,crd,HousRo01,targets,0,,,,,
player,201412110ram,crd,HousRo01,rec,0,,,,,
player,201412110ram,crd,HousRo01,rec_yds,0,,,,,
player,201412110ram,crd,HousRo01,rec_td,0,,,,,
player,201412110ram,crd,HousRo01,rec_long,0,,,,,
player,201412110ram,crd,HousRo01,fumbles,0,,,,,
player,201412110ram,crd,HousRo01,fumbles_lost,0,,,,,
player,201412110ram,crd,FloyMi00,pass_cmp,0,,,,,
player,201412110ram,crd,FloyMi00,pass_att,0,,,,,
player,201412110ram,crd,FloyMi00,pass_yds,0,,,,,
player,201412110ram,crd,FloyMi00,pass_td,0,,,,,
player,201412110ram,crd,FloyMi00,pass_int,0,,,,,
player,201412110ram,crd,FloyMi00,pass_sacked,0,,,,,
player,201412110ram,crd,FloyMi00,pass_sacked_yds,0,,,,,
player,201412110ram,crd,FloyMi00,pass_long,0,,,,,
player,201412110ram,crd,FloyMi00,pass_rating,,,,,,
player,201412110ram,crd,FloyMi00,rush_att,0,,,,,
player,201412110ram,crd,FloyMi00,rush_yds,0,,,,,
player,201412110ram,crd,FloyMi00,rush_td,0,,,,,
player,201412110ram,crd,FloyMi00,rush_long,0,,,,,
player,201412110ram,crd,FloyMi00,targets,3,,,,,
player,201412110ram,crd,FloyMi00,rec,2,,,,,
player,201412110ram,crd,FloyMi00,rec_yds,55,,,,,
player,201412110ram,crd,FloyMi00,rec_td,0,,,,,
player,201412110ram,crd,FloyMi00,rec_long,49,,,,,
player,201412110ram,crd,FloyMi00,fumbles,0,,,,,
player,201412110ram,crd,FloyMi00,fumbles_lost,0,,,,,
player,201412110ram,crd,FitzLa00,pass_cmp,0,,,,,
player,201412110ram,crd,FitzLa00,pass_att,0,,,,,
player,201412110ram,crd,FitzLa00,pass_yds,0,,,,,
player,201412110ram,crd,FitzLa00,pass_td,0,,,,,
player,201412110ram,crd,FitzLa00,pass_int,0,,,,,
player,201412110ram,crd,FitzLa00,pass_sacked,0,,,,,
player,201412110ram,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201412110ram,crd,FitzLa00,pass_long,0,,,,,
player,201412110ram,crd,FitzLa00,pass_rating,,,,,,
player,201412110ram,crd,FitzLa00,rush_att,0,,,,,
player,201412110ram,crd,FitzLa00,rush_yds,0,,,,,
player,201412110ram,crd,FitzLa00,rush_td,0,,,,,
player,201412110ram,crd,FitzLa00,rush_long,0,,,,,
player,201412110ram,crd,FitzLa00,targets,10,,,,,
player,201412110ram,crd,FitzLa00,rec,7,,,,,
player,201412110ram,crd,FitzLa00,rec_yds,30,,,,,
player,201412110ram,crd,FitzLa00,rec_td,0,,,,,
player,201412110ram,crd,FitzLa00,rec_long,16,,,,,
player,201412110ram,crd,FitzLa00,fumbles,0,,,,,
player,201412110ram,crd,FitzLa00,fumbles_lost,0,,,,,
player,201412110ram,crd,BrowJo02,pass_cmp,0,,,,,
player,201412110ram,crd,BrowJo02,pass_att,0,,,,,
player,201412110ram,crd,BrowJo02,pass_yds,0,,,,,
player,201412110ram,crd,BrowJo02,pass_td,0,,,,,
player,201412110ram,crd,BrowJo02,pass_int,0,,,,,
player,201412110ram,crd,BrowJo02,pass_sacked,0,,,,,
player,201412110ram,crd,BrowJo02,pass_sacked_yds,0,,,,,
player,201412110ram,crd,BrowJo02,pass_long,0,,,,,
player,201412110ram,crd,BrowJo02,pass_rating,,,,,,
player,201412110ram,crd,BrowJo02,rush_att,0,,,,,
player,201412110ram,crd,BrowJo02,rush_yds,0,,,,,
player,201412110ram,crd,BrowJo02,rush_td,0,,,,,
