game,2014,7,20141019,201410190den,sfo,"San Francisco 49ers",17,den,"Denver Broncos",42
player,201410190den,sfo,CarrDe00,rush_yds,2,,,,,
player,201410190den,sfo,CarrDe00,rush_td,0,,,,,
player,201410190den,sfo,CarrDe00,rush_long,2,,,,,
player,201410190den,sfo,CarrDe00,targets,3,,,,,
player,201410190den,sfo,CarrDe00,rec,1,,,,,
player,201410190den,sfo,CarrDe00,rec_yds,9,,,,,
player,201410190den,sfo,CarrDe00,rec_td,0,,,,,
player,201410190den,sfo,CarrDe00,rec_long,9,,,,,
player,201410190den,sfo,CarrDe00,fumbles,0,,,,,
player,201410190den,sfo,CarrDe00,fumbles_lost,0,,,,,
player,201410190den,sfo,MillBr02,pass_cmp,0,,,,,
player,201410190den,sfo,MillBr02,pass_att,0,,,,,
player,201410190den,sfo,MillBr02,pass_yds,0,,,,,
player,201410190den,sfo,MillBr02,pass_td,0,,,,,
player,201410190den,sfo,MillBr02,pass_int,0,,,,,
player,201410190den,sfo,MillBr02,pass_sacked,0,,,,,
player,201410190den,sfo,MillBr02,pass_sacked_yds,0,,,,,
player,201410190den,sfo,MillBr02,pass_long,0,,,,,
player,201410190den,sfo,MillBr02,pass_rating,,,,,,
player,201410190den,sfo,MillBr02,rush_att,1,,,,,
player,201410190den,sfo,MillBr02,rush_yds,2,,,,,
player,201410190den,sfo,MillBr02,rush_td,0,,,,,
player,201410190den,sfo,MillBr02,rush_long,2,,,,,
player,201410190den,sfo,MillBr02,targets,0,,,,,
player,201410190den,sfo,MillBr02,rec,0,,,,,
player,201410190den,sfo,MillBr02,rec_yds,0,,,,,
player,201410190den,sfo,MillBr02,rec_td,0,,,,,
player,201410190den,sfo,MillBr02,rec_long,0,,,,,
player,201410190den,sfo,MillBr02,fumbles,0,,,,,
player,201410190den,sfo,MillBr02,fumbles_lost,0,,,,,
player,201410190den,sfo,JohnSt00,pass_cmp,0,,,,,
player,201410190den,sfo,JohnSt00,pass_att,0,,,,,
player,201410190den,sfo,JohnSt00,pass_yds,0,,,,,
player,201410190den,sfo,JohnSt00,pass_td,0,,,,,
player,201410190den,sfo,JohnSt00,pass_int,0,,,,,
player,201410190den,sfo,JohnSt00,pass_sacked,0,,,,,
player,201410190den,sfo,JohnSt00,pass_sacked_yds,0,,,,,
player,201410190den,sfo,JohnSt00,pass_long,0,,,,,
player,201410190den,sfo,JohnSt00,pass_rating,,,,,,
player,201410190den,sfo,JohnSt00,rush_att,0,,,,,
player,201410190den,sfo,JohnSt00,rush_yds,0,,,,,
player,201410190den,sfo,JohnSt00,rush_td,0,,,,,
player,201410190den,sfo,JohnSt00,rush_long,0,,,,,
player,201410190den,sfo,JohnSt00,targets,7,,,,,
player,201410190den,sfo,JohnSt00,rec,5,,,,,
player,201410190den,sfo,JohnSt00,rec_yds,79,,,,,
player,201410190den,sfo,JohnSt00,rec_td,1,,,,,
player,201410190den,sfo,JohnSt00,rec_long,31,,,,,
player,201410190den,sfo,JohnSt00,fumbles,0,,,,,
player,201410190den,sfo,JohnSt00,fumbles_lost,0,,,,,
player,201410190den,sfo,LloyBr00,pass_cmp,0,,,,,
player,201410190den,sfo,LloyBr00,pass_att,0,,,,,
player,201410190den,sfo,LloyBr00,pass_yds,0,,,,,
player,201410190den,sfo,LloyBr00,pass_td,0,,,,,
player,201410190den,sfo,LloyBr00,pass_int,0,,,,,
player,201410190den,sfo,LloyBr00,pass_sacked,0,,,,,
player,201410190den,sfo,LloyBr00,pass_sacked_yds,0,,,,,
player,201410190den,sfo,LloyBr00,pass_long,0,,,,,
player,201410190den,sfo,LloyBr00,pass_rating,,,,,,
player,201410190den,sfo,LloyBr00,rush_att,0,,,,,
player,201410190den,sfo,LloyBr00,rush_yds,0,,,,,
player,201410190den,sfo,LloyBr00,rush_td,0,,,,,
player,201410190den,sfo,LloyBr00,rush_long,0,,,,,
player,201410190den,sfo,LloyBr00,targets,6,,,,,
player,201410190den,sfo,LloyBr00,rec,3,,,,,
player,201410190den,sfo,LloyBr00,rec_yds,63,,,,,
player,201410190den,sfo,LloyBr00,rec_td,0,,,,,
player,201410190den,sfo,LloyBr00,rec_long,37,,,,,
player,201410190den,sfo,LloyBr00,fumbles,0,,,,,
player,201410190den,sfo,LloyBr00,fumbles_lost,0,,,,,
player,201410190den,sfo,BoldAn00,pass_cmp,0,,,,,
player,201410190den,sfo,BoldAn00,pass_att,0,,,,,
player,201410190den,sfo,BoldAn00,pass_yds,0,,,,,
