game,2014,15,20141214,201412140sdg,den,"Denver Broncos",22,sdg,"San Diego Chargers",10
team,201412140sdg,den,First Downs,18,,,,,,
team,201412140sdg,sdg,First Downs,20,,,,,,
team,201412140sdg,den,Rush-Yds-TDs,38-111-0,,,,,,
team,201412140sdg,sdg,Rush-Yds-TDs,20-56-0,,,,,,
team,201412140sdg,den,Cmp-Att-Yd-TD-INT,14-22-233-1-0,,,,,,
team,201412140sdg,sdg,Cmp-Att-Yd-TD-INT,24-41-232-1-2,,,,,,
team,201412140sdg,den,Sacked-Yards,1-7,,,,,,
team,201412140sdg,sdg,Sacked-Yards,0-0,,,,,,
team,201412140sdg,den,Net Pass Yards,226,,,,,,
team,201412140sdg,sdg,Net Pass Yards,232,,,,,,
team,201412140sdg,den,Total Yards,337,,,,,,
team,201412140sdg,sdg,Total Yards,288,,,,,,
team,201412140sdg,den,Fumbles-Lost,1-0,,,,,,
team,201412140sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201412140sdg,den,Turnovers,0,,,,,,
team,201412140sdg,sdg,Turnovers,2,,,,,,
team,201412140sdg,den,Penalties-Yards,7-71,,,,,,
team,201412140sdg,sdg,Penalties-Yards,8-65,,,,,,
team,201412140sdg,den,Third Down Conv.,3-12,,,,,,
team,201412140sdg,sdg,Third Down Conv.,6-13,,,,,,
team,201412140sdg,den,Fourth Down Conv.,0-0,,,,,,
team,201412140sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201412140sdg,den,Time of Possession,32:44,,,,,,
team,201412140sdg,sdg,Time of Possession,27:16,,,,,,
player,201412140sdg,den,MannPe00,pass_cmp,14,,,,,
player,201412140sdg,den,MannPe00,pass_att,20,,,,,
player,201412140sdg,den,MannPe00,pass_yds,233,,,,,
player,201412140sdg,den,MannPe00,pass_td,1,,,,,
player,201412140sdg,den,MannPe00,pass_int,0,,,,,
player,201412140sdg,den,MannPe00,pass_sacked,1,,,,,
player,201412140sdg,den,MannPe00,pass_sacked_yds,7,,,,,
player,201412140sdg,den,MannPe00,pass_long,36,,,,,
player,201412140sdg,den,MannPe00,pass_rating,125.6,,,,,
player,201412140sdg,den,MannPe00,rush_att,3,,,,,
player,201412140sdg,den,MannPe00,rush_yds,-3,,,,,
player,201412140sdg,den,MannPe00,rush_td,0,,,,,
player,201412140sdg,den,MannPe00,rush_long,-1,,,,,
player,201412140sdg,den,MannPe00,targets,0,,,,,
player,201412140sdg,den,MannPe00,rec,0,,,,,
player,201412140sdg,den,MannPe00,rec_yds,0,,,,,
player,201412140sdg,den,MannPe00,rec_td,0,,,,,
player,201412140sdg,den,MannPe00,rec_long,0,,,,,
player,201412140sdg,den,MannPe00,fumbles,1,,,,,
player,201412140sdg,den,MannPe00,fumbles_lost,0,,,,,
player,201412140sdg,den,OsweBr00,pass_cmp,0,,,,,
player,201412140sdg,den,OsweBr00,pass_att,2,,,,,
player,201412140sdg,den,OsweBr00,pass_yds,0,,,,,
player,201412140sdg,den,OsweBr00,pass_td,0,,,,,
player,201412140sdg,den,OsweBr00,pass_int,0,,,,,
player,201412140sdg,den,OsweBr00,pass_sacked,0,,,,,
player,201412140sdg,den,OsweBr00,pass_sacked_yds,0,,,,,
player,201412140sdg,den,OsweBr00,pass_long,0,,,,,
player,201412140sdg,den,OsweBr00,pass_rating,39.6,,,,,
player,201412140sdg,den,OsweBr00,rush_att,1,,,,,
player,201412140sdg,den,OsweBr00,rush_yds,-1,,,,,
player,201412140sdg,den,OsweBr00,rush_td,0,,,,,
player,201412140sdg,den,OsweBr00,rush_long,-1,,,,,
player,201412140sdg,den,OsweBr00,targets,0,,,,,
player,201412140sdg,den,OsweBr00,rec,0,,,,,
player,201412140sdg,den,OsweBr00,rec_yds,0,,,,,
player,201412140sdg,den,OsweBr00,rec_td,0,,,,,
player,201412140sdg,den,OsweBr00,rec_long,0,,,,,
player,201412140sdg,den,OsweBr00,fumbles,0,,,,,
player,201412140sdg,den,OsweBr00,fumbles_lost,0,,,,,
player,201412140sdg,den,AndeC.00,pass_cmp,0,,,,,
player,201412140sdg,den,AndeC.00,pass_att,0,,,,,
player,201412140sdg,den,AndeC.00,pass_yds,0,,,,,
player,201412140sdg,den,AndeC.00,pass_td,0,,,,,
player,201412140sdg,den,AndeC.00,pass_int,0,,,,,
player,201412140sdg,den,AndeC.00,pass_sacked,0,,,,,
player,201412140sdg,den,AndeC.00,pass_sacked_yds,0,,,,,
player,201412140sdg,den,AndeC.00,pass_long,0,,,,,
player,201412140sdg,den,AndeC.00,pass_rating,,,,,,
player,201412140sdg,den,AndeC.00,rush_att,29,,,,,
player,201412140sdg,den,AndeC.00,rush_yds,85,,,,,
player,201412140sdg,den,AndeC.00,rush_td,0,,,,,
player,201412140sdg,den,AndeC.00,rush_long,9,,,,,
player,201412140sdg,den,AndeC.00,targets,2,,,,,
