game,2014,16,20141221,201412210ram,nyg,"New York Giants",37,ram,"St. Louis Rams",27
team,201412210ram,nyg,First Downs,19,,,,,,
team,201412210ram,ram,First Downs,23,,,,,,
team,201412210ram,nyg,Rush-Yds-TDs,34-128-1,,,,,,
team,201412210ram,ram,Rush-Yds-TDs,20-106-1,,,,,,
team,201412210ram,nyg,Cmp-Att-Yd-TD-INT,25-32-391-3-0,,,,,,
team,201412210ram,ram,Cmp-Att-Yd-TD-INT,24-32-290-2-1,,,,,,
team,201412210ram,nyg,Sacked-Yards,1-5,,,,,,
team,201412210ram,ram,Sacked-Yards,2-9,,,,,,
team,201412210ram,nyg,Net Pass Yards,386,,,,,,
team,201412210ram,ram,Net Pass Yards,281,,,,,,
team,201412210ram,nyg,Total Yards,514,,,,,,
team,201412210ram,ram,Total Yards,387,,,,,,
team,201412210ram,nyg,Fumbles-Lost,0-0,,,,,,
team,201412210ram,ram,Fumbles-Lost,2-2,,,,,,
team,201412210ram,nyg,Turnovers,0,,,,,,
team,201412210ram,ram,Turnovers,3,,,,,,
team,201412210ram,nyg,Penalties-Yards,12-149,,,,,,
team,201412210ram,ram,Penalties-Yards,9-76,,,,,,
team,201412210ram,nyg,Third Down Conv.,8-17,,,,,,
team,201412210ram,ram,Third Down Conv.,1-6,,,,,,
team,201412210ram,nyg,Fourth Down Conv.,0-0,,,,,,
team,201412210ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201412210ram,nyg,Time of Possession,34:47,,,,,,
team,201412210ram,ram,Time of Possession,25:13,,,,,,
player,201412210ram,nyg,MannEl00,pass_cmp,25,,,,,
player,201412210ram,nyg,MannEl00,pass_att,32,,,,,
player,201412210ram,nyg,MannEl00,pass_yds,391,,,,,
player,201412210ram,nyg,MannEl00,pass_td,3,,,,,
player,201412210ram,nyg,MannEl00,pass_int,0,,,,,
player,201412210ram,nyg,MannEl00,pass_sacked,1,,,,,
player,201412210ram,nyg,MannEl00,pass_sacked_yds,5,,,,,
player,201412210ram,nyg,MannEl00,pass_long,80,,,,,
player,201412210ram,nyg,MannEl00,pass_rating,148.8,,,,,
player,201412210ram,nyg,MannEl00,rush_att,3,,,,,
player,201412210ram,nyg,MannEl00,rush_yds,-3,,,,,
player,201412210ram,nyg,MannEl00,rush_td,0,,,,,
player,201412210ram,nyg,MannEl00,rush_long,-1,,,,,
player,201412210ram,nyg,MannEl00,targets,0,,,,,
player,201412210ram,nyg,MannEl00,rec,0,,,,,
player,201412210ram,nyg,MannEl00,rec_yds,0,,,,,
player,201412210ram,nyg,MannEl00,rec_td,0,,,,,
player,201412210ram,nyg,MannEl00,rec_long,0,,,,,
player,201412210ram,nyg,MannEl00,fumbles,0,,,,,
player,201412210ram,nyg,MannEl00,fumbles_lost,0,,,,,
player,201412210ram,nyg,WillAn00,pass_cmp,0,,,,,
player,201412210ram,nyg,WillAn00,pass_att,0,,,,,
player,201412210ram,nyg,WillAn00,pass_yds,0,,,,,
player,201412210ram,nyg,WillAn00,pass_td,0,,,,,
player,201412210ram,nyg,WillAn00,pass_int,0,,,,,
player,201412210ram,nyg,WillAn00,pass_sacked,0,,,,,
player,201412210ram,nyg,WillAn00,pass_sacked_yds,0,,,,,
player,201412210ram,nyg,WillAn00,pass_long,0,,,,,
player,201412210ram,nyg,WillAn00,pass_rating,,,,,,
player,201412210ram,nyg,WillAn00,rush_att,26,,,,,
player,201412210ram,nyg,WillAn00,rush_yds,110,,,,,
player,201412210ram,nyg,WillAn00,rush_td,0,,,,,
player,201412210ram,nyg,WillAn00,rush_long,45,,,,,
player,201412210ram,nyg,WillAn00,targets,1,,,,,
player,201412210ram,nyg,WillAn00,rec,0,,,,,
player,201412210ram,nyg,WillAn00,rec_yds,0,,,,,
player,201412210ram,nyg,WillAn00,rec_td,0,,,,,
player,201412210ram,nyg,WillAn00,rec_long,0,,,,,
player,201412210ram,nyg,WillAn00,fumbles,0,,,,,
player,201412210ram,nyg,WillAn00,fumbles_lost,0,,,,,
player,201412210ram,nyg,DarkOr00,pass_cmp,0,,,,,
player,201412210ram,nyg,DarkOr00,pass_att,0,,,,,
player,201412210ram,nyg,DarkOr00,pass_yds,0,,,,,
player,201412210ram,nyg,DarkOr00,pass_td,0,,,,,
player,201412210ram,nyg,DarkOr00,pass_int,0,,,,,
player,201412210ram,nyg,DarkOr00,pass_sacked,0,,,,,
player,201412210ram,nyg,DarkOr00,pass_sacked_yds,0,,,,,
player,201412210ram,nyg,DarkOr00,pass_long,0,,,,,
player,201412210ram,nyg,DarkOr00,pass_rating,,,,,,
player,201412210ram,nyg,DarkOr00,rush_att,4,,,,,
player,201412210ram,nyg,DarkOr00,rush_yds,21,,,,,
player,201412210ram,nyg,DarkOr00,rush_td,1,,,,,
player,201412210ram,nyg,DarkOr00,rush_long,12,,,,,
player,201412210ram,nyg,DarkOr00,targets,2,,,,,
player,201412210ram,nyg,DarkOr00,rec,2,,,,,
player,201412210ram,nyg,DarkOr00,rec_yds,17,,,,,
player,201412210ram,nyg,DarkOr00,rec_td,0,,,,,
player,201412210ram,nyg,DarkOr00,rec_long,9,,,,,
player,201412210ram,nyg,DarkOr00,fumbles,0,,,,,
player,201412210ram,nyg,DarkOr00,fumbles_lost,0,,,,,
player,201412210ram,nyg,BeckOd00,pass_cmp,0,,,,,
player,201412210ram,nyg,BeckOd00,pass_att,0,,,,,
player,201412210ram,nyg,BeckOd00,pass_yds,0,,,,,
player,201412210ram,nyg,BeckOd00,pass_td,0,,,,,
player,201412210ram,nyg,BeckOd00,pass_int,0,,,,,
player,201412210ram,nyg,BeckOd00,pass_sacked,0,,,,,
player,201412210ram,nyg,BeckOd00,pass_sacked_yds,0,,,,,
player,201412210ram,nyg,BeckOd00,pass_long,0,,,,,
player,201412210ram,nyg,BeckOd00,pass_rating,,,,,,
player,201412210ram,nyg,BeckOd00,rush_att,1,,,,,
player,201412210ram,nyg,BeckOd00,rush_yds,0,,,,,
player,201412210ram,nyg,BeckOd00,rush_td,0,,,,,
player,201412210ram,nyg,BeckOd00,rush_long,0,,,,,
player,201412210ram,nyg,BeckOd00,targets,12,,,,,
player,201412210ram,nyg,BeckOd00,rec,8,,,,,
player,201412210ram,nyg,BeckOd00,rec_yds,148,,,,,
player,201412210ram,nyg,BeckOd00,rec_td,2,,,,,
player,201412210ram,nyg,BeckOd00,rec_long,80,,,,,
player,201412210ram,nyg,BeckOd00,fumbles,0,,,,,
player,201412210ram,nyg,BeckOd00,fumbles_lost,0,,,,,
player,201412210ram,nyg,RandRu00,pass_cmp,0,,,,,
player,201412210ram,nyg,RandRu00,pass_att,0,,,,,
player,201412210ram,nyg,RandRu00,pass_yds,0,,,,,
player,201412210ram,nyg,RandRu00,pass_td,0,,,,,
player,201412210ram,nyg,RandRu00,pass_int,0,,,,,
player,201412210ram,nyg,RandRu00,pass_sacked,0,,,,,
player,201412210ram,nyg,RandRu00,pass_sacked_yds,0,,,,,
player,201412210ram,nyg,RandRu00,pass_long,0,,,,,
player,201412210ram,nyg,RandRu00,pass_rating,,,,,,
player,201412210ram,nyg,RandRu00,rush_att,0,,,,,
player,201412210ram,nyg,RandRu00,rush_yds,0,,,,,
player,201412210ram,nyg,RandRu00,rush_td,0,,,,,
player,201412210ram,nyg,RandRu00,rush_long,0,,,,,
player,201412210ram,nyg,RandRu00,targets,6,,,,,
player,201412210ram,nyg,RandRu00,rec,6,,,,,
player,201412210ram,nyg,RandRu00,rec_yds,132,,,,,
player,201412210ram,nyg,RandRu00,rec_td,1,,,,,
player,201412210ram,nyg,RandRu00,rec_long,49,,,,,
player,201412210ram,nyg,RandRu00,fumbles,0,,,,,
player,201412210ram,nyg,RandRu00,fumbles_lost,0,,,,,
player,201412210ram,nyg,DonnLa00,pass_cmp,0,,,,,
player,201412210ram,nyg,DonnLa00,pass_att,0,,,,,
player,201412210ram,nyg,DonnLa00,pass_yds,0,,,,,
player,201412210ram,nyg,DonnLa00,pass_td,0,,,,,
player,201412210ram,nyg,DonnLa00,pass_int,0,,,,,
player,201412210ram,nyg,DonnLa00,pass_sacked,0,,,,,
player,201412210ram,nyg,DonnLa00,pass_sacked_yds,0,,,,,
player,201412210ram,nyg,DonnLa00,pass_long,0,,,,,
player,201412210ram,nyg,DonnLa00,pass_rating,,,,,,
player,201412210ram,nyg,DonnLa00,rush_att,0,,,,,
player,201412210ram,nyg,DonnLa00,rush_yds,0,,,,,
player,201412210ram,nyg,DonnLa00,rush_td,0,,,,,
player,201412210ram,nyg,DonnLa00,rush_long,0,,,,,
player,201412210ram,nyg,DonnLa00,targets,5,,,,,
player,201412210ram,nyg,DonnLa00,rec,4,,,,,
player,201412210ram,nyg,DonnLa00,rec_yds,42,,,,,
player,201412210ram,nyg,DonnLa00,rec_td,0,,,,,
player,201412210ram,nyg,DonnLa00,rec_long,23,,,,,
player,201412210ram,nyg,DonnLa00,fumbles,0,,,,,
player,201412210ram,nyg,DonnLa00,fumbles_lost,0,,,,,
player,201412210ram,nyg,ParkPr00,pass_cmp,0,,,,,
player,201412210ram,nyg,ParkPr00,pass_att,0,,,,,
player,201412210ram,nyg,ParkPr00,pass_yds,0,,,,,
player,201412210ram,nyg,ParkPr00,pass_td,0,,,,,
player,201412210ram,nyg,ParkPr00,pass_int,0,,,,,
player,201412210ram,nyg,ParkPr00,pass_sacked,0,,,,,
player,201412210ram,nyg,ParkPr00,pass_sacked_yds,0,,,,,
player,201412210ram,nyg,ParkPr00,pass_long,0,,,,,
player,201412210ram,nyg,ParkPr00,pass_rating,,,,,,
player,201412210ram,nyg,ParkPr00,rush_att,0,,,,,
player,201412210ram,nyg,ParkPr00,rush_yds,0,,,,,
player,201412210ram,nyg,ParkPr00,rush_td,0,,,,,
player,201412210ram,nyg,ParkPr00,rush_long,0,,,,,
player,201412210ram,nyg,ParkPr00,targets,3,,,,,
player,201412210ram,nyg,ParkPr00,rec,3,,,,,
player,201412210ram,nyg,ParkPr00,rec_yds,32,,,,,
player,201412210ram,nyg,ParkPr00,rec_td,0,,,,,
player,201412210ram,nyg,ParkPr00,rec_long,15,,,,,
player,201412210ram,nyg,ParkPr00,fumbles,0,,,,,
player,201412210ram,nyg,ParkPr00,fumbles_lost,0,,,,,
player,201412210ram,nyg,FellDa00,pass_cmp,0,,,,,
player,201412210ram,nyg,FellDa00,pass_att,0,,,,,
player,201412210ram,nyg,FellDa00,pass_yds,0,,,,,
player,201412210ram,nyg,FellDa00,pass_td,0,,,,,
player,201412210ram,nyg,FellDa00,pass_int,0,,,,,
player,201412210ram,nyg,FellDa00,pass_sacked,0,,,,,
player,201412210ram,nyg,FellDa00,pass_sacked_yds,0,,,,,
player,201412210ram,nyg,FellDa00,pass_long,0,,,,,
player,201412210ram,nyg,FellDa00,pass_rating,,,,,,
player,201412210ram,nyg,FellDa00,rush_att,0,,,,,
player,201412210ram,nyg,FellDa00,rush_yds,0,,,,,
player,201412210ram,nyg,FellDa00,rush_td,0,,,,,
player,201412210ram,nyg,FellDa00,rush_long,0,,,,,
player,201412210ram,nyg,FellDa00,targets,3,,,,,
player,201412210ram,nyg,FellDa00,rec,2,,,,,
player,201412210ram,nyg,FellDa00,rec_yds,20,,,,,
player,201412210ram,nyg,FellDa00,rec_td,0,,,,,
player,201412210ram,nyg,FellDa00,rec_long,12,,,,,
player,201412210ram,nyg,FellDa00,fumbles,0,,,,,
player,201412210ram,nyg,FellDa00,fumbles_lost,0,,,,,
player,201412210ram,ram,HillSh00,pass_cmp,24,,,,,
player,201412210ram,ram,HillSh00,pass_att,32,,,,,
player,201412210ram,ram,HillSh00,pass_yds,290,,,,,
player,201412210ram,ram,HillSh00,pass_td,2,,,,,
player,201412210ram,ram,HillSh00,pass_int,1,,,,,
player,201412210ram,ram,HillSh00,pass_sacked,2,,,,,
player,201412210ram,ram,HillSh00,pass_sacked_yds,9,,,,,
player,201412210ram,ram,HillSh00,pass_long,47,,,,,
player,201412210ram,ram,HillSh00,pass_rating,110.2,,,,,
player,201412210ram,ram,HillSh00,rush_att,1,,,,,
player,201412210ram,ram,HillSh00,rush_yds,0,,,,,
player,201412210ram,ram,HillSh00,rush_td,0,,,,,
player,201412210ram,ram,HillSh00,rush_long,0,,,,,
player,201412210ram,ram,HillSh00,targets,0,,,,,
player,201412210ram,ram,HillSh00,rec,0,,,,,
player,201412210ram,ram,HillSh00,rec_yds,0,,,,,
player,201412210ram,ram,HillSh00,rec_td,0,,,,,
player,201412210ram,ram,HillSh00,rec_long,0,,,,,
player,201412210ram,ram,HillSh00,fumbles,0,,,,,
player,201412210ram,ram,HillSh00,fumbles_lost,0,,,,,
player,201412210ram,ram,MasoTr00,pass_cmp,0,,,,,
player,201412210ram,ram,MasoTr00,pass_att,0,,,,,
player,201412210ram,ram,MasoTr00,pass_yds,0,,,,,
player,201412210ram,ram,MasoTr00,pass_td,0,,,,,
player,201412210ram,ram,MasoTr00,pass_int,0,,,,,
player,201412210ram,ram,MasoTr00,pass_sacked,0,,,,,
player,201412210ram,ram,MasoTr00,pass_sacked_yds,0,,,,,
player,201412210ram,ram,MasoTr00,pass_long,0,,,,,
player,201412210ram,ram,MasoTr00,pass_rating,,,,,,
player,201412210ram,ram,MasoTr00,rush_att,13,,,,,
player,201412210ram,ram,MasoTr00,rush_yds,76,,,,,
player,201412210ram,ram,MasoTr00,rush_td,1,,,,,
player,201412210ram,ram,MasoTr00,rush_long,16,,,,,
player,201412210ram,ram,MasoTr00,targets,1,,,,,
player,201412210ram,ram,MasoTr00,rec,1,,,,,
player,201412210ram,ram,MasoTr00,rec_yds,7,,,,,
player,201412210ram,ram,MasoTr00,rec_td,0,,,,,
player,201412210ram,ram,MasoTr00,rec_long,7,,,,,
player,201412210ram,ram,MasoTr00,fumbles,0,,,,,
player,201412210ram,ram,MasoTr00,fumbles_lost,0,,,,,
player,201412210ram,ram,AustTa00,pass_cmp,0,,,,,
player,201412210ram,ram,AustTa00,pass_att,0,,,,,
player,201412210ram,ram,AustTa00,pass_yds,0,,,,,
player,201412210ram,ram,AustTa00,pass_td,0,,,,,
player,201412210ram,ram,AustTa00,pass_int,0,,,,,
player,201412210ram,ram,AustTa00,pass_sacked,0,,,,,
player,201412210ram,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201412210ram,ram,AustTa00,pass_long,0,,,,,
player,201412210ram,ram,AustTa00,pass_rating,,,,,,
player,201412210ram,ram,AustTa00,rush_att,3,,,,,
player,201412210ram,ram,AustTa00,rush_yds,25,,,,,
player,201412210ram,ram,AustTa00,rush_td,0,,,,,
player,201412210ram,ram,AustTa00,rush_long,19,,,,,
player,201412210ram,ram,AustTa00,targets,2,,,,,
player,201412210ram,ram,AustTa00,rec,1,,,,,
player,201412210ram,ram,AustTa00,rec_yds,15,,,,,
player,201412210ram,ram,AustTa00,rec_td,0,,,,,
player,201412210ram,ram,AustTa00,rec_long,15,,,,,
player,201412210ram,ram,AustTa00,fumbles,0,,,,,
player,201412210ram,ram,AustTa00,fumbles_lost,0,,,,,
player,201412210ram,ram,StacZa00,pass_cmp,0,,,,,
player,201412210ram,ram,StacZa00,pass_att,0,,,,,
player,201412210ram,ram,StacZa00,pass_yds,0,,,,,
