game,2014,13,20141130,201411300min,car,"Carolina Panthers",13,min,"Minnesota Vikings",31
team,201411300min,car,First Downs,23,,,,,,
team,201411300min,min,First Downs,12,,,,,,
team,201411300min,car,Rush-Yds-TDs,33-178-0,,,,,,
team,201411300min,min,Rush-Yds-TDs,24-92-0,,,,,,
team,201411300min,car,Cmp-Att-Yd-TD-INT,18-35-194-1-1,,,,,,
team,201411300min,min,Cmp-Att-Yd-TD-INT,15-21-138-2-0,,,,,,
team,201411300min,car,Sacked-Yards,4-24,,,,,,
team,201411300min,min,Sacked-Yards,3-20,,,,,,
team,201411300min,car,Net Pass Yards,170,,,,,,
team,201411300min,min,Net Pass Yards,118,,,,,,
team,201411300min,car,Total Yards,348,,,,,,
team,201411300min,min,Total Yards,210,,,,,,
team,201411300min,car,Fumbles-Lost,0-0,,,,,,
team,201411300min,min,Fumbles-Lost,3-0,,,,,,
team,201411300min,car,Turnovers,1,,,,,,
team,201411300min,min,Turnovers,0,,,,,,
team,201411300min,car,Penalties-Yards,4-35,,,,,,
team,201411300min,min,Penalties-Yards,5-25,,,,,,
team,201411300min,car,Third Down Conv.,7-16,,,,,,
team,201411300min,min,Third Down Conv.,4-11,,,,,,
team,201411300min,car,Fourth Down Conv.,1-1,,,,,,
team,201411300min,min,Fourth Down Conv.,0-0,,,,,,
team,201411300min,car,Time of Possession,35:48,,,,,,
team,201411300min,min,Time of Possession,24:12,,,,,,
player,201411300min,car,NewtCa00,pass_cmp,18,,,,,
player,201411300min,car,NewtCa00,pass_att,35,,,,,
player,201411300min,car,NewtCa00,pass_yds,194,,,,,
player,201411300min,car,NewtCa00,pass_td,1,,,,,
player,201411300min,car,NewtCa00,pass_int,1,,,,,
player,201411300min,car,NewtCa00,pass_sacked,4,,,,,
player,201411300min,car,NewtCa00,pass_sacked_yds,24,,,,,
player,201411300min,car,NewtCa00,pass_long,32,,,,,
player,201411300min,car,NewtCa00,pass_rating,65.7,,,,,
player,201411300min,car,NewtCa00,rush_att,9,,,,,
player,201411300min,car,NewtCa00,rush_yds,49,,,,,
player,201411300min,car,NewtCa00,rush_td,0,,,,,
player,201411300min,car,NewtCa00,rush_long,10,,,,,
player,201411300min,car,NewtCa00,targets,0,,,,,
player,201411300min,car,NewtCa00,rec,0,,,,,
